id	ja	zh-TW	en	ko
3035	"ガチャ50回250回で<color=""red"">PU★3
確定！ガチャメダル250枚</color>
で<color=""red"">ピックアップ★3交換可能！</color>"	"在轉蛋50次、100次、200次時
<color=""red"">★3確定！轉蛋獎牌250枚</color>
可以<color=""red"">兌換你喜歡的★3！</color>"	"At 50, 100, and 200 gacha pulls
<color=""red"">★3 Guaranteed! 250 Gacha Medals</color>
which can be <color=""red"">exchanged for a ★3 of your choice!</color>"	"뽑기 50회, 100회, 200회에서
<color=""red"">★3 확정! 뽑기 메달 250개</color>
로 <color=""red"">원하는 ★3코스튬 교환 가능!</color>"
3036	"ガチャ30回60回100回で
<color=""red"">★3確定！ガチャメダル100枚</color>
で<color=""red"">好きな★3交換可能！</color>"	"在轉蛋30次、60次、100次時
<color=""red"">★3確定！轉蛋獎牌100枚</color>
可以<color=""red"">兌換你喜歡的★3！</color>"	"At 30, 60, and 100 gacha pulls
<color=""red"">★3 Guaranteed! 100 Gacha Medals</color>
which can be <color=""red"">exchanged for a ★3 of your choice!</color>"	"뽑기 30회, 60회, 100회에서
<color=""red"">★3 확정! 뽑기 메달 100개</color>
로 <color=""red"">원하는 ★3코스튬 교환 가능!</color>"
3037	"<color=""red"">★3コスチュームが手に入る！</color>
大垣千明★3確定ガチャチケ専用の
ガチャです"	"<color=""red"">可以獲得★3服裝！</color>
是專用於★3確定轉蛋券的
轉蛋！"	"<color=""red"">Get a ★3 costume!</color>
This Gacha is exclusive for
★3 Guaranteed Gacha Tickets!"	"<color=""red"">★3 코스튬을 획득할 수 있습니다!</color>
★3 확정 뽑기 티켓 전용
뽑기입니다!"
3038	"<color=""red"">★3コスチュームが手に入る！</color>
犬山あおい★3確定ガチャチケ専用の
ガチャです"	"<color=""red"">可以獲得★3服裝！</color>
是專用於★3確定轉蛋券的
轉蛋！"	"<color=""red"">Get a ★3 costume!</color>
This Gacha is exclusive for
★3 Guaranteed Gacha Tickets!"	"<color=""red"">★3 코스튬을 획득할 수 있습니다!</color>
★3 확정 뽑기 티켓 전용
뽑기입니다!"
4002	中野 二乃★4カード	中野 二乃★4カード(TW)	中野 二乃★4カード(EN)	中野 二乃★4カード(KO)
4003	中野 二乃★3カード	中野 二乃★3カード(TW)	中野 二乃★3カード(EN)	中野 二乃★3カード(KO)
5002	"・ごとぱずリリース記念♪一花の★5五つ子カードが必ず手に入る！
・登場する一花の★5五つ子カードは全5種類！
・どの衣装が手に入るかは「五分の一の確率」！"	"・ごとぱずリリース記念♪一花の★5五つ子カードが必ず手に入る！
・登場する一花の★5五つ子カードは全5種類！
・どの衣装が手に入るかは「五分の一の確率」！(TW)"	"・ごとぱずリリース記念♪一花の★5五つ子カードが必ず手に入る！
・登場する一花の★5五つ子カードは全5種類！
・どの衣装が手に入るかは「五分の一の確率」！(EN)"	"・ごとぱずリリース記念♪一花の★5五つ子カードが必ず手に入る！
・登場する一花の★5五つ子カードは全5種類！
・どの衣装が手に入るかは「五分の一の確率」！(KO)"
5003	"・『ウェディング』をピックアップ！花嫁衣装が手に入るチャンス♪
・登場する★5の五つ子カードは、着せ替え衣装付き！ホーム編集で着替えましょう♪
・「花嫁ガチャチケ」でガチャができる！
・「ガチャ会員（ゴールド）」「ガチャ会員（シルバー）」になっているとお得にガチャができる！"	"・『ウェディング』をピックアップ！花嫁衣装が手に入るチャンス♪
・登場する★5の五つ子カードは、着せ替え衣装付き！ホーム編集で着替えましょう♪
・「花嫁ガチャチケ」でガチャができる！
・「ガチャ会員（ゴールド）」「ガチャ会員（シルバー）」になっているとお得にガチャができる！(TW)"	"・『ウェディング』をピックアップ！花嫁衣装が手に入るチャンス♪
・登場する★5の五つ子カードは、着せ替え衣装付き！ホーム編集で着替えましょう♪
・「花嫁ガチャチケ」でガチャができる！
・「ガチャ会員（ゴールド）」「ガチャ会員（シルバー）」になっているとお得にガチャができる！(EN)"	"・『ウェディング』をピックアップ！花嫁衣装が手に入るチャンス♪
・登場する★5の五つ子カードは、着せ替え衣装付き！ホーム編集で着替えましょう♪
・「花嫁ガチャチケ」でガチャができる！
・「ガチャ会員（ゴールド）」「ガチャ会員（シルバー）」になっているとお得にガチャができる！(KO)"
5004	"＜ガチャの注目ポイント＞
"	"＜ガチャの注目ポイント＞
(TW)"	"＜ガチャの注目ポイント＞
(EN)"	"＜ガチャの注目ポイント＞
(KO)"
5005	・ステップアップガチャのテストです	・ステップアップガチャのテストです(TW)	・ステップアップガチャのテストです(EN)	・ステップアップガチャのテストです(KO)
5006	・1日1回無料ガチャのテストです	・1日1回無料ガチャのテストです(TW)	・1日1回無料ガチャのテストです(EN)	・1日1回無料ガチャのテストです(KO)
5007	"・「ガチャメダル(コスチューム)」のおまけつき！1回ガチャで「1枚」、10回ガチャで「10枚」メダルがもらえる！
・「ガチャメダル(コスチューム)」を規定数集めると好きな★3コスチュームと交換できる！
・アニメ『ゆるキャン△』で登場した衣装が手に入るチャンス！『本栖湖キャンプ服』『ゆるキャン△③服』『ゆるキャン△④服』『ゆるキャン△⑤服』がピックアップ！
・50回目、100回目、200回目のガチャでは★3コスチュームが必ずGETできる！さらにピックアップコスチュームの出現率もアップ♪
・登場するコスチュームはすべて着せ替え衣装付き！ホームや記念撮影で撮影したり、キャンプに連れて行ったりしましょう♪
・「オールインワン!!コスチュームガチャチケ」でもガチャができる！"	"• 獲得額外的“轉蛋獎牌（服裝）”！單次轉蛋可獲得“1”個獎牌，十次轉蛋可獲得“10”個獎牌！
• 收集一定數量的“轉蛋獎牌（服裝）”可以兌換你喜歡的★3服裝！
• 別錯過在動畫“搖曳露營△”中出現的服裝！“本栖湖露營服”、“搖曳露營△服3”、“搖曳露營△服4”和“搖曳露營△服5”是精選服裝！
• 在第50次，第100次和第200次轉蛋時，你一定能獲得★3服裝！此外，精選服裝的出現率也提高了♪
• 所有出現的服裝都附帶一套換裝！在家中或紀念照中拍照，並帶到露營地♪
• 你也可以使用“一體!!服裝轉蛋券”來轉蛋！"	"• Get bonus ""Gacha Medals (Costume)""! Receive ""1"" medal for a single pull, and ""10"" medals for a ten-pull in the gacha!
• Collect a certain number of ""Gacha Medals (Costume)"" to exchange for a ★3 costume of your choice!
• Don't miss the chance to get costumes that appeared in the anime ""Yuru Camp△""! ""Honshu Lake Camping Outfit"", ""Yuru Camp△ Outfit 3"", ""Yuru Camp△ Outfit 4"", and ""Yuru Camp△ Outfit 5"" are featured!
• On the 50th, 100th, and 200th gacha pulls, you are guaranteed to GET a ★3 costume! Plus, the appearance rate of featured costumes is increased♪
• All the costumes that appear come with a dress-up outfit! Take pictures at home or in commemorative photos, and bring them to the camp♪
• You can also use ""All-in-One!! Costume Gacha Tickets"" to pull in the gacha!"	"• ""뽑기 메달 (코스튬)"" 보너스 포함! 1회 뽑기로 ""1개"", 10회 뽑기로 ""10개""의 메달을 받을 수 있습니다!
• ""뽑기 메달 (코스튬)""을 일정 수량 모으면 원하는 ★3 코스튬과 교환할 수 있습니다!
• 애니메이션 ""유루 캠△""에서 등장한 의상을 얻을 수 있는 기회! ""모토스호 캠핑 의상"", ""유루캠△ 의상 3"", ""유루캠△ 의상 4"", ""유루캠△ 의상 5""가 피처드됩니다!
• 50번째, 100번째, 200번째 뽑기에서는 ★3 코스튬을 반드시 획득 할 수 있습니다! 또한 피처드 코스튬의 출현율 상승♪
•코스튬은 모두 의상 변경이 가능합니다 ! 획득한 복장으로 홈이나 기념 촬영도 하시고 캠핑도 떠나 보세요♪
• ""올인원!!코스튬 뽑기 티켓""으로도 뽑을 수 있습니다!"
5008	・コスチュームガチャのテスト用データです	・コスチュームガチャのテスト用データです(TW)	・コスチュームガチャのテスト用データです(EN)	・コスチュームガチャのテスト用データです(KO)
5009	・サポートカードガチャのテスト用データです	・サポートカードガチャのテスト用データです(TW)	・サポートカードガチャのテスト用データです(EN)	・サポートカードガチャのテスト用データです(KO)
5010	・ガチャフィーバーのテスト用データです	・ガチャフィーバーのテスト用データです(TW)	・ガチャフィーバーのテスト用データです(EN)	・ガチャフィーバーのテスト用データです(KO)
