id	AdvertisementText	QuestText	ReactionText	UnitText	FeedText	LoginText	BoostGroupText	StickerText	FuncText	PhotoText	ChapterText	GachaText	GuideMissionText	SpecialContentText	StillPictureText	AppointmentText	BgmText	StampText	FeatureText	ShopTabText	ProfileText	ShopText	RelationshipText	SituationText	VrText	CampaignText	HomeText	CardText	GrowthRewardText	GuildText	SeasonText	ApText	CampText	PuzzleText	RewardText	InvitationText	LocationText	SkillText	StoryText	ConfessionText	GearText	GuildCampText	MemberText	SeriesText	StageText	TipsText	ArText	BannerText	HelpText	ChallengeText	CraftText	PlayerTitleText	TeamBattleText	WorkText	HomeBgmText	LotteryText	CharaNaviText	CollectionText	ItemText	AreaText	AttributeText	CommonText
16								O			富士山與悠閒火鍋露營		第二集⑤									含稅三萬日圓的篝火台					"我想試試看
流水麵線耶──"	『冬季服裝A（橘色）』							【テスト用】スチル1(TW)			手数(秒数)獲得	大晦日のソロキャンガール								揮手(坐著)			進行{0}次以{ta_mi_mn}為主的露營		不停走下去					傷腦筋耶。					怎麼辦呢……
17								P			野活組與單人露營女孩		第二集⑥									鳥羽老師的汽車					"保冷箱裡面
有放冰淇淋喔──
大家一起吃吧！！"	『冬季服裝A（藍色）』							【テスト用】スチル2(TW)			万能玉チェンジ	たなぼたキャンプと改めて思ったこと								舉手(坐著)			完成『出發去旅遊露營！RECAMP小田原』的活動要事清單。		直到光的另一頭					裡面裝了什麼呢──？					好啦，要怎麼辦呢。
18								Q			兩處露營，不同景色		第二集⑦									真實用品③					"體驗划獨木舟啊──
好像很好玩耶！"	『冬季服裝A（米色）』							【テスト用】スチル3(TW)			チェイン玉	バイトのお金で何を買う？								哦！(坐著)			獲得『銅牌會員』的稱號		第一次的△					東西領一領吧。					有很多想做的事耶。
19								R			お肉と紅葉と謎の湖		第二集⑧									owl測試付費1					"讓大家久等的晚餐呢……
是烤肉喔！！"	『冬季服裝A（卡其色）』							【テスト用】スチル4(TW)			赤玉チェンジ	カリブーくんと山中湖											獲得『銀牌會員1』的稱號		參加多次的△					要領哪個啊？					嗯──要做什麼呢──
20								S			湖畔の夜とキャンプの人々		第二集⑨							通行證		owl測試付費2					太陽一下山就開始變冷了呢。	『聖誕露營長袖』							【テスト用】スチル5(TW)			黄玉チェンジ	大間々岬の冬											獲得『銀牌會員2』的稱號		去了超──多次△					可以拿到什麼呢。					好猶豫啊──
21								T			テスト、カリブー、まんじゅううまい		第二集⑩							會員		owl測試付費3					"才在溫泉泡得舒舒爽爽而已
現在又流汗了啦──"	『冬季服裝B（林地迷彩）』							【テスト用】スチル6(TW)			紫玉チェンジ	なでしこのソロキャン計画											獲得『銀牌會員3』的稱號		撫子露營△！					領東西吧。					怎麼辦呢。
22								U			なでしこナビと湯けむりの夜		第二集⑪							通行證		CM觀看獎勵					"小明調的
氣泡無酒精調酒
在悶熱的晚上喝最適合了。"	『冬季服裝B（多地形迷彩）』							【テスト用】スチル7(TW)			緑玉チェンジ	ひとりのキャンプ											獲得『銀牌會員4』的稱號		大型新人					"有些東西
快要不能領取了喔。"					該選哪個呢。
23								V			旅下手さんとキャンプ会議		第三集①									owl測試項目1					星星看起來好漂亮喔。	『冬季服裝B（白色）』							【テスト用】スチル8(TW)			赤玉レベルアップ	冬の終わりと出発の日											獲得『銀牌會員5』的稱號		FUJIKO					好像有些東西快過期了喔。					嗯──傷腦筋。
24								W			クリキャン！		第三集②									owl測試項目2					啊，有螢火蟲耶──	『冬季服裝B（黑色）』							【テスト用】スチル9(TW)			黄玉レベルアップ	伊豆キャン！ はじまり											獲得『金牌會員1』的稱號		野活紅					要注意領取期限喔──					要做什麼好呢。
25								X			ふじさんとゆるキャンガール		第三集③									owl測試項目3					"剛煮好的飯
聞起來好香喔。"	『本栖湖露營服裝』							【テスト用】スチル10(TW)			青玉レベルアップ	伊豆キャン！！みちゆき											獲得『金牌會員2』的稱號		撫子是堅強的孩子					"快點領出來吧
不然會被逃掉喔──"					要怎麼辦呢～～
26								Y			0		第三集④									owl測試項目4					"要不要來做
玉米濃湯呢。"	『搖曳露營△④服裝』							【テスト用】スチル11(TW)			緑玉レベルアップ	伊豆キャン！！！バースデー！											獲得『金牌會員3』的稱號		新的悸動					"好像有東西
快要過期了耶。"					
27								Z					第三集⑤									owl測試項目5					落葉堆，我踩我踩……	『搖曳露營△③服裝』							【テスト用】スチル12(TW)			シャッフル	ただいま											獲得『金牌會員4』的稱號		連同內心向前邁步					"選擇想要追加進
個人資料裡的項目吧。"					
28								0					第三集⑥									owl測試項目6					"這個香菇
能不能吃啊？"	『搖曳露營△⑤服裝』							【テスト用】スチル13(TW)			おじゃま玉ダウン	第16話											獲得『金牌會員5』的稱號		前去尋找笑容					"來選想要追加進
個人資料裡的項目吧。"					
29								1					第三集⑦									namazon Prime 銷售 30 硬幣					"我來做看看
原創的燈好了。"	『本栖湖高中制服＆外套』							【テスト用】スチル14(TW)			ロック玉ダウン	序章											獲得『黒牌會員』的稱號		飛向未來					"把想要追加進個人資料
裡的項目選一選吧。"					
30								2					第三集⑧							兌換所		namazon Prime 銷售 300 硬幣					柴火準備，完了──！！	『本栖湖高中制服』							【テスト用】シルバー会員(TW)			しゃぼん玉停止	結語													些許的勇氣					"來選想要追加進
個人資料裡的項目吧──"					
31								3					第三集⑨							好友P		namazon Prime 銷售 3000 硬幣					"秋天啊
會友很多很多
好吃的東西唷──"	『本栖湖高中運動服』							【テスト用】ゴールド会員(TW)			ブロックダウン	カードストーリー①													美妙預感					"要來選想要追加進
個人資料裡的項目喔。"					
32								4					第三集⑩							YG P		namazon Prime 銷售 30000 硬幣					"黃金色的芒草
被風吹得搖啊搖啊的──"	『麓露營地服裝』							【テスト用】プラチナ会員(TW)			バリア破壊	カードストーリー②													交織思念					哪個比較好呢？					
33								5					第三集⑪							富士山		100搖曳幣(金)					"戶外活動的實驗料理……
開始！"	『伊豆營地服裝』							【テスト用】AP5(TW)			コンボ数プラス	カードストーリー③													閃耀當下					要選哪個呢。					
34								6					第四集①							松果		500搖曳幣(金)					"快看快看
月亮好大喔──"	『EAST WOOD服裝』							【テスト用】AP10(TW)			コンボ条件低下	カードストーリー④													新穎微風					要選哪一個呢，好猶豫啊──					
35								7					第四集②							彩虹TUKAPON		1000搖曳幣(金)					"糟了！
瓦斯罐好像是空的……"	『打工便服』							【テスト用】AP20(TW)			チェイン数プラス														描畫未來					哪個比較好啊。					
36								8					第四集③							金色TUKAPON		2000搖曳幣(金)					鈴──鈴──……	『麓露營地厚衣服』							【テスト用】お仕事報酬(TW)			ベル鳴らし														幸福輪迴					"可以變更像是個人資料
或好友的輔助設定喔。"					
37								9					第四集④							銀色TUKAPON		3000搖曳幣(金)					"早安──
早餐做好了喔──"	『山中湖露營服裝』							【テスト用】フレッシュパック(10days)(TW)			パズル操作スキル														Feel so good！					"可以變更個人資料
或好友的輔助設定喔。"					
38								!					第四集⑤							外出幣		5000搖曳幣(金)					啊，是霜柱耶！	『四尾連湖露營服裝』							【テスト用】レンカノパック(30days)(TW)			パズルALLリフレッシュ														小小奇蹟					"好像可以變更個人資料
或好友的輔助設定喔。"					
39								?					第四集⑥							一旦なし		10000搖曳幣(金)					"還好有借
暖暖包──"	『甲府露營便服』							【テスト用】一花(TW)			パズル玉補充強制変更														不變思念					"聽說是可以變更個人資料
或好友的輔助設定喔。"					
40								圓					第四集⑦							回收		15000搖曳幣(金)					"把這個100％牛肉做的漢堡排
好好地熱一下……"	『購物便服』							【テスト】コクハクステップ報酬です。(TW)			パズル玉範囲内レベルアップ														不停向前					"這裡好像可以變更個人資料
或好友的輔助設定耶。"					
41								三角形					第四集⑧							卡力布君		2500搖曳幣(金)					"毛毯實在
太暖和了……來，
大家也一起包起來吧。"	『春季露營服裝』							AP30(TW)			カラーボックス破壊														伴隨著交織的夢想					"首先來選擇
要當作頭像的卡片吧！"					
42								正方形					第四集⑨							技能提升		AP5					"把棉花糖烤一下後……
就能吃棉花糖餅乾了！"	『卡力布露營服』							AP60(TW)			おじゃま玉→赤														小凜露營△！					"要當作頭像的卡片……
好猶豫喔。"					
43								梯形					第四集⑩									AP10					"煮火鍋的技巧？
就只是切一切丟進去
然後煮而已唷。"	『聖誕露營服裝』							AP90(TW)			おじゃま玉→黄														圖書委員					"一開始先選
要當作頭像的卡片。"					
44								五邊形					第四集⑪									AP20					"開始暗下來了，
點個燈吧。"	『聖誕戰隊』							BP1(TW)			おじゃま玉→青														不善旅行之人					先選要當作頭像的卡片……					
45								六角形					第五集①									跳過票×3					吼～～四周全黑了──	『求生露營泳裝』							BP3(TW)			おじゃま玉→紫														志摩凜大人！					"一開始先選
要當作頭像的卡片！"					
46								八角形					第五集②									紅葉的樹葉×1					"可以這樣盯著露營燈看
都不會看膩喔。"	『四尾連湖毛毯』							BP5(TW)			おじゃま玉→緑														單人露營女孩					選好要當作頭像的範圍……					
47								等腰三角形					第五集③									紅葉的樹葉×5					"吃火鍋可以吃到
很多蔬菜，營養滿分喔。"	『山中湖毛毯』							銅牌會員			ロック玉→赤														小明露營△！					當頭像的範圍要多大？					
48								星					第五集④									紅葉的樹葉×10					星星好漂亮喔──	『秘密結社毛毯』							銀牌會員1			ロック玉→黄														野活組社長					"選好要當頭像
的範圍了嗎。"					
49								黑桃					第五集⑤									owl測試付費4					"悠閒的露營
讓人好開心喔。"	『お料理キャンプ（仮）』(TW)							銀牌會員2			ロック玉→青														野活藍					決定要當頭像的範圍喔。					
50								梅花					第五集⑥							特價拍賣		owl測試項目7					"這些當地食材啊，
為什麼會
這麼好吃啊──"	『ハロウィン（仮）』(TW)							銀牌會員3			ロック玉→紫														時髦露營家					決定要當作頭像的範圍。					
51								紅心					第五集⑦							特價拍賣		owl測試付費5					"用炭火慢慢地烤過後，
不管是什麼都會變得很好吃呢──"	『小田原露營服裝』							銀牌會員4			ロック玉→緑														山梨人小明					嗯，太完美了！					
52								方塊					第五集⑧							頂級促銷		搖曳通行證(30天)					"那我就去那邊
散一下步喔──"	『搖曳露營△②服裝』							銀牌會員5			ブロック→赤														小葵露營△！					好，完成啦。					
53								月					第五集⑨									搖曳通行證S(10天)					"有沒有什麼
有趣的影片呢──？"	『搖曳露營△①服裝』							金牌會員1			ブロック→黄														野活組社員					這樣不錯耶！？					
54								太陽					第五集⑩									搖曳通行證M(10天)					"每次出門啊，
都會忍不住
買一些土產呢。"	『パジャマ（仮）』(TW)							金牌會員2			ブロック→青														野活黃					做得很好唷。					
55								雲					第五集⑪									搖曳通行證(7天)					"以後做料理啊，
還想再多試一些翻新食譜呢。"	『森パーティ（仮）』(TW)							金牌會員3			ブロック→紫														犬犬犬子					嗯，漂亮。					
56								雪														更多的野外活動計畫高級版					現在幾點了？	『海キャン（仮）』(TW)							金牌會員4			ブロック→緑														愛吹牛女孩					自我介紹要寫什麼好呢──					
57								寶石														更多的野外活動計畫高級版					"咀嚼咀嚼……啊！
剩下最後一個了！"	『バレンタイン（仮）』(TW)							金牌會員5			ギミックをパズル玉にチェンジ														惠那露營△！					"自我介紹
要寫什麼啊……"					
58								雫														AP30						松果							黑牌會員			赤色スキルチャージ														體驗入隊					"自我介紹嗎──
要寫什麼好呢……"					
59								箭頭														AP60					"小凜
祝妳生日快樂！
妳想要什麼禮物呢？"	分十五期付款							ガチャメダル1(TW)			黄色スキルチャージ														回家社齊藤同學					來想一下自我介紹吧──					
60								半圓												活動		AP90					"小明
祝妳生日快樂！
蛋糕妳待會吃吧。"	喔喔喔喔喔喔……							ガチャメダル2(TW)			青色スキルチャージ														後面的齊藤同學					自我介紹要寫什麼啊？					
61								橢圓														YP1					"小葵
祝妳生日快樂！
今後也請妳多指教喔。"	這是什麼？							社團登入獎勵			紫色スキルチャージ														隱身的齊藤同學					這樣子就可以了喔。					
62								扇形														YP3					"小惠那
祝妳生日快樂！
我們之後也是好朋友喔。"	我頭暈眼花了……							おしゃれ(ピンク)(TW)			緑色スキルチャージ														出發去旅遊露營！RECAMP小田原					……這樣就可以了吧。					
63								叉														YP5					"Happy Birthday to you
恭喜妳──！"	小熊頭──							おもいで(ピンク)(TW)			赤属性のスキルをチャージ														翻訳入力エラー					好──就決定是這樣了──！					
64								線														R或以上必出轉蛋券					"新年快樂
希望今年也是個好年
來，說說妳今年的抱負吧！"	啊！！							じゅくれん(TW)			黄属性のスキルをチャージ														銀牌會員1					這樣就好了嗎？					
65								虛線														服裝轉蛋券					"情人節快樂
今天的露營餐是……
特製巧克力哦！"	光是遠遠地看著							うでまえ(TW)			青属性のスキルをチャージ														銀牌會員2					就決定是這樣了唷。					
66								點線														輔助卡轉蛋券					"富士山
從今以後我也是
最喜歡你了唷……！"	FUJIKO！？							搖曳幣（銀）			紫属性のスキルをチャージ														銀牌會員3					おしゃれして　行かなきゃだね					
67								波浪線														日式饅頭					"說到白色情人節
就是要吃棉花糖！
我還想再吃一次棉花糖餅乾呢。"	登陸月球遊戲							★3カードの限界突破により獲得したアイテムです(TW)			緑属性のスキルをチャージ														銀牌會員4					"ゲストで登場する時の
コスチューム…何がいいかな"					
68								曲線														落葉貼紙					"萬聖節快樂！
今天的料理
我裝飾得很嚇人喔。"	實際嘗試過了							★4カードの限界突破により獲得したアイテムです(TW)			しゃぼん玉破壊														銀牌會員5					"ゲストで登場させるときの
コスチュームを決めるみたいだな"					
69								木														食材箱					"明天是聖誕節！
現在在準備特別菜色呢
我要大展身手囉──！"	她們幾個在做什麼啊？							★5カードの限界突破により獲得したアイテムです(TW)			赤玉まとめ・Ⅰ														金牌會員1					どれを着ていこか　迷うなぁ					
70								葉子												AP		素材箱					"跟大家一起
出來露營
一邊慶祝聖誕節，好開心喔。"	我來幫妳背吧。							称号用アイテムです(TW)			黄玉まとめ・Ⅰ														金牌會員2					"ゲストで登場させる時の
コスチュームを設定っと"					
71								帳篷												AP		YURU					"今年也受妳照顧
一整年了
明年也請多指教喔。"	如果是食物的話，應該會比較開心吧。							プレミアムステップボックスから獲得したアイテムです。(TW)			青玉まとめ・Ⅰ														金牌會員3					ぱずるをうんと盛り上げてね！					
72								山1												YP		★3『搖曳露營△④服裝』大垣千明					"我聽到那邊傳來
很開心的聲音喔！"	──好冷！							素材ボックスから獲得したアイテムです。(TW)			紫玉まとめ・Ⅰ														金牌會員4					活躍できるといいな					
73								山2														★3『搖曳露營△③服裝』犬山葵					"一周年快樂！
感覺露營等級
成長了很多唷──"	不小心就買下去了。							食材ボックスから獲得したアイテムです。(TW)			緑玉まとめ・Ⅰ														金牌會員5					"これならぱずるで
活躍間違いなしだな！"					
74								燈籠														★3『搖曳露營△⑤服裝』齊藤惠那					……	露營時要烤肉……							素材ボックスから獲得したアイテムです。(TW)			アメーバ停止														黑牌會員					"これにしよ！
さっ　よろしくなぁ"					
75								升火														★3『麓露營地服裝』各務原撫子					姆拿姆拿……唔呼呼──……	管理站的露台上……							サプライズ訪問の彼女ガチャチケ（無印）(TW)			アメーバ消去																			このコスチュームで決まり！					
76																						★3『麓露營地服裝』志摩凜					呼──好放鬆喔──	我知道了，隊長！！							AP上限倍増パスの購入特典です。(TW)			フィーバーモード																			"能幫忙好友露營
的卡片有……"					
77																						★3『伊豆營地服裝』大垣千明					稍微、休息一下……	這絕對超猛的。							シルバー会員の購入特典です。(TW)			？？？？																			"能幫忙好友露營
的輔助卡就選……"					
78																						★3『EAST WOOD服裝』犬山葵					嘿唷。	無酒精啤酒或許可以哦。							ゴールド会員の購入特典です。(TW)			範囲塗り替え																			"用來幫忙好友露營
的輔助卡片
要選哪張好呢……"					
79																						★3『打工便服』齊藤惠那					嗯，感覺不錯唷。	噗咿──							プラチナ会員の購入特典です。(TW)			指定仕掛けレベルダウン																			"來選能幫忙好友露營
的輔助卡吧──"					
80																				遊戲幣		★3『EAST WOOD服裝』各務原撫子					變好吃吧──	開鍋							○○パスの購入特典です。(TW)			？？？？？？																			"要拿來幫忙好友露營
的輔助卡……選哪張好呢。"					
81																				服裝		★3『麓露營地厚衣服』志摩凜					好──！	好臭！！							○○パス限定ログインボーナス1日目のプレゼントです。(TW)			パズル玉Lv3集合																			"完成了呢！
不知道大家會不會喜歡？"					
82																				輔助		★3『EAST WOOD服裝』大垣千明					好期待下午茶時間喔。	感冒了啦～～！！							○○パス限定ログインボーナス2日目のプレゼントです。(TW)			パズル玉整列																			這樣就沒問題了吧。					
83																				野外活動		★3『打工便服』犬山葵					準備好了──！	山梨人小明的30分鐘料理教室							○○パス限定ログインボーナス3日目のプレゼントです。(TW)			移動床停止																			我可以想像大家開心的表情耶！					
84																				小田原露營		★3『山中湖露營服裝』齊藤惠那					我來燒開水喔。	我認輸了，你們這些狗狗							○○パス限定ログインボーナス4日目のプレゼントです。(TW)			赤玉まとめ・Ⅱ																			"選好了呢。
能幫上大家的忙就好了。"					
85																				旅露營		★3『四尾連湖露營服裝』各務原撫子					哈──好好吃喔！	好吃！！							○○パス限定ログインボーナス5日目のプレゼントです。(TW)			黄玉まとめ・Ⅱ																			這樣子大家一定都會很高興的。					
86																				旅露營		★3『四尾連湖露營服裝』志摩凜					好悠閒喔──	呵、呵、呵！							○○パス限定ログインボーナス6日目のプレゼントです。(TW)			青玉まとめ・Ⅱ																			好啦，要先從哪邊開始呢？					
87																				旅露營		★3『甲府露營便服』大垣千明					嗯～～好可愛喔。	後面的齊藤同學。							○○パス限定ログインボーナス7日目のプレゼントです。(TW)			紫玉まとめ・Ⅱ																			好耶，加油吧。					
88																						★3『伊豆營地服裝』犬山葵					有那個氣氛了耶。	唔！！							○○パス限定ログインボーナス8日目のプレゼントです。(TW)			緑玉まとめ・Ⅱ																			那個，接下來要做的事……					
89																						★3『購物便服』齊藤惠那					好亮喔──	我醒著哦！！							○○パス限定ログインボーナス9日目のプレゼントです。(TW)			クリアボーナス玉（列）																			我也來幫忙喔，小凜。					
90																				碎片		★3『春季露營服裝』各務原撫子					完美！這好好用喔。	香腸被搶走了。							○○パス限定ログインボーナス10日目のプレゼントです。(TW)			クリアボーナス玉（範囲）																			好啦──那不然就來試試看吧！					
91																						★3『春季露營服裝』志摩凜					小心點使用吧。	謝謝你，牛牛……							○○パス限定ログインボーナス11日目のプレゼントです。(TW)			（準備中）																			小明，我們一起加油吧！					
92																						★3『卡利布露營服』大垣千明					點火！	山梨名產志摩凜糰子							○○パス限定ログインボーナス12日目のプレゼントです。(TW)			0																			好，那就開始吧──					
93																						★3『卡利布露營服』犬山葵					好想要一直盯著看喔。	給我適可而止！							○○パス限定ログインボーナス13日目のプレゼントです。(TW)			スキル玉を起点に縦{ap2}列消去する																			加油喔。					
94																						★3『伊豆營地服裝』齊藤惠那					嗯嗯，狀況不錯呢。	弄錯了！！							○○パス限定ログインボーナス14日目のプレゼントです。(TW)			黄色のパズル玉を{ap2}個消去する																			好了，那就開始吧。					
95																						★3『聖誕露營服裝』各務原撫子					好暖和喔。	濱名湖自行車騎啊騎。							○○パス限定ログインボーナス15日目のプレゼントです。(TW)			ランダムのパズル玉{sp3}個を青のパズル玉に変化させる																			好啦，來做吧。					
96																						★3『聖誕露營服裝』志摩凜					看來可以睡得很沉呢──	負責當腳架的就是樹和撫子了。							○○パス限定ログインボーナス16日目のプレゼントです。(TW)			紫のパズル玉{sp2}個を{sp1}レベルアップさせる																			辛苦了──妳很努力呢！					
97																						★3『聖誕露營服裝』大垣千明					是睡袋蟲喔。	好厲害……							○○パス限定ログインボーナス17日目のプレゼントです。(TW)			スキル玉が万能玉に変化する																			辛苦啦──					
98																						★3『聖誕露營服裝』犬山葵					滾啊滾……	拍一張做記念。							○○パス限定ログインボーナス18日目のプレゼントです。(TW)			スキル玉を起点に横{ap2}列消去する																			這樣子就完成囉。					
99																						★3『聖誕露營服裝』齊藤惠那					嗯～～好幸福喔──	喔喔喔喔喔──！？							○○パス限定ログインボーナス19日目のプレゼントです。(TW)			スキル玉を起点に縦横1列ずつ消去する																			辛苦啦──做得很好喔。					
