id	name_text_id	skill_group_id	skill_level	trick_level	price_skill_point
510003112	まったりくつろごー！（はじめ） Lv1	5100031	1	2	27
510003113	まったりくつろごー！（はじめ） Lv1	5100031	1	3	24
510003114	まったりくつろごー！（はじめ） Lv1	5100031	1	4	21
510003115	まったりくつろごー！（はじめ） Lv1	5100031	1	5	18
510003121	まったりくつろごー！（はじめ） Lv2	5100031	2	1	50
510003122	まったりくつろごー！（はじめ） Lv2	5100031	2	2	45
510003123	まったりくつろごー！（はじめ） Lv2	5100031	2	3	40
510003124	まったりくつろごー！（はじめ） Lv2	5100031	2	4	35
510003125	まったりくつろごー！（はじめ） Lv2	5100031	2	5	30
510003131	まったりくつろごー！（はじめ） Lv3	5100031	3	1	70
510003132	まったりくつろごー！（はじめ） Lv3	5100031	3	2	63
510003133	まったりくつろごー！（はじめ） Lv3	5100031	3	3	56
510003134	まったりくつろごー！（はじめ） Lv3	5100031	3	4	49
510003135	まったりくつろごー！（はじめ） Lv3	5100031	3	5	42
510003141	まったりくつろごー！（はじめ） Lv4	5100031	4	1	90
510003142	まったりくつろごー！（はじめ） Lv4	5100031	4	2	81
510003143	まったりくつろごー！（はじめ） Lv4	5100031	4	3	72
510003144	まったりくつろごー！（はじめ） Lv4	5100031	4	4	63
510003145	まったりくつろごー！（はじめ） Lv4	5100031	4	5	54
510003151	まったりくつろごー！（はじめ） Lv5	5100031	5	1	110
510003152	まったりくつろごー！（はじめ） Lv5	5100031	5	2	99
510003153	まったりくつろごー！（はじめ） Lv5	5100031	5	3	88
510003154	まったりくつろごー！（はじめ） Lv5	5100031	5	4	77
510003155	まったりくつろごー！（はじめ） Lv5	5100031	5	5	66
510004111	ほっこりあそぼー！（おわり） Lv1	5100041	1	1	30
510004112	ほっこりあそぼー！（おわり） Lv1	5100041	1	2	27
510004113	ほっこりあそぼー！（おわり） Lv1	5100041	1	3	24
510004114	ほっこりあそぼー！（おわり） Lv1	5100041	1	4	21
510004115	ほっこりあそぼー！（おわり） Lv1	5100041	1	5	18
510004121	ほっこりあそぼー！（おわり） Lv2	5100041	2	1	50
510004122	ほっこりあそぼー！（おわり） Lv2	5100041	2	2	45
510004123	ほっこりあそぼー！（おわり） Lv2	5100041	2	3	40
510004124	ほっこりあそぼー！（おわり） Lv2	5100041	2	4	35
510004125	ほっこりあそぼー！（おわり） Lv2	5100041	2	5	30
510004131	ほっこりあそぼー！（おわり） Lv3	5100041	3	1	70
510004132	ほっこりあそぼー！（おわり） Lv3	5100041	3	2	63
510004133	ほっこりあそぼー！（おわり） Lv3	5100041	3	3	56
510004134	ほっこりあそぼー！（おわり） Lv3	5100041	3	4	49
510004135	ほっこりあそぼー！（おわり） Lv3	5100041	3	5	42
510004141	ほっこりあそぼー！（おわり） Lv4	5100041	4	1	90
510004142	ほっこりあそぼー！（おわり） Lv4	5100041	4	2	81
510004143	ほっこりあそぼー！（おわり） Lv4	5100041	4	3	72
510004144	ほっこりあそぼー！（おわり） Lv4	5100041	4	4	63
510004145	ほっこりあそぼー！（おわり） Lv4	5100041	4	5	54
510004151	ほっこりあそぼー！（おわり） Lv5	5100041	5	1	110
510004152	ほっこりあそぼー！（おわり） Lv5	5100041	5	2	99
510004153	ほっこりあそぼー！（おわり） Lv5	5100041	5	3	88
510004154	ほっこりあそぼー！（おわり） Lv5	5100041	5	4	77
510004155	ほっこりあそぼー！（おわり） Lv5	5100041	5	5	66
510005111	ゆるっとりょうりしよー！（とちゅう） Lv1	5100051	1	1	30
510005112	ゆるっとりょうりしよー！（とちゅう） Lv1	5100051	1	2	27
510005113	ゆるっとりょうりしよー！（とちゅう） Lv1	5100051	1	3	24
510005114	ゆるっとりょうりしよー！（とちゅう） Lv1	5100051	1	4	21
510005115	ゆるっとりょうりしよー！（とちゅう） Lv1	5100051	1	5	18
510005121	ゆるっとりょうりしよー！（とちゅう） Lv2	5100051	2	1	50
510005122	ゆるっとりょうりしよー！（とちゅう） Lv2	5100051	2	2	45
510005123	ゆるっとりょうりしよー！（とちゅう） Lv2	5100051	2	3	40
510005124	ゆるっとりょうりしよー！（とちゅう） Lv2	5100051	2	4	35
510005125	ゆるっとりょうりしよー！（とちゅう） Lv2	5100051	2	5	30
510005131	ゆるっとりょうりしよー！（とちゅう） Lv3	5100051	3	1	70
510005132	ゆるっとりょうりしよー！（とちゅう） Lv3	5100051	3	2	63
510005133	ゆるっとりょうりしよー！（とちゅう） Lv3	5100051	3	3	56
510005134	ゆるっとりょうりしよー！（とちゅう） Lv3	5100051	3	4	49
510005135	ゆるっとりょうりしよー！（とちゅう） Lv3	5100051	3	5	42
510005141	ゆるっとりょうりしよー！（とちゅう） Lv4	5100051	4	1	90
510005142	ゆるっとりょうりしよー！（とちゅう） Lv4	5100051	4	2	81
510005143	ゆるっとりょうりしよー！（とちゅう） Lv4	5100051	4	3	72
510005144	ゆるっとりょうりしよー！（とちゅう） Lv4	5100051	4	4	63
510005145	ゆるっとりょうりしよー！（とちゅう） Lv4	5100051	4	5	54
510005151	ゆるっとりょうりしよー！（とちゅう） Lv5	5100051	5	1	110
510005152	ゆるっとりょうりしよー！（とちゅう） Lv5	5100051	5	2	99
510005153	ゆるっとりょうりしよー！（とちゅう） Lv5	5100051	5	3	88
510005154	ゆるっとりょうりしよー！（とちゅう） Lv5	5100051	5	4	77
510005155	ゆるっとりょうりしよー！（とちゅう） Lv5	5100051	5	5	66
510006111	いっぱいくつろごー！（とちゅう） Lv1	5100061	1	1	50
510006112	いっぱいくつろごー！（とちゅう） Lv1	5100061	1	2	45
510006113	いっぱいくつろごー！（とちゅう） Lv1	5100061	1	3	40
510006114	いっぱいくつろごー！（とちゅう） Lv1	5100061	1	4	35
510006115	いっぱいくつろごー！（とちゅう） Lv1	5100061	1	5	30
510006121	いっぱいくつろごー！（とちゅう） Lv2	5100061	2	1	70
510006122	いっぱいくつろごー！（とちゅう） Lv2	5100061	2	2	63
510006123	いっぱいくつろごー！（とちゅう） Lv2	5100061	2	3	56
510006124	いっぱいくつろごー！（とちゅう） Lv2	5100061	2	4	49
510006125	いっぱいくつろごー！（とちゅう） Lv2	5100061	2	5	42
510006131	いっぱいくつろごー！（とちゅう） Lv3	5100061	3	1	90
510006132	いっぱいくつろごー！（とちゅう） Lv3	5100061	3	2	81
510006133	いっぱいくつろごー！（とちゅう） Lv3	5100061	3	3	72
510006134	いっぱいくつろごー！（とちゅう） Lv3	5100061	3	4	63
510006135	いっぱいくつろごー！（とちゅう） Lv3	5100061	3	5	54
510006141	いっぱいくつろごー！（とちゅう） Lv4	5100061	4	1	110
510006142	いっぱいくつろごー！（とちゅう） Lv4	5100061	4	2	99
510006143	いっぱいくつろごー！（とちゅう） Lv4	5100061	4	3	88
510006144	いっぱいくつろごー！（とちゅう） Lv4	5100061	4	4	77
510006145	いっぱいくつろごー！（とちゅう） Lv4	5100061	4	5	66
510006151	いっぱいくつろごー！（とちゅう） Lv5	5100061	5	1	130
510006152	いっぱいくつろごー！（とちゅう） Lv5	5100061	5	2	117
510006153	いっぱいくつろごー！（とちゅう） Lv5	5100061	5	3	104
510006154	いっぱいくつろごー！（とちゅう） Lv5	5100061	5	4	91
510006155	いっぱいくつろごー！（とちゅう） Lv5	5100061	5	5	78
510007111	まったりりょうりしよー！（はじめ） Lv1	5100071	1	1	50
510007112	まったりりょうりしよー！（はじめ） Lv1	5100071	1	2	45
510007113	まったりりょうりしよー！（はじめ） Lv1	5100071	1	3	40
510007114	まったりりょうりしよー！（はじめ） Lv1	5100071	1	4	35
510007115	まったりりょうりしよー！（はじめ） Lv1	5100071	1	5	30
510007121	まったりりょうりしよー！（はじめ） Lv2	5100071	2	1	70
510007122	まったりりょうりしよー！（はじめ） Lv2	5100071	2	2	63
510007123	まったりりょうりしよー！（はじめ） Lv2	5100071	2	3	56
510007124	まったりりょうりしよー！（はじめ） Lv2	5100071	2	4	49
510007125	まったりりょうりしよー！（はじめ） Lv2	5100071	2	5	42
510007131	まったりりょうりしよー！（はじめ） Lv3	5100071	3	1	90
510007132	まったりりょうりしよー！（はじめ） Lv3	5100071	3	2	81
510007133	まったりりょうりしよー！（はじめ） Lv3	5100071	3	3	72
510007134	まったりりょうりしよー！（はじめ） Lv3	5100071	3	4	63
510007135	まったりりょうりしよー！（はじめ） Lv3	5100071	3	5	54
510007141	まったりりょうりしよー！（はじめ） Lv4	5100071	4	1	110
510007142	まったりりょうりしよー！（はじめ） Lv4	5100071	4	2	99
510007143	まったりりょうりしよー！（はじめ） Lv4	5100071	4	3	88
510007144	まったりりょうりしよー！（はじめ） Lv4	5100071	4	4	77
510007145	まったりりょうりしよー！（はじめ） Lv4	5100071	4	5	66
510007151	まったりりょうりしよー！（はじめ） Lv5	5100071	5	1	130
510007152	まったりりょうりしよー！（はじめ） Lv5	5100071	5	2	117
510007153	まったりりょうりしよー！（はじめ） Lv5	5100071	5	3	104
510007154	まったりりょうりしよー！（はじめ） Lv5	5100071	5	4	91
510007155	まったりりょうりしよー！（はじめ） Lv5	5100071	5	5	78
510008111	ほっこりあそぼー！（おわり） Lv1	5100081	1	1	50
510008112	ほっこりあそぼー！（おわり） Lv1	5100081	1	2	45
510008113	ほっこりあそぼー！（おわり） Lv1	5100081	1	3	40
510008114	ほっこりあそぼー！（おわり） Lv1	5100081	1	4	35
510008115	ほっこりあそぼー！（おわり） Lv1	5100081	1	5	30
510008121	ほっこりあそぼー！（おわり） Lv2	5100081	2	1	70
510008122	ほっこりあそぼー！（おわり） Lv2	5100081	2	2	63
510008123	ほっこりあそぼー！（おわり） Lv2	5100081	2	3	56
510008124	ほっこりあそぼー！（おわり） Lv2	5100081	2	4	49
510008125	ほっこりあそぼー！（おわり） Lv2	5100081	2	5	42
510008131	ほっこりあそぼー！（おわり） Lv3	5100081	3	1	90
510008132	ほっこりあそぼー！（おわり） Lv3	5100081	3	2	81
510008133	ほっこりあそぼー！（おわり） Lv3	5100081	3	3	72
510008134	ほっこりあそぼー！（おわり） Lv3	5100081	3	4	63
510008135	ほっこりあそぼー！（おわり） Lv3	5100081	3	5	54
510008141	ほっこりあそぼー！（おわり） Lv4	5100081	4	1	110
510008142	ほっこりあそぼー！（おわり） Lv4	5100081	4	2	99
510008143	ほっこりあそぼー！（おわり） Lv4	5100081	4	3	88
510008144	ほっこりあそぼー！（おわり） Lv4	5100081	4	4	77
510008145	ほっこりあそぼー！（おわり） Lv4	5100081	4	5	66
510008151	ほっこりあそぼー！（おわり） Lv5	5100081	5	1	130
510008152	ほっこりあそぼー！（おわり） Lv5	5100081	5	2	117
510008153	ほっこりあそぼー！（おわり） Lv5	5100081	5	3	104
510008154	ほっこりあそぼー！（おわり） Lv5	5100081	5	4	91
510008155	ほっこりあそぼー！（おわり） Lv5	5100081	5	5	78
510009111	ゆるっとりょうりしよー！（はじめ） Lv1	5100091	1	1	50
510009112	ゆるっとりょうりしよー！（はじめ） Lv1	5100091	1	2	45
510009113	ゆるっとりょうりしよー！（はじめ） Lv1	5100091	1	3	40
510009114	ゆるっとりょうりしよー！（はじめ） Lv1	5100091	1	4	35
510009115	ゆるっとりょうりしよー！（はじめ） Lv1	5100091	1	5	30
510009121	ゆるっとりょうりしよー！（はじめ） Lv2	5100091	2	1	70
510009122	ゆるっとりょうりしよー！（はじめ） Lv2	5100091	2	2	63
510009123	ゆるっとりょうりしよー！（はじめ） Lv2	5100091	2	3	56
510009124	ゆるっとりょうりしよー！（はじめ） Lv2	5100091	2	4	49
510009125	ゆるっとりょうりしよー！（はじめ） Lv2	5100091	2	5	42
510009131	ゆるっとりょうりしよー！（はじめ） Lv3	5100091	3	1	90
510009132	ゆるっとりょうりしよー！（はじめ） Lv3	5100091	3	2	81
510009133	ゆるっとりょうりしよー！（はじめ） Lv3	5100091	3	3	72
510009134	ゆるっとりょうりしよー！（はじめ） Lv3	5100091	3	4	63
510009135	ゆるっとりょうりしよー！（はじめ） Lv3	5100091	3	5	54
510009141	ゆるっとりょうりしよー！（はじめ） Lv4	5100091	4	1	110
510009142	ゆるっとりょうりしよー！（はじめ） Lv4	5100091	4	2	99
510009143	ゆるっとりょうりしよー！（はじめ） Lv4	5100091	4	3	88
510009144	ゆるっとりょうりしよー！（はじめ） Lv4	5100091	4	4	77
510009145	ゆるっとりょうりしよー！（はじめ） Lv4	5100091	4	5	66
510009151	ゆるっとりょうりしよー！（はじめ） Lv5	5100091	5	1	130
510009152	ゆるっとりょうりしよー！（はじめ） Lv5	5100091	5	2	117
510009153	ゆるっとりょうりしよー！（はじめ） Lv5	5100091	5	3	104
510009154	ゆるっとりょうりしよー！（はじめ） Lv5	5100091	5	4	91
510009155	ゆるっとりょうりしよー！（はじめ） Lv5	5100091	5	5	78
510010111	いっしょにくつろごー！（おわり） Lv1	5100101	1	1	50
510010112	いっしょにくつろごー！（おわり） Lv1	5100101	1	2	45
510010113	いっしょにくつろごー！（おわり） Lv1	5100101	1	3	40
510010114	いっしょにくつろごー！（おわり） Lv1	5100101	1	4	35
510010115	いっしょにくつろごー！（おわり） Lv1	5100101	1	5	30
510010121	いっしょにくつろごー！（おわり） Lv2	5100101	2	1	70
510010122	いっしょにくつろごー！（おわり） Lv2	5100101	2	2	63
510010123	いっしょにくつろごー！（おわり） Lv2	5100101	2	3	56
510010124	いっしょにくつろごー！（おわり） Lv2	5100101	2	4	49
510010125	いっしょにくつろごー！（おわり） Lv2	5100101	2	5	42
510010131	いっしょにくつろごー！（おわり） Lv3	5100101	3	1	90
510010132	いっしょにくつろごー！（おわり） Lv3	5100101	3	2	81
510010133	いっしょにくつろごー！（おわり） Lv3	5100101	3	3	72
510010134	いっしょにくつろごー！（おわり） Lv3	5100101	3	4	63
510010135	いっしょにくつろごー！（おわり） Lv3	5100101	3	5	54
510010141	いっしょにくつろごー！（おわり） Lv4	5100101	4	1	110
510010142	いっしょにくつろごー！（おわり） Lv4	5100101	4	2	99
510010143	いっしょにくつろごー！（おわり） Lv4	5100101	4	3	88
510010144	いっしょにくつろごー！（おわり） Lv4	5100101	4	4	77
510010145	いっしょにくつろごー！（おわり） Lv4	5100101	4	5	66
510010151	いっしょにくつろごー！（おわり） Lv5	5100101	5	1	130
510010152	いっしょにくつろごー！（おわり） Lv5	5100101	5	2	117
510010153	いっしょにくつろごー！（おわり） Lv5	5100101	5	3	104
510010154	いっしょにくつろごー！（おわり） Lv5	5100101	5	4	91
510010155	いっしょにくつろごー！（おわり） Lv5	5100101	5	5	78
510011111	まったりりょうりしよー！（おわり） Lv1	5100111	1	1	70
510011112	まったりりょうりしよー！（おわり） Lv1	5100111	1	2	63
510011113	まったりりょうりしよー！（おわり） Lv1	5100111	1	3	56
510011114	まったりりょうりしよー！（おわり） Lv1	5100111	1	4	49
510011115	まったりりょうりしよー！（おわり） Lv1	5100111	1	5	42
510011121	まったりりょうりしよー！（おわり） Lv2	5100111	2	1	90
510011122	まったりりょうりしよー！（おわり） Lv2	5100111	2	2	81
510011123	まったりりょうりしよー！（おわり） Lv2	5100111	2	3	72
510011124	まったりりょうりしよー！（おわり） Lv2	5100111	2	4	63
510011125	まったりりょうりしよー！（おわり） Lv2	5100111	2	5	54
510011131	まったりりょうりしよー！（おわり） Lv3	5100111	3	1	110
510011132	まったりりょうりしよー！（おわり） Lv3	5100111	3	2	99
510011133	まったりりょうりしよー！（おわり） Lv3	5100111	3	3	88
510011134	まったりりょうりしよー！（おわり） Lv3	5100111	3	4	77
510011135	まったりりょうりしよー！（おわり） Lv3	5100111	3	5	66
510011141	まったりりょうりしよー！（おわり） Lv4	5100111	4	1	130
510011142	まったりりょうりしよー！（おわり） Lv4	5100111	4	2	117
510011143	まったりりょうりしよー！（おわり） Lv4	5100111	4	3	104
510011144	まったりりょうりしよー！（おわり） Lv4	5100111	4	4	91
510011145	まったりりょうりしよー！（おわり） Lv4	5100111	4	5	78
510011151	まったりりょうりしよー！（おわり） Lv5	5100111	5	1	150
510011152	まったりりょうりしよー！（おわり） Lv5	5100111	5	2	135
510011153	まったりりょうりしよー！（おわり） Lv5	5100111	5	3	120
510011154	まったりりょうりしよー！（おわり） Lv5	5100111	5	4	105
510011155	まったりりょうりしよー！（おわり） Lv5	5100111	5	5	90
510012111	ほっこりあそぼー！（おわり） Lv1	5100121	1	1	70
510012112	ほっこりあそぼー！（おわり） Lv1	5100121	1	2	63
510012113	ほっこりあそぼー！（おわり） Lv1	5100121	1	3	56
510012114	ほっこりあそぼー！（おわり） Lv1	5100121	1	4	49
510012115	ほっこりあそぼー！（おわり） Lv1	5100121	1	5	42
510012121	ほっこりあそぼー！（おわり） Lv2	5100121	2	1	90
510012122	ほっこりあそぼー！（おわり） Lv2	5100121	2	2	81
510012123	ほっこりあそぼー！（おわり） Lv2	5100121	2	3	72
510012124	ほっこりあそぼー！（おわり） Lv2	5100121	2	4	63
510012125	ほっこりあそぼー！（おわり） Lv2	5100121	2	5	54
510012131	ほっこりあそぼー！（おわり） Lv3	5100121	3	1	110
510012132	ほっこりあそぼー！（おわり） Lv3	5100121	3	2	99
510012133	ほっこりあそぼー！（おわり） Lv3	5100121	3	3	88
510012134	ほっこりあそぼー！（おわり） Lv3	5100121	3	4	77
510012135	ほっこりあそぼー！（おわり） Lv3	5100121	3	5	66
510012141	ほっこりあそぼー！（おわり） Lv4	5100121	4	1	130
510012142	ほっこりあそぼー！（おわり） Lv4	5100121	4	2	117
510012143	ほっこりあそぼー！（おわり） Lv4	5100121	4	3	104
510012144	ほっこりあそぼー！（おわり） Lv4	5100121	4	4	91
510012145	ほっこりあそぼー！（おわり） Lv4	5100121	4	5	78
510012151	ほっこりあそぼー！（おわり） Lv5	5100121	5	1	150
510012152	ほっこりあそぼー！（おわり） Lv5	5100121	5	2	135
510012153	ほっこりあそぼー！（おわり） Lv5	5100121	5	3	120
510012154	ほっこりあそぼー！（おわり） Lv5	5100121	5	4	105
510012155	ほっこりあそぼー！（おわり） Lv5	5100121	5	5	90
510013111	ゆるっとりょうりしよー！（とちゅう） Lv1	5100131	1	1	70
510013112	ゆるっとりょうりしよー！（とちゅう） Lv1	5100131	1	2	63
510013113	ゆるっとりょうりしよー！（とちゅう） Lv1	5100131	1	3	56
510013114	ゆるっとりょうりしよー！（とちゅう） Lv1	5100131	1	4	49
510013115	ゆるっとりょうりしよー！（とちゅう） Lv1	5100131	1	5	42
510013121	ゆるっとりょうりしよー！（とちゅう） Lv2	5100131	2	1	90
510013122	ゆるっとりょうりしよー！（とちゅう） Lv2	5100131	2	2	81
510013123	ゆるっとりょうりしよー！（とちゅう） Lv2	5100131	2	3	72
510013124	ゆるっとりょうりしよー！（とちゅう） Lv2	5100131	2	4	63
510013125	ゆるっとりょうりしよー！（とちゅう） Lv2	5100131	2	5	54
510013131	ゆるっとりょうりしよー！（とちゅう） Lv3	5100131	3	1	110
510013132	ゆるっとりょうりしよー！（とちゅう） Lv3	5100131	3	2	99
510013133	ゆるっとりょうりしよー！（とちゅう） Lv3	5100131	3	3	88
510013134	ゆるっとりょうりしよー！（とちゅう） Lv3	5100131	3	4	77
510013135	ゆるっとりょうりしよー！（とちゅう） Lv3	5100131	3	5	66
510013141	ゆるっとりょうりしよー！（とちゅう） Lv4	5100131	4	1	130
510013142	ゆるっとりょうりしよー！（とちゅう） Lv4	5100131	4	2	117
510013143	ゆるっとりょうりしよー！（とちゅう） Lv4	5100131	4	3	104
510013144	ゆるっとりょうりしよー！（とちゅう） Lv4	5100131	4	4	91
510013145	ゆるっとりょうりしよー！（とちゅう） Lv4	5100131	4	5	78
510013151	ゆるっとりょうりしよー！（とちゅう） Lv5	5100131	5	1	150
510013152	ゆるっとりょうりしよー！（とちゅう） Lv5	5100131	5	2	135
510013153	ゆるっとりょうりしよー！（とちゅう） Lv5	5100131	5	3	120
510013154	ゆるっとりょうりしよー！（とちゅう） Lv5	5100131	5	4	105
510013155	ゆるっとりょうりしよー！（とちゅう） Lv5	5100131	5	5	90
510014111	いっしょにくつろごー！（とちゅう） Lv1	5100141	1	1	70
510014112	いっしょにくつろごー！（とちゅう） Lv1	5100141	1	2	63
510014113	いっしょにくつろごー！（とちゅう） Lv1	5100141	1	3	56
510014114	いっしょにくつろごー！（とちゅう） Lv1	5100141	1	4	49
510014115	いっしょにくつろごー！（とちゅう） Lv1	5100141	1	5	42
510014121	いっしょにくつろごー！（とちゅう） Lv2	5100141	2	1	90
510014122	いっしょにくつろごー！（とちゅう） Lv2	5100141	2	2	81
510014123	いっしょにくつろごー！（とちゅう） Lv2	5100141	2	3	72
510014124	いっしょにくつろごー！（とちゅう） Lv2	5100141	2	4	63
510014125	いっしょにくつろごー！（とちゅう） Lv2	5100141	2	5	54
510014131	いっしょにくつろごー！（とちゅう） Lv3	5100141	3	1	110
510014132	いっしょにくつろごー！（とちゅう） Lv3	5100141	3	2	99
510014133	いっしょにくつろごー！（とちゅう） Lv3	5100141	3	3	88
510014134	いっしょにくつろごー！（とちゅう） Lv3	5100141	3	4	77
510014135	いっしょにくつろごー！（とちゅう） Lv3	5100141	3	5	66
510014141	いっしょにくつろごー！（とちゅう） Lv4	5100141	4	1	130
510014142	いっしょにくつろごー！（とちゅう） Lv4	5100141	4	2	117
510014143	いっしょにくつろごー！（とちゅう） Lv4	5100141	4	3	104
510014144	いっしょにくつろごー！（とちゅう） Lv4	5100141	4	4	91
510014145	いっしょにくつろごー！（とちゅう） Lv4	5100141	4	5	78
510014151	いっしょにくつろごー！（とちゅう） Lv5	5100141	5	1	150
510014152	いっしょにくつろごー！（とちゅう） Lv5	5100141	5	2	135
510014153	いっしょにくつろごー！（とちゅう） Lv5	5100141	5	3	120
510014154	いっしょにくつろごー！（とちゅう） Lv5	5100141	5	4	105
510014155	いっしょにくつろごー！（とちゅう） Lv5	5100141	5	5	90
510015111	いっぱいあそぼー！（はじめ） Lv1	5100151	1	1	70
510015112	いっぱいあそぼー！（はじめ） Lv1	5100151	1	2	63
510015113	いっぱいあそぼー！（はじめ） Lv1	5100151	1	3	56
510015114	いっぱいあそぼー！（はじめ） Lv1	5100151	1	4	49
510015115	いっぱいあそぼー！（はじめ） Lv1	5100151	1	5	42
510015121	いっぱいあそぼー！（はじめ） Lv2	5100151	2	1	90
510015122	いっぱいあそぼー！（はじめ） Lv2	5100151	2	2	81
510015123	いっぱいあそぼー！（はじめ） Lv2	5100151	2	3	72
510015124	いっぱいあそぼー！（はじめ） Lv2	5100151	2	4	63
510015125	いっぱいあそぼー！（はじめ） Lv2	5100151	2	5	54
510015131	いっぱいあそぼー！（はじめ） Lv3	5100151	3	1	110
510015132	いっぱいあそぼー！（はじめ） Lv3	5100151	3	2	99
510015133	いっぱいあそぼー！（はじめ） Lv3	5100151	3	3	88
510015134	いっぱいあそぼー！（はじめ） Lv3	5100151	3	4	77
510015135	いっぱいあそぼー！（はじめ） Lv3	5100151	3	5	66
510015141	いっぱいあそぼー！（はじめ） Lv4	5100151	4	1	130
