id	level	name_text_id	description_text_id	exp	category	invoke_type	invoke_count	area_type	area_param1	area_param2	area_param3	erase_score	skill_type	skill_param1	skill_param2	skill_param3	limit_count
39	4	21	128	5000	1		14	12					5	4	8	8	
39	5	21	128		1		13	12					5	4	8	9	
40	1	21	129	200	1		17	12					5	16	8	7	
40	2	21	129	1000	1		16	12					5	16	8	7	
40	3	21	129	2500	1		15	12					5	16	8	8	
40	4	21	129	5000	1		14	12					5	16	8	8	
40	5	21	129		1		13	12					5	16	8	9	
41	1	22	130	200	1		17	12					5	1	16	7	
41	2	22	130	1000	1		16	12					5	1	16	7	
41	3	22	130	2500	1		15	12					5	1	16	8	
41	4	22	130	5000	1		14	12					5	1	16	8	
41	5	22	130		1		13	12					5	1	16	9	
42	1	22	131	200	1		17	12					5	2	16	7	
42	2	22	131	1000	1		16	12					5	2	16	7	
42	3	22	131	2500	1		15	12					5	2	16	8	
42	4	22	131	5000	1		14	12					5	2	16	8	
42	5	22	131		1		13	12					5	2	16	9	
43	1	22	132	200	1		17	12					5	4	16	7	
43	2	22	132	1000	1		16	12					5	4	16	7	
43	3	22	132	2500	1		15	12					5	4	16	8	
43	4	22	132	5000	1		14	12					5	4	16	8	
43	5	22	132		1		13	12					5	4	16	9	
44	1	22	133	200	1		17	12					5	8	16	7	
44	2	22	133	1000	1		16	12					5	8	16	7	
44	3	22	133	2500	1		15	12					5	8	16	8	
44	4	22	133	5000	1		14	12					5	8	16	8	
44	5	22	133		1		13	12					5	8	16	9	
45	1	19	134	200	1		18	12					5	6	1	7	
45	2	19	134	1000	1		17	12					5	6	1	7	
45	3	19	134	2500	1		16	12					5	6	1	8	
45	4	19	134	5000	1		15	12					5	6	1	8	
45	5	19	134		1		14	12					5	6	1	9	
46	1	20	135	200	1		18	12					5	12	2	7	
46	2	20	135	1000	1		17	12					5	12	2	7	
46	3	20	135	2500	1		16	12					5	12	2	8	
46	4	20	135	5000	1		15	12					5	12	2	8	
46	5	20	135		1		14	12					5	12	2	9	
47	1	3	136	200	1		18	12					5	24	4	7	
47	2	3	136	1000	1		17	12					5	24	4	7	
47	3	3	136	2500	1		16	12					5	24	4	8	
47	4	3	136	5000	1		15	12					5	24	4	8	
47	5	3	136		1		14	12					5	24	4	9	
48	1	21	137	200	1		18	12					5	17	8	7	
48	2	21	137	1000	1		17	12					5	17	8	7	
48	3	21	137	2500	1		16	12					5	17	8	8	
48	4	21	137	5000	1		15	12					5	17	8	8	
48	5	21	137		1		14	12					5	17	8	9	
49	1	22	138	200	1		18	12					5	3	16	7	
49	2	22	138	1000	1		17	12					5	3	16	7	
49	3	22	138	2500	1		16	12					5	3	16	8	
49	4	22	138	5000	1		15	12					5	3	16	8	
49	5	22	138		1		14	12					5	3	16	9	
50	1	23	139	200	1		16	12					6	1	6	1	
50	2	23	139	1000	1		15	12					6	1	6	1	
50	3	23	139	2500	1		14	12					6	1	7	1	
50	4	23	139	5000	1		13	12					6	1	7	1	
50	5	23	139		1		12	12					6	1	8	1	
51	1	24	140	200	1		16	12					6	1	6	2	
51	2	24	140	1000	1		15	12					6	1	6	2	
51	3	24	140	2500	1		14	12					6	1	7	2	
51	4	24	140	5000	1		13	12					6	1	7	2	
51	5	24	140		1		12	12					6	1	8	2	
52	1	25	141	200	1		16	12					6	1	6	4	
52	2	25	141	1000	1		15	12					6	1	6	4	
52	3	25	141	2500	1		14	12					6	1	7	4	
52	4	25	141	5000	1		13	12					6	1	7	4	
52	5	25	141		1		12	12					6	1	8	4	
53	1	4	96	200	1		16	12					6	1	6	8	
53	2	4	96	1000	1		15	12					6	1	6	8	
53	3	4	96	2500	1		14	12					6	1	7	8	
53	4	4	96	5000	1		13	12					6	1	7	8	
53	5	4	96		1		12	12					6	1	8	8	
54	1	26	142	200	1		16	12					6	1	6	16	
54	2	26	142	1000	1		15	12					6	1	6	16	
54	3	26	142	2500	1		14	12					6	1	7	16	
54	4	26	142	5000	1		13	12					6	1	7	16	
54	5	26	142		1		12	12					6	1	8	16	
55	1	27	143	200	1		16	12					7				
55	2	27	143	1000	1		15	12					7				
55	3	27	143	2500	1		14	12					7				
55	4	27	143	5000	1		13	12					7				
55	5	27	143		1		12	12					7				
56	1	28	144	200	1		14	12					8	1	8		
56	2	28	144	1000	1		13	12					8	1	8		
56	3	28	144	2500	1		12	12					8	1	9		
56	4	28	144	5000	1		11	12					8	1	9		
56	5	28	144		1		10	12					8	1	10		
57	1	29	145	200	1		14	12					9	1	6		
57	2	29	145	1000	1		13	12					9	1	6		
57	3	29	145	2500	1		12	12					9	1	7		
57	4	29	145	5000	1		11	12					9	1	7		
57	5	29	145		1		10	12					9	1	8		
58	1	30	146	200	1		15	12					10	3			
58	2	30	146	1000	1		14	12					10	3			
58	3	30	146	2500	1		13	12					10	4			
58	4	30	146	5000	1		12	12					10	4			
58	5	30	146		1		11	12					10	5			
59	1	31	147	200	1		14	12					12	1	6		
59	2	31	147	1000	1		13	12					12	1	6		
59	3	31	147	2500	1		12	12					12	1	7		
59	4	31	147	5000	1		11	12					12	1	7		
59	5	31	147		1		10	12					12	1	8		
60	1	32	148	200	1		17	12					14	6			
60	2	32	148	1000	1		16	12					14	6			
60	3	32	148	2500	1		15	12					14	7			
60	4	32	148	5000	1		14	12					14	7			
60	5	32	148		1		13	12					14	8			
61	1	33	149	200	1		18	12					15	1	10	1	
61	2	33	149	1000	1		17	12					15	1	10	1	
61	3	33	149	2500	1		16	12					15	2	15	1	
61	4	33	149	5000	1		15	12					15	2	15	1	
61	5	33	149		1		14	12					15	3	20	1	
62	1	34	150	200	1		24	12					17	1			1
62	2	34	150	1000	1		23	12					17	1			1
62	3	34	150	2500	1		22	12					17	1			1
62	4	34	150	5000	1		21	12					17	1			1
62	5	34	150		1		20	12					17	1			1
63	1	35	151	200	1		18	12					16	1	10	1	
63	2	35	151	1000	1		17	12					16	1	10	1	
63	3	35	151	2500	1		16	12					16	1	10	1	
63	4	35	151	5000	1		15	12					16	1	10	1	
63	5	35	151		1		14	12					16	2	15	1	
64	1	36	152	200	1		17	12					26	1	3		
64	2	36	152	1000	1		16	12					26	1	3		
64	3	36	152	2500	1		15	12					26	1	4		
64	4	36	152	5000	1		14	12					26	1	4		
64	5	36	152		1		13	12					26	1	5		
65	1	37	153	200	1		20	12					28	5	1		
65	2	37	153	1000	1		19	12					28	5	1		
65	3	37	153	2500	1		18	12					28	6	1		
65	4	37	153	5000	1		17	12					28	6	1		
65	5	37	153		1		16	12					28	7	1		
66	1	38	154	200	1		20	12					23	100	75	50	
66	2	38	154	1000	1		19	12					23	100	75	50	
66	3	38	154	2500	1		18	12					23	100	75	50	
66	4	38	154	5000	1		17	12					23	100	75	50	
66	5	38	154		1		16	12					23	100	75	50	
67	1	39	155	200	1		26	12					22	995	3	10	1
67	2	39	155	1000	1		25	12					22	995	3	10	1
67	3	39	155	2500	1		24	12					22	995	4	15	1
67	4	39	155	5000	1		23	12					22	995	4	15	1
67	5	39	155		1		22	12					22	995	5	20	1
68	1	39	156	200	1		26	12					22	996	3	10	1
68	2	39	156	1000	1		25	12					22	996	3	10	1
68	3	39	156	2500	1		24	12					22	996	4	15	1
68	4	39	156	5000	1		23	12					22	996	4	15	1
68	5	39	156		1		22	12					22	996	5	20	1
69	1	39	157	200	1		26	12					22	997	3	10	1
69	2	39	157	1000	1		25	12					22	997	3	10	1
69	3	39	157	2500	1		24	12					22	997	4	15	1
69	4	39	157	5000	1		23	12					22	997	4	15	1
69	5	39	157		1		22	12					22	997	5	20	1
70	1	39	158	200	1		26	12					22	998	3	10	1
70	2	39	158	1000	1		25	12					22	998	3	10	1
70	3	39	158	2500	1		24	12					22	998	4	15	1
70	4	39	158	5000	1		23	12					22	998	4	15	1
70	5	39	158		1		22	12					22	998	5	20	1
71	1	39	159	200	1		26	12					22	999	3	10	1
71	2	39	159	1000	1		25	12					22	999	3	10	1
71	3	39	159	2500	1		24	12					22	999	4	15	1
71	4	39	159	5000	1		23	12					22	999	4	15	1
71	5	39	159		1		22	12					22	999	5	20	1
72	1	40	160	200	1		18	4	1				24	1			
72	2	40	160	1000	1		17	4	1				24	1			
72	3	40	160	2500	1		16	4	1				24	1			
72	4	40	160	5000	1		15	4	1				24	1			
72	5	40	160		1		14	4	2				24	1			
73	1	41	161	200	1		20	12					31	1	3		
73	2	41	161	1000	1		19	12					31	1	3		
73	3	41	161	2500	1		18	12					31	1	4		
73	4	41	161	5000	1		17	12					31	1	4		
73	5	41	161		1		16	12					31	1	5		
74	1	42	162	200	1		19	12					25	3	1	1	
74	2	42	162	1000	1		18	12					25	3	1	1	
74	3	42	162	2500	1		17	12					25	4	1	1	
74	4	42	162	5000	1		16	12					25	4	1	1	
74	5	42	162		1		15	12					25	5	1	1	
75	1	43	163	200	1		19	12					25	3	1	2	
75	2	43	163	1000	1		18	12					25	3	1	2	
75	3	43	163	2500	1		17	12					25	4	1	2	
75	4	43	163	5000	1		16	12					25	4	1	2	
75	5	43	163		1		15	12					25	5	1	2	
76	1	44	164	200	1		19	12					25	3	1	4	
76	2	44	164	1000	1		18	12					25	3	1	4	
76	3	44	164	2500	1		17	12					25	4	1	4	
76	4	44	164	5000	1		16	12					25	4	1	4	
76	5	44	164		1		15	12					25	5	1	4	
77	1	45	165	200	1		19	12					25	3	1	8	
77	2	45	165	1000	1		18	12					25	3	1	8	
77	3	45	165	2500	1		17	12					25	4	1	8	
77	4	45	165	5000	1		16	12					25	4	1	8	
77	5	45	165		1		15	12					25	5	1	8	
78	1	46	166	200	1		19	12					25	3	1	16	
78	2	46	166	1000	1		18	12					25	3	1	16	
78	3	46	166	2500	1		17	12					25	4	1	16	
78	4	46	166	5000	1		16	12					25	4	1	16	
78	5	46	166		1		15	12					25	5	1	16	
79	1	47	167	200	1		19	12					30	3	1	1	
79	2	47	167	1000	1		18	12					30	3	1	1	
79	3	47	167	2500	1		17	12					30	4	1	1	
79	4	47	167	5000	1		16	12					30	4	1	1	
79	5	47	167		1		15	12					30	5	1	1	
80	1	48	168	200	1		19	12					30	3	1	2	
80	2	48	168	1000	1		18	12					30	3	1	2	
80	3	48	168	2500	1		17	12					30	4	1	2	
80	4	48	168	5000	1		16	12					30	4	1	2	
80	5	48	168		1		15	12					30	5	1	2	
81	1	49	169	200	1		19	12					30	3	1	4	
81	2	49	169	1000	1		18	12					30	3	1	4	
81	3	49	169	2500	1		17	12					30	4	1	4	
81	4	49	169	5000	1		16	12					30	4	1	4	
81	5	49	169		1		15	12					30	5	1	4	
82	1	50	170	200	1		19	12					30	3	1	8	
82	2	50	170	1000	1		18	12					30	3	1	8	
82	3	50	170	2500	1		17	12					30	4	1	8	
82	4	50	170	5000	1		16	12					30	4	1	8	
82	5	50	170		1		15	12					30	5	1	8	
83	1	51	171	200	1		19	12					30	3	1	16	
83	2	51	171	1000	1		18	12					30	3	1	16	
83	3	51	171	2500	1		17	12					30	4	1	16	
83	4	51	171	5000	1		16	12					30	4	1	16	
83	5	51	171		1		15	12					30	5	1	16	
84	1	52	172	200	1		19	12					29	3	1	1	
84	2	52	172	1000	1		18	12					29	3	1	1	
84	3	52	172	2500	1		17	12					29	4	1	1	
84	4	52	172	5000	1		16	12					29	4	1	1	
84	5	52	172		1		15	12					29	5	1	1	
85	1	53	173	200	1		19	12					29	3	1	2	
85	2	53	173	1000	1		18	12					29	3	1	2	
85	3	53	173	2500	1		17	12					29	4	1	2	
85	4	53	173	5000	1		16	12					29	4	1	2	
85	5	53	173		1		15	12					29	5	1	2	
86	1	54	174	200	1		19	12					29	3	1	4	
86	2	54	174	1000	1		18	12					29	3	1	4	
86	3	54	174	2500	1		17	12					29	4	1	4	
86	4	54	174	5000	1		16	12					29	4	1	4	
86	5	54	174		1		15	12					29	5	1	4	
87	1	55	175	200	1		19	12					29	3	1	8	
87	2	55	175	1000	1		18	12					29	3	1	8	
87	3	55	175	2500	1		17	12					29	4	1	8	
87	4	55	175	5000	1		16	12					29	4	1	8	
87	5	55	175		1		15	12					29	5	1	8	
88	1	56	176	200	1		19	12					29	3	1	16	
88	2	56	176	1000	1		18	12					29	3	1	16	
88	3	56	176	2500	1		17	12					29	4	1	16	
88	4	56	176	5000	1		16	12					29	4	1	16	
88	5	56	176		1		15	12					29	5	1	16	
89	1	57	177	200	1		22	12					32	3	1	1	
89	2	57	177	1000	1		21	12					32	3	1	1	
89	3	57	177	2500	1		20	12					32	4	1	1	
89	4	57	177	5000	1		19	12					32	4	1	1	
89	5	57	177		1		18	12					32	5	1	1	
90	1	57	178	200	1		22	12					32	3	1	2	
90	2	57	178	1000	1		21	12					32	3	1	2	
90	3	57	178	2500	1		20	12					32	4	1	2	
90	4	57	178	5000	1		19	12					32	4	1	2	
90	5	57	178		1		18	12					32	5	1	2	
91	1	57	179	200	1		22	12					32	3	1	4	
91	2	57	179	1000	1		21	12					32	3	1	4	
91	3	57	179	2500	1		20	12					32	4	1	4	
91	4	57	179	5000	1		19	12					32	4	1	4	
91	5	57	179		1		18	12					32	5	1	4	
92	1	57	180	200	1		22	12					32	3	1	8	
92	2	57	180	1000	1		21	12					32	3	1	8	
92	3	57	180	2500	1		20	12					32	4	1	8	
92	4	57	180	5000	1		19	12					32	4	1	8	
92	5	57	180		1		18	12					32	5	1	8	
93	1	57	181	200	1		22	12					32	3	1	16	
93	2	57	181	1000	1		21	12					32	3	1	16	
93	3	57	181	2500	1		20	12					32	4	1	16	
93	4	57	181	5000	1		19	12					32	4	1	16	
93	5	57	181		1		18	12					32	5	1	16	
94	1	58	182	200	1		16	12					33	10	1		
94	2	58	182	1000	1		15	12					33	12	1		
94	3	58	182	2500	1		14	12					33	14	1		
94	4	58	182	5000	1		13	12					33	16	1		
94	5	58	182		1		12	12					33	20	1		
95	1	59	183	200	1		16	12					33	10	2		
95	2	59	183	1000	1		15	12					33	12	2		
95	3	59	183	2500	1		14	12					33	14	2		
95	4	59	183	5000	1		13	12					33	16	2		
95	5	59	183		1		12	12					33	20	2		
96	1	60	184	200	1		16	12					33	10	4		
96	2	60	184	1000	1		15	12					33	12	4		
96	3	60	184	2500	1		14	12					33	14	4		
96	4	60	184	5000	1		13	12					33	16	4		
96	5	60	184		1		12	12					33	20	4		
97	1	61	185	200	1		16	12					33	10	8		
97	2	61	185	1000	1		15	12					33	12	8		
97	3	61	185	2500	1		14	12					33	14	8		
97	4	61	185	5000	1		13	12					33	16	8		
97	5	61	185		1		12	12					33	20	8		
98	1	62	186	200	1		16	12					33	10	16		
98	2	62	186	1000	1		15	12					33	12	16		
98	3	62	186	2500	1		14	12					33	14	16		
98	4	62	186	5000	1		13	12					33	16	16		
98	5	62	186		1		12	12					33	20	16		
99	1	63	187	200	1		16	12					34	10	1		
99	2	63	187	1000	1		15	12					34	12	1		
99	3	63	187	2500	1		14	12					34	15	1		
99	4	63	187	5000	1		13	12					34	17	1		
99	5	63	187		1		12	12					34	20	1		
100	1	64	188	200	1		16	12					34	10	2		
100	2	64	188	1000	1		15	12					34	12	2		
100	3	64	188	2500	1		14	12					34	15	2		
100	4	64	188	5000	1		13	12					34	17	2		
100	5	64	188		1		12	12					34	20	2		
101	1	65	189	200	1		16	12					34	10	4		
101	2	65	189	1000	1		15	12					34	12	4		
101	3	65	189	2500	1		14	12					34	15	4		
101	4	65	189	5000	1		13	12					34	17	4		
101	5	65	189		1		12	12					34	20	4		
102	1	66	190	200	1		16	12					34	10	8		
102	2	66	190	1000	1		15	12					34	12	8		
102	3	66	190	2500	1		14	12					34	15	8		
102	4	66	190	5000	1		13	12					34	17	8		
102	5	66	190		1		12	12					34	20	8		
103	1	67	191	200	1		16	12					34	10	16		
103	2	67	191	1000	1		15	12					34	12	16		
103	3	67	191	2500	1		14	12					34	15	16		
103	4	67	191	5000	1		13	12					34	17	16		
103	5	67	191		1		12	12					34	20	16		
104	1	68	192	200	1		16	12					21		3		
104	2	68	192	1000	1		15	12					21		3		
104	3	68	192	2500	1		14	12					21		4		
104	4	68	192	5000	1		13	12					21		4		
104	5	68	192		1		12	12					21		5		
105	1	69	193	200	1		16	12					27	1	7		
105	2	69	193	1000	1		15	12					27	1	7		
105	3	69	193	2500	1		14	12					27	1	8		
105	4	69	193	5000	1		13	12					27	1	8		
105	5	69	193		1		12	12					27	1	9		
106	1	70	194	200	1		16	12					27	2	7		
106	2	70	194	1000	1		15	12					27	2	7		
106	3	70	194	2500	1		14	12					27	2	8		
106	4	70	194	5000	1		13	12					27	2	8		
106	5	70	194		1		12	12					27	2	9		
107	1	71	195	200	1		16	12					27	4	7		
107	2	71	195	1000	1		15	12					27	4	7		
107	3	71	195	2500	1		14	12					27	4	8		
107	4	71	195	5000	1		13	12					27	4	8		
107	5	71	195		1		12	12					27	4	9		
108	1	72	196	200	1		16	12					27	8	7		
108	2	72	196	1000	1		15	12					27	8	7		
108	3	72	196	2500	1		14	12					27	8	8		
108	4	72	196	5000	1		13	12					27	8	8		
108	5	72	196		1		12	12					27	8	9		
109	1	73	197	200	1		16	12					27	16	7		
109	2	73	197	1000	1		15	12					27	16	7		
109	3	73	197	2500	1		14	12					27	16	8		
109	4	73	197	5000	1		13	12					27	16	8		
109	5	73	197		1		12	12					27	16	9		
110	1	74	198	200	1		15	12					48	3	10		
110	2	74	198	1000	1		14	12					48	3	10		
110	3	74	198	2500	1		13	12					48	4	15		
110	4	74	198	5000	1		12	12					48	4	15		
110	5	74	198		1		11	12					48	5	20		
111	1	75	199	200	1		16	12					49		3		
111	2	75	199	1000	1		15	12					49		3		
111	3	75	199	2500	1		14	12					49		4		
111	4	75	199	5000	1		13	12					49		4		
111	5	75	199		1		12	12					49		5		
112	1	76	200	200	1		30	12					35	3	10		
112	2	76	200	1000	1		29	12					35	3	10		
112	3	76	200	2500	1		28	12					35	4	15		
112	4	76	200	5000	1		27	12					35	4	15		
112	5	76	200		1		26	12					35	5	20		
113	1	77	201	200	2	1	18					1000	36				
113	2	77	201	1000	2	1	17					2000	36				
113	3	77	201	2500	2	1	16					3000	36				
113	4	77	201	5000	2	1	15					4000	36				
113	5	77	201		2	1	14					5000	36				
114	1	17	202	200	2	1	22						37	3			
114	2	17	202	1000	2	1	21						37	3			
114	3	17	202	2500	2	1	20						37	4			
114	4	17	202	5000	2	1	19						37	4			
114	5	17	202		2	1	18						37	5			
115	1	78	203	200	2	1	22	4	1			1000	38	9			
115	2	78	203	1000	2	1	21	4	1			2000	38	9			
115	3	78	203	2500	2	1	20	4	1			3000	38	9			
115	4	78	203	5000	2	1	19	4	1			4000	38	9			
