season_id	type	step	bonds_score	standard_reward_id	premium_reward_id	ep_bonus_rate	normal_ep_bonus_rate
3	2	14	46325	70000234	71000234		
3	2	15	47688	70000235	71000235		
3	2	16	49050	70000236	71000236		
3	2	17	50413	70000237	71000237		
3	2	18	51775	70000238	71000238		
3	2	19	53138	70000239	71000239		
3	2	20	54500	70000240	71000240		
4	1	1	1363	70000201	71000201		
4	1	2	2725	70000202	71000202		
4	1	3	4088	70000203	71000203		
4	1	4	5450	70000204	71000204		
4	1	5	6813	70000205	71000205		
4	1	6	8175	70000206	71000206		
4	1	7	9538	70000207	71000207		
4	1	8	10900	70000208	71000208		
4	1	9	12263	70000209	71000209		
4	1	10	13625	70000210	71000210		
4	1	11	14988	70000211	71000211		
4	1	12	16350	70000212	71000212		
4	1	13	17713	70000213	71000213		
4	1	14	19075	70000214	71000214		
4	1	15	20438	70000215	71000215		
4	1	16	21800	70000216	71000216		
4	1	17	23163	70000217	71000217		
4	1	18	24525	70000218	71000218		
4	1	19	25888	70000219	71000219		
4	1	20	27250	70000220	71000220		
4	2	1	28613	70000221	71000221		
4	2	2	29975	70000222	71000222		
4	2	3	31338	70000223	71000223		
4	2	4	32700	70000224	71000224		
4	2	5	34063	70000225	71000225		
4	2	6	35425	70000226	71000226		
4	2	7	36788	70000227	71000227		
4	2	8	38150	70000228	71000228		
4	2	9	39513	70000229	71000229		
4	2	10	40875	70000230	71000230		
4	2	11	42238	70000231	71000231		
4	2	12	43600	70000232	71000232		
4	2	13	44963	70000233	71000233		
4	2	14	46325	70000234	71000234		
4	2	15	47688	70000235	71000235		
4	2	16	49050	70000236	71000236		
4	2	17	50413	70000237	71000237		
4	2	18	51775	70000238	71000238		
4	2	19	53138	70000239	71000239		
4	2	20	54500	70000240	71000240		
5	1	1	1363	70000201	71000201		
5	1	2	2725	70000202	71000202		
5	1	3	4088	70000203	71000203		
5	1	4	5450	70000204	71000204		
5	1	5	6813	70000205	71000205		
5	1	6	8175	70000206	71000206		
5	1	7	9538	70000207	71000207		
5	1	8	10900	70000208	71000208		
5	1	9	12263	70000209	71000209		
5	1	10	13625	70000210	71000210		
5	1	11	14988	70000211	71000211		
5	1	12	16350	70000212	71000212		
5	1	13	17713	70000213	71000213		
5	1	14	19075	70000214	71000214		
5	1	15	20438	70000215	71000215		
5	1	16	21800	70000216	71000216		
5	1	17	23163	70000217	71000217		
5	1	18	24525	70000218	71000218		
5	1	19	25888	70000219	71000219		
5	1	20	27250	70000220	71000220		
5	2	1	28613	70000221	71000221		
5	2	2	29975	70000222	71000222		
5	2	3	31338	70000223	71000223		
5	2	4	32700	70000224	71000224		
5	2	5	34063	70000225	71000225		
5	2	6	35425	70000226	71000226		
5	2	7	36788	70000227	71000227		
5	2	8	38150	70000228	71000228		
5	2	9	39513	70000229	71000229		
5	2	10	40875	70000230	71000230		
5	2	11	42238	70000231	71000231		
5	2	12	43600	70000232	71000232		
5	2	13	44963	70000233	71000233		
5	2	14	46325	70000234	71000234		
5	2	15	47688	70000235	71000235		
5	2	16	49050	70000236	71000236		
5	2	17	50413	70000237	71000237		
5	2	18	51775	70000238	71000238		
5	2	19	53138	70000239	71000239		
5	2	20	54500	70000240	71000240		
6	1	1	1363	70000201	71000201		
6	1	2	2725	70000202	71000202		
6	1	3	4088	70000203	71000203		
6	1	4	5450	70000204	71000204		
6	1	5	6813	70000205	71000205		
6	1	6	8175	70000206	71000206		
6	1	7	9538	70000207	71000207		
6	1	8	10900	70000208	71000208		
6	1	9	12263	70000209	71000209		
6	1	10	13625	70000210	71000210		
6	1	11	14988	70000211	71000211		
6	1	12	16350	70000212	71000212		
6	1	13	17713	70000213	71000213		
6	1	14	19075	70000214	71000214		
6	1	15	20438	70000215	71000215		
6	1	16	21800	70000216	71000216		
6	1	17	23163	70000217	71000217		
6	1	18	24525	70000218	71000218		
6	1	19	25888	70000219	71000219		
6	1	20	27250	70000220	71000220		
6	2	1	28613	70000221	71000221		
6	2	2	29975	70000222	71000222		
6	2	3	31338	70000223	71000223		
6	2	4	32700	70000224	71000224		
6	2	5	34063	70000225	71000225		
6	2	6	35425	70000226	71000226		
6	2	7	36788	70000227	71000227		
6	2	8	38150	70000228	71000228		
6	2	9	39513	70000229	71000229		
6	2	10	40875	70000230	71000230		
6	2	11	42238	70000231	71000231		
6	2	12	43600	70000232	71000232		
6	2	13	44963	70000233	71000233		
6	2	14	46325	70000234	71000234		
6	2	15	47688	70000235	71000235		
6	2	16	49050	70000236	71000236		
6	2	17	50413	70000237	71000237		
6	2	18	51775	70000238	71000238		
6	2	19	53138	70000239	71000239		
6	2	20	54500	70000240	71000240		
7	1	1	1363	70000201	71000201		
7	1	2	2725	70000202	71000202		
7	1	3	4088	70000203	71000203		
7	1	4	5450	70000204	71000204		
7	1	5	6813	70000205	71000205		
7	1	6	8175	70000206	71000206		
7	1	7	9538	70000207	71000207		
7	1	8	10900	70000208	71000208		
7	1	9	12263	70000209	71000209		
7	1	10	13625	70000210	71000210		
7	1	11	14988	70000211	71000211		
7	1	12	16350	70000212	71000212		
7	1	13	17713	70000213	71000213		
7	1	14	19075	70000214	71000214		
7	1	15	20438	70000215	71000215		
7	1	16	21800	70000216	71000216		
7	1	17	23163	70000217	71000217		
7	1	18	24525	70000218	71000218		
7	1	19	25888	70000219	71000219		
7	1	20	27250	70000220	71000220		
7	2	1	28613	70000221	71000221		
7	2	2	29975	70000222	71000222		
7	2	3	31338	70000223	71000223		
7	2	4	32700	70000224	71000224		
7	2	5	34063	70000225	71000225		
7	2	6	35425	70000226	71000226		
7	2	7	36788	70000227	71000227		
7	2	8	38150	70000228	71000228		
7	2	9	39513	70000229	71000229		
7	2	10	40875	70000230	71000230		
7	2	11	42238	70000231	71000231		
7	2	12	43600	70000232	71000232		
7	2	13	44963	70000233	71000233		
7	2	14	46325	70000234	71000234		
7	2	15	47688	70000235	71000235		
7	2	16	49050	70000236	71000236		
7	2	17	50413	70000237	71000237		
7	2	18	51775	70000238	71000238		
7	2	19	53138	70000239	71000239		
7	2	20	54500	70000240	71000240		
8	1	1	1363	70000201	71000201		
8	1	2	2725	70000202	71000202		
8	1	3	4088	70000203	71000203		
8	1	4	5450	70000204	71000204		
8	1	5	6813	70000205	71000205		
8	1	6	8175	70000206	71000206		
8	1	7	9538	70000207	71000207		
8	1	8	10900	70000208	71000208		
8	1	9	12263	70000209	71000209		
8	1	10	13625	70000210	71000210		
8	1	11	14988	70000211	71000211		
8	1	12	16350	70000212	71000212		
8	1	13	17713	70000213	71000213		
8	1	14	19075	70000214	71000214		
8	1	15	20438	70000215	71000215		
8	1	16	21800	70000216	71000216		
8	1	17	23163	70000217	71000217		
8	1	18	24525	70000218	71000218		
8	1	19	25888	70000219	71000219		
8	1	20	27250	70000220	71000220		
8	2	1	28613	70000221	71000221		
8	2	2	29975	70000222	71000222		
8	2	3	31338	70000223	71000223		
8	2	4	32700	70000224	71000224		
8	2	5	34063	70000225	71000225		
8	2	6	35425	70000226	71000226		
8	2	7	36788	70000227	71000227		
8	2	8	38150	70000228	71000228		
8	2	9	39513	70000229	71000229		
8	2	10	40875	70000230	71000230		
8	2	11	42238	70000231	71000231		
8	2	12	43600	70000232	71000232		
8	2	13	44963	70000233	71000233		
8	2	14	46325	70000234	71000234		
8	2	15	47688	70000235	71000235		
8	2	16	49050	70000236	71000236		
8	2	17	50413	70000237	71000237		
8	2	18	51775	70000238	71000238		
8	2	19	53138	70000239	71000239		
8	2	20	54500	70000240	71000240		
9	1	1	1363	70000201	71000201		
9	1	2	2725	70000202	71000202		
9	1	3	4088	70000203	71000203		
9	1	4	5450	70000204	71000204		
9	1	5	6813	70000205	71000205		
9	1	6	8175	70000206	71000206		
9	1	7	9538	70000207	71000207		
9	1	8	10900	70000208	71000208		
9	1	9	12263	70000209	71000209		
9	1	10	13625	70000210	71000210		
9	1	11	14988	70000211	71000211		
9	1	12	16350	70000212	71000212		
9	1	13	17713	70000213	71000213		
9	1	14	19075	70000214	71000214		
9	1	15	20438	70000215	71000215		
9	1	16	21800	70000216	71000216		
9	1	17	23163	70000217	71000217		
9	1	18	24525	70000218	71000218		
9	1	19	25888	70000219	71000219		
9	1	20	27250	70000220	71000220		
9	2	1	28613	70000221	71000221		
9	2	2	29975	70000222	71000222		
9	2	3	31338	70000223	71000223		
9	2	4	32700	70000224	71000224		
9	2	5	34063	70000225	71000225		
9	2	6	35425	70000226	71000226		
9	2	7	36788	70000227	71000227		
9	2	8	38150	70000228	71000228		
9	2	9	39513	70000229	71000229		
9	2	10	40875	70000230	71000230		
9	2	11	42238	70000231	71000231		
9	2	12	43600	70000232	71000232		
9	2	13	44963	70000233	71000233		
9	2	14	46325	70000234	71000234		
9	2	15	47688	70000235	71000235		
9	2	16	49050	70000236	71000236		
9	2	17	50413	70000237	71000237		
9	2	18	51775	70000238	71000238		
9	2	19	53138	70000239	71000239		
9	2	20	54500	70000240	71000240		
10	1	1	1363	70000201	71000201		
10	1	2	2725	70000202	71000202		
10	1	3	4088	70000203	71000203		
10	1	4	5450	70000204	71000204		
10	1	5	6813	70000205	71000205		
10	1	6	8175	70000206	71000206		
10	1	7	9538	70000207	71000207		
10	1	8	10900	70000208	71000208		
10	1	9	12263	70000209	71000209		
10	1	10	13625	70000210	71000210		
10	1	11	14988	70000211	71000211		
10	1	12	16350	70000212	71000212		
10	1	13	17713	70000213	71000213		
10	1	14	19075	70000214	71000214		
10	1	15	20438	70000215	71000215		
10	1	16	21800	70000216	71000216		
10	1	17	23163	70000217	71000217		
10	1	18	24525	70000218	71000218		
10	1	19	25888	70000219	71000219		
10	1	20	27250	70000220	71000220		
10	2	1	28613	70000221	71000221		
10	2	2	29975	70000222	71000222		
10	2	3	31338	70000223	71000223		
10	2	4	32700	70000224	71000224		
10	2	5	34063	70000225	71000225		
10	2	6	35425	70000226	71000226		
10	2	7	36788	70000227	71000227		
10	2	8	38150	70000228	71000228		
10	2	9	39513	70000229	71000229		
10	2	10	40875	70000230	71000230		
10	2	11	42238	70000231	71000231		
10	2	12	43600	70000232	71000232		
10	2	13	44963	70000233	71000233		
10	2	14	46325	70000234	71000234		
10	2	15	47688	70000235	71000235		
10	2	16	49050	70000236	71000236		
10	2	17	50413	70000237	71000237		
10	2	18	51775	70000238	71000238		
10	2	19	53138	70000239	71000239		
10	2	20	54500	70000240	71000240		
11	1	1	1363	70000201	71000201		
11	1	2	2725	70000202	71000202		
11	1	3	4088	70000203	71000203		
11	1	4	5450	70000204	71000204		
11	1	5	6813	70000205	71000205		
11	1	6	8175	70000206	71000206		
11	1	7	9538	70000207	71000207		
11	1	8	10900	70000208	71000208		
11	1	9	12263	70000209	71000209		
11	1	10	13625	70000210	71000210		
11	1	11	14988	70000211	71000211		
11	1	12	16350	70000212	71000212		
11	1	13	17713	70000213	71000213		
11	1	14	19075	70000214	71000214		
11	1	15	20438	70000215	71000215		
11	1	16	21800	70000216	71000216		
11	1	17	23163	70000217	71000217		
11	1	18	24525	70000218	71000218		
11	1	19	25888	70000219	71000219		
11	1	20	27250	70000220	71000220		
11	2	1	28613	70000221	71000221		
11	2	2	29975	70000222	71000222		
11	2	3	31338	70000223	71000223		
11	2	4	32700	70000224	71000224		
11	2	5	34063	70000225	71000225		
11	2	6	35425	70000226	71000226		
11	2	7	36788	70000227	71000227		
11	2	8	38150	70000228	71000228		
11	2	9	39513	70000229	71000229		
11	2	10	40875	70000230	71000230		
11	2	11	42238	70000231	71000231		
11	2	12	43600	70000232	71000232		
11	2	13	44963	70000233	71000233		
11	2	14	46325	70000234	71000234		
11	2	15	47688	70000235	71000235		
11	2	16	49050	70000236	71000236		
11	2	17	50413	70000237	71000237		
11	2	18	51775	70000238	71000238		
11	2	19	53138	70000239	71000239		
11	2	20	54500	70000240	71000240		
12	1	1	1363	70000201	71000201		
12	1	2	2725	70000202	71000202		
12	1	3	4088	70000203	71000203		
12	1	4	5450	70000204	71000204		
12	1	5	6813	70000205	71000205		
12	1	6	8175	70000206	71000206		
12	1	7	9538	70000207	71000207		
12	1	8	10900	70000208	71000208		
12	1	9	12263	70000209	71000209		
12	1	10	13625	70000210	71000210		
12	1	11	14988	70000211	71000211		
12	1	12	16350	70000212	71000212		
12	1	13	17713	70000213	71000213		
12	1	14	19075	70000214	71000214		
12	1	15	20438	70000215	71000215		
12	1	16	21800	70000216	71000216		
12	1	17	23163	70000217	71000217		
12	1	18	24525	70000218	71000218		
12	1	19	25888	70000219	71000219		
12	1	20	27250	70000220	71000220		
12	2	1	28613	70000221	71000221		
12	2	2	29975	70000222	71000222		
12	2	3	31338	70000223	71000223		
12	2	4	32700	70000224	71000224		
12	2	5	34063	70000225	71000225		
12	2	6	35425	70000226	71000226		
12	2	7	36788	70000227	71000227		
12	2	8	38150	70000228	71000228		
12	2	9	39513	70000229	71000229		
12	2	10	40875	70000230	71000230		
12	2	11	42238	70000231	71000231		
12	2	12	43600	70000232	71000232		
12	2	13	44963	70000233	71000233		
12	2	14	46325	70000234	71000234		
12	2	15	47688	70000235	71000235		
12	2	16	49050	70000236	71000236		
12	2	17	50413	70000237	71000237		
12	2	18	51775	70000238	71000238		
12	2	19	53138	70000239	71000239		
12	2	20	54500	70000240	71000240		
13	1	1	1363	70000201	71000201		
13	1	2	2725	70000202	71000202		
13	1	3	4088	70000203	71000203		
13	1	4	5450	70000204	71000204		
13	1	5	6813	70000205	71000205		
13	1	6	8175	70000206	71000206		
13	1	7	9538	70000207	71000207		
13	1	8	10900	70000208	71000208		
13	1	9	12263	70000209	71000209		
13	1	10	13625	70000210	71000210		
13	1	11	14988	70000211	71000211		
13	1	12	16350	70000212	71000212		
13	1	13	17713	70000213	71000213		
13	1	14	19075	70000214	71000214		
13	1	15	20438	70000215	71000215		
13	1	16	21800	70000216	71000216		
13	1	17	23163	70000217	71000217		
13	1	18	24525	70000218	71000218		
13	1	19	25888	70000219	71000219		
13	1	20	27250	70000220	71000220		
13	2	1	28613	70000221	71000221		
13	2	2	29975	70000222	71000222		
13	2	3	31338	70000223	71000223		
13	2	4	32700	70000224	71000224		
13	2	5	34063	70000225	71000225		
13	2	6	35425	70000226	71000226		
13	2	7	36788	70000227	71000227		
13	2	8	38150	70000228	71000228		
13	2	9	39513	70000229	71000229		
13	2	10	40875	70000230	71000230		
13	2	11	42238	70000231	71000231		
13	2	12	43600	70000232	71000232		
13	2	13	44963	70000233	71000233		
13	2	14	46325	70000234	71000234		
13	2	15	47688	70000235	71000235		
13	2	16	49050	70000236	71000236		
13	2	17	50413	70000237	71000237		
13	2	18	51775	70000238	71000238		
13	2	19	53138	70000239	71000239		
13	2	20	54500	70000240	71000240		
14	1	1	1363	70000201	71000201		
14	1	2	2725	70000202	71000202		
14	1	3	4088	70000203	71000203		
14	1	4	5450	70000204	71000204		
14	1	5	6813	70000205	71000205		
14	1	6	8175	70000206	71000206		
14	1	7	9538	70000207	71000207		
14	1	8	10900	70000208	71000208		
14	1	9	12263	70000209	71000209		
14	1	10	13625	70000210	71000210		
14	1	11	14988	70000211	71000211		
14	1	12	16350	70000212	71000212		
14	1	13	17713	70000213	71000213		
14	1	14	19075	70000214	71000214		
14	1	15	20438	70000215	71000215		
14	1	16	21800	70000216	71000216		
14	1	17	23163	70000217	71000217		
14	1	18	24525	70000218	71000218		
14	1	19	25888	70000219	71000219		
14	1	20	27250	70000220	71000220		
14	2	1	28613	70000221	71000221		
14	2	2	29975	70000222	71000222		
14	2	3	31338	70000223	71000223		
14	2	4	32700	70000224	71000224		
14	2	5	34063	70000225	71000225		
14	2	6	35425	70000226	71000226		
14	2	7	36788	70000227	71000227		
14	2	8	38150	70000228	71000228		
14	2	9	39513	70000229	71000229		
14	2	10	40875	70000230	71000230		
14	2	11	42238	70000231	71000231		
14	2	12	43600	70000232	71000232		
14	2	13	44963	70000233	71000233		
14	2	14	46325	70000234	71000234		
14	2	15	47688	70000235	71000235		
14	2	16	49050	70000236	71000236		
14	2	17	50413	70000237	71000237		
14	2	18	51775	70000238	71000238		
14	2	19	53138	70000239	71000239		
14	2	20	54500	70000240	71000240		
15	1	1	1363	70000201	71000201		
15	1	2	2725	70000202	71000202		
15	1	3	4088	70000203	71000203		
15	1	4	5450	70000204	71000204		
15	1	5	6813	70000205	71000205		
15	1	6	8175	70000206	71000206		
15	1	7	9538	70000207	71000207		
15	1	8	10900	70000208	71000208		
15	1	9	12263	70000209	71000209		
15	1	10	13625	70000210	71000210		
15	1	11	14988	70000211	71000211		
15	1	12	16350	70000212	71000212		
15	1	13	17713	70000213	71000213		
15	1	14	19075	70000214	71000214		
15	1	15	20438	70000215	71000215		
15	1	16	21800	70000216	71000216		
15	1	17	23163	70000217	71000217		
15	1	18	24525	70000218	71000218		
15	1	19	25888	70000219	71000219		
15	1	20	27250	70000220	71000220		
15	2	1	28613	70000221	71000221		
15	2	2	29975	70000222	71000222		
15	2	3	31338	70000223	71000223		
15	2	4	32700	70000224	71000224		
15	2	5	34063	70000225	71000225		
15	2	6	35425	70000226	71000226		
15	2	7	36788	70000227	71000227		
15	2	8	38150	70000228	71000228		
15	2	9	39513	70000229	71000229		
15	2	10	40875	70000230	71000230		
15	2	11	42238	70000231	71000231		
15	2	12	43600	70000232	71000232		
15	2	13	44963	70000233	71000233		
15	2	14	46325	70000234	71000234		
15	2	15	47688	70000235	71000235		
15	2	16	49050	70000236	71000236		
15	2	17	50413	70000237	71000237		
15	2	18	51775	70000238	71000238		
15	2	19	53138	70000239	71000239		
15	2	20	54500	70000240	71000240		
16	1	1	1363	70000201	71000201		
16	1	2	2725	70000202	71000202		
16	1	3	4088	70000203	71000203		
16	1	4	5450	70000204	71000204		
16	1	5	6813	70000205	71000205		
16	1	6	8175	70000206	71000206		
16	1	7	9538	70000207	71000207		
16	1	8	10900	70000208	71000208		
16	1	9	12263	70000209	71000209		
16	1	10	13625	70000210	71000210		
16	1	11	14988	70000211	71000211		
16	1	12	16350	70000212	71000212		
16	1	13	17713	70000213	71000213		
16	1	14	19075	70000214	71000214		
16	1	15	20438	70000215	71000215		
16	1	16	21800	70000216	71000216		
16	1	17	23163	70000217	71000217		
16	1	18	24525	70000218	71000218		
16	1	19	25888	70000219	71000219		
16	1	20	27250	70000220	71000220		
16	2	1	28613	70000221	71000221		
16	2	2	29975	70000222	71000222		
16	2	3	31338	70000223	71000223		
16	2	4	32700	70000224	71000224		
16	2	5	34063	70000225	71000225		
16	2	6	35425	70000226	71000226		
16	2	7	36788	70000227	71000227		
16	2	8	38150	70000228	71000228		
16	2	9	39513	70000229	71000229		
16	2	10	40875	70000230	71000230		
16	2	11	42238	70000231	71000231		
16	2	12	43600	70000232	71000232		
16	2	13	44963	70000233	71000233		
16	2	14	46325	70000234	71000234		
16	2	15	47688	70000235	71000235		
16	2	16	49050	70000236	71000236		
16	2	17	50413	70000237	71000237		
16	2	18	51775	70000238	71000238		
16	2	19	53138	70000239	71000239		
16	2	20	54500	70000240	71000240		
17	1	1	1363	70000201	71000201		
17	1	2	2725	70000202	71000202		
17	1	3	4088	70000203	71000203		
17	1	4	5450	70000204	71000204		
17	1	5	6813	70000205	71000205		
17	1	6	8175	70000206	71000206		
17	1	7	9538	70000207	71000207		
17	1	8	10900	70000208	71000208		
17	1	9	12263	70000209	71000209		
17	1	10	13625	70000210	71000210		
17	1	11	14988	70000211	71000211		
17	1	12	16350	70000212	71000212		
17	1	13	17713	70000213	71000213		
17	1	14	19075	70000214	71000214		
17	1	15	20438	70000215	71000215		
17	1	16	21800	70000216	71000216		
17	1	17	23163	70000217	71000217		
17	1	18	24525	70000218	71000218		
17	1	19	25888	70000219	71000219		
17	1	20	27250	70000220	71000220		
17	2	1	28613	70000221	71000221		
17	2	2	29975	70000222	71000222		
17	2	3	31338	70000223	71000223		
17	2	4	32700	70000224	71000224		
17	2	5	34063	70000225	71000225		
17	2	6	35425	70000226	71000226		
17	2	7	36788	70000227	71000227		
17	2	8	38150	70000228	71000228		
17	2	9	39513	70000229	71000229		
17	2	10	40875	70000230	71000230		
17	2	11	42238	70000231	71000231		
17	2	12	43600	70000232	71000232		
17	2	13	44963	70000233	71000233		
17	2	14	46325	70000234	71000234		
17	2	15	47688	70000235	71000235		
17	2	16	49050	70000236	71000236		
17	2	17	50413	70000237	71000237		
17	2	18	51775	70000238	71000238		
17	2	19	53138	70000239	71000239		
17	2	20	54500	70000240	71000240		
18	1	1	1363	70000201	71000201		
18	1	2	2725	70000202	71000202		
18	1	3	4088	70000203	71000203		
18	1	4	5450	70000204	71000204		
18	1	5	6813	70000205	71000205		
18	1	6	8175	70000206	71000206		
18	1	7	9538	70000207	71000207		
18	1	8	10900	70000208	71000208		
18	1	9	12263	70000209	71000209		
18	1	10	13625	70000210	71000210		
18	1	11	14988	70000211	71000211		
18	1	12	16350	70000212	71000212		
18	1	13	17713	70000213	71000213		
18	1	14	19075	70000214	71000214		
18	1	15	20438	70000215	71000215		
18	1	16	21800	70000216	71000216		
18	1	17	23163	70000217	71000217		
18	1	18	24525	70000218	71000218		
18	1	19	25888	70000219	71000219		
18	1	20	27250	70000220	71000220		
18	2	1	28613	70000221	71000221		
18	2	2	29975	70000222	71000222		
18	2	3	31338	70000223	71000223		
18	2	4	32700	70000224	71000224		
18	2	5	34063	70000225	71000225		
18	2	6	35425	70000226	71000226		
18	2	7	36788	70000227	71000227		
18	2	8	38150	70000228	71000228		
18	2	9	39513	70000229	71000229		
18	2	10	40875	70000230	71000230		
18	2	11	42238	70000231	71000231		
18	2	12	43600	70000232	71000232		
18	2	13	44963	70000233	71000233		
18	2	14	46325	70000234	71000234		
18	2	15	47688	70000235	71000235		
18	2	16	49050	70000236	71000236		
18	2	17	50413	70000237	71000237		
18	2	18	51775	70000238	71000238		
18	2	19	53138	70000239	71000239		
18	2	20	54500	70000240	71000240		
19	1	1	1363	70000201	71000201		
19	1	2	2725	70000202	71000202		
19	1	3	4088	70000203	71000203		
19	1	4	5450	70000204	71000204		
19	1	5	6813	70000205	71000205		
19	1	6	8175	70000206	71000206		
19	1	7	9538	70000207	71000207		
19	1	8	10900	70000208	71000208		
19	1	9	12263	70000209	71000209		
19	1	10	13625	70000210	71000210		
19	1	11	14988	70000211	71000211		
19	1	12	16350	70000212	71000212		
19	1	13	17713	70000213	71000213		
19	1	14	19075	70000214	71000214		
19	1	15	20438	70000215	71000215		
19	1	16	21800	70000216	71000216		
19	1	17	23163	70000217	71000217		
19	1	18	24525	70000218	71000218		
19	1	19	25888	70000219	71000219		
19	1	20	27250	70000220	71000220		
19	2	1	28613	70000221	71000221		
19	2	2	29975	70000222	71000222		
19	2	3	31338	70000223	71000223		
19	2	4	32700	70000224	71000224		
19	2	5	34063	70000225	71000225		
19	2	6	35425	70000226	71000226		
19	2	7	36788	70000227	71000227		
19	2	8	38150	70000228	71000228		
19	2	9	39513	70000229	71000229		
19	2	10	40875	70000230	71000230		
19	2	11	42238	70000231	71000231		
19	2	12	43600	70000232	71000232		
19	2	13	44963	70000233	71000233		
19	2	14	46325	70000234	71000234		
19	2	15	47688	70000235	71000235		
19	2	16	49050	70000236	71000236		
19	2	17	50413	70000237	71000237		
19	2	18	51775	70000238	71000238		
19	2	19	53138	70000239	71000239		
19	2	20	54500	70000240	71000240		
20	1	1	1363	70000201	71000201		
20	1	2	2725	70000202	71000202		
20	1	3	4088	70000203	71000203		
20	1	4	5450	70000204	71000204		
20	1	5	6813	70000205	71000205		
20	1	6	8175	70000206	71000206		
20	1	7	9538	70000207	71000207		
20	1	8	10900	70000208	71000208		
20	1	9	12263	70000209	71000209		
20	1	10	13625	70000210	71000210		
20	1	11	14988	70000211	71000211		
20	1	12	16350	70000212	71000212		
