id	group	adjust_type	aptitude_rank_type	adjust_value
5505	5	5	5	0.8537
5506	5	5	6	0.9048
5507	5	5	7	0.9534
5508	5	5	8	1.0
5601	5	6	1	0.6
5602	5	6	2	0.638
5603	5	6	3	0.6704
5604	5	6	4	0.6997
5605	5	6	5	0.7269
5606	5	6	6	0.7524
5607	5	6	7	0.7767
5608	5	6	8	0.8
