id	red	green	blue	yellow	purple	obstacle	cold	block	ameba	chest	countdown	trap	barrier	normal	normal_level1	normal_level2	normal_level3	universal_ball	special_param	obstacle_life_min	obstacle_life_max	cold_life_min	cold_life_max	block_life_min	block_life_max	countdown_life_min	countdown_life_max	trap_life_min	trap_life_max	trap_param_min	trap_param_max	barrier_life_min	barrier_life_max	special_param_min	special_param_max	event_small	event_medium	event_large
182	25	25	25	25	25									100																							20	80
183	25	25	25	25	25									100																							10	90
184	25	25	25	25	25									100																								100
185	25		25	25	25									100																							40	60
186	25		25	25	25									100																							30	70
187	25		25	25	25									100																							20	80
188	25		25	25	25									100																							10	90
189	25		25	25	25									100																								100
190	25	25	25	25										100																							40	60
191	25	25	25	25										100																							30	70
192	25	25	25	25										100																							20	80
193	25	25		25	25									100																							10	90
194	25	25		25	25									100																								100
195	25	25		25	25									100																							40	60
196	25	25		25	25									100																							30	70
197	25	25		25	25									100																							20	80
198	25	25		25	25									100																							10	90
199	25	25		25	25									100																								100
200	25	25	25		25									100																							40	60
201	25	25	25		25									100																							30	70
202	25	25	25		25									100																							20	80
203	25	25	25		25									100																							10	90
204	25	25	25		25									100																								100
205		25	25	25	25									100																							40	60
206		25	25	25	25									100																							30	70
207		25	25	25	25									100																							20	80
208		25	25	25	25									100																							10	90
209		25	25	25	25									100																								100
210	20	20	20	20	20	10								90	60	30	10	5		1	3																	
211	25		25	25	25	25								75						1	3																	
212	20	20	20	20	20	10			7					100	80	10	10	5		1	2																	
213	33	33		33										100																								
214	33		33	33										100																								
215				100										100																								
216		33	33	33										100																								
217	20	20	20	20	20	20								100																								
218	20	20	20	20	20	10								100	75	35	25	15		1	2																	
219	20	20	20	20	20	10								80						1	1																	
995	100													100																								
996				100										100																								
997			100											100																								
998					100									100																								
999		100												100																								
1000														100				100																				
1001	25	25	25	25	25	20								80						1	3																	
1002	25	25	25	25	25	15								90						1	1																	
1003	25	25	25	25	25									100		100																						
1004	25	25	25	25	25									100		50	50	20																				
1005	25	25	25	25	25	20								80						1	3																	
1006	25	25	25	25	25	20								80						1	2																	
1007					25									100																								
1101	50		50											100																								
1102			50		50									100																								
1103		50			50									100																								
1104		50		50										100																								
1105		50	50											100																								
1106			100											100																								
