id	camp_id	camp_eval_rank	threashold_score	reward_slot_num	clear_material_reward_id	clear_material_reward_slot_amounts	pre_camp_site_id	start_camp_site_id	intermediate_camp_site_id	end_camp_site_id
405	4	5	2220	1	321011	5	1011051	1011051	1011051	1011061
406	4	6	3250	1	321011	5	1011051	1011051	1011051	1011061
407	4	7	4450	1	321011	5	1011051	1011051	1011051	1011061
408	4	8	5850	1	321011	5	1011051	1011051	1011051	1011061
409	4	9	7430	1	321011	5	1011051	1011051	1011051	1011061
410	4	10	9190	1	321011	5	1011051	1011051	1011051	1011061
411	4	11	11140	1	321011	5	1011051	1011051	1011051	1011061
412	4	12	13280	2	321011	5	1011051	1011051	1011051	1011061
413	4	13	15600	2	321011	5	1011051	1011051	1011051	1011061
414	4	14	18110	2	321011	5	1011051	1011051	1011051	1011061
415	4	15	20800	3	321011	5	1011051	1011051	1011051	1011061
416	4	16	23680	3	321011	5	1011051	1011051	1011051	1011061
417	4	17	26740	3	321011	5	1011051	1011051	1011051	1011061
418	4	18	30000	3	321011	5	1011051	1011051	1011051	1011061
501	5	1		1	321011	5	1011051	1011051	1011051	1011061
502	5	2	270	1	321011	5	1011051	1011051	1011051	1011061
503	5	3	740	1	321011	5	1011051	1011051	1011051	1011061
504	5	4	1390	1	321011	5	1011051	1011051	1011051	1011061
505	5	5	2220	1	321011	5	1011051	1011051	1011051	1011061
506	5	6	3250	1	321011	5	1011051	1011051	1011051	1011061
507	5	7	4450	1	321011	5	1011051	1011051	1011051	1011061
508	5	8	5850	1	321011	5	1011051	1011051	1011051	1011061
509	5	9	7430	1	321011	5	1011051	1011051	1011051	1011061
510	5	10	9190	1	321011	5	1011051	1011051	1011051	1011061
511	5	11	11140	1	321011	5	1011051	1011051	1011051	1011061
512	5	12	13280	2	321011	5	1011051	1011051	1011051	1011061
513	5	13	15600	2	321011	5	1011051	1011051	1011051	1011061
514	5	14	18110	2	321011	5	1011051	1011051	1011051	1011061
515	5	15	20800	3	321011	5	1011051	1011051	1011051	1011061
516	5	16	23680	3	321011	5	1011051	1011051	1011051	1011061
517	5	17	26740	3	321011	5	1011051	1011051	1011051	1011061
518	5	18	30000	3	321011	5	1011051	1011051	1011051	1011061
601	6	1		1	321011	5	1011051	1011051	1011051	1011061
602	6	2	270	1	321011	5	1011051	1011051	1011051	1011061
603	6	3	740	1	321011	5	1011051	1011051	1011051	1011061
604	6	4	1390	1	321011	5	1011051	1011051	1011051	1011061
605	6	5	2220	1	321011	5	1011051	1011051	1011051	1011061
606	6	6	3250	1	321011	5	1011051	1011051	1011051	1011061
607	6	7	4450	1	321011	5	1011051	1011051	1011051	1011061
608	6	8	5850	1	321011	5	1011051	1011051	1011051	1011061
609	6	9	7430	1	321011	5	1011051	1011051	1011051	1011061
610	6	10	9190	1	321011	5	1011051	1011051	1011051	1011061
611	6	11	11140	1	321011	5	1011051	1011051	1011051	1011061
612	6	12	13280	2	321011	5	1011051	1011051	1011051	1011061
613	6	13	15600	2	321011	5	1011051	1011051	1011051	1011061
614	6	14	18110	2	321011	5	1011051	1011051	1011051	1011061
615	6	15	20800	3	321011	5	1011051	1011051	1011051	1011061
616	6	16	23680	3	321011	5	1011051	1011051	1011051	1011061
617	6	17	26740	3	321011	5	1011051	1011051	1011051	1011061
618	6	18	30000	3	321011	5	1011051	1011051	1011051	1011061
701	7	1		1	321011	5	1011051	1011051	1011051	1011061
702	7	2	270	1	321011	5	1011051	1011051	1011051	1011061
703	7	3	740	1	321011	5	1011051	1011051	1011051	1011061
704	7	4	1390	1	321011	5	1011051	1011051	1011051	1011061
705	7	5	2220	1	321011	5	1011051	1011051	1011051	1011061
706	7	6	3250	1	321011	5	1011051	1011051	1011051	1011061
707	7	7	4450	1	321011	5	1011051	1011051	1011051	1011061
708	7	8	5850	1	321011	5	1011051	1011051	1011051	1011061
709	7	9	7430	1	321011	5	1011051	1011051	1011051	1011061
710	7	10	9190	1	321011	5	1011051	1011051	1011051	1011061
711	7	11	11140	1	321011	5	1011051	1011051	1011051	1011061
712	7	12	13280	2	321011	5	1011051	1011051	1011051	1011061
713	7	13	15600	2	321011	5	1011051	1011051	1011051	1011061
714	7	14	18110	2	321011	5	1011051	1011051	1011051	1011061
715	7	15	20800	3	321011	5	1011051	1011051	1011051	1011061
716	7	16	23680	3	321011	5	1011051	1011051	1011051	1011061
717	7	17	26740	3	321011	5	1011051	1011051	1011051	1011061
718	7	18	30000	3	321011	5	1011051	1011051	1011051	1011061
100001	1000	1		1	320101	5	1011051	1011051	1011051	1011061
100002	1000	2	270	1	320101	5	1011051	1011051	1011051	1011061
100003	1000	3	740	1	320101	5	1011051	1011051	1011051	1011061
100004	1000	4	1390	1	320101	5	1011051	1011051	1011051	1011061
100005	1000	5	2220	1	320101	5	1011051	1011051	1011051	1011061
100006	1000	6	3250	1	320101	5	1011051	1011051	1011051	1011061
100007	1000	7	4450	1	320101	5	1011051	1011051	1011051	1011061
100008	1000	8	5850	1	320101	5	1011051	1011051	1011051	1011061
100009	1000	9	7430	1	320101	5	1011051	1011051	1011051	1011061
100010	1000	10	9190	1	320101	5	1011051	1011051	1011051	1011061
100011	1000	11	11140	1	320102	5	1011051	1011051	1011051	1011061
100012	1000	12	13280	1	320102	5	1011051	1011051	1011051	1011061
100013	1000	13	15600	1	320102	5	1011051	1011051	1011051	1011061
100014	1000	14	18110	1	320102	5	1011051	1011051	1011051	1011061
100015	1000	15	20800	1	320103	5	1011051	1011051	1011051	1011061
100016	1000	16	23680	1	320103	5	1011051	1011051	1011051	1011061
100017	1000	17	26740	1	320103	5	1011051	1011051	1011051	1011061
100018	1000	18	30000	1	320103	5	1011051	1011051	1011051	1011061
101101	1011	1		1	320101	5	1011051	1011051	1011051	1011061
101102	1011	2	270	1	320101	5	1011051	1011051	1011051	1011061
101103	1011	3	740	1	320101	5	1011051	1011051	1011051	1011061
101104	1011	4	1390	1	320101	5	1011051	1011051	1011051	1011061
101105	1011	5	2220	1	320101	5	1011051	1011051	1011051	1011061
101106	1011	6	3250	1	320101	5	1011051	1011051	1011051	1011061
101107	1011	7	4450	1	320101	5	1011051	1011051	1011051	1011061
101108	1011	8	5850	1	320101	5	1011051	1011051	1011051	1011061
101109	1011	9	7430	1	320101	5	1011051	1011051	1011051	1011061
101110	1011	10	9190	1	320101	5	1011051	1011051	1011051	1011061
101111	1011	11	11140	1	320102	5	1011051	1011051	1011051	1011061
101112	1011	12	13280	2	320102	5	1011051	1011051	1011051	1011061
101113	1011	13	15600	2	320102	5	1011051	1011051	1011051	1011061
101114	1011	14	18110	2	320102	5	1011051	1011051	1011051	1011061
101115	1011	15	20800	3	320103	5	1011051	1011051	1011051	1011061
101116	1011	16	23680	3	320103	5	1011051	1011051	1011051	1011061
101117	1011	17	26740	3	320103	5	1011051	1011051	1011051	1011061
101118	1011	18	30000	3	320103	5	1011051	1011051	1011051	1011061
102101	1021	1		1	320201	5	1021051	1021051	1021051	1021061
102102	1021	2	270	1	320201	5	1021051	1021051	1021051	1021061
102103	1021	3	740	1	320201	5	1021051	1021051	1021051	1021061
102104	1021	4	1390	1	320201	5	1021051	1021051	1021051	1021061
102105	1021	5	2220	1	320201	5	1021051	1021051	1021051	1021061
102106	1021	6	3250	1	320201	5	1021051	1021051	1021051	1021061
102107	1021	7	4450	1	320201	5	1021051	1021051	1021051	1021061
102108	1021	8	5850	1	320201	5	1021051	1021051	1021051	1021061
102109	1021	9	7430	1	320201	5	1021051	1021051	1021051	1021061
102110	1021	10	9190	1	320201	5	1021051	1021051	1021051	1021061
102111	1021	11	11140	1	320202	5	1021051	1021051	1021051	1021061
102112	1021	12	13280	2	320202	5	1021051	1021051	1021051	1021061
102113	1021	13	15600	2	320202	5	1021051	1021051	1021051	1021061
102114	1021	14	18110	2	320202	5	1021051	1021051	1021051	1021061
102115	1021	15	20800	3	320203	5	1021051	1021051	1021051	1021061
102116	1021	16	23680	3	320203	5	1021051	1021051	1021051	1021061
102117	1021	17	26740	3	320203	5	1021051	1021051	1021051	1021061
102118	1021	18	30000	3	320203	5	1021051	1021051	1021051	1021061
103101	1031	1		1	320301	5	1031051	1031051	1031051	1031061
103102	1031	2	270	1	320301	5	1031051	1031051	1031051	1031061
103103	1031	3	740	1	320301	5	1031051	1031051	1031051	1031061
103104	1031	4	1390	1	320301	5	1031051	1031051	1031051	1031061
103105	1031	5	2220	1	320301	5	1031051	1031051	1031051	1031061
103106	1031	6	3250	1	320301	5	1031051	1031051	1031051	1031061
103107	1031	7	4450	1	320301	5	1031051	1031051	1031051	1031061
103108	1031	8	5850	1	320301	5	1031051	1031051	1031051	1031061
103109	1031	9	7430	1	320301	5	1031051	1031051	1031051	1031061
103110	1031	10	9190	1	320301	5	1031051	1031051	1031051	1031061
103111	1031	11	11140	1	320302	5	1031051	1031051	1031051	1031061
103112	1031	12	13280	2	320302	5	1031051	1031051	1031051	1031061
103113	1031	13	15600	2	320302	5	1031051	1031051	1031051	1031061
103114	1031	14	18110	2	320302	5	1031051	1031051	1031051	1031061
103115	1031	15	20800	3	320303	5	1031051	1031051	1031051	1031061
103116	1031	16	23680	3	320303	5	1031051	1031051	1031051	1031061
103117	1031	17	26740	3	320303	5	1031051	1031051	1031051	1031061
103118	1031	18	30000	3	320303	5	1031051	1031051	1031051	1031061
104101	1041	1		1	320401	5	1041051	1041051	1041051	1041061
104102	1041	2	270	1	320401	5	1041051	1041051	1041051	1041061
104103	1041	3	740	1	320401	5	1041051	1041051	1041051	1041061
104104	1041	4	1390	1	320401	5	1041051	1041051	1041051	1041061
104105	1041	5	2220	1	320401	5	1041051	1041051	1041051	1041061
104106	1041	6	3250	1	320401	5	1041051	1041051	1041051	1041061
104107	1041	7	4450	1	320401	5	1041051	1041051	1041051	1041061
104108	1041	8	5850	1	320401	5	1041051	1041051	1041051	1041061
104109	1041	9	7430	1	320401	5	1041051	1041051	1041051	1041061
104110	1041	10	9190	1	320401	5	1041051	1041051	1041051	1041061
104111	1041	11	11140	1	320402	5	1041051	1041051	1041051	1041061
104112	1041	12	13280	2	320402	5	1041051	1041051	1041051	1041061
104113	1041	13	15600	2	320402	5	1041051	1041051	1041051	1041061
104114	1041	14	18110	2	320402	5	1041051	1041051	1041051	1041061
104115	1041	15	20800	3	320403	5	1041051	1041051	1041051	1041061
104116	1041	16	23680	3	320403	5	1041051	1041051	1041051	1041061
104117	1041	17	26740	3	320403	5	1041051	1041051	1041051	1041061
104118	1041	18	30000	3	320403	5	1041051	1041051	1041051	1041061
105101	1051	1		1	320501	5	1051051	1051051	1051051	1051061
105102	1051	2	270	1	320501	5	1051051	1051051	1051051	1051061
105103	1051	3	740	1	320501	5	1051051	1051051	1051051	1051061
105104	1051	4	1390	1	320501	5	1051051	1051051	1051051	1051061
105105	1051	5	2220	1	320501	5	1051051	1051051	1051051	1051061
105106	1051	6	3250	1	320501	5	1051051	1051051	1051051	1051061
105107	1051	7	4450	1	320501	5	1051051	1051051	1051051	1051061
105108	1051	8	5850	1	320501	5	1051051	1051051	1051051	1051061
105109	1051	9	7430	1	320501	5	1051051	1051051	1051051	1051061
105110	1051	10	9190	1	320501	5	1051051	1051051	1051051	1051061
105111	1051	11	11140	1	320502	5	1051051	1051051	1051051	1051061
105112	1051	12	13280	2	320502	5	1051051	1051051	1051051	1051061
105113	1051	13	15600	2	320502	5	1051051	1051051	1051051	1051061
105114	1051	14	18110	2	320502	5	1051051	1051051	1051051	1051061
105115	1051	15	20800	3	320503	5	1051051	1051051	1051051	1051061
105116	1051	16	23680	3	320503	5	1051051	1051051	1051051	1051061
105117	1051	17	26740	3	320503	5	1051051	1051051	1051051	1051061
105118	1051	18	30000	3	320503	5	1051051	1051051	1051051	1051061
106101	1061	1		1	320601	5	1051051	1051051	1051051	1051061
106102	1061	2	270	1	320601	5	1051051	1051051	1051051	1051061
106103	1061	3	740	1	320601	5	1051051	1051051	1051051	1051061
106104	1061	4	1390	1	320601	5	1051051	1051051	1051051	1051061
106105	1061	5	2220	1	320601	5	1051051	1051051	1051051	1051061
106106	1061	6	3250	1	320601	5	1051051	1051051	1051051	1051061
106107	1061	7	4450	1	320601	5	1051051	1051051	1051051	1051061
106108	1061	8	5850	1	320601	5	1051051	1051051	1051051	1051061
106109	1061	9	7430	1	320601	5	1051051	1051051	1051051	1051061
106110	1061	10	9190	1	320601	5	1051051	1051051	1051051	1051061
106111	1061	11	11140	1	320602	5	1051051	1051051	1051051	1051061
106112	1061	12	13280	2	320602	5	1051051	1051051	1051051	1051061
106113	1061	13	15600	2	320602	5	1051051	1051051	1051051	1051061
106114	1061	14	18110	2	320602	5	1051051	1051051	1051051	1051061
106115	1061	15	20800	3	320603	5	1051051	1051051	1051051	1051061
106116	1061	16	23680	3	320603	5	1051051	1051051	1051051	1051061
106117	1061	17	26740	3	320603	5	1051051	1051051	1051051	1051061
106118	1061	18	30000	3	320603	5	1051051	1051051	1051051	1051061
