id	member_id	dearlevel	title	title_text_id	carryover_ratio	type	value
61	14	1	顔見知り★1		50	1	1
62	14	5	顔見知り★2		51	2	2
63	14	10	顔見知り★3		52	3	20003
64	14	15	顔見知り★4		53	3	50003
65	14	20	顔見知り★5		54	2	999032
66	14	25	友だち★1		55	1	2
67	14	25	友だち★1		55	3	20006
68	14	30	友だち★2		56	2	3
69	14	35	友だち★3		57	3	20007
70	14	40	友だち★4		58	3	50005
71	14	45	友だち★5		59	2	999052
72	14	50	気になる存在★1		60	1	3
73	14	50	気になる存在★1		60	3	20008
74	14	55	気になる存在★2		61	3	20009
75	14	60	気になる存在★3		62	3	50006
76	14	65	気になる存在★4		63	2	999062
77	14	70	気になる存在★5		64	3	20010
78	14	70	気になる存在★5		64	3	20012
79	14	75	お試し彼氏		65	1	4
80	14	999	彼氏			1	5
101	16	1	顔見知り★1		50	1	1
102	16	5	顔見知り★2		51	2	2
103	16	10	顔見知り★3		52	3	20007
104	16	15	顔見知り★4		53	3	50003
105	16	20	顔見知り★5		54	2	999032
106	16	25	友だち★1		55	1	2
107	16	25	友だち★1		55	3	20008
108	16	30	友だち★2		56	2	3
109	16	35	友だち★3		57	3	20009
110	16	40	友だち★4		58	3	50005
111	16	45	友だち★5		59	2	999052
112	16	50	気になる存在★1		60	1	3
113	16	50	気になる存在★1		60	3	20010
114	16	55	気になる存在★2		61	3	20011
115	16	60	気になる存在★3		62	3	50006
116	16	65	気になる存在★4		63	2	999062
117	16	70	気になる存在★5		64	3	20012
118	16	70	気になる存在★5		64	3	20013
119	16	75	お試し彼氏		65	1	4
120	16	999	彼氏			1	5
121	21	1	顔見知り★1		50	1	1
122	21	5	顔見知り★2		51	2	2
123	21	10	顔見知り★3		52	3	20013
124	21	15	顔見知り★4		53	3	50003
125	21	20	顔見知り★5		54	2	999032
126	21	25	友だち★1		55	1	2
127	21	25	友だち★1		55	3	20014
128	21	30	友だち★2		56	2	3
129	21	35	友だち★3		57	3	20015
130	21	40	友だち★4		58	3	50005
131	21	45	友だち★5		59	2	999052
132	21	50	気になる存在★1		60	1	3
133	21	50	気になる存在★1		60	3	20016
134	21	55	気になる存在★2		61	3	20011
135	21	60	気になる存在★3		62	3	50006
136	21	65	気になる存在★4		63	2	999062
137	21	70	気になる存在★5		64	3	20018
138	21	70	気になる存在★5		64	3	20020
139	22	1	顔見知り★1		50	1	1
140	22	5	顔見知り★2		51	2	2
141	22	10	顔見知り★3		52	3	20003
142	22	15	顔見知り★4		53	3	50003
143	22	20	顔見知り★5		54	2	999032
144	22	25	友だち★1		55	1	2
145	22	25	友だち★1		55	3	20006
146	22	30	友だち★2		56	2	3
147	22	35	友だち★3		57	3	20007
148	22	40	友だち★4		58	3	50005
149	22	45	友だち★5		59	2	999052
150	22	50	気になる存在★1		60	1	3
151	22	50	気になる存在★1		60	3	20008
152	22	55	気になる存在★2		61	3	20009
153	22	60	気になる存在★3		62	3	50006
154	22	65	気になる存在★4		63	2	999062
155	22	70	気になる存在★5		64	3	20010
156	22	70	気になる存在★5		64	3	20012
157	23	1	顔見知り★1		50	1	1
158	23	5	顔見知り★2		51	2	2
159	23	10	顔見知り★3		52	3	20003
160	23	15	顔見知り★4		53	3	50003
161	23	20	顔見知り★5		54	2	999032
162	23	25	友だち★1		55	1	2
163	23	25	友だち★1		55	3	20006
164	23	30	友だち★2		56	2	3
165	23	35	友だち★3		57	3	20007
166	23	40	友だち★4		58	3	50005
167	23	45	友だち★5		59	2	999052
168	23	50	気になる存在★1		60	1	3
169	23	50	気になる存在★1		60	3	20008
170	23	55	気になる存在★2		61	3	20009
171	23	60	気になる存在★3		62	3	50006
172	23	65	気になる存在★4		63	2	999062
173	23	70	気になる存在★5		64	3	20010
174	23	70	気になる存在★5		64	3	20012
175	31	1	顔見知り★1		50	1	1
176	31	5	顔見知り★2		51	2	2
177	31	10	顔見知り★3		52	3	20007
178	31	15	顔見知り★4		53	3	50003
179	31	20	顔見知り★5		54	2	999032
180	31	25	友だち★1		55	1	2
181	31	25	友だち★1		55	3	20008
182	31	30	友だち★2		56	2	3
183	31	35	友だち★3		57	3	20009
184	31	40	友だち★4		58	3	50005
185	31	45	友だち★5		59	2	999052
186	31	50	気になる存在★1		60	1	3
187	31	50	気になる存在★1		60	3	20010
188	31	55	気になる存在★2		61	3	20011
189	31	60	気になる存在★3		62	3	50006
190	31	65	気になる存在★4		63	2	999062
191	31	70	気になる存在★5		64	3	20012
192	31	70	気になる存在★5		64	3	20013
193	32	1	顔見知り★1		50	1	1
194	32	5	顔見知り★2		51	2	2
195	32	10	顔見知り★3		52	3	20007
196	32	15	顔見知り★4		53	3	50003
197	32	20	顔見知り★5		54	2	999032
198	32	25	友だち★1		55	1	2
199	32	25	友だち★1		55	3	20008
200	32	30	友だち★2		56	2	3
201	32	35	友だち★3		57	3	20009
202	32	40	友だち★4		58	3	50005
203	32	45	友だち★5		59	2	999052
204	32	50	気になる存在★1		60	1	3
205	32	50	気になる存在★1		60	3	20010
206	32	55	気になる存在★2		61	3	20011
207	32	60	気になる存在★3		62	3	50006
208	32	65	気になる存在★4		63	2	999062
209	32	70	気になる存在★5		64	3	20012
210	32	70	気になる存在★5		64	3	20013
211	33	1	顔見知り★1		50	1	1
212	33	5	顔見知り★2		51	2	2
213	33	10	顔見知り★3		52	3	20007
214	33	15	顔見知り★4		53	3	50003
215	33	20	顔見知り★5		54	2	999032
216	33	25	友だち★1		55	1	2
217	33	25	友だち★1		55	3	20008
218	33	30	友だち★2		56	2	3
219	33	35	友だち★3		57	3	20009
220	33	40	友だち★4		58	3	50005
221	33	45	友だち★5		59	2	999052
222	33	50	気になる存在★1		60	1	3
223	33	50	気になる存在★1		60	3	20010
224	33	55	気になる存在★2		61	3	20011
225	33	60	気になる存在★3		62	3	50006
226	33	65	気になる存在★4		63	2	999062
227	33	70	気になる存在★5		64	3	20012
228	33	70	気になる存在★5		64	3	20013
229	34	1	顔見知り★1		50	1	1
230	34	5	顔見知り★2		51	2	2
231	34	10	顔見知り★3		52	3	20007
232	34	15	顔見知り★4		53	3	50003
233	34	20	顔見知り★5		54	2	999032
234	34	25	友だち★1		55	1	2
235	34	25	友だち★1		55	3	20008
236	34	30	友だち★2		56	2	3
237	34	35	友だち★3		57	3	20009
238	34	40	友だち★4		58	3	50005
239	34	45	友だち★5		59	2	999052
240	34	50	気になる存在★1		60	1	3
241	34	50	気になる存在★1		60	3	20010
242	34	55	気になる存在★2		61	3	20011
243	34	60	気になる存在★3		62	3	50006
244	34	65	気になる存在★4		63	2	999062
245	34	70	気になる存在★5		64	3	20012
246	34	70	気になる存在★5		64	3	20013
247	35	1	顔見知り★1		50	1	1
248	35	5	顔見知り★2		51	2	2
249	35	10	顔見知り★3		52	3	20007
250	35	15	顔見知り★4		53	3	50003
251	35	20	顔見知り★5		54	2	999032
252	35	25	友だち★1		55	1	2
253	35	25	友だち★1		55	3	20008
254	35	30	友だち★2		56	2	3
255	35	35	友だち★3		57	3	20009
256	35	40	友だち★4		58	3	50005
257	35	45	友だち★5		59	2	999052
258	35	50	気になる存在★1		60	1	3
259	35	50	気になる存在★1		60	3	20010
260	35	55	気になる存在★2		61	3	20011
261	35	60	気になる存在★3		62	3	50006
262	35	65	気になる存在★4		63	2	999062
263	35	70	気になる存在★5		64	3	20012
264	35	70	気になる存在★5		64	3	20013
265	41	1	顔見知り★1		50	1	1
266	41	5	顔見知り★2		51	2	2
267	41	10	顔見知り★3		52	3	20013
268	41	15	顔見知り★4		53	3	50003
269	41	20	顔見知り★5		54	2	999032
270	41	25	友だち★1		55	1	2
271	41	25	友だち★1		55	3	20014
272	41	30	友だち★2		56	2	3
273	41	35	友だち★3		57	3	20015
274	41	40	友だち★4		58	3	50005
275	41	45	友だち★5		59	2	999052
276	41	50	気になる存在★1		60	1	3
277	41	50	気になる存在★1		60	3	20016
278	41	55	気になる存在★2		61	3	20011
279	41	60	気になる存在★3		62	3	50006
280	41	65	気になる存在★4		63	2	999062
281	41	70	気になる存在★5		64	3	20018
282	41	70	気になる存在★5		64	3	20020
283	42	1	顔見知り★1		50	1	1
284	42	5	顔見知り★2		51	2	2
285	42	10	顔見知り★3		52	3	20003
286	42	15	顔見知り★4		53	3	50003
287	42	20	顔見知り★5		54	2	999032
288	42	25	友だち★1		55	1	2
289	42	25	友だち★1		55	3	20006
290	42	30	友だち★2		56	2	3
291	42	35	友だち★3		57	3	20007
292	42	40	友だち★4		58	3	50005
293	42	45	友だち★5		59	2	999052
294	42	50	気になる存在★1		60	1	3
295	42	50	気になる存在★1		60	3	20008
296	42	55	気になる存在★2		61	3	20009
297	42	60	気になる存在★3		62	3	50006
298	42	65	気になる存在★4		63	2	999062
299	42	70	気になる存在★5		64	3	20010
300	42	70	気になる存在★5		64	3	20012
301	43	1	顔見知り★1		50	1	1
302	43	5	顔見知り★2		51	2	2
303	43	10	顔見知り★3		52	3	20013
304	43	15	顔見知り★4		53	3	50003
305	43	20	顔見知り★5		54	2	999032
306	43	25	友だち★1		55	1	2
307	43	25	友だち★1		55	3	20014
308	43	30	友だち★2		56	2	3
309	43	35	友だち★3		57	3	20015
310	43	40	友だち★4		58	3	50005
311	43	45	友だち★5		59	2	999052
312	43	50	気になる存在★1		60	1	3
313	43	50	気になる存在★1		60	3	20016
314	43	55	気になる存在★2		61	3	20011
315	43	60	気になる存在★3		62	3	50006
316	43	65	気になる存在★4		63	2	999062
317	43	70	気になる存在★5		64	3	20018
318	43	70	気になる存在★5		64	3	20020
319	51	1	顔見知り★1		50	1	1
320	51	5	顔見知り★2		51	2	2
321	51	10	顔見知り★3		52	3	20003
322	51	15	顔見知り★4		53	3	50003
323	51	20	顔見知り★5		54	2	999032
324	51	25	友だち★1		55	1	2
325	51	25	友だち★1		55	3	20006
326	51	30	友だち★2		56	2	3
327	51	35	友だち★3		57	3	20007
328	51	40	友だち★4		58	3	50005
329	51	45	友だち★5		59	2	999052
330	51	50	気になる存在★1		60	1	3
331	51	50	気になる存在★1		60	3	20008
332	51	55	気になる存在★2		61	3	20009
333	51	60	気になる存在★3		62	3	50006
334	51	65	気になる存在★4		63	2	999062
335	51	70	気になる存在★5		64	3	20010
336	51	70	気になる存在★5		64	3	20012
337	52	1	顔見知り★1		50	1	1
338	52	5	顔見知り★2		51	2	2
339	52	10	顔見知り★3		52	3	20013
340	52	15	顔見知り★4		53	3	50003
341	52	20	顔見知り★5		54	2	999032
342	52	25	友だち★1		55	1	2
343	52	25	友だち★1		55	3	20014
344	52	30	友だち★2		56	2	3
345	52	35	友だち★3		57	3	20015
346	52	40	友だち★4		58	3	50005
347	52	45	友だち★5		59	2	999052
348	52	50	気になる存在★1		60	1	3
349	52	50	気になる存在★1		60	3	20016
350	52	55	気になる存在★2		61	3	20011
351	52	60	気になる存在★3		62	3	50006
352	52	65	気になる存在★4		63	2	999062
353	52	70	気になる存在★5		64	3	20018
354	52	70	気になる存在★5		64	3	20020
355	53	1	顔見知り★1		50	1	1
356	53	5	顔見知り★2		51	2	2
357	53	10	顔見知り★3		52	3	20003
358	53	15	顔見知り★4		53	3	50003
359	53	20	顔見知り★5		54	2	999032
360	53	25	友だち★1		55	1	2
361	53	25	友だち★1		55	3	20006
362	53	30	友だち★2		56	2	3
363	53	35	友だち★3		57	3	20007
364	53	40	友だち★4		58	3	50005
365	53	45	友だち★5		59	2	999052
366	53	50	気になる存在★1		60	1	3
367	53	50	気になる存在★1		60	3	20008
368	53	55	気になる存在★2		61	3	20009
369	53	60	気になる存在★3		62	3	50006
370	53	65	気になる存在★4		63	2	999062
371	53	70	気になる存在★5		64	3	20010
372	53	70	気になる存在★5		64	3	20012
373	61	1	顔見知り★1		50	1	1
374	61	5	顔見知り★2		51	2	2
375	61	10	顔見知り★3		52	3	20013
376	61	15	顔見知り★4		53	3	50003
377	61	20	顔見知り★5		54	2	999032
378	61	25	友だち★1		55	1	2
379	61	25	友だち★1		55	3	20014
380	61	30	友だち★2		56	2	3
381	61	35	友だち★3		57	3	20015
382	61	40	友だち★4		58	3	50005
383	61	45	友だち★5		59	2	999052
384	61	50	気になる存在★1		60	1	3
385	61	50	気になる存在★1		60	3	20016
386	61	55	気になる存在★2		61	3	20011
387	61	60	気になる存在★3		62	3	50006
388	61	65	気になる存在★4		63	2	999062
389	61	70	気になる存在★5		64	3	20018
390	61	70	気になる存在★5		64	3	20020
391	71	1	顔見知り★1		50	1	1
392	71	5	顔見知り★2		51	2	2
393	71	10	顔見知り★3		52	3	20007
394	71	15	顔見知り★4		53	3	50003
395	71	20	顔見知り★5		54	2	999032
396	71	25	友だち★1		55	1	2
397	71	25	友だち★1		55	3	20008
398	71	30	友だち★2		56	2	3
399	71	35	友だち★3		57	3	20009
400	71	40	友だち★4		58	3	50005
401	71	45	友だち★5		59	2	999052
402	71	50	気になる存在★1		60	1	3
403	71	50	気になる存在★1		60	3	20010
404	71	55	気になる存在★2		61	3	20011
405	71	60	気になる存在★3		62	3	50006
406	71	65	気になる存在★4		63	2	999062
407	71	70	気になる存在★5		64	3	20012
408	71	70	気になる存在★5		64	3	20013
409	81	1	顔見知り★1		50	1	1
410	81	5	顔見知り★2		51	2	2
411	81	10	顔見知り★3		52	3	20007
412	81	15	顔見知り★4		53	3	50003
413	81	20	顔見知り★5		54	2	999032
414	81	25	友だち★1		55	1	2
415	81	25	友だち★1		55	3	20008
416	81	30	友だち★2		56	2	3
417	81	35	友だち★3		57	3	20009
418	81	40	友だち★4		58	3	50005
419	81	45	友だち★5		59	2	999052
420	81	50	気になる存在★1		60	1	3
421	81	50	気になる存在★1		60	3	20010
422	81	55	気になる存在★2		61	3	20011
423	81	60	気になる存在★3		62	3	50006
424	81	65	気になる存在★4		63	2	999062
425	81	70	気になる存在★5		64	3	20012
426	81	70	気になる存在★5		64	3	20013
427	91	1	顔見知り★1		50	1	1
428	91	5	顔見知り★2		51	2	2
429	91	10	顔見知り★3		52	3	20007
430	91	15	顔見知り★4		53	3	50003
431	91	20	顔見知り★5		54	2	999032
432	91	25	友だち★1		55	1	2
433	91	25	友だち★1		55	3	20008
434	91	30	友だち★2		56	2	3
435	91	35	友だち★3		57	3	20009
436	91	40	友だち★4		58	3	50005
437	91	45	友だち★5		59	2	999052
438	91	50	気になる存在★1		60	1	3
439	91	50	気になる存在★1		60	3	20010
440	91	55	気になる存在★2		61	3	20011
441	91	60	気になる存在★3		62	3	50006
442	91	65	気になる存在★4		63	2	999062
443	91	70	気になる存在★5		64	3	20012
444	91	70	気になる存在★5		64	3	20013
445	101	1	顔見知り★1		50	1	1
446	101	5	顔見知り★2		51	2	2
447	101	10	顔見知り★3		52	3	20003
448	101	15	顔見知り★4		53	3	50003
449	101	20	顔見知り★5		54	2	999032
450	101	25	友だち★1		55	1	2
451	101	25	友だち★1		55	3	20006
452	101	30	友だち★2		56	2	3
453	101	35	友だち★3		57	3	20007
454	101	40	友だち★4		58	3	50005
455	101	45	友だち★5		59	2	999052
456	101	50	気になる存在★1		60	1	3
457	101	50	気になる存在★1		60	3	20008
458	101	55	気になる存在★2		61	3	20009
459	101	60	気になる存在★3		62	3	50006
460	101	65	気になる存在★4		63	2	999062
461	101	70	気になる存在★5		64	3	20010
462	101	70	気になる存在★5		64	3	20012
463	111	1	顔見知り★1		50	1	1
464	111	5	顔見知り★2		51	2	2
465	111	10	顔見知り★3		52	3	20003
466	111	15	顔見知り★4		53	3	50003
467	111	20	顔見知り★5		54	2	999032
468	111	25	友だち★1		55	1	2
469	111	25	友だち★1		55	3	20006
470	111	30	友だち★2		56	2	3
471	111	35	友だち★3		57	3	20007
472	111	40	友だち★4		58	3	50005
473	111	45	友だち★5		59	2	999052
474	111	50	気になる存在★1		60	1	3
475	111	50	気になる存在★1		60	3	20008
476	111	55	気になる存在★2		61	3	20009
477	111	60	気になる存在★3		62	3	50006
478	111	65	気になる存在★4		63	2	999062
479	111	70	気になる存在★5		64	3	20010
480	111	70	気になる存在★5		64	3	20012
481	112	1	顔見知り★1		50	1	1
482	112	5	顔見知り★2		51	2	2
483	112	10	顔見知り★3		52	3	20013
484	112	15	顔見知り★4		53	3	50003
485	112	20	顔見知り★5		54	2	999032
486	112	25	友だち★1		55	1	2
487	112	25	友だち★1		55	3	20014
488	112	30	友だち★2		56	2	3
489	112	35	友だち★3		57	3	20015
490	112	40	友だち★4		58	3	50005
491	112	45	友だち★5		59	2	999052
492	112	50	気になる存在★1		60	1	3
493	112	50	気になる存在★1		60	3	20016
494	112	55	気になる存在★2		61	3	20011
495	112	60	気になる存在★3		62	3	50006
496	112	65	気になる存在★4		63	2	999062
497	112	70	気になる存在★5		64	3	20018
498	112	70	気になる存在★5		64	3	20020
499	121	1	顔見知り★1		50	1	1
500	121	5	顔見知り★2		51	2	2
501	121	10	顔見知り★3		52	3	20013
502	121	15	顔見知り★4		53	3	50003
503	121	20	顔見知り★5		54	2	999032
504	121	25	友だち★1		55	1	2
505	121	25	友だち★1		55	3	20014
506	121	30	友だち★2		56	2	3
507	121	35	友だち★3		57	3	20015
508	121	40	友だち★4		58	3	50005
509	121	45	友だち★5		59	2	999052
510	121	50	気になる存在★1		60	1	3
511	121	50	気になる存在★1		60	3	20016
512	121	55	気になる存在★2		61	3	20011
513	121	60	気になる存在★3		62	3	50006
514	121	65	気になる存在★4		63	2	999062
515	121	70	気になる存在★5		64	3	20018
516	121	70	気になる存在★5		64	3	20020
517	122	1	顔見知り★1		50	1	1
518	122	5	顔見知り★2		51	2	2
519	122	10	顔見知り★3		52	3	20003
520	122	15	顔見知り★4		53	3	50003
521	122	20	顔見知り★5		54	2	999032
522	122	25	友だち★1		55	1	2
523	122	25	友だち★1		55	3	20006
524	122	30	友だち★2		56	2	3
525	122	35	友だち★3		57	3	20007
526	122	40	友だち★4		58	3	50005
527	122	45	友だち★5		59	2	999052
528	122	50	気になる存在★1		60	1	3
529	122	50	気になる存在★1		60	3	20008
530	122	55	気になる存在★2		61	3	20009
531	122	60	気になる存在★3		62	3	50006
532	122	65	気になる存在★4		63	2	999062
533	122	70	気になる存在★5		64	3	20010
534	122	70	気になる存在★5		64	3	20012
535	131	1	顔見知り★1		50	1	1
536	131	5	顔見知り★2		51	2	2
537	131	10	顔見知り★3		52	3	20013
538	131	15	顔見知り★4		53	3	50003
539	131	20	顔見知り★5		54	2	999032
540	131	25	友だち★1		55	1	2
541	131	25	友だち★1		55	3	20014
542	131	30	友だち★2		56	2	3
543	131	35	友だち★3		57	3	20015
544	131	40	友だち★4		58	3	50005
545	131	45	友だち★5		59	2	999052
546	131	50	気になる存在★1		60	1	3
547	131	50	気になる存在★1		60	3	20016
548	131	55	気になる存在★2		61	3	20011
549	131	60	気になる存在★3		62	3	50006
550	131	65	気になる存在★4		63	2	999062
551	131	70	気になる存在★5		64	3	20018
552	131	70	気になる存在★5		64	3	20020
613	161	1	顔見知り★1		50	1	1
614	161	5	顔見知り★2		51	2	2
615	161	10	顔見知り★3		52	3	20007
616	161	15	顔見知り★4		53	3	50003
617	161	20	顔見知り★5		54	2	999032
618	161	25	友だち★1		55	1	2
619	161	25	友だち★1		55	3	20008
620	161	30	友だち★2		56	2	3
621	161	35	友だち★3		57	3	20009
622	161	40	友だち★4		58	3	50005
623	161	45	友だち★5		59	2	999052
624	161	50	気になる存在★1		60	1	3
625	161	50	気になる存在★1		60	3	20010
626	161	55	気になる存在★2		61	3	20011
627	161	60	気になる存在★3		62	3	50006
628	161	65	気になる存在★4		63	2	999062
629	161	70	気になる存在★5		64	3	20012
630	161	70	気になる存在★5		64	3	20013
