id	login_num	reward_id	special_flag
150017	3	50001703	
150017	4	50001704	
150017	5	50001705	
150017	6	50001706	
150017	7	50001707	
150017	8	50001708	
150017	9	50001709	
150017	10	50001710	
150018	1	50001801	
150018	2	50001802	
150018	3	50001803	
150018	4	50001804	
150018	5	50001805	
150018	6	50001806	
150018	7	50001807	
150019	1	50001901	
150019	2	50001902	
150019	3	50001903	
150019	4	50001904	
150019	5	50001905	
150019	6	50001906	
150019	7	50001907	
300001	1	130000101	
300001	2	130000102	
300001	3	130000103	
300001	4	130000104	
300001	5	130000105	
300001	6	130000106	
300001	7	130000107	
300001	8	130000108	
300001	9	130000109	
300001	10	130000110	
300001	11	130000111	
300002	1	130000201	
300003	1	130000301	
300003	2	130000302	
300003	3	130000303	
300003	4	130000304	
300003	5	130000305	
300003	6	130000306	
300003	7	130000307	
300003	8	130000308	
300003	9	130000309	
300003	10	130000310	
300004	1	130000401	
300004	2	130000402	
300004	3	130000403	
300004	4	130000404	
300004	5	130000405	
300004	6	130000406	
300004	7	130000407	
600000	1	160000001	
600000	2	160000002	
600000	3	160000003	
600000	4	160000004	
600000	5	160000005	
600000	6	160000006	
600000	7	160000007	
600000	8	160000008	
600000	9	160000009	
600000	10	160000010	
600000	11	160000011	
600000	12	160000012	
600000	13	160000013	
600000	14	160000014	
600000	15	160000015	
600000	16	160000016	
600000	17	160000017	
600000	18	160000018	
600000	19	160000019	
600000	20	160000020	
600000	21	160000021	
600000	22	160000022	
600000	23	160000023	
600000	24	160000024	
600000	25	160000025	
600000	26	160000026	
600000	27	160000027	
600000	28	160000028	
600000	29	160000029	
600000	30	160000030	
600000	31	160000031	
600003	1	160000301	
600003	2	160000302	
600003	3	160000303	
600003	4	160000304	
600003	5	160000305	
600003	6	160000306	
600003	7	160000307	
600003	8	160000308	
600003	9	160000309	
600003	10	160000310	
600003	11	160000311	
600003	12	160000312	
600003	13	160000313	
600003	14	160000314	
600003	15	160000315	
600003	16	160000316	
600003	17	160000317	
600003	18	160000318	
600003	19	160000319	
600003	20	160000320	
600003	21	160000321	
600003	22	160000322	
600003	23	160000323	
600003	24	160000324	
600003	25	160000325	
600003	26	160000326	
600003	27	160000327	
600003	28	160000328	
600003	29	160000329	
600003	30	160000330	
600003	31	160000331	
600004	1	160000301	
600004	2	160000302	
600004	3	160000303	
600004	4	160000304	
600004	5	160000305	
600004	6	160000306	
600004	7	160000307	
600004	8	160000308	
600004	9	160000309	
600004	10	160000310	
600004	11	160000311	
600004	12	160000312	
600004	13	160000313	
600004	14	160000314	
600004	15	160000315	
600004	16	160000316	
600004	17	160000317	
600004	18	160000318	
600004	19	160000319	
600004	20	160000320	
600004	21	160000321	
600004	22	160000322	
600004	23	160000323	
600004	24	160000324	
600004	25	160000325	
600004	26	160000326	
600004	27	160000327	
600004	28	160000328	
600004	29	160000329	
600004	30	160000330	
600004	31	160000331	
600005	1	160000301	
600005	2	160000302	
600005	3	160000303	
600005	4	160000304	
600005	5	160000305	
600005	6	160000306	
600005	7	160000307	
600005	8	160000308	
600005	9	160000309	
600005	10	160000310	
600005	11	160000311	
600005	12	160000312	
600005	13	160000313	
600005	14	160000314	
600005	15	160000315	
600005	16	160000316	
600005	17	160000317	
600005	18	160000318	
600005	19	160000319	
600005	20	160000320	
600005	21	160000321	
600005	22	160000322	
600005	23	160000323	
600005	24	160000324	
600005	25	160000325	
600005	26	160000326	
600005	27	160000327	
600005	28	160000328	
600005	29	160000329	
600005	30	160000330	
6000001	1	160000101	
6000001	2	160000102	
6000001	3	160000103	
6000001	4	160000104	
6000001	5	160000105	
6000001	6	160000106	
6000001	7	160000107	
6000001	8	160000108	
6000001	9	160000109	
6000001	10	160000110	
6000001	11	160000111	
6000001	12	160000112	
6000001	13	160000113	
6000001	14	160000114	
6000001	15	160000115	
6000001	16	160000116	
6000001	17	160000117	
6000001	18	160000118	
6000001	19	160000119	
6000001	20	160000120	
6000001	21	160000121	
6000001	22	160000122	
6000001	23	160000123	
6000001	24	160000124	
6000001	25	160000125	
6000001	26	160000126	
6000001	27	160000127	
6000001	28	160000128	
6000001	29	160000129	
