id	type	target_id	message_text_id	motion_id	cond_type	cond_type2	cond1	cond2	cond3	cond_start_time	cond_end_time	cond_start_date	cond_end_date	leavetime	resource_id	gear_id	weight	response_id	response_min	response_max	is_sleeping	open_date	close_date
1008003	1	3	410	laugh_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1008		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1008004	1	4	613	sorrow_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1008		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1008005	1	5	816	insight_2l	2	1				43200	61199	2020-03-01 00:00:00	2100-05-31 23:59:59		1008		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1011001	1	1	7	neglect3_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1011		2	1011001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1011002	1	2	211	neglect2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1011		2	1011002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1011003	1	3	411	joy2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1011		2	1011003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1011004	1	4	614	shy2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1011		2	1011004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1011005	1	5	817	insight2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1011		2	1011005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1012001	1	1	8	laugh_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1012		2	1012001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1012002	1	2	212	reach_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1012		2	1012002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1012003	1	3	412	joy_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1012		2	1012003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1012004	1	4	615	reach_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1012		2	1012004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1012005	1	5	818	reach_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1012		2	1012005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1013001	1	1	9	joy2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1013		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1013002	1	2	213	insight2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1013		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1013003	1	3	413	insight2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1013		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1013004	1	4	616	joy2_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1013		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1013005	1	5	819	idle1_2l	2	1				61200	68399	2020-03-01 00:00:00	2100-05-31 23:59:59		1013		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1016001	1	1	10	-1	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1016		2	1016001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1016002	1	2	214	shy2_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1016		2	1016002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1016003	1	3	414	banzai1_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1016		2	1016003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1016004	1	4	617	laugh_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1016		2	1016004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1016005	1	5	820	neglect2_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1016		2	1016005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1017001	1	1	11	sorrow2_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1017		2	1017001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1017002	1	2	215	sorrow2_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1017		2	1017002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1017003	1	3	415	insight2_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1017		2	1017003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1017004	1	4	618	laugh2_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1017		2	1017004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1017005	1	5	821	sorrow2_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1017		2	1017005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1018001	1	1	12	surprise_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1018		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1018002	1	2	216	idle1_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1018		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1018003	1	3	416	insight_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1018		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1018004	1	4	619	neglect1_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1018		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1018005	1	5	822	insight_2l	2	1				68400	21599	2020-03-01 00:00:00	2100-05-31 23:59:59		1018		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1021001	1	1	13	sorrow_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1021		2	1021001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1021002	1	2	217	sorrow_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1021		2	1021002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1021003	1	3	417	sorrow_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1021		2	1021003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1021004	1	4	620	shy_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1021		2	1021004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1021005	1	5	823	shy_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1021		2	1021005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1022001	1	1	14	neglect2_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1022		2	1022001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1022002	1	2	218	idle1_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1022		2	1022002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1022003	1	3	418	joy2_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1022		2	1022003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1022004	1	4	621	insight_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1022		2	1022004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1022005	1	5	824	sorrow2_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1022		2	1022005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1023001	1	1	15	insight_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1023		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1023002	1	2	219	grasp_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1023		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1023003	1	3	419	unique1_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1023		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1023004	1	4	622	surprise2_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1023		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1023005	1	5	825	laugh2_2l	2	1				21600	43199	2020-06-01 00:00:00	2100-08-31 23:59:59		1023		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1026001	1	1	16	joy_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1026		2	1026001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1026002	1	2	220	insight2_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1026		2	1026002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1026003	1	3	420	banzai1_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1026		2	1026003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1026004	1	4	623	laugh_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1026		2	1026004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1026005	1	5	826	neglect2_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1026		2	1026005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1027001	1	1	17	insight_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1027		2	1027001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1027002	1	2	221	neglect2_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1027		2	1027002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1027003	1	3	421	reach_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1027		2	1027003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1027004	1	4	624	joy_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1027		2	1027004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1027005	1	5	827	insight_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1027		2	1027005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1028001	1	1	18	joy2_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1028		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1028002	1	2	222	surprise2_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1028		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1028003	1	3	422	neglect2_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1028		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1028004	1	4	625	insight2_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1028		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1028005	1	5	828	shy_2l	2	1				43200	61199	2020-06-01 00:00:00	2100-08-31 23:59:59		1028		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1031001	1	1	19	reach_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1031		2	1031001	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1031002	1	2	223	breath_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1031		2	1031002	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1031003	1	3	423	neglect3_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1031		2	1031003	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1031004	1	4	626	shy_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1031		2	1031004	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1031005	1	5	829	idle1_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1031		2	1031005	1	4		2020-01-01 00:00:00	2100-12-31 00:00:00
1032001	1	1	20	laugh_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1032		2	1032001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1032002	1	2	224	joy2_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1032		2	1032002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1032003	1	3	424	breath_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1032		2	1032003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1032004	1	4	627	insight_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1032		2	1032004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1032005	1	5	830	positive	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1032		2	1032005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1033001	1	1	21	sorrow_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1033		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1033002	1	2	225	idle1_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1033		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1033003	1	3	425	sorrow_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1033		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1033004	1	4	628	clap_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1033		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1033005	1	5	831	neglect2_2l	2	1				61200	68399	2020-06-01 00:00:00	2100-08-31 23:59:59		1033		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1036001	1	1	22	idle1_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1036		2	1036001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1036002	1	2	226	sorrow_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1036		2	1036002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1036003	1	3	426	insight_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1036		2	1036003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1036004	1	4	629	joy2_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1036		2	1036004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1036005	1	5	832	laugh_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1036		2	1036005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1037001	1	1	23	talk_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1037		2	1037001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1037002	1	2	227	panic2_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1037		2	1037002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1037003	1	3	427	joy_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1037		2	1037003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1037004	1	4	630	insight_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1037		2	1037004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1037005	1	5	833	joy2_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1037		2	1037005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1038001	1	1	24	surprise2_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1038		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1038002	1	2	228	idle1_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1038		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1038003	1	3	428	joy2_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1038		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1038004	1	4	631	shy2_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1038		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1038005	1	5	834	neglect2_2l	2	1				68400	21599	2020-06-01 00:00:00	2100-08-31 23:59:59		1038		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1041001	1	1	25	insight_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1041		2	1041001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1041002	1	2	229	panic2_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1041		2	1041002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1041003	1	3	429	joy_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1041		2	1041003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1041004	1	4	632	laugh_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1041		2	1041004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1041005	1	5	835	talk_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1041		2	1041005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1042001	1	1	26	neglect1_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1042		2	1042001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1042002	1	2	230	idle1_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1042		2	1042002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1042003	1	3	430	positive	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1042		2	1042003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1042004	1	4	633	shy_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1042		2	1042004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1042005	1	5	836	laugh2_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1042		2	1042005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1043001	1	1	27	banzai1_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1043		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1043002	1	2	231	idle1_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1043		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1043003	1	3	431	insight2_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1043		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1043004	1	4	634	laugh2_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1043		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1043005	1	5	837	joy2_2l	2	1				21600	43199	2020-09-01 00:00:00	2100-11-30 23:59:59		1043		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1046001	1	1	28	neglect2_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1046		2	1046001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1046002	1	2	232	neglect2_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1046		2	1046002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1046003	1	3	432	insight_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1046		2	1046003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1046004	1	4	635	laugh_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1046		2	1046004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1046005	1	5	838	talk_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1046		2	1046005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1047001	1	1	29	joy2_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1047		2	1047001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1047002	1	2	233	insight2_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1047		2	1047002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1047003	1	3	433	shy_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1047		2	1047003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1047004	1	4	636	joy_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1047		2	1047004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1047005	1	5	839	insight2_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1047		2	1047005	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1048001	1	1	30	joy_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1048		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1048002	1	2	234	positive	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1048		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1048003	1	3	434	panic2_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1048		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1048004	1	4	637	insight_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1048		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1048005	1	5	840	laugh_2l	2	1				43200	61199	2020-09-01 00:00:00	2100-11-30 23:59:59		1048		1					2020-01-01 00:00:00	2100-12-31 00:00:00
1051001	1	1	31	laugh_2l	2	1				61200	68399	2020-09-01 00:00:00	2100-11-30 23:59:59		1051		2	1051001	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1051002	1	2	235	shy2_2l	2	1				61200	68399	2020-09-01 00:00:00	2100-11-30 23:59:59		1051		2	1051002	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1051003	1	3	435	joy2_2l	2	1				61200	68399	2020-09-01 00:00:00	2100-11-30 23:59:59		1051		2	1051003	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
1051004	1	4	638	laugh_2l	2	1				61200	68399	2020-09-01 00:00:00	2100-11-30 23:59:59		1051		2	1051004	1	2		2020-01-01 00:00:00	2100-12-31 00:00:00
