id	encore_id	feature_id	rank	rating	upper	lower	duration	exp	boost_item_effect	weight	ep_coefficient	information	character_id	clothes_id	model_id	advantage1	advantage2	advantage3	advantage4	advantage5	rank_score_s	rank_score_a	rank_score_b	rank_score_c	rank_score_d
701029	70102	701	29	1089	28	30		10	10	24	25.0	0	31	1	1						250	200	150	100	50
701030	70103	701	30	1150	28	30		10	10	12	31.0	0	31	1	1						250	200	150	100	50
701031	70101	701	31	1212	31	33		10	10	58	22.0	0	31	1	1						250	200	150	100	50
701032	70102	701	32	1275	31	33		10	10	27	27.0	0	31	1	1						250	200	150	100	50
701033	70103	701	33	1340	31	33		10	10	14	33.0	0	31	1	1						250	200	150	100	50
701034	70101	701	34	1406	34	36		10	10	52	23.0	0	31	1	1						250	200	150	100	50
701035	70102	701	35	1473	34	36		10	10	31	28.0	0	31	1	1						250	200	150	100	50
701036	70103	701	36	1541	34	36		10	10	17	35.0	0	31	1	1						250	200	150	100	50
701037	70101	701	37	1610	37	39		10	10	44	25.0	0	31	1	1						250	200	150	100	50
701038	70102	701	38	1681	37	39		10	10	35	30.0	0	31	1	1						250	200	150	100	50
701039	70103	701	39	1752	37	39		10	10	21	37.0	0	31	1	1						250	200	150	100	50
701040	70101	701	40	1825	40	42		10	10	35	26.0	0	31	1	1						250	200	150	100	50
701041	70102	701	41	1899	40	42		10	10	40	31.0	0	31	1	1						250	200	150	100	50
701042	70103	701	42	1973	40	42		10	10	25	39.0	0	31	1	1						250	200	150	100	50
701043	70101	701	43	2049	43	45		10	10	25	27.0	0	31	1	1						250	200	150	100	50
701044	70102	701	44	2126	43	45		10	10	46	33.0	0	31	1	1						250	200	150	100	50
701045	70103	701	45	2204	43	45		10	10	29	41.0	0	31	1	1						250	200	150	100	50
701046	70101	701	46	2283	46	48		10	10	13	28.0	0	31	1	1						250	200	150	100	50
701047	70102	701	47	2364	46	48		10	10	53	34.0	0	31	1	1						250	200	150	100	50
701048	70103	701	48	2445	46	48		10	10	34	43.0	0	31	1	1						250	200	150	100	50
701049	70102	701	49	2527	49	50		10	10	60	36.0	0	31	1	1						250	200	150	100	50
701050	70103	701	50	2610	49	50		10	10	40	45.0	0	31	1	1						250	200	150	100	50
901001	90101	901	1		1	3		10	10	80	2.0	0	31	1	1						250	200	150	100	50
901002	90102	901	2	10	1	3		10	10	15	3.0	0	31	1	1						250	200	150	100	50
901003	90103	901	3	24	1	3		10	10	5	4.0	0	31	1	1						250	200	150	100	50
901004	90101	901	4	41	4	6		10	10	80	2.0	0	31	1	1						250	200	150	100	50
901005	90102	901	5	61	4	6		10	10	15	3.0	0	31	1	1						250	200	150	100	50
901006	90103	901	6	83	4	6		10	10	5	4.0	0	31	1	1						250	200	150	100	50
901007	90101	901	7	108	7	9		10	10	80	2.0	0	31	1	1						250	200	150	100	50
901008	90102	901	8	134	7	9		10	10	15	3.0	0	31	1	1						250	200	150	100	50
901009	90103	901	9	163	7	9		10	10	5	4.0	0	31	1	1						250	200	150	100	50
901010	90101	901	10	194	10	12		10	10	79	2.0	0	31	1	1						250	200	150	100	50
901011	90102	901	11	227	10	12		10	10	16	3.0	0	31	1	1						250	200	150	100	50
901012	90103	901	12	262	10	12		10	10	5	4.0	0	31	1	1						250	200	150	100	50
901013	90101	901	13	298	13	15		10	10	78	3.0	0	31	1	1						250	200	150	100	50
901014	90102	901	14	336	13	15		10	10	16	4.0	0	31	1	1						250	200	150	100	50
901015	90103	901	15	376	13	15		10	10	6	5.0	0	31	1	1						250	200	150	100	50
901016	90101	901	16	417	16	18		10	10	77	3.0	0	31	1	1						250	200	150	100	50
901017	90102	901	17	460	16	18		10	10	17	4.0	0	31	1	1						250	200	150	100	50
901018	90103	901	18	505	16	18		10	10	7	5.0	0	31	1	1						250	200	150	100	50
901019	90101	901	19	551	19	21		10	10	74	4.0	0	31	1	1						250	200	150	100	50
901020	90102	901	20	599	19	21		10	10	18	5.0	0	31	1	1						250	200	150	100	50
901021	90103	901	21	648	19	21		10	10	7	6.0	0	31	1	1						250	200	150	100	50
901022	90101	901	22	698	22	24		10	10	72	4.0	0	31	1	1						250	200	150	100	50
901023	90102	901	23	750	22	24		10	10	20	5.0	0	31	1	1						250	200	150	100	50
901024	90103	901	24	803	22	24		10	10	9	6.0	0	31	1	1						250	200	150	100	50
901025	90101	901	25	858	25	27		10	10	68	4.0	0	31	1	1						250	200	150	100	50
901026	90102	901	26	913	25	27		10	10	22	5.0	0	31	1	1						250	200	150	100	50
901027	90103	901	27	971	25	27		10	10	10	6.0	0	31	1	1						250	200	150	100	50
901028	90101	901	28	1029	28	30		10	10	64	5.0	0	31	1	1						250	200	150	100	50
901029	90102	901	29	1089	28	30		10	10	24	6.0	0	31	1	1						250	200	150	100	50
901030	90103	901	30	1150	28	30		10	10	12	7.0	0	31	1	1						250	200	150	100	50
901031	90101	901	31	1212	31	33		10	10	58	5.0	0	31	1	1						250	200	150	100	50
901032	90102	901	32	1275	31	33		10	10	27	6.0	0	31	1	1						250	200	150	100	50
901033	90103	901	33	1340	31	33		10	10	14	7.0	0	31	1	1						250	200	150	100	50
901034	90101	901	34	1406	34	36		10	10	52	5.0	0	31	1	1						250	200	150	100	50
901035	90102	901	35	1473	34	36		10	10	31	6.0	0	31	1	1						250	200	150	100	50
901036	90103	901	36	1541	34	36		10	10	17	7.0	0	31	1	1						250	200	150	100	50
901037	90101	901	37	1610	37	39		10	10	44	6.0	0	31	1	1						250	200	150	100	50
901038	90102	901	38	1681	37	39		10	10	35	7.0	0	31	1	1						250	200	150	100	50
901039	90103	901	39	1752	37	39		10	10	21	8.0	0	31	1	1						250	200	150	100	50
901040	90101	901	40	1825	40	42		10	10	35	6.0	0	31	1	1						250	200	150	100	50
901041	90102	901	41	1899	40	42		10	10	40	7.0	0	31	1	1						250	200	150	100	50
901042	90103	901	42	1973	40	42		10	10	25	8.0	0	31	1	1						250	200	150	100	50
901043	90101	901	43	2049	43	45		10	10	25	6.0	0	31	1	1						250	200	150	100	50
901044	90102	901	44	2126	43	45		10	10	46	7.0	0	31	1	1						250	200	150	100	50
901045	90103	901	45	2204	43	45		10	10	29	8.0	0	31	1	1						250	200	150	100	50
901046	90101	901	46	2283	46	48		10	10	13	6.0	0	31	1	1						250	200	150	100	50
901047	90102	901	47	2364	46	48		10	10	53	7.0	0	31	1	1						250	200	150	100	50
901048	90103	901	48	2445	46	48		10	10	34	8.0	0	31	1	1						250	200	150	100	50
901049	90101	901	49	2527	49	50		10	10	60	9.0	0	31	1	1						250	200	150	100	50
901050	90102	901	50	2610	49	50		10	10	40	10.0	0	31	1	1						250	200	150	100	50
