id	type	profile	shadow	stage_id	puzzle_id	background	bgm_text_id	popratio_id	limit_type	limit_count	use_full_count	gimmick_design
102227	1	3	1	102227	200201400	10120318	2002	6	1	20		
102228	2	3	1	102228	200203400	10120318	2002	6	1	20		
102229	1	3	1	102229	200201500	10120321	2002	6	1	20		
102230	2	3	1	102230	200203500	10120321	2002	6	1	20		
102231	1	3	1	102231	200201600	10120337	2002	6	1	20		
102232	2	3	1	102232	200203600	10120337	2002	6	1	20		
102233	1	3	1	102233	200201700	10120338	2002	6	1	20		
102234	2	3	1	102234	200203700	10120338	2002	6	1	20		
102235	1	3	1	102235	200201800	10111022	2002	6	1	20		
102236	2	3	1	102236	200203800	10111022	2002	6	1	20		
102237	1	3	1	102237	200201900	10111022	2002	6	1	20		
102238	2	3	1	102238	200203900	10111022	2002	6	1	20		
102239	1	3	1	102239	200204000	10111022	2002	6	1	20		
102240	2	3	1	102240	200202000	10110007	2002	6	1	20		
102301	2	3	1	102301	200200100	10111015	2002	6	1	20		
102302	1	3	1	102302	200202100	10111015	2002	6	1	20		
102303	1	3	1	102303	200200200	10111016	2002	6	1	20		
102304	2	3	1	102304	200202200	10111016	2002	6	1	20		
102305	1	3	1	102305	200200300	10110006	2002	6	1	20		
102306	2	3	1	102306	200202300	10110006	2002	6	1	30		
102307	1	3	1	102307	200200700	10111019	2002	6	1	20		
102308	2	3	1	102308	200202400	10111019	2002	6	2	60		
102309	1	3	1	102309	200200400	10110006	2002	6	1	15		
102310	2	3	1	102310	200202500	10110006	2002	6	1	20		
102311	1	3	1	102311	200200500	10110006	2002	6	1	20		
102312	2	3	1	102312	200202600	10110006	2002	6	1	30		
102313	1	3	1	102313	200201300	10111021	2002	6	1	15		
102314	2	3	1	102314	200202700	10111021	2002	6	1	30		
102315	1	3	1	102315	200200600	10110006	2002	6	1	20		
102316	2	3	1	102316	200202800	10110006	2002	6	1	20		
102317	1	3	1	102317	200200800	10111013	2002	6	1	20		
102318	2	3	1	102318	200202900	10111013	2002	6	1	20		
102319	1	3	1	102319	200200900	10111020	2002	6	1	20		
102320	2	3	1	102320	200203000	10111020	2002	6	1	30		
102321	2	3	1	102321	200201000	10111020	2002	6	1	20		
102322	1	3	1	102322	200203100	10111020	2002	6	1	20		
102323	1	3	1	102323	200201100	10111016	2002	6	1	20		
102324	2	3	1	102324	200203200	10111016	2002	6	1	20		
102325	1	3	1	102325	200201200	10111021	2002	6	1	20		
102326	2	3	1	102326	200203300	10111021	2002	6	1	20		
102327	1	3	1	102327	200201400	10120318	2002	6	1	20		
102328	2	3	1	102328	200203400	10120318	2002	6	1	20		
102329	1	3	1	102329	200201500	10120321	2002	6	1	20		
102330	2	3	1	102330	200203500	10120321	2002	6	1	20		
102331	1	3	1	102331	200201600	10120337	2002	6	1	20		
102332	2	3	1	102332	200203600	10120337	2002	6	1	20		
102333	1	3	1	102333	200201700	10120338	2002	6	1	20		
102334	2	3	1	102334	200203700	10120338	2002	6	1	20		
102335	1	3	1	102335	200201800	10111022	2002	6	1	20		
102336	2	3	1	102336	200203800	10111022	2002	6	1	20		
102337	1	3	1	102337	200201900	10111022	2002	6	1	20		
102338	2	3	1	102338	200203900	10111022	2002	6	1	20		
102339	1	3	1	102339	200204000	10111022	2002	6	1	20		
102340	2	3	1	102340	200202000	10110007	2002	6	1	20		
103101	2	1		103101	200300100	10111023	2003	6	1	20		
103102	1	1		103102	200302100	10111023	2003	6	1	20		
103103	1	1		103103	200300200	10111023	2003	6	1	20		
103104	2	1		103104	200302200	10111023	2003	6	1	30		
103105	1	1		103105	200300300	10111019	2003	6	1	20		
103106	2	1		103106	200302300	10111019	2003	6	1	20		
103107	1	1		103107	200300400	10120401	2003	6	1	20		
103108	2	1		103108	200302400	10120401	2003	6	1	30		
103109	1	1		103109	200300500	10120427	2003	6	1	25		
103110	2	1		103110	200302500	10120427	2003	6	1	20		
103111	1	1		103111	200300600	10111025	2003	6	1	30		
103112	2	1		103112	200302600	10111025	2003	6	1	20		
103113	1	1		103113	200300700	10111025	2003	6	1	20		
103114	2	1		103114	200302700	10111025	2003	6	1	25		
103115	1	1		103115	200300800	10111026	2003	6	1	20		
103116	2	1		103116	200302800	10111026	2003	6	1	20		
103117	1	1		103117	200300900	10111026	2003	6	1	20		
103118	2	1		103118	200302900	10111026	2003	6	1	25		
103119	1	1		103119	200301000	10111026	2003	6	2	120		
103120	2	1		103120	200303000	10111026	2003	6	1	25		
103121	2	1		103121	200301100	10111027	2003	6	1	20		
103122	1	1		103122	200303100	10111027	2003	6	1	20		
103123	1	1		103123	200301200	10111028	2003	6	1	20		
103124	2	1		103124	200303200	10111028	2003	6	1	20		
103125	1	1		103125	200301300	10111028	2003	6	1	20		
103126	2	1		103126	200303300	10111028	2003	6	1	20		
103127	1	1		103127	200301400	10110008	2003	6	1	20		
103128	2	1		103128	200303400	10110008	2003	6	1	20		
103129	1	1		103129	200301500	10110008	2003	6	1	20		
103130	2	1		103130	200303500	10110008	2003	6	1	20		
103131	1	1		103131	200301600	10111027	2003	6	1	20		
103132	2	1		103132	200303600	10111027	2003	6	1	20		
103133	1	1		103133	200301700	10111029	2003	6	1	20		
103134	2	1		103134	200303700	10111029	2003	6	1	20		
103135	1	1		103135	200301800	10111025	2003	6	1	20		
103136	2	1		103136	200303800	10111025	2003	6	1	20		
103137	1	1		103137	200301900	10111025	2003	6	1	20		
103138	2	1		103138	200303900	10111025	2003	6	1	20		
103139	1	1		103139	200304000	10111025	2003	6	1	20		
103140	2	1		103140	200302000	10120533	2003	6	1	20		
103201	2	1		103201	200300100	10111023	2003	6	1	20		
103202	1	1		103202	200302100	10111023	2003	6	1	20		
103203	1	1		103203	200300200	10111023	2003	6	1	20		
103204	2	1		103204	200302200	10111023	2003	6	1	30		
103205	1	1		103205	200300300	10111019	2003	6	1	20		
103206	2	1		103206	200302300	10111019	2003	6	1	20		
103207	1	1		103207	200300400	10120401	2003	6	1	20		
103208	2	1		103208	200302400	10120401	2003	6	1	30		
103209	1	1		103209	200300500	10120427	2003	6	1	25		
103210	2	1		103210	200302500	10120427	2003	6	1	20		
103211	1	1		103211	200300600	10111025	2003	6	1	30		
103212	2	1		103212	200302600	10111025	2003	6	1	20		
103213	1	1		103213	200300700	10111025	2003	6	1	20		
103214	2	1		103214	200302700	10111025	2003	6	1	25		
103215	1	1		103215	200300800	10111026	2003	6	1	20		
103216	2	1		103216	200302800	10111026	2003	6	1	20		
103217	1	1		103217	200300900	10111026	2003	6	1	20		
103218	2	1		103218	200302900	10111026	2003	6	1	25		
103219	1	1		103219	200301000	10111026	2003	6	2	120		
103220	2	1		103220	200303000	10111026	2003	6	1	25		
103221	2	1		103221	200301100	10111027	2003	6	1	20		
103222	1	1		103222	200303100	10111027	2003	6	1	20		
103223	1	1		103223	200301200	10111028	2003	6	1	20		
103224	2	1		103224	200303200	10111028	2003	6	1	20		
103225	1	1		103225	200301300	10111028	2003	6	1	20		
103226	2	1		103226	200303300	10111028	2003	6	1	20		
103227	1	1		103227	200301400	10110008	2003	6	1	20		
103228	2	1		103228	200303400	10110008	2003	6	1	20		
103229	1	1		103229	200301500	10110008	2003	6	1	20		
103230	2	1		103230	200303500	10110008	2003	6	1	20		
103231	1	1		103231	200301600	10111027	2003	6	1	20		
103232	2	1		103232	200303600	10111027	2003	6	1	20		
103233	1	1		103233	200301700	10111029	2003	6	1	20		
103234	2	1		103234	200303700	10111029	2003	6	1	20		
103235	1	1		103235	200301800	10111025	2003	6	1	20		
103236	2	1		103236	200303800	10111025	2003	6	1	20		
103237	1	1		103237	200301900	10111025	2003	6	1	20		
103238	2	1		103238	200303900	10111025	2003	6	1	20		
103239	1	1		103239	200304000	10111025	2003	6	1	20		
103240	2	1		103240	200302000	10120533	2003	6	1	20		
103301	2	1		103301	200300100	10111023	2003	6	1	20		
103302	1	1		103302	200302100	10111023	2003	6	1	20		
103303	1	1		103303	200300200	10111023	2003	6	1	20		
103304	2	1		103304	200302200	10111023	2003	6	1	30		
103305	1	1		103305	200300300	10111019	2003	6	1	20		
103306	2	1		103306	200302300	10111019	2003	6	1	20		
103307	1	1		103307	200300400	10120401	2003	6	1	20		
103308	2	1		103308	200302400	10120401	2003	6	1	30		
103309	1	1		103309	200300500	10120427	2003	6	1	25		
103310	2	1		103310	200302500	10120427	2003	6	1	20		
103311	1	1		103311	200300600	10111025	2003	6	1	30		
103312	2	1		103312	200302600	10111025	2003	6	1	20		
103313	1	1		103313	200300700	10111025	2003	6	1	20		
103314	2	1		103314	200302700	10111025	2003	6	1	25		
103315	1	1		103315	200300800	10111026	2003	6	1	20		
103316	2	1		103316	200302800	10111026	2003	6	1	20		
103317	1	1		103317	200300900	10111026	2003	6	1	20		
103318	2	1		103318	200302900	10111026	2003	6	1	25		
103319	1	1		103319	200301000	10111026	2003	6	2	120		
103320	2	1		103320	200303000	10111026	2003	6	1	25		
103321	2	1		103321	200301100	10111027	2003	6	1	20		
103322	1	1		103322	200303100	10111027	2003	6	1	20		
103323	1	1		103323	200301200	10111028	2003	6	1	20		
103324	2	1		103324	200303200	10111028	2003	6	1	20		
103325	1	1		103325	200301300	10111028	2003	6	1	20		
103326	2	1		103326	200303300	10111028	2003	6	1	20		
103327	1	1		103327	200301400	10110008	2003	6	1	20		
103328	2	1		103328	200303400	10110008	2003	6	1	20		
103329	1	1		103329	200301500	10110008	2003	6	1	20		
103330	2	1		103330	200303500	10110008	2003	6	1	20		
103331	1	1		103331	200301600	10111027	2003	6	1	20		
103332	2	1		103332	200303600	10111027	2003	6	1	20		
103333	1	1		103333	200301700	10111029	2003	6	1	20		
103334	2	1		103334	200303700	10111029	2003	6	1	20		
103335	1	1		103335	200301800	10111025	2003	6	1	20		
103336	2	1		103336	200303800	10111025	2003	6	1	20		
103337	1	1		103337	200301900	10111025	2003	6	1	20		
103338	2	1		103338	200303900	10111025	2003	6	1	20		
103339	1	1		103339	200304000	10111025	2003	6	1	20		
103340	2	1		103340	200302000	10120533	2003	6	1	20		
104101	2	1		104101	200400100	10120540	2001	6	1	25		
104102	1	1		104102	200400200	10120540	2001	6	1	25		
104103	1	1		104103	200400300	10120556	2001	6	1	27		
104104	2	1		104104	200400400	10120556	2001	6	1	20		
104105	1	1		104105	200400500	10120556	2001	12	2	90		
104106	2	1		104106	200400600	10120556	2001	6	1	20		
104107	1	1		104107	200400700	10111030	2001	6	1	25		
104108	2	1		104108	200400800	10111030	2001	6	1	20		
104109	1	1		104109	200400900	10111030	2001	6	1	20		
104110	2	1		104110	200401000	10111030	2001	6	1	25		
104111	1	1		104111	200401100	10120568	2001	6	1	20		
104112	2	1		104112	200401200	10120568	2001	6	1	30		
104113	1	1		104113	200401300	10111025	2001	6	1	25		
104114	2	1		104114	200401400	10111025	2001	6	1	30		
104115	1	1		104115	200401500	10111026	2001	6	2	60		
104116	2	1		104116	200401600	10111026	2001	6	1	20		
104117	1	1		104117	200401700	10111030	2001	6	1	25		
104118	2	1		104118	200401800	10111030	2001	6	1	25		
104119	1	1		104119	200401900	10111030	2001	6	1	20		
104120	2	1		104120	200402000	10111030	2001	6	1	25		
104121	1	1		104121	200402100	10110008	2001	6	1	25		
104122	2	1		104122	200402200	10110008	2001	6	1	25		
104123	1	1		104123	200402300	10110008	2001	6	1	25		
104124	2	1		104124	200402400	10110008	2001	6	1	25		
104125	1	1		104125	200402500	10111026	2001	6	1	25		
104126	2	1		104126	200402600	10111026	2001	6	1	25		
104127	1	1		104127	200402700	10111026	2001	6	1	25		
104128	2	1		104128	200402800	10111026	2001	6	1	25		
104129	1	1		104129	200402900	10111026	2001	6	1	25		
104130	2	1		104130	200403000	10111026	2001	6	1	25		
104131	1	1		104131	200403100	10120624	2001	6	1	25		
104132	2	1		104132	200403200	10120624	2001	6	1	25		
104133	1	1		104133	200403300	10120634	2001	6	1	25		
104134	2	1		104134	200403400	10120634	2001	6	1	25		
104135	1	1		104135	200403500	10120634	2001	6	1	25		
104136	2	1		104136	200403600	10120634	2001	6	1	25		
104137	1	1		104137	200403700	10120639	2001	6	1	25		
104138	2	1		104138	200403800	10120639	2001	6	1	25		
104139	1	1		104139	200403900	10120639	2001	6	1	25		
104140	2	1		104140	200404000	10120645	2001	6	1	25		
104201	2	1		104201	200400100	10120540	2001	6	1	25		
104202	1	1		104202	200400200	10120540	2001	6	1	25		
104203	1	1		104203	200400300	10120556	2001	6	1	27		
104204	2	1		104204	200400400	10120556	2001	6	1	20		
104205	1	1		104205	200400500	10120556	2001	12	2	90		
104206	2	1		104206	200400600	10120556	2001	6	1	20		
104207	1	1		104207	200400700	10111030	2001	6	1	25		
104208	2	1		104208	200400800	10111030	2001	6	1	20		
104209	1	1		104209	200400900	10111030	2001	6	1	20		
104210	2	1		104210	200401000	10111030	2001	6	1	25		
104211	1	1		104211	200401100	10120568	2001	6	1	20		
104212	2	1		104212	200401200	10120568	2001	6	1	30		
104213	1	1		104213	200401300	10111025	2001	6	1	25		
104214	2	1		104214	200401400	10111025	2001	6	1	30		
104215	1	1		104215	200401500	10111026	2001	6	2	60		
104216	2	1		104216	200401600	10111026	2001	6	1	20		
104217	1	1		104217	200401700	10111030	2001	6	1	25		
104218	2	1		104218	200401800	10111030	2001	6	1	25		
104219	1	1		104219	200401900	10111030	2001	6	1	20		
104220	2	1		104220	200402000	10111030	2001	6	1	25		
104221	1	1		104221	200402100	10110008	2001	6	1	25		
104222	2	1		104222	200402200	10110008	2001	6	1	25		
104223	1	1		104223	200402300	10110008	2001	6	1	25		
104224	2	1		104224	200402400	10110008	2001	6	1	25		
104225	1	1		104225	200402500	10111026	2001	6	1	25		
104226	2	1		104226	200402600	10111026	2001	6	1	25		
104227	1	1		104227	200402700	10111026	2001	6	1	25		
104228	2	1		104228	200402800	10111026	2001	6	1	25		
104229	1	1		104229	200402900	10111026	2001	6	1	25		
104230	2	1		104230	200403000	10111026	2001	6	1	25		
104231	1	1		104231	200403100	10120624	2001	6	1	25		
104232	2	1		104232	200403200	10120624	2001	6	1	25		
104233	1	1		104233	200403300	10120634	2001	6	1	25		
104234	2	1		104234	200403400	10120634	2001	6	1	25		
104235	1	1		104235	200403500	10120634	2001	6	1	25		
104236	2	1		104236	200403600	10120634	2001	6	1	25		
104237	1	1		104237	200403700	10120639	2001	6	1	25		
104238	2	1		104238	200403800	10120639	2001	6	1	25		
104239	1	1		104239	200403900	10120639	2001	6	1	25		
104240	2	1		104240	200404000	10120645	2001	6	1	25		
104301	2	1		104301	200400100	10120540	2001	6	1	25		
104302	1	1		104302	200400200	10120540	2001	6	1	25		
104303	1	1		104303	200400300	10120556	2001	6	1	27		
104304	2	1		104304	200400400	10120556	2001	6	1	20		
104305	1	1		104305	200400500	10120556	2001	12	2	90		
104306	2	1		104306	200400600	10120556	2001	6	1	20		
104307	1	1		104307	200400700	10111030	2001	6	1	25		
104308	2	1		104308	200400800	10111030	2001	6	1	20		
104309	1	1		104309	200400900	10111030	2001	6	1	20		
104310	2	1		104310	200401000	10111030	2001	6	1	25		
104311	1	1		104311	200401100	10120568	2001	6	1	20		
104312	2	1		104312	200401200	10120568	2001	6	1	30		
104313	1	1		104313	200401300	10111025	2001	6	1	25		
104314	2	1		104314	200401400	10111025	2001	6	1	30		
104315	1	1		104315	200401500	10111026	2001	6	2	60		
104316	2	1		104316	200401600	10111026	2001	6	1	20		
104317	1	1		104317	200401700	10111030	2001	6	1	25		
104318	2	1		104318	200401800	10111030	2001	6	1	25		
104319	1	1		104319	200401900	10111030	2001	6	1	20		
104320	2	1		104320	200402000	10111030	2001	6	1	25		
104321	1	1		104321	200402100	10110008	2001	6	1	25		
104322	2	1		104322	200402200	10110008	2001	6	1	25		
104323	1	1		104323	200402300	10110008	2001	6	1	25		
104324	2	1		104324	200402400	10110008	2001	6	1	25		
104325	1	1		104325	200402500	10111026	2001	6	1	25		
104326	2	1		104326	200402600	10111026	2001	6	1	25		
104327	1	1		104327	200402700	10111026	2001	6	1	25		
104328	2	1		104328	200402800	10111026	2001	6	1	25		
104329	1	1		104329	200402900	10111026	2001	6	1	25		
104330	2	1		104330	200403000	10111026	2001	6	1	25		
104331	1	1		104331	200403100	10120624	2001	6	1	25		
104332	2	1		104332	200403200	10120624	2001	6	1	25		
104333	1	1		104333	200403300	10120634	2001	6	1	25		
104334	2	1		104334	200403400	10120634	2001	6	1	25		
104335	1	1		104335	200403500	10120634	2001	6	1	25		
104336	2	1		104336	200403600	10120634	2001	6	1	25		
104337	1	1		104337	200403700	10120639	2001	6	1	25		
104338	2	1		104338	200403800	10120639	2001	6	1	25		
104339	1	1		104339	200403900	10120639	2001	6	1	25		
104340	2	1		104340	200404000	10120645	2001	6	1	25		
