id	level	name_text_id	description_text_id	type	value	invoke_type	invoke_value1	invoke_value2	stage_type	target_stage	invoke_rate
9	2	229	272	2	200	4	5		1		
9	3	229	272	2	250	4	5		1		
9	4	229	272	2	300	4	5		1		
9	5	229	272	2	350	4	5		1		
9	6	229	272	2	400	4	5		1		
10	1	230	273	3	0.07	7	5		1		100
10	2	230	273	3	0.08	7	5		1		100
10	3	230	273	3	0.09	7	5		1		100
10	4	230	273	3	0.1	7	5		1		100
10	5	230	273	3	0.11	7	5		1		100
10	6	230	273	3	0.13	7	5		1		100
11	1	231	274	7	0.07	8			1		100
11	2	231	274	7	0.08	8			1		100
11	3	231	274	7	0.09	8			1		100
11	4	231	274	7	0.1	8			1		100
11	5	231	274	7	0.11	8			1		100
11	6	231	274	7	0.13	8			1		100
12	1	232	275	13	0.1	8			1		100
12	2	232	275	13	0.2	8			1		100
12	3	232	275	13	0.3	8			1		100
12	4	232	275	13	0.4	8			1		100
12	5	232	275	13	0.5	8			1		100
12	6	232	275	13	0.6	8			1		100
13	1	233	276	14	25	8			1		100
13	2	233	276	14	40	8			1		100
13	3	233	276	14	65	8			1		100
13	4	233	276	14	80	8			1		100
13	5	233	276	14	100	8			1		100
13	6	233	276	14	120	8			1		100
14	1	234	277	11	0.5	8			1		100
14	2	234	277	11	0.6	8			1		100
14	3	234	277	11	0.7	8			1		100
14	4	234	277	11	0.8	8			1		100
14	5	234	277	11	0.9	8			1		100
14	6	234	277	11	1	8			1		100
15	1	235	278	17	1	8			1		100
15	2	235	278	17	2	8			1		100
15	3	235	278	17	3	8			1		100
15	4	235	278	17	4	8			1		100
15	5	235	278	17	5	8			1		100
15	6	235	278	17	6	8			1		100
16	1	236	279	16	1	9			1		20
16	2	236	279	16	1	9			1		25
16	3	236	279	16	1	9			1		30
16	4	237	280	16	1	9			1		40
16	5	237	280	16	1	9			1		50
16	6	238	281	16	1	9			1		75
17	1	239	282	15	1	9			1		20
17	2	239	282	15	1	9			1		25
17	3	239	282	15	1	9			1		30
17	4	240	283	15	1	9			1		40
17	5	240	283	15	1	9			1		50
17	6	241	284	15	1	9			1		75
18	1	242	285	9	1	2			2		20
18	2	242	285	9	1	2			2		25
18	3	242	285	9	1	2			2		30
18	4	243	286	9	1	2			2		40
18	5	243	286	9	1	2			2		50
18	6	244	287	9	1	2			2		75
19	1	245	288	10	5	2			3		20
19	2	245	288	10	5	2			3		25
19	3	245	288	10	5	2			3		30
19	4	246	289	10	5	2			3		40
19	5	246	289	10	5	2			3		50
19	6	247	290	10	5	2			3		75
111	1	222	264	1	0.07	5	1		1		100
111	2	222	264	1	0.08	5	1		1		100
111	3	222	264	1	0.09	5	1		1		100
111	4	222	264	1	0.1	5	1		1		100
111	5	222	264	1	0.11	5	1		1		100
111	6	222	264	1	0.13	5	1		1		100
121	1	223	265	1	0.07	5	2		1		100
121	2	223	265	1	0.08	5	2		1		100
121	3	223	265	1	0.09	5	2		1		100
121	4	223	265	1	0.1	5	2		1		100
121	5	223	265	1	0.11	5	2		1		100
121	6	223	265	1	0.13	5	2		1		100
131	1	224	266	1	0.07	5	3		1		100
131	2	224	266	1	0.08	5	3		1		100
131	3	224	266	1	0.09	5	3		1		100
131	4	224	266	1	0.1	5	3		1		100
131	5	224	266	1	0.11	5	3		1		100
131	6	224	266	1	0.13	5	3		1		100
141	1	225	267	1	0.07	5	4		1		100
141	2	225	267	1	0.08	5	4		1		100
141	3	225	267	1	0.09	5	4		1		100
141	4	225	267	1	0.1	5	4		1		100
141	5	225	267	1	0.11	5	4		1		100
141	6	225	267	1	0.13	5	4		1		100
151	1	226	268	1	0.07	5	5		1		100
151	2	226	268	1	0.08	5	5		1		100
151	3	226	268	1	0.09	5	5		1		100
151	4	226	268	1	0.1	5	5		1		100
151	5	226	268	1	0.11	5	5		1		100
151	6	226	268	1	0.13	5	5		1		100
201	1	248	274	7	0.01	8			1		100
201	2	248	274	7	0.02	8			1		100
201	3	248	274	7	0.03	8			1		100
201	4	248	274	7	0.04	8			1		100
201	5	248	274	7	0.05	8			1		100
201	6	248	274	7	0.06	8			1		100
202	1	232	275	13	0.1	8			1		100
202	2	232	275	13	0.2	8			1		100
202	3	232	275	13	0.3	8			1		100
202	4	232	275	13	0.4	8			1		100
202	5	232	275	13	0.5	8			1		100
202	6	232	275	13	0.6	8			1		100
203	1	227	269	1	0.01	1			1		100
203	2	227	269	1	0.02	1			1		100
203	3	227	269	1	0.03	1			1		100
203	4	227	269	1	0.04	1			1		100
203	5	227	269	1	0.05	1			1		100
203	6	227	269	1	0.06	1			1		100
204	1	234	277	11	0.5	8			1		100
204	2	234	277	11	0.6	8			1		100
204	3	234	277	11	0.7	8			1		100
204	4	234	277	11	0.8	8			1		100
204	5	234	277	11	0.9	8			1		100
204	6	234	277	11	1	8			1		100
205	1	242	285	9	1	2			2		20
205	2	242	285	9	1	2			2		25
205	3	242	285	9	1	2			2		30
205	4	243	286	9	1	2			2		40
205	5	243	286	9	1	2			2		50
205	6	244	287	9	1	2			2		75
206	1	245	288	10	5	2			3		20
206	2	245	288	10	5	2			3		25
206	3	245	288	10	5	2			3		30
206	4	246	289	10	5	2			3		40
206	5	246	289	10	5	2			3		50
206	6	247	290	10	5	2			3		75
207	1	249	271	1	0.02	4	5		1		100
207	2	249	271	1	0.04	4	5		1		100
207	3	249	271	1	0.06	4	5		1		100
207	4	249	271	1	0.08	4	5		1		100
207	5	249	271	1	0.1	4	5		1		100
207	6	249	271	1	0.12	4	5		1		100
208	1	230	273	3	0.02	7	5		1		100
208	2	230	273	3	0.04	7	5		1		100
208	3	230	273	3	0.06	7	5		1		100
208	4	230	273	3	0.08	7	5		1		100
208	5	230	273	3	0.1	7	5		1		100
208	6	230	273	3	0.12	7	5		1		100
209	1	236	279	16	1	9			1		15
209	2	236	279	16	1	9			1		20
209	3	236	279	16	1	9			1		25
209	4	237	280	16	1	9			1		30
209	5	237	280	16	1	9			1		35
209	6	237	280	16	1	9			1		40
210	1	239	282	15	1	9			1		15
210	2	239	282	15	1	9			1		20
210	3	239	282	15	1	9			1		25
210	4	240	283	15	1	9			1		30
210	5	240	283	15	1	9			1		35
210	6	240	283	15	1	9			1		40
211	1	235	278	17	1	8			1		100
211	2	235	278	17	2	8			1		100
211	3	235	278	17	3	8			1		100
211	4	235	278	17	4	8			1		100
211	5	235	278	17	5	8			1		100
211	6	235	278	17	6	8			1		100
98001	1	233	276	14	0	8			1		100
98001	2	233	276	14	0	8			1		100
98001	3	233	276	14	0	8			1		100
98001	4	233	276	14	0	8			1		100
98001	5	233	276	14	0	8			1		100
98001	6	233	276	14	0	8			1		100
99001	1	222	264	1	0.5	5	1		1		100
99001	2	222	264	1	0.55	5	1		1		100
99001	3	222	264	1	0.6	5	1		1		100
99001	4	222	264	1	0.65	5	1		1		100
99001	5	222	264	1	0.7	5	1		1		100
99001	6	222	264	1	0.75	5	1		1		100
99002	1	223	265	1	0.5	5	2		1		100
99002	2	223	265	1	0.55	5	2		1		100
99002	3	223	265	1	0.6	5	2		1		100
99002	4	223	265	1	0.65	5	2		1		100
99002	5	223	265	1	0.7	5	2		1		100
99002	6	223	265	1	0.75	5	2		1		100
99003	1	224	266	1	0.5	5	3		1		100
99003	2	224	266	1	0.55	5	3		1		100
99003	3	224	266	1	0.6	5	3		1		100
99003	4	224	266	1	0.65	5	3		1		100
99003	5	224	266	1	0.7	5	3		1		100
99003	6	224	266	1	0.75	5	3		1		100
99004	1	225	267	1	0.5	5	4		1		100
99004	2	225	267	1	0.55	5	4		1		100
99004	3	225	267	1	0.6	5	4		1		100
99004	4	225	267	1	0.65	5	4		1		100
99004	5	225	267	1	0.7	5	4		1		100
99004	6	225	267	1	0.75	5	4		1		100
99005	1	226	268	1	0.5	5	5		1		100
99005	2	226	268	1	0.55	5	5		1		100
99005	3	226	268	1	0.6	5	5		1		100
99005	4	226	268	1	0.65	5	5		1		100
99005	5	226	268	1	0.7	5	5		1		100
99005	6	226	268	1	0.75	5	5		1		100
99006	1	227	269	1	0.5	1			1		100
99006	2	227	269	1	0.55	1			1		100
99006	3	227	269	1	0.6	1			1		100
99006	4	227	269	1	0.65	1			1		100
99006	5	227	269	1	0.7	1			1		100
99006	6	227	269	1	0.75	1			1		100
99007	1	228	270	2	10000	3			1		100
99007	2	228	270	2	20000	3			1		100
99007	3	228	270	2	30000	3			1		100
99007	4	228	270	2	40000	3			1		100
99007	5	228	270	2	50000	3			1		100
99007	6	228	270	2	60000	3			1		100
99008	1	229	271	1	0.5	4	5		1		100
99008	2	229	271	1	0.55	4	5		1		100
99008	3	229	271	1	0.6	4	5		1		100
99008	4	229	271	1	0.65	4	5		1		100
99008	5	229	271	1	0.7	4	5		1		100
99008	6	229	271	1	0.75	4	5		1		100
99009	1	229	272	2	10000	4	5		1		100
99009	2	229	272	2	20000	4	5		1		100
99009	3	229	272	2	30000	4	5		1		100
99009	4	229	272	2	40000	4	5		1		100
99009	5	229	272	2	50000	4	5		1		100
99009	6	229	272	2	60000	4	5		1		100
99010	1	230	273	3	0.5	7	5		1		100
99010	2	230	273	3	0.55	7	5		1		100
99010	3	230	273	3	0.6	7	5		1		100
99010	4	230	273	3	0.65	7	5		1		100
99010	5	230	273	3	0.7	7	5		1		100
99010	6	230	273	3	0.75	7	5		1		100
99011	1	231	274	7	0.5	8			1		100
99011	2	231	274	7	0.55	8			1		100
99011	3	231	274	7	0.6	8			1		100
99011	4	231	274	7	0.65	8			1		100
99011	5	231	274	7	0.7	8			1		100
99011	6	231	274	7	0.75	8			1		100
99012	1	232	275	13	0.5	8			1		100
99012	2	232	275	13	0.55	8			1		100
99012	3	232	275	13	0.6	8			1		100
99012	4	232	275	13	0.65	8			1		100
99012	5	232	275	13	0.7	8			1		100
99012	6	232	275	13	0.75	8			1		100
99013	1	233	276	14	10000	8			1		100
99013	2	233	276	14	20000	8			1		100
99013	3	233	276	14	30000	8			1		100
99013	4	233	276	14	40000	8			1		100
99013	5	233	276	14	50000	8			1		100
99013	6	233	276	14	60000	8			1		100
99014	1	234	277	11	1	8			1		100
99014	2	234	277	11	2	8			1		100
99014	3	234	277	11	3	8			1		100
99014	4	234	277	11	4	8			1		100
99014	5	234	277	11	5	8			1		100
99014	6	234	277	11	6	8			1		100
99015	1	235	278	17	10	8			1		100
99015	2	235	278	17	20	8			1		100
99015	3	235	278	17	30	8			1		100
99015	4	235	278	17	40	8			1		100
99015	5	235	278	17	50	8			1		100
99015	6	235	278	17	60	8			1		100
99016	1	236	279	16	3	9			1		30
99016	2	236	279	16	3	9			1		35
99016	3	236	279	16	3	9			1		40
99016	4	237	280	16	3	9			1		45
99016	5	237	280	16	3	9			1		50
99016	6	238	281	16	3	9			1		55
99017	1	239	282	15	3	9			1		30
99017	2	239	282	15	3	9			1		35
99017	3	239	282	15	3	9			1		40
99017	4	240	283	15	3	9			1		45
99017	5	240	283	15	3	9			1		50
99017	6	241	284	15	3	9			1		55
99018	1	242	285	9	5	2			2		30
99018	2	242	285	9	5	2			2		35
99018	3	242	285	9	5	2			2		40
99018	4	243	286	9	5	2			2		45
99018	5	243	286	9	5	2			2		50
99018	6	244	287	9	5	2			2		55
99019	1	245	288	10	5	2			3		30
99019	2	245	288	10	5	2			3		35
99019	3	245	288	10	5	2			3		40
99019	4	246	289	10	5	2			3		45
99019	5	246	289	10	5	2			3		50
99019	6	247	290	10	5	2			3		55
120001	1	228	270	2	10	3			1		100
120001	2	228	270	2	20	3			1		100
120001	3	228	270	2	30	3			1		100
120001	4	228	270	2	40	3			1		100
120001	5	228	270	2	50	3			1		100
120002	1	228	270	2	40	3			1		100
120002	2	228	270	2	50	3			1		100
120002	3	228	270	2	60	3			1		100
120002	4	228	270	2	70	3			1		100
120002	5	228	270	2	80	3			1		100
120003	1	228	270	2	100	3			1		100
120003	2	228	270	2	120	3			1		100
120003	3	228	270	2	140	3			1		100
120003	4	228	270	2	180	3			1		100
120003	5	228	270	2	220	3			1		100
120004	1	228	270	2	110	3			1		100
120004	2	228	270	2	130	3			1		100
120004	3	228	270	2	150	3			1		100
120004	4	228	270	2	190	3			1		100
120004	5	228	270	2	230	3			1		100
120101	1	250	291	2	30	5	1		1		100
120101	2	250	291	2	40	5	1		1		100
120101	3	250	291	2	50	5	1		1		100
120101	4	250	291	2	60	5	1		1		100
120101	5	250	291	2	70	5	1		1		100
120102	1	250	291	2	80	5	1		1		100
120102	2	250	291	2	90	5	1		1		100
120102	3	250	291	2	100	5	1		1		100
120102	4	250	291	2	110	5	1		1		100
120102	5	250	291	2	120	5	1		1		100
120103	1	250	291	2	130	5	1		1		100
120103	2	250	291	2	160	5	1		1		100
120103	3	250	291	2	190	5	1		1		100
120103	4	250	291	2	230	5	1		1		100
120103	5	250	291	2	270	5	1		1		100
120104	1	250	291	2	140	5	1		1		100
120104	2	250	291	2	170	5	1		1		100
120104	3	250	291	2	200	5	1		1		100
120104	4	250	291	2	240	5	1		1		100
120104	5	250	291	2	280	5	1		1		100
120151	1	250	291	2	230	5	1		1		100
120151	2	250	291	2	260	5	1		1		100
120151	3	250	291	2	300	5	1		1		100
120151	4	250	291	2	340	5	1		1		100
120151	5	250	291	2	380	5	1		1		100
120201	1	251	292	2	30	5	2		1		100
120201	2	251	292	2	40	5	2		1		100
120201	3	251	292	2	50	5	2		1		100
120201	4	251	292	2	60	5	2		1		100
120201	5	251	292	2	70	5	2		1		100
120202	1	251	292	2	80	5	2		1		100
120202	2	251	292	2	90	5	2		1		100
120202	3	251	292	2	100	5	2		1		100
120202	4	251	292	2	110	5	2		1		100
120202	5	251	292	2	120	5	2		1		100
120203	1	251	292	2	130	5	2		1		100
120203	2	251	292	2	160	5	2		1		100
120203	3	251	292	2	190	5	2		1		100
120203	4	251	292	2	230	5	2		1		100
120203	5	251	292	2	270	5	2		1		100
120204	1	251	292	2	140	5	2		1		100
120204	2	251	292	2	170	5	2		1		100
120204	3	251	292	2	200	5	2		1		100
120204	4	251	292	2	240	5	2		1		100
120204	5	251	292	2	280	5	2		1		100
120251	1	251	292	2	230	5	2		1		100
120251	2	251	292	2	260	5	2		1		100
120251	3	251	292	2	300	5	2		1		100
120251	4	251	292	2	340	5	2		1		100
120251	5	251	292	2	380	5	2		1		100
120301	1	252	293	2	30	5	3		1		100
120301	2	252	293	2	40	5	3		1		100
120301	3	252	293	2	50	5	3		1		100
120301	4	252	293	2	60	5	3		1		100
120301	5	252	293	2	70	5	3		1		100
120302	1	252	293	2	80	5	3		1		100
120302	2	252	293	2	90	5	3		1		100
120302	3	252	293	2	100	5	3		1		100
120302	4	252	293	2	110	5	3		1		100
120302	5	252	293	2	120	5	3		1		100
120303	1	252	293	2	130	5	3		1		100
120303	2	252	293	2	160	5	3		1		100
120303	3	252	293	2	190	5	3		1		100
120303	4	252	293	2	230	5	3		1		100
120303	5	252	293	2	270	5	3		1		100
120304	1	252	293	2	140	5	3		1		100
120304	2	252	293	2	170	5	3		1		100
120304	3	252	293	2	200	5	3		1		100
120304	4	252	293	2	240	5	3		1		100
120304	5	252	293	2	280	5	3		1		100
120351	1	252	293	2	230	5	3		1		100
120351	2	252	293	2	260	5	3		1		100
120351	3	252	293	2	300	5	3		1		100
120351	4	252	293	2	340	5	3		1		100
120351	5	252	293	2	380	5	3		1		100
120401	1	253	294	2	30	5	4		1		100
120401	2	253	294	2	40	5	4		1		100
120401	3	253	294	2	50	5	4		1		100
120401	4	253	294	2	60	5	4		1		100
120401	5	253	294	2	70	5	4		1		100
120402	1	253	294	2	80	5	4		1		100
120402	2	253	294	2	90	5	4		1		100
120402	3	253	294	2	100	5	4		1		100
120402	4	253	294	2	110	5	4		1		100
120402	5	253	294	2	120	5	4		1		100
120403	1	253	294	2	130	5	4		1		100
120403	2	253	294	2	160	5	4		1		100
120403	3	253	294	2	190	5	4		1		100
120403	4	253	294	2	230	5	4		1		100
120403	5	253	294	2	270	5	4		1		100
120404	1	253	294	2	140	5	4		1		100
120404	2	253	294	2	170	5	4		1		100
120404	3	253	294	2	200	5	4		1		100
120404	4	253	294	2	240	5	4		1		100
120404	5	253	294	2	280	5	4		1		100
120451	1	253	294	2	230	5	4		1		100
120451	2	253	294	2	260	5	4		1		100
120451	3	253	294	2	300	5	4		1		100
120451	4	253	294	2	340	5	4		1		100
120451	5	253	294	2	380	5	4		1		100
120501	1	254	295	2	30	5	5		1		100
120501	2	254	295	2	40	5	5		1		100
120501	3	254	295	2	50	5	5		1		100
120501	4	254	295	2	60	5	5		1		100
120501	5	254	295	2	70	5	5		1		100
120502	1	254	295	2	80	5	5		1		100
120502	2	254	295	2	90	5	5		1		100
120502	3	254	295	2	100	5	5		1		100
120502	4	254	295	2	110	5	5		1		100
120502	5	254	295	2	120	5	5		1		100
120503	1	254	295	2	130	5	5		1		100
120503	2	254	295	2	160	5	5		1		100
120503	3	254	295	2	190	5	5		1		100
120503	4	254	295	2	230	5	5		1		100
120503	5	254	295	2	270	5	5		1		100
120504	1	254	295	2	140	5	5		1		100
120504	2	254	295	2	170	5	5		1		100
120504	3	254	295	2	200	5	5		1		100
120504	4	254	295	2	240	5	5		1		100
120504	5	254	295	2	280	5	5		1		100
120551	1	254	295	2	230	5	5		1		100
120551	2	254	295	2	260	5	5		1		100
120551	3	254	295	2	300	5	5		1		100
120551	4	254	295	2	340	5	5		1		100
120551	5	254	295	2	380	5	5		1		100
125001	1	255	272	2	40	4	5		1		100
125001	2	255	272	2	50	4	5		1		100
125001	3	255	272	2	60	4	5		1		100
125001	4	255	272	2	70	4	5		1		100
125001	5	255	272	2	80	4	5		1		100
125002	1	255	272	2	100	4	5		1		100
125002	2	255	272	2	110	4	5		1		100
125002	3	255	272	2	120	4	5		1		100
125002	4	255	272	2	130	4	5		1		100
125002	5	255	272	2	140	4	5		1		100
125003	1	255	272	2	150	4	5		1		100
125003	2	255	272	2	180	4	5		1		100
125003	3	255	272	2	210	4	5		1		100
125003	4	255	272	2	250	4	5		1		100
125003	5	255	272	2	290	4	5		1		100
125004	1	255	272	2	160	4	5		1		100
125004	2	255	272	2	190	4	5		1		100
125004	3	255	272	2	220	4	5		1		100
125004	4	255	272	2	260	4	5		1		100
125004	5	255	272	2	300	4	5		1		100
125101	1	256	296	2	70	6	5	1	1		100
125101	2	256	296	2	80	6	5	1	1		100
125101	3	256	296	2	90	6	5	1	1		100
125101	4	256	296	2	100	6	5	1	1		100
125101	5	256	296	2	110	6	5	1	1		100
125102	1	256	296	2	140	6	5	1	1		100
125102	2	256	296	2	160	6	5	1	1		100
125102	3	256	296	2	180	6	5	1	1		100
125102	4	256	296	2	200	6	5	1	1		100
125102	5	256	296	2	220	6	5	1	1		100
125103	1	256	296	2	180	6	5	1	1		100
125103	2	256	296	2	210	6	5	1	1		100
125103	3	256	296	2	240	6	5	1	1		100
125103	4	256	296	2	280	6	5	1	1		100
125103	5	256	296	2	320	6	5	1	1		100
125104	1	256	296	2	200	6	5	1	1		100
125104	2	256	296	2	230	6	5	1	1		100
125104	3	256	296	2	260	6	5	1	1		100
125104	4	256	296	2	300	6	5	1	1		100
125104	5	256	296	2	340	6	5	1	1		100
125201	1	257	297	2	70	6	5	2	1		100
125201	2	257	297	2	80	6	5	2	1		100
125201	3	257	297	2	90	6	5	2	1		100
125201	4	257	297	2	100	6	5	2	1		100
125201	5	257	297	2	110	6	5	2	1		100
125202	1	257	297	2	140	6	5	2	1		100
125202	2	257	297	2	160	6	5	2	1		100
125202	3	257	297	2	180	6	5	2	1		100
125202	4	257	297	2	200	6	5	2	1		100
125202	5	257	297	2	220	6	5	2	1		100
125203	1	257	297	2	180	6	5	2	1		100
125203	2	257	297	2	210	6	5	2	1		100
125203	3	257	297	2	240	6	5	2	1		100
125203	4	257	297	2	280	6	5	2	1		100
125203	5	257	297	2	320	6	5	2	1		100
125204	1	257	297	2	200	6	5	2	1		100
125204	2	257	297	2	230	6	5	2	1		100
125204	3	257	297	2	260	6	5	2	1		100
125204	4	257	297	2	300	6	5	2	1		100
125204	5	257	297	2	340	6	5	2	1		100
125301	1	258	298	2	70	6	5	3	1		100
125301	2	258	298	2	80	6	5	3	1		100
125301	3	258	298	2	90	6	5	3	1		100
125301	4	258	298	2	100	6	5	3	1		100
125301	5	258	298	2	110	6	5	3	1		100
125302	1	258	298	2	140	6	5	3	1		100
125302	2	258	298	2	160	6	5	3	1		100
125302	3	258	298	2	180	6	5	3	1		100
125302	4	258	298	2	200	6	5	3	1		100
125302	5	258	298	2	220	6	5	3	1		100
125303	1	258	298	2	180	6	5	3	1		100
125303	2	258	298	2	210	6	5	3	1		100
125303	3	258	298	2	240	6	5	3	1		100
125303	4	258	298	2	280	6	5	3	1		100
125303	5	258	298	2	320	6	5	3	1		100
125304	1	258	298	2	200	6	5	3	1		100
125304	2	258	298	2	230	6	5	3	1		100
125304	3	258	298	2	260	6	5	3	1		100
125304	4	258	298	2	300	6	5	3	1		100
125304	5	258	298	2	340	6	5	3	1		100
125401	1	259	299	2	70	6	5	4	1		100
125401	2	259	299	2	80	6	5	4	1		100
125401	3	259	299	2	90	6	5	4	1		100
125401	4	259	299	2	100	6	5	4	1		100
125401	5	259	299	2	110	6	5	4	1		100
125402	1	259	299	2	140	6	5	4	1		100
125402	2	259	299	2	160	6	5	4	1		100
125402	3	259	299	2	180	6	5	4	1		100
125402	4	259	299	2	200	6	5	4	1		100
125402	5	259	299	2	220	6	5	4	1		100
125403	1	259	299	2	180	6	5	4	1		100
125403	2	259	299	2	210	6	5	4	1		100
125403	3	259	299	2	240	6	5	4	1		100
125403	4	259	299	2	280	6	5	4	1		100
125403	5	259	299	2	320	6	5	4	1		100
125404	1	259	299	2	200	6	5	4	1		100
125404	2	259	299	2	230	6	5	4	1		100
125404	3	259	299	2	260	6	5	4	1		100
125404	4	259	299	2	300	6	5	4	1		100
125404	5	259	299	2	340	6	5	4	1		100
125501	1	260	300	2	70	6	5	5	1		100
125501	2	260	300	2	80	6	5	5	1		100
125501	3	260	300	2	90	6	5	5	1		100
125501	4	260	300	2	100	6	5	5	1		100
125501	5	260	300	2	110	6	5	5	1		100
125502	1	260	300	2	140	6	5	5	1		100
125502	2	260	300	2	160	6	5	5	1		100
125502	3	260	300	2	180	6	5	5	1		100
125502	4	260	300	2	200	6	5	5	1		100
125502	5	260	300	2	220	6	5	5	1		100
125503	1	260	300	2	180	6	5	5	1		100
125503	2	260	300	2	210	6	5	5	1		100
125503	3	260	300	2	240	6	5	5	1		100
125503	4	260	300	2	280	6	5	5	1		100
125503	5	260	300	2	320	6	5	5	1		100
125504	1	260	300	2	200	6	5	5	1		100
125504	2	260	300	2	230	6	5	5	1		100
125504	3	260	300	2	260	6	5	5	1		100
125504	4	260	300	2	300	6	5	5	1		100
125504	5	260	300	2	340	6	5	5	1		100
127003	1	255	272	2	190	4	7		1		100
127003	2	255	272	2	220	4	7		1		100
127003	3	255	272	2	250	4	7		1		100
127003	4	255	272	2	290	4	7		1		100
127003	5	255	272	2	330	4	7		1		100
127101	1	256	296	2	80	6	7	1	1		100
127101	2	256	296	2	90	6	7	1	1		100
127101	3	256	296	2	100	6	7	1	1		100
127101	4	256	296	2	110	6	7	1	1		100
127101	5	256	296	2	120	6	7	1	1		100
127102	1	256	296	2	180	6	7	1	1		100
127102	2	256	296	2	200	6	7	1	1		100
127102	3	256	296	2	220	6	7	1	1		100
127102	4	256	296	2	240	6	7	1	1		100
127102	5	256	296	2	260	6	7	1	1		100
127103	1	256	296	2	230	6	7	1	1		100
127103	2	256	296	2	260	6	7	1	1		100
127103	3	256	296	2	290	6	7	1	1		100
127103	4	256	296	2	330	6	7	1	1		100
127103	5	256	296	2	370	6	7	1	1		100
127104	1	256	296	2	250	6	7	1	1		100
127104	2	256	296	2	280	6	7	1	1		100
127104	3	256	296	2	310	6	7	1	1		100
127104	4	256	296	2	350	6	7	1	1		100
127104	5	256	296	2	390	6	7	1	1		100
127201	1	257	297	2	80	6	7	2	1		100
127201	2	257	297	2	90	6	7	2	1		100
127201	3	257	297	2	100	6	7	2	1		100
127201	4	257	297	2	110	6	7	2	1		100
127201	5	257	297	2	120	6	7	2	1		100
127202	1	257	297	2	180	6	7	2	1		100
127202	2	257	297	2	200	6	7	2	1		100
127202	3	257	297	2	220	6	7	2	1		100
127202	4	257	297	2	240	6	7	2	1		100
127202	5	257	297	2	260	6	7	2	1		100
127203	1	257	297	2	230	6	7	2	1		100
127203	2	257	297	2	260	6	7	2	1		100
127203	3	257	297	2	290	6	7	2	1		100
127203	4	257	297	2	330	6	7	2	1		100
127203	5	257	297	2	370	6	7	2	1		100
127204	1	257	297	2	250	6	7	2	1		100
127204	2	257	297	2	280	6	7	2	1		100
127204	3	257	297	2	310	6	7	2	1		100
127204	4	257	297	2	350	6	7	2	1		100
127204	5	257	297	2	390	6	7	2	1		100
127301	1	258	298	2	80	6	7	3	1		100
127301	2	258	298	2	90	6	7	3	1		100
127301	3	258	298	2	100	6	7	3	1		100
127301	4	258	298	2	110	6	7	3	1		100
127301	5	258	298	2	120	6	7	3	1		100
127302	1	258	298	2	180	6	7	3	1		100
127302	2	258	298	2	200	6	7	3	1		100
127302	3	258	298	2	220	6	7	3	1		100
127302	4	258	298	2	240	6	7	3	1		100
127302	5	258	298	2	260	6	7	3	1		100
127303	1	258	298	2	230	6	7	3	1		100
127303	2	258	298	2	260	6	7	3	1		100
127303	3	258	298	2	290	6	7	3	1		100
127303	4	258	298	2	330	6	7	3	1		100
127303	5	258	298	2	370	6	7	3	1		100
127304	1	258	298	2	250	6	7	3	1		100
127304	2	258	298	2	280	6	7	3	1		100
