id	name_text_id	icon_resource_id	event_type	story_id	is_repetable	motivation	condition_id	relationship	satisfaction	comfortableness	warmth	healing	skill_pt	health	receive_trick_camp_skill_group_id	receive_trick_camp_skill_level	receive_camp_skill_trick_level	camp_friendship_group_id	support_effect_flag_ids	priority	weight	order
22100631	『冬服A(ブルー)』大垣 千明	46200008	2	71110063				15					30		5100631		1		1,2,3,4,5,6,7,8	10000	100	10000
22100641	『冬服A(ブルー)』犬山 あおい	46200008	2	71110064					15				30		5100641		1		1,2,3,4,5,6,7,8	10000	100	10000
22100651	『冬服A(ブルー)』斉藤 恵那	46200008	2	71110065						15			30		5100651		1		1,2,3,4,5,6,7,8	10000	100	10000
22100661	『冬服A(ベージュ)』各務原 なでしこ	46200008	2	71110066								15	30		5100661		1		1,2,3,4,5,6,7,8	10000	100	10000
22100671	『冬服A(ベージュ)』志摩 リン	46200008	2	71110067				15					30		5100671		1		1,2,3,4,5,6,7,8	10000	100	10000
22100681	『冬服A(ベージュ)』大垣 千明	46200008	2	71110068					15				30		5100681		1		1,2,3,4,5,6,7,8	10000	100	10000
22100691	『冬服A(ベージュ)』犬山 あおい	46200008	2	71110069						15			30		5100691		1		1,2,3,4,5,6,7,8	10000	100	10000
22100701	『冬服A(ベージュ)』斉藤 恵那	46200008	2	71110070							15		30		5100701		1		1,2,3,4,5,6,7,8	10000	100	10000
22100711	『冬服A(カーキ)』各務原 なでしこ	46200008	2	71110071				15					30		5100711		1		1,2,3,4,5,6,7,8	10000	100	10000
22100721	『冬服A(カーキ)』志摩 リン	46200008	2	71110072					15				30		5100721		1		1,2,3,4,5,6,7,8	10000	100	10000
22100731	『冬服A(カーキ)』大垣 千明	46200008	2	71110073						15			30		5100731		1		1,2,3,4,5,6,7,8	10000	100	10000
22100741	『冬服A(カーキ)』犬山 あおい	46200008	2	71110074							15		30		5100741		1		1,2,3,4,5,6,7,8	10000	100	10000
22100751	『冬服A(カーキ)』斉藤 恵那	46200008	2	71110075								15	30		5100751		1		1,2,3,4,5,6,7,8	10000	100	10000
22100761	『クリキャン長袖』各務原 なでしこ	46200008	2	71110076						15			30		5100761		1		1,2,3,4,5,6,7,8	10000	100	10000
22100771	『クリキャン長袖』志摩 リン	46200008	2	71110077							15		30		5100771		1		1,2,3,4,5,6,7,8	10000	100	10000
22100781	『クリキャン長袖』大垣 千明	46200008	2	71110078								15	30		5100781		1		1,2,3,4,5,6,7,8	10000	100	10000
22100791	『クリキャン長袖』犬山 あおい	46200008	2	71110079				15					30		5100791		1		1,2,3,4,5,6,7,8	10000	100	10000
22100801	『クリキャン長袖』斉藤 恵那	46200008	2	71110080					15				30		5100801		1		1,2,3,4,5,6,7,8	10000	100	10000
22100811	『冬服B(ウッドランド)』各務原 なでしこ	46200008	2	71110081							15		30		5100811		1		1,2,3,4,5,6,7,8	10000	100	10000
22100821	『冬服B(ウッドランド)』志摩 リン	46200008	2	71110082								15	30		5100821		1		1,2,3,4,5,6,7,8	10000	100	10000
22100831	『冬服B(ウッドランド)』大垣 千明	46200008	2	71110083				15					30		5100831		1		1,2,3,4,5,6,7,8	10000	100	10000
22100841	『冬服B(ウッドランド)』犬山 あおい	46200008	2	71110084					15				30		5100841		1		1,2,3,4,5,6,7,8	10000	100	10000
22100851	『冬服B(ウッドランド)』斉藤 恵那	46200008	2	71110085						15			30		5100851		1		1,2,3,4,5,6,7,8	10000	100	10000
22100861	『冬服B(マルチカム)』各務原 なでしこ	46200008	2	71110086								15	30		5100861		1		1,2,3,4,5,6,7,8	10000	100	10000
22100871	『冬服B(マルチカム)』志摩 リン	46200008	2	71110087				15					30		5100871		1		1,2,3,4,5,6,7,8	10000	100	10000
22100881	『冬服B(マルチカム)』大垣 千明	46200008	2	71110088					15				30		5100881		1		1,2,3,4,5,6,7,8	10000	100	10000
22100891	『冬服B(マルチカム)』犬山 あおい	46200008	2	71110089						15			30		5100891		1		1,2,3,4,5,6,7,8	10000	100	10000
22100901	『冬服B(マルチカム)』斉藤 恵那	46200008	2	71110090							15		30		5100901		1		1,2,3,4,5,6,7,8	10000	100	10000
22100911	『冬服B(ホワイト)』各務原 なでしこ	46200008	2	71110091				15					30		5100911		1		1,2,3,4,5,6,7,8	10000	100	10000
22100921	『冬服B(ホワイト)』志摩 リン	46200008	2	71110092					15				30		5100921		1		1,2,3,4,5,6,7,8	10000	100	10000
22100931	『冬服B(ホワイト)』大垣 千明	46200008	2	71110093						15			30		5100931		1		1,2,3,4,5,6,7,8	10000	100	10000
22100941	『冬服B(ホワイト)』犬山 あおい	46200008	2	71110094							15		30		5100941		1		1,2,3,4,5,6,7,8	10000	100	10000
22100951	『冬服B(ホワイト)』斉藤 恵那	46200008	2	71110095								15	30		5100951		1		1,2,3,4,5,6,7,8	10000	100	10000
22100961	『冬服B(ブラック)』各務原 なでしこ	46200008	2	71110096					15				30		5100961		1		1,2,3,4,5,6,7,8	10000	100	10000
22100971	『冬服B(ブラック)』志摩 リン	46200008	2	71110097						15			30		5100971		1		1,2,3,4,5,6,7,8	10000	100	10000
22100981	『冬服B(ブラック)』大垣 千明	46200008	2	71110098							15		30		5100981		1		1,2,3,4,5,6,7,8	10000	100	10000
22100991	『冬服B(ブラック)』犬山 あおい	46200008	2	71110099								15	30		5100991		1		1,2,3,4,5,6,7,8	10000	100	10000
22101001	『冬服B(ブラック)』斉藤 恵那	46200008	2	71110100				15					30		5101001		1		1,2,3,4,5,6,7,8	10000	100	10000
22101011	『本栖湖キャンプ服』各務原 なでしこ	46200008	2	71110101				15					30		5101011		1		1,2,3,4,5,6,7,8	10000	100	10000
22101021	『本栖湖キャンプ服』志摩 リン	46200008	2	71110102					15				30		5101021		1		1,2,3,4,5,6,7,8	10000	100	10000
22101031	『ゆるキャン△④服』大垣 千明	46200008	2	71110103						25			50		5101031		1		1,2,3,4,5,6,7,8	10000	100	10000
22101041	『ゆるキャン△③服』犬山 あおい	46200008	2	71110104							25		50		5101041		1		1,2,3,4,5,6,7,8	10000	100	10000
22101051	『ゆるキャン△⑤服』斉藤 恵那	46200008	2	71110105								25	50		5101051		1		1,2,3,4,5,6,7,8	10000	100	10000
22101061	『本栖高校制服＆コート』各務原 なでしこ	46200008	2	71110106							20	5	50		5101061		1		1,2,3,4,5,6,7,8	10000	100	10000
22101071	『本栖高校制服＆コート』志摩 リン	46200008	2	71110107				5				20	50		5101071		1		1,2,3,4,5,6,7,8	10000	100	10000
22101081	『本栖高校制服＆コート』大垣 千明	46200008	2	71110108				20	5				50		5101081		1		1,2,3,4,5,6,7,8	10000	100	10000
22101091	『本栖高校制服＆コート』犬山 あおい	46200008	2	71110109					20	5			50		5101091		1		1,2,3,4,5,6,7,8	10000	100	10000
22101101	『本栖高校制服＆コート』斉藤 恵那	46200008	2	71110110						20	5		50		5101101		1		1,2,3,4,5,6,7,8	10000	100	10000
22101111	『本栖高校制服』各務原 なでしこ	46200008	2	71110111						20		5	50		5101111		1		1,2,3,4,5,6,7,8	10000	100	10000
22101121	『本栖高校制服』志摩 リン	46200008	2	71110112				5			20		50		5101121		1		1,2,3,4,5,6,7,8	10000	100	10000
22101131	『本栖高校制服』大垣 千明	46200008	2	71110113					5			20	50		5101131		1		1,2,3,4,5,6,7,8	10000	100	10000
22101141	『本栖高校制服』犬山 あおい	46200008	2	71110114				20		5			50		5101141		1		1,2,3,4,5,6,7,8	10000	100	10000
22101151	『本栖高校制服』斉藤 恵那	46200008	2	71110115					20		5		50		5101151		1		1,2,3,4,5,6,7,8	10000	100	10000
22101161	『本栖高校ジャージ』各務原 なでしこ	46200008	2	71110116						5		20	50		5101161		1		1,2,3,4,5,6,7,8	10000	100	10000
22101171	『本栖高校ジャージ』志摩 リン	46200008	2	71110117				20			5		50		5101171		1		1,2,3,4,5,6,7,8	10000	100	10000
22101181	『本栖高校ジャージ』大垣 千明	46200008	2	71110118					20			5	50		5101181		1		1,2,3,4,5,6,7,8	10000	100	10000
22101191	『本栖高校ジャージ』犬山 あおい	46200008	2	71110119				5		20			50		5101191		1		1,2,3,4,5,6,7,8	10000	100	10000
22101201	『本栖高校ジャージ』斉藤 恵那	46200008	2	71110120					5		20		50		5101201		1		1,2,3,4,5,6,7,8	10000	100	10000
22101211	『麓キャンプ服』各務原 なでしこ	46200008	2	71110121					25				50		5101211		1		1,2,3,4,5,6,7,8	10000	100	10000
22101221	『麓キャンプ服』志摩 リン	46200008	2	71110122						25			50		5101221		1		1,2,3,4,5,6,7,8	10000	100	10000
22101231	『伊豆キャン服』大垣 千明	46200008	2	71110123							25		50		5101231		1		1,2,3,4,5,6,7,8	10000	100	10000
22101241	『イーストウッド服』犬山 あおい	46200008	2	71110124								25	50		5101241		1		1,2,3,4,5,6,7,8	10000	100	10000
22101251	『バイト普段着』斉藤 恵那	46200008	2	71110125				25					50		5101251		1		1,2,3,4,5,6,7,8	10000	100	10000
22101261	『イーストウッド服』各務原 なでしこ	46200008	2	71110126					5	20			50		5101261		1		1,2,3,4,5,6,7,8	10000	100	10000
22101271	『麓キャンプ厚着』志摩 リン	46200008	2	71110127						5	20		50		5101271		1		1,2,3,4,5,6,7,8	10000	100	10000
22101281	『イーストウッド服』大垣 千明	46200008	2	71110128							5	20	50		5101281		1		1,2,3,4,5,6,7,8	10000	100	10000
22101291	『バイト普段着』犬山 あおい	46200008	2	71110129				20				5	50		5101291		1		1,2,3,4,5,6,7,8	10000	100	10000
22101301	『山中湖キャンプ服』斉藤 恵那	46200008	2	71110130				5	20				50		5101301		1		1,2,3,4,5,6,7,8	10000	100	10000
22101311	『四尾連湖キャンプ服』各務原 なでしこ	46200008	2	71110131							20	5	50		5101311		1		1,2,3,4,5,6,7,8	10000	100	10000
22101321	『四尾連湖キャンプ服』志摩 リン	46200008	2	71110132				5				20	50		5101321		1		1,2,3,4,5,6,7,8	10000	100	10000
22101331	『甲府キャンプ普段着』大垣 千明	46200008	2	71110133				20	5				50		5101331		1		1,2,3,4,5,6,7,8	10000	100	10000
22101341	『伊豆キャン服』犬山 あおい	46200008	2	71110134					20	5			50		5101341		1		1,2,3,4,5,6,7,8	10000	100	10000
22101351	『買い物普段着』斉藤 恵那	46200008	2	71110135						20	5		50		5101351		1		1,2,3,4,5,6,7,8	10000	100	10000
22101361	『はるキャン服』各務原 なでしこ	46200008	2	71110136					5			20	50		5101361		1		1,2,3,4,5,6,7,8	10000	100	10000
22101371	『はるキャン服』志摩 リン	46200008	2	71110137				20		5			50		5101371		1		1,2,3,4,5,6,7,8	10000	100	10000
22101381	『カリブーキャンプ服』大垣 千明	46200008	2	71110138					20		5		50		5101381		1		1,2,3,4,5,6,7,8	10000	100	10000
22101391	『カリブーキャンプ服』犬山 あおい	46200008	2	71110139						20		5	50		5101391		1		1,2,3,4,5,6,7,8	10000	100	10000
22101401	『伊豆キャン服』斉藤 恵那	46200008	2	71110140				5			20		50		5101401		1		1,2,3,4,5,6,7,8	10000	100	10000
22101411	『クリキャン服』各務原 なでしこ	46200008	2	71110141				25					50		5101411		1		1,2,3,4,5,6,7,8	10000	100	10000
22101421	『クリキャン服』志摩 リン	46200008	2	71110142					25				50		5101421		1		1,2,3,4,5,6,7,8	10000	100	10000
22101431	『クリキャン服』大垣 千明	46200008	2	71110143						25			50		5101431		1		1,2,3,4,5,6,7,8	10000	100	10000
22101441	『クリキャン服』犬山 あおい	46200008	2	71110144							25		50		5101441		1		1,2,3,4,5,6,7,8	10000	100	10000
22101451	『クリキャン服』斉藤 恵那	46200008	2	71110145								25	50		5101451		1		1,2,3,4,5,6,7,8	10000	100	10000
22101461	『サンタクレンジャー』各務原 なでしこ	46200008	2	71110146				25					50		5101461		1		1,2,3,4,5,6,7,8	10000	100	10000
22101471	『サンタクレンジャー』志摩 リン	46200008	2	71110147					25				50		5101471		1		1,2,3,4,5,6,7,8	10000	100	10000
22101481	『サンタクレンジャー』大垣 千明	46200008	2	71110148						25			50		5101481		1		1,2,3,4,5,6,7,8	10000	100	10000
22101491	『サンタクレンジャー』犬山 あおい	46200008	2	71110149							25		50		5101491		1		1,2,3,4,5,6,7,8	10000	100	10000
22101501	『サンタクレンジャー』斉藤 恵那	46200008	2	71110150								25	50		5101501		1		1,2,3,4,5,6,7,8	10000	100	10000
22101511	『サバキャン水着』各務原 なでしこ	46200008	2	71110151					25				50		5101511		1		1,2,3,4,5,6,7,8	10000	100	10000
22101521	『サバキャン水着』志摩 リン	46200008	2	71110152						25			50		5101521		1		1,2,3,4,5,6,7,8	10000	100	10000
22101531	『サバキャン水着』大垣 千明	46200008	2	71110153							25		50		5101531		1		1,2,3,4,5,6,7,8	10000	100	10000
22101541	『サバキャン水着』犬山 あおい	46200008	2	71110154								25	50		5101541		1		1,2,3,4,5,6,7,8	10000	100	10000
22101551	『サバキャン水着』斉藤 恵那	46200008	2	71110155				25					50		5101551		1		1,2,3,4,5,6,7,8	10000	100	10000
22101561	『四尾連湖ブランケット』各務原 なでしこ	46200008	2	71110156					5		20		50		5101561		1		1,2,3,4,5,6,7,8	10000	100	10000
22101571	『四尾連湖ブランケット』志摩 リン	46200008	2	71110157						5		20	50		5101571		1		1,2,3,4,5,6,7,8	10000	100	10000
22101581	『山中湖ブランケット』大垣 千明	46200008	2	71110158				20			5		50		5101581		1		1,2,3,4,5,6,7,8	10000	100	10000
22101591	『山中湖ブランケット』犬山 あおい	46200008	2	71110159					20			5	50		5101591		1		1,2,3,4,5,6,7,8	10000	100	10000
22101601	『山中湖ブランケット』斉藤 恵那	46200008	2	71110160				5		20			50		5101601		1		1,2,3,4,5,6,7,8	10000	100	10000
22101611	『秘密結社ブランケット』各務原 なでしこ	46200008	2	71110161						5	20		50		5101611		1		1,2,3,4,5,6,7,8	10000	100	10000
22101621	『秘密結社ブランケット』志摩 リン	46200008	2	71110162							5	20	50		5101621		1		1,2,3,4,5,6,7,8	10000	100	10000
22101631	『秘密結社ブランケット』大垣 千明	46200008	2	71110163				20				5	50		5101631		1		1,2,3,4,5,6,7,8	10000	100	10000
22101641	『秘密結社ブランケット』犬山 あおい	46200008	2	71110164				5	20				50		5101641		1		1,2,3,4,5,6,7,8	10000	100	10000
22101651	『秘密結社ブランケット』斉藤 恵那	46200008	2	71110165					5	20			50		5101651		1		1,2,3,4,5,6,7,8	10000	100	10000
22101761	『小田原キャンプ服』各務原 なでしこ	46200008	2	71110176																10000	100	10000
22101771	『小田原キャンプ服』志摩 リン	46200008	2	71110177																10000	100	10000
22101781	『小田原キャンプ服』大垣 千明	46200008	2	71110178																10000	100	10000
22101791	『小田原キャンプ服』犬山 あおい	46200008	2	71110179																10000	100	10000
22101801	『小田原キャンプ服』斉藤 恵那	46200008	2	71110180																10000	100	10000
22101811	『ゆるキャン△②服』各務原 なでしこ	46200008	2	71110181				25					50		5101811		1		1,2,3,4,5,6,7,8	10000	100	10000
22101821	『ゆるキャン△①服』志摩 リン	46200008	2	71110182					25				50		5101821		1		1,2,3,4,5,6,7,8	10000	100	10000
23010011	もっとギアの思い出がよみがえった！②	46200008	3	71301001									15					23103	1,2,3,4,5,6,7,8	10000	100	10000
23010021	ギアの思い出がよみがえった！①	46200008	3	71301002				5											1,2,3,4,5,6,7,8	10000	100	10000
23010031	ギアの思い出がよみがえった！①	46200008	3	71301003						5									1,2,3,4,5,6,7,8	10000	100	10000
23010041	ギアの思い出がよみがえった！①	46200008	3	71301004						5									1,2,3,4,5,6,7,8	10000	100	10000
23010051	ギアの思い出がよみがえった！①	46200008	3	71301005							5								1,2,3,4,5,6,7,8	10000	100	10000
23010061	ギアの思い出がよみがえった！①	46200008	3	71301006						5									1,2,3,4,5,6,7,8	10000	100	10000
23010071	もっとギアの思い出がよみがえった！①	46200008	3	71301007								15						23203	1,2,3,4,5,6,7,8	10000	100	10000
23010081	さらにギアの思い出がよみがえった！③	46200008	3	71301008										20				23105	1,2,3,4,5,6,7,8	10000	100	10000
23010091	もっとギアの思い出がよみがえった！①	46200008	3	71301009							15							23303	1,2,3,4,5,6,7,8	10000	100	10000
23010101	もっとギアの思い出がよみがえった！②	46200008	3	71301010									15					23403	1,2,3,4,5,6,7,8	10000	100	10000
23010111	もっとギアの思い出がよみがえった！①	46200008	3	71301011							15							23503	1,2,3,4,5,6,7,8	10000	100	10000
23010121	もっとギアの思い出がよみがえった！①	46200008	3	71301012								15						23103	1,2,3,4,5,6,7,8	10000	100	10000
23010131	さらにギアの思い出がよみがえった！①	46200008	3	71301013				20										23205	1,2,3,4,5,6,7,8	10000	100	10000
23010141	もっとギアの思い出がよみがえった！②	46200008	3	71301014									15					23203	1,2,3,4,5,6,7,8	10000	100	10000
23010151	ギアの思い出がよみがえった！②	46200008	3	71301015									5						1,2,3,4,5,6,7,8	10000	100	10000
23010191	さらにギアの思い出がよみがえった！④	46200008	3	71301019		1												23305	1,2,3,4,5,6,7,8	10000	100	10000
23010201	ギアの思い出がよみがえった！②	46200008	3	71301020									5						1,2,3,4,5,6,7,8	10000	100	10000
23010211	もっとギアの思い出がよみがえった！①	46200008	3	71301021					15									23303	1,2,3,4,5,6,7,8	10000	100	10000
23010221	もっとギアの思い出がよみがえった！②	46200008	3	71301022									15					23403	1,2,3,4,5,6,7,8	10000	100	10000
23010231	ギアの思い出がよみがえった！①	46200008	3	71301023						5									1,2,3,4,5,6,7,8	10000	100	10000
23010241	もっとギアの思い出がよみがえった！①	46200008	3	71301024						15								23503	1,2,3,4,5,6,7,8	10000	100	10000
23010251	ギアの思い出がよみがえった！①	46200008	3	71301025						5									1,2,3,4,5,6,7,8	10000	100	10000
23010261	ギアの思い出がよみがえった！①	46200008	3	71301026					5										1,2,3,4,5,6,7,8	10000	100	10000
23010271	さらにギアの思い出がよみがえった！③	46200008	3	71301027										20				23405	1,2,3,4,5,6,7,8	10000	100	10000
23010281	もっとギアの思い出がよみがえった！②	46200008	3	71301028									15					23103	1,2,3,4,5,6,7,8	10000	100	10000
23010291	もっとギアの思い出がよみがえった！①	46200008	3	71301029				15										23203	1,2,3,4,5,6,7,8	10000	100	10000
23010301	もっとギアの思い出がよみがえった！①	46200008	3	71301030								15						23303	1,2,3,4,5,6,7,8	10000	100	10000
23010311	ギアの思い出がよみがえった！②	46200008	3	71301031									5						1,2,3,4,5,6,7,8	10000	100	10000
23010321	もっとギアの思い出がよみがえった！①	46200008	3	71301032					15									23403	1,2,3,4,5,6,7,8	10000	100	10000
23010331	もっとギアの思い出がよみがえった！②	46200008	3	71301033									15					23503	1,2,3,4,5,6,7,8	10000	100	10000
23010341	もっとギアの思い出がよみがえった！②	46200008	3	71301034									15					23103	1,2,3,4,5,6,7,8	10000	100	10000
23010351	もっとギアの思い出がよみがえった！①	46200008	3	71301035						15								23203	1,2,3,4,5,6,7,8	10000	100	10000
23010361	もっとギアの思い出がよみがえった！①	46200008	3	71301036								15						23303	1,2,3,4,5,6,7,8	10000	100	10000
23010371	もっとギアの思い出がよみがえった！②	46200008	3	71301037									15					23403	1,2,3,4,5,6,7,8	10000	100	10000
23010381	さらにギアの思い出がよみがえった！①	46200008	3	71301038						20								23505	1,2,3,4,5,6,7,8	10000	100	10000
