challenge_id	type	category	disp_flag	name_text_id	banner_id	season_id	feature_id	team_battle_event_id	conditions	grade	priority	passive_skill_id	passive_skill_level	sp_type	sp_val1	sp_val2	exclusive_season_id	exclusive_banner_id
50014007		4	1	55	1115				0	3	7							
50014008		4	1	56	1116				0	4	8							
50014009		4	1	26	1113				0	1	9							
50014010		4	1	27	1114				0	2	10							
50014011		4	1	28	1115				0	3	11							
50014012		4	1	29	1116				0	4	12							
50014013		4	1	30	1113				0	1	13							
50014014		4	1	31	1114				0	2	14							
50014015		4	1	32	1115				0	3	15							
50014016		4	1	33	1116				0	4	16							
50014017		4	1	34	1113				0	1	17							
50014018		4	1	35	1114				0	2	18							
50014019		4	1	36	1115				0	3	19							
50014020		4	1	37	1116				0	4	20							
50014021		4	1	38	1113				0	1	21							
50014022		4	1	39	1114				0	2	22							
50014023		4	1	40	1115				0	3	23							
50014024		4	1	41	1116				0	4	24							
50014025		4	1	2	1113				0	1	25							
50014026		4	1	3	1114				0	2	26							
50014027		4	1	4	1115				0	3	27							
50014028		4	1	5	1116				0	4	28							
50014029		4	1	6	1113				0	1	29							
50014030		4	1	7	1114				0	2	30							
50014031		4	1	8	1115				0	3	31							
50014032		4	1	9	1116				0	4	32							
50014033		4	1	10	1113				0	1	33							
50014034		4	1	11	1114				0	2	34							
50014035		4	1	12	1115				0	3	35							
50014036		4	1	13	1116				0	4	36							
50014037		4	1	14	1113				0	1	37							
50014038		4	1	15	1114				0	2	38							
50014039		4	1	16	1115				0	3	39							
50014040		4	1	17	1116				0	4	40							
50015001		5	1	18	1117				0	1	1							
50015002		5	1	19	1118				0	2	2							
50015003		5	1	20	1119				0	3	3							
50015004		5	1	57	1120				0	4	4							
50015005		5	1	58	1117				0	1	5							
50015006		5	1	59	1118				0	2	6							
50015007		5	1	60	1119				0	3	7							
50015008		5	1	61	1120				0	4	8							
50015009		5	1	26	1117				0	1	9							
50015010		5	1	27	1118				0	2	10							
50015011		5	1	28	1119				0	3	11							
50015012		5	1	29	1120				0	4	12							
50015013		5	1	30	1117				0	1	13							
50015014		5	1	31	1118				0	2	14							
50015015		5	1	32	1119				0	3	15							
50015016		5	1	33	1120				0	4	16							
50015017		5	1	34	1117				0	1	17							
50015018		5	1	35	1118				0	2	18							
50015019		5	1	36	1119				0	3	19							
50015020		5	1	37	1120				0	4	20							
50015021		5	1	38	1117				0	1	21							
50015022		5	1	39	1118				0	2	22							
50015023		5	1	40	1119				0	3	23							
50015024		5	1	41	1120				0	4	24							
50015025		5	1	2	1117				0	1	25							
50015026		5	1	3	1118				0	2	26							
50015027		5	1	4	1119				0	3	27							
50015028		5	1	5	1120				0	4	28							
50015029		5	1	6	1117				0	1	29							
50015030		5	1	7	1118				0	2	30							
50015031		5	1	8	1119				0	3	31							
50015032		5	1	9	1120				0	4	32							
50015033		5	1	10	1117				0	1	33							
50015034		5	1	11	1118				0	2	34							
50015035		5	1	12	1119				0	3	35							
50015036		5	1	13	1120				0	4	36							
50015037		5	1	14	1117				0	1	37							
50015038		5	1	15	1118				0	2	38							
50015039		5	1	16	1119				0	3	39							
50015040		5	1	17	1120				0	4	40							
