gear_id	relationship	satisfaction	comfortableness	warmth	healing	hotness	coldness	sporty	relaxing	playing	cooking	camp_skill_id	camp_turn_event_id	forbidden_type_id	group_camp_passive_skill_id	guild_camp_theme1	guild_camp_theme2	guild_camp_theme3
85010227									7	3	3	71022711	23010221		1	4		
85010228									7	3	3	71022811	23010221		1	1		
85010229									7	3	3	71022911	23010221		1	2		
85010230									5	3	3	71023011	23010231		1	3		
85010231									5	3	3	71023111	23010231		1	4		
85010232									5	3	3	71023211	23010231		1	1		
85010233									5	3	3	71023311	23010231		1	2		
85010234									5	3	3	71023411	23010231		1	3		
85010235									5	3	3	71023511	23010231		1	4		
85010236									5	3	3	71023611	23010231		1	1		
85010237									5	3	3	71023711	23010231		1	2		
85010238									5	3	3	71023811	23010231		1	3		
85010239									5	3	3	71023911	23010231		1	4		
85010240									6	4	3	71024011	23010241		1	1		
85010241									6	4	3	71024111	23010241		1	2		
85010242									6	4	3	71024211	23010241		1	3		
85010243									6	4	3	71024311	23010241		1	4		
85010244									6	4	3	71024411	23010241		1	1		
85010245									6	4	3	71024511	23010241		1	2		
85010246									6	4	3	71024611	23010241		1	3		
85010247									6	4	3	71024711	23010241		1	4		
85010248									6	4	3	71024811	23010241		1	1		
85010249									6	4	3	71024911	23010241		1	2		
85010250									6	3	2	71025011	23010251		1	3		
85010251									6	3	2	71025111	23010251		1	4		
85010252									6	3	2	71025211	23010251		1	1		
85010253									6	3	2	71025311	23010251		1	2		
85010254									6	3	2	71025411	23010251		1	3		
85010255									6	3	2	71025511	23010251		1	4		
85010256									6	3	2	71025611	23010251		1	1		
85010257									6	3	2	71025711	23010251		1	2		
85010258									6	3	2	71025811	23010251		1	3		
85010259									6	3	2	71025911	23010251		1	4		
85010260									5	4	2	71026011	23010261		1	1		
85010261									5	4	2	71026111	23010261		1	2		
85010262									5	4	2	71026211	23010261		1	3		
85010263									5	4	2	71026311	23010261		1	4		
85010264									5	4	2	71026411	23010261		1	1		
85010265									5	4	2	71026511	23010261		1	2		
85010266									5	4	2	71026611	23010261		1	3		
85010267									5	4	2	71026711	23010261		1	4		
85010268									5	4	2	71026811	23010261		1	1		
85010269									5	4	2	71026911	23010261		1	2		
85010270									7	5	3	71027011	23010271		1	3		
85010271									7	5	3	71027111	23010271		1	4		
85010272									7	5	3	71027211	23010271		1	1		
85010273									7	5	3	71027311	23010271		1	2		
85010274									7	5	3	71027411	23010271		1	3		
85010275									7	5	3	71027511	23010271		1	4		
85010276									7	5	3	71027611	23010271		1	1		
85010277									7	5	3	71027711	23010271		1	2		
85010278									7	5	3	71027811	23010271		1	3		
85010279									7	5	3	71027911	23010271		1	4		
85010280									6	3	4	71028011	23010281		1	1		
85010281									6	3	4	71028111	23010281		1	2		
85010282									6	3	4	71028211	23010281		1	3		
85010283									6	3	4	71028311	23010281		1	4		
85010284									6	3	4	71028411	23010281		1	1		
85010285									6	3	4	71028511	23010281		1	2		
85010286									6	3	4	71028611	23010281		1	3		
85010287									6	3	4	71028711	23010281		1	4		
85010288									6	3	4	71028811	23010281		1	1		
85010289									6	3	4	71028911	23010281		1	2		
85010290									6	4	3	71029011	23010291		1	3		
85010291									6	4	3	71029111	23010291		1	4		
85010292									6	4	3	71029211	23010291		1	1		
85010293									6	4	3	71029311	23010291		1	2		
85010294									6	4	3	71029411	23010291		1	3		
85010295									6	4	3	71029511	23010291		1	4		
85010296									6	4	3	71029611	23010291		1	1		
85010297									6	4	3	71029711	23010291		1	2		
85010298									6	4	3	71029811	23010291		1	3		
85010299									6	4	3	71029911	23010291		1	4		
85010300									6	4	3	71030011	23010301		1	1		
85010301									6	4	3	71030111	23010301		1	2		
85010302									6	4	3	71030211	23010301		1	3		
85010303									6	4	3	71030311	23010301		1	4		
85010304									6	4	3	71030411	23010301		1	1		
85010305									6	4	3	71030511	23010301		1	2		
85010306									6	4	3	71030611	23010301		1	3		
85010307									6	4	3	71030711	23010301		1	4		
85010308									6	4	3	71030811	23010301		1	1		
85010309									6	4	3	71030911	23010301		1	2		
85010310									6	3	2	71031011	23010311		1	3		
85010311									6	3	2	71031111	23010311		1	4		
85010312									6	3	2	71031211	23010311		1	1		
85010313									6	3	2	71031311	23010311		1	2		
85010314									6	3	2	71031411	23010311		1	3		
85010315									6	3	2	71031511	23010311		1	4		
85010316									6	3	2	71031611	23010311		1	1		
85010317									6	3	2	71031711	23010311		1	2		
85010318									6	3	2	71031811	23010311		1	3		
85010319									6	3	2	71031911	23010311		1	4		
85010320									6	3	4	71032011	23010321		1	1		
85010321									6	3	4	71032111	23010321		1	2		
85010322									6	3	4	71032211	23010321		1	3		
85010323									6	3	4	71032311	23010321		1	4		
85010324									6	3	4	71032411	23010321		1	1		
85010325									6	3	4	71032511	23010321		1	2		
85010326									6	3	4	71032611	23010321		1	3		
85010327									6	3	4	71032711	23010321		1	4		
85010328									6	3	4	71032811	23010321		1	1		
85010329									6	3	4	71032911	23010321		1	2		
85010330									7	2	4	71033011	23010331		1	3		
85010331									7	2	4	71033111	23010331		1	4		
85010332									7	2	4	71033211	23010331		1	1		
85010333									7	2	4	71033311	23010331		1	2		
85010334									7	2	4	71033411	23010331		1	3		
85010335									7	2	4	71033511	23010331		1	4		
85010336									7	2	4	71033611	23010331		1	1		
85010337									7	2	4	71033711	23010331		1	2		
85010338									7	2	4	71033811	23010331		1	3		
85010339									7	2	4	71033911	23010331		1	4		
85010340									7	3	3	71034011	23010341		1	1		
85010341									7	3	3	71034111	23010341		1	2		
85010342									7	3	3	71034211	23010341		1	3		
85010343									7	3	3	71034311	23010341		1	4		
85010344									7	3	3	71034411	23010341		1	1		
85010345									7	3	3	71034511	23010341		1	2		
85010346									7	3	3	71034611	23010341		1	3		
85010347									7	3	3	71034711	23010341		1	4		
85010348									7	3	3	71034811	23010341		1	1		
85010349									7	3	3	71034911	23010341		1	2		
85010350									7	3	3	71035011	23010351		1	3		
85010351									7	3	3	71035111	23010351		1	4		
85010352									7	3	3	71035211	23010351		1	1		
85010353									7	3	3	71035311	23010351		1	2		
85010354									7	3	3	71035411	23010351		1	3		
85010355									7	3	3	71035511	23010351		1	4		
85010356									7	3	3	71035611	23010351		1	1		
85010357									7	3	3	71035711	23010351		1	2		
85010358									7	3	3	71035811	23010351		1	3		
85010359									7	3	3	71035911	23010351		1	4		
85010360									6	4	3	71036011	23010361		1	1		
85010361									6	4	3	71036111	23010361		1	2		
85010362									6	4	3	71036211	23010361		1	3		
85010363									6	4	3	71036311	23010361		1	4		
85010364									6	4	3	71036411	23010361		1	1		
85010365									6	4	3	71036511	23010361		1	2		
85010366									6	4	3	71036611	23010361		1	3		
85010367									6	4	3	71036711	23010361		1	4		
85010368									6	4	3	71036811	23010361		1	1		
85010369									6	4	3	71036911	23010361		1	2		
85010370									5	5	3	71037011	23010371		1	3		
85010371									5	5	3	71037111	23010371		1	4		
85010372									5	5	3	71037211	23010371		1	1		
85010373									5	5	3	71037311	23010371		1	2		
85010374									5	5	3	71037411	23010371		1	3		
85010375									5	5	3	71037511	23010371		1	4		
85010376									5	5	3	71037611	23010371		1	1		
85010377									5	5	3	71037711	23010371		1	2		
85010378									5	5	3	71037811	23010371		1	3		
85010379									5	5	3	71037911	23010371		1	4		
85010380									7	4	4	71038011	23010381		1	1		
85010381									7	4	4	71038111	23010381		1	2		
85010382									7	4	4	71038211	23010381		1	3		
85010383									7	4	4	71038311	23010381		1	4		
85010384									7	4	4	71038411	23010381		1	1		
85010385									7	4	4	71038511	23010381		1	2		
85010386									7	4	4	71038611	23010381		1	3		
85010387									7	4	4	71038711	23010381		1	4		
85010388									7	4	4	71038811	23010381		1	1		
85010389									7	4	4	71038911	23010381		1	2		
85010390									7	4	4	71039011	23010391		1	3		
85010391									7	4	4	71039111	23010391		1	4		
85010392									7	4	4	71039211	23010391		1	1		
85010393									7	4	4	71039311	23010391		1	2		
85010394									7	4	4	71039411	23010391		1	3		
85010395									7	4	4	71039511	23010391		1	4		
85010396									7	4	4	71039611	23010391		1	1		
85010397									7	4	4	71039711	23010391		1	2		
85010398									7	4	4	71039811	23010391		1	3		
85010399									7	4	4	71039911	23010391		1	4		
85010400									5	5	3	71040011	23010401		1	1		
85010401									5	5	3	71040111	23010401		1	2		
85010402									5	5	3	71040211	23010401		1	3		
85010403									5	5	3	71040311	23010401		1	4		
85010404									5	5	3	71040411	23010401		1	1		
85010405									5	5	3	71040511	23010401		1	2		
85010406									5	5	3	71040611	23010401		1	3		
85010407									5	5	3	71040711	23010401		1	4		
85010408									5	5	3	71040811	23010401		1	1		
85010409									5	5	3	71040911	23010401		1	2		
85010410									6	2	3	71041011	23010411		1	3		
85010411									6	2	3	71041111	23010411		1	4		
85010412									6	2	3	71041211	23010411		1	1		
85010413									6	2	3	71041311	23010411		1	2		
85010414									6	2	3	71041411	23010411		1	3		
85010415									6	2	3	71041511	23010411		1	4		
85010416									6	2	3	71041611	23010411		1	1		
85010417									6	2	3	71041711	23010411		1	2		
85010418									6	2	3	71041811	23010411		1	3		
85010419									6	2	3	71041911	23010411		1	4		
85010420									6	2	3	71042011	23010421		1	1		
85010421									6	2	3	71042111	23010421		1	2		
85010422									6	2	3	71042211	23010421		1	3		
85010423									6	2	3	71042311	23010421		1	4		
85010424									6	2	3	71042411	23010421		1	1		
85010425									6	2	3	71042511	23010421		1	2		
85010426									6	2	3	71042611	23010421		1	3		
85010427									6	2	3	71042711	23010421		1	4		
85010428									6	2	3	71042811	23010421		1	1		
85010429									6	2	3	71042911	23010421		1	2		
85010430									5	3	3	71043011	23010431		1	3		
85010431									5	3	3	71043111	23010431		1	4		
85010432									5	3	3	71043211	23010431		1	1		
85010433									5	3	3	71043311	23010431		1	2		
85010434									5	3	3	71043411	23010431		1	3		
85010435									5	3	3	71043511	23010431		1	4		
85010436									5	3	3	71043611	23010431		1	1		
85010437									5	3	3	71043711	23010431		1	2		
85010438									5	3	3	71043811	23010431		1	3		
85010439									5	3	3	71043911	23010431		1	4		
85010440									7	3	3	71044011	23010441		1	1		
85010441									7	3	3	71044111	23010441		1	2		
85010442									7	3	3	71044211	23010441		1	3		
85010443									7	3	3	71044311	23010441		1	4		
85010444									7	3	3	71044411	23010441		1	1		
85010445									7	3	3	71044511	23010441		1	2		
85010446									7	3	3	71044611	23010441		1	3		
85010447									7	3	3	71044711	23010441		1	4		
85010448									7	3	3	71044811	23010441		1	1		
85010449									7	3	3	71044911	23010441		1	2		
85010450									4	4	3	71045011	23010451		1	3		
85010460									5	3	4	71046011	23010461		1	1		
85010461									5	3	4	71046111	23010461		1	2		
85010470									6	3	4	71047011	23010471		1	4		
85020010									6	3	4	72001011	23020011		1	1		
85020020									6	3	4	72002011	23020021		1	2		
85020030									6	3	2	72003011	23020031		1	3		
85020040									4	4	3	72004011	23020041		1	4		
85020050									4	4	3	72005011	23020051		1	1		
85020060									5	7	1	72006011	23020061		1	2		
85020070									6	4	3	72007011	23020071		1	3		
85020080									5	3	3	72008011	23020081		1	4		
85020090									5	3	3	72009011	23020091		1	1		
85020100									6	2	5	72010011	23020101		1	2		
85020110									7	5	1	72011011	23020111		1	3		
85020120									6	4	5	72012011	23020121		1	4		
85020130									5	3	3	72013011	23020131		1	1		
85020131									5	3	3	72013111	23020131		1	2		
85020132									5	3	3	72013211	23020131		1	3		
85020133									5	3	3	72013311	23020131		1	4		
85020134									5	3	3	72013411	23020131		1	1		
85020135									5	3	3	72013511	23020131		1	2		
85020136									5	3	3	72013611	23020131		1	3		
85020137									5	3	3	72013711	23020131		1	4		
85020138									5	3	3	72013811	23020131		1	1		
85020139									5	3	3	72013911	23020131		1	2		
85020140									7	2	2	72014011	23020141		1	3		
85020141									7	2	2	72014111	23020141		1	4		
85020142									7	2	2	72014211	23020141		1	1		
85020143									7	2	2	72014311	23020141		1	2		
85020144									7	2	2	72014411	23020141		1	3		
85020145									7	2	2	72014511	23020141		1	4		
85020146									7	2	2	72014611	23020141		1	1		
85020147									7	2	2	72014711	23020141		1	2		
85020148									7	2	2	72014811	23020141		1	3		
85020149									7	2	2	72014911	23020141		1	4		
85020150									6	3	2	72015011	23020151		1	1		
85020151									6	3	2	72015111	23020151		1	2		
85020152									6	3	2	72015211	23020151		1	3		
85020153									6	3	2	72015311	23020151		1	4		
85020154									6	3	2	72015411	23020151		1	1		
85020155									6	3	2	72015511	23020151		1	2		
85020156									6	3	2	72015611	23020151		1	3		
85020157									6	3	2	72015711	23020151		1	4		
85020158									6	3	2	72015811	23020151		1	1		
85020159									6	3	2	72015911	23020151		1	2		
85020160									6	3	2	72016011	23020161		1	3		
85020161									6	3	2	72016111	23020161		1	4		
85020162									6	3	2	72016211	23020161		1	1		
85020163									6	3	2	72016311	23020161		1	2		
85020164									6	3	2	72016411	23020161		1	3		
85020165									6	3	2	72016511	23020161		1	4		
85020166									6	3	2	72016611	23020161		1	1		
85020167									6	3	2	72016711	23020161		1	2		
85020168									6	3	2	72016811	23020161		1	3		
85020169									6	3	2	72016911	23020161		1	4		
85020170									4	3	4	72017011	23020171		1	1		
85020171									4	3	4	72017111	23020171		1	2		
85020172									4	3	4	72017211	23020171		1	3		
85020173									4	3	4	72017311	23020171		1	4		
85020174									4	3	4	72017411	23020171		1	1		
85020175									4	3	4	72017511	23020171		1	2		
85020176									4	3	4	72017611	23020171		1	3		
85020177									4	3	4	72017711	23020171		1	4		
85020178									4	3	4	72017811	23020171		1	1		
85020179									4	3	4	72017911	23020171		1	2		
85020180									4	2	5	72018011	23020181		1	3		
85020181									4	2	5	72018111	23020181		1	4		
85020182									4	2	5	72018211	23020181		1	1		
85020183									4	2	5	72018311	23020181		1	2		
85020184									4	2	5	72018411	23020181		1	3		
85020185									4	2	5	72018511	23020181		1	4		
85020186									4	2	5	72018611	23020181		1	1		
85020187									4	2	5	72018711	23020181		1	2		
85020188									4	2	5	72018811	23020181		1	3		
85020189									4	2	5	72018911	23020181		1	4		
85020190									3	4	4	72019011	23020191		1	1		
85020191									3	4	4	72019111	23020191		1	2		
85020192									3	4	4	72019211	23020191		1	3		
85020193									3	4	4	72019311	23020191		1	4		
85020194									3	4	4	72019411	23020191		1	1		
85020195									3	4	4	72019511	23020191		1	2		
85020196									3	4	4	72019611	23020191		1	3		
85020197									3	4	4	72019711	23020191		1	4		
85020198									3	4	4	72019811	23020191		1	1		
85020199									3	4	4	72019911	23020191		1	2		
85020200									5	5	3	72020011	23020201		1	3		
85020201									5	5	3	72020111	23020201		1	4		
85020202									5	5	3	72020211	23020201		1	1		
85020203									5	5	3	72020311	23020201		1	2		
85020204									5	5	3	72020411	23020201		1	3		
85020205									5	5	3	72020511	23020201		1	4		
85020206									5	5	3	72020611	23020201		1	1		
85020207									5	5	3	72020711	23020201		1	2		
85020208									5	5	3	72020811	23020201		1	3		
85020209									5	5	3	72020911	23020201		1	4		
85020210									6	4	3	72021011	23020211		1	1		
85020211									6	4	3	72021111	23020211		1	2		
85020212									6	4	3	72021211	23020211		1	3		
85020213									6	4	3	72021311	23020211		1	4		
85020214									6	4	3	72021411	23020211		1	1		
85020215									6	4	3	72021511	23020211		1	2		
85020216									6	4	3	72021611	23020211		1	3		
85020217									6	4	3	72021711	23020211		1	4		
85020218									6	4	3	72021811	23020211		1	1		
85020219									6	4	3	72021911	23020211		1	2		
85020220									7	3	3	72022011	23020221		1	3		
85020221									7	3	3	72022111	23020221		1	4		
85020222									7	3	3	72022211	23020221		1	1		
85020223									7	3	3	72022311	23020221		1	2		
85020224									7	3	3	72022411	23020221		1	3		
85020225									7	3	3	72022511	23020221		1	4		
85020226									7	3	3	72022611	23020221		1	1		
85020227									7	3	3	72022711	23020221		1	2		
85020228									7	3	3	72022811	23020221		1	3		
85020229									7	3	3	72022911	23020221		1	4		
85020230									5	4	4	72023011	23020231		1	1		
85020231									5	4	4	72023111	23020231		1	2		
85020232									5	4	4	72023211	23020231		1	3		
85020233									5	4	4	72023311	23020231		1	4		
85020234									5	4	4	72023411	23020231		1	1		
85020235									5	4	4	72023511	23020231		1	2		
85020236									5	4	4	72023611	23020231		1	3		
85020237									5	4	4	72023711	23020231		1	4		
85020238									5	4	4	72023811	23020231		1	1		
85020239									5	4	4	72023911	23020231		1	2		
85020310									6	4	2	72031011	23020311		1	2		
85020311									6	4	2	72031111	23020311		1	2		
85020320									6	3	3	72032011	23020321		1	2		
85020321									6	3	3	72032111	23020321		1	2		
85030010									4	4	5	73001011	23030011		1	3		
85030020									3	4	4	73002011	23030021		1	4		
85030030									4	3	4	73003011	23030031		1	1		
85030040									4	3	4	73004011	23030041		1	2		
85030050									4	4	5	73005011	23030051		1	3		
85030060									4	4	5	73006011	23030061		1	4		
85030070									4	4	5	73007011	23030071		1	1		
85030080									4	5	4	73008011	23030081		1	2		
85030090									4	6	3	73009011	23030091		1	3		
85030100									4	4	5	73010011	23030101		1	4		
85030101									4	4	5	73010111	23030101		1	1		
85030102									4	4	5	73010211	23030101		1	2		
85030103									4	4	5	73010311	23030101		1	3		
85030104									4	4	5	73010411	23030101		1	4		
85030105									4	4	5	73010511	23030101		1	1		
85030106									4	4	5	73010611	23030101		1	2		
85030107									4	4	5	73010711	23030101		1	3		
85030108									4	4	5	73010811	23030101		1	4		
85030109									4	4	5	73010911	23030101		1	1		
85030110									5	2	4	73011011	23030111		1	2		
85030120									3	4	4	73012011	23030121		1	3		
85030129									3	4	4	73012911	23030121		1	4		
85030130									4	4	5	73013011	23030131		1	1		
85030131									4	4	5	73013111	23030131		1	2		
85030132									4	4	5	73013211	23030131		1	3		
85030133									4	4	5	73013311	23030131		1	4		
85030134									4	4	5	73013411	23030131		1	1		
85030135									4	4	5	73013511	23030131		1	2		
85030136									4	4	5	73013611	23030131		1	3		
85030137									4	4	5	73013711	23030131		1	4		
85030138									4	4	5	73013811	23030131		1	1		
85030139									4	4	5	73013911	23030131		1	2		
85030140									4	3	6	73014011	23030141		1	3		
85030141									4	3	6	73014111	23030141		1	4		
85030142									4	3	6	73014211	23030141		1	1		
85030143									4	3	6	73014311	23030141		1	2		
85030144									4	3	6	73014411	23030141		1	3		
85030145									4	3	6	73014511	23030141		1	4		
85030150									4	4	5	73015011	23030101		1	1		
85030160									3	4	4	73016011	23030121		1	2		
85030170									4	3	6	73017011	23030141		1	3		
85030180									4	3	6	73018011	23030141		1	4		
85030210									3	5	6	73021011	23030211		1	2		
85030211									3	5	6	73021111	23030211		1	2		
85040010									3	4	6	74001011	23040011		1	1		
85040020									4	5	4	74002011	23040021		1	2		
85040050									4	3	4	74005011	23040051		1	3		
85040060									3	4	4	74006011	23040061		1	4		
85040061									3	4	4	74006111	23040061		1	1		
85040062									3	4	4	74006211	23040061		1	2		
85040063									3	4	4	74006311	23040061		1	3		
85040064									3	4	4	74006411	23040061		1	4		
85040065									3	4	4	74006511	23040061		1	1		
85040066									3	4	4	74006611	23040061		1	2		
85040067									3	4	4	74006711	23040061		1	3		
85040068									3	4	4	74006811	23040061		1	4		
85040069									3	4	4	74006911	23040061		1	1		
85040070									4	3	6	74007011	23040071		1	2		
85040080									2	5	4	74008011	23040081		1	3		
85040090									2	7	4	74009011	23040091		1	4		
85040100									3	4	6	74010011	23040101		1	1		
85040110									4	3	6	74011011	23040111		1	2		
85040120									2	4	5	74012011	23040121		1	3		
85040130									3	4	6	74013011	23040131		1	4		
85040140									3	5	5	74014011	23040141		1	1		
85040150									3	4	4	74015011	23040151		1	2		
85040160									3	4	4	74016011	23040161		1	3		
85040170									3	3	5	74017011	23040171		1	4		
85040179									3	3	5	74017911	23040171		1	1		
85040180									3	3	5	74018011	23040181		1	2		
85040190									2	4	5	74019011	23040191		1	3		
85040200									4	3	6	74020011	23040201		1	4		
85040210									3	4	4	74021011	23040211		1	1		
85040220									2	6	3	74022011	23040221		1	2		
85040230									4	4	5	74023011	23040231		1	3		
85040231									4	4	5	74023111	23040231		1	4		
85040232									4	4	5	74023211	23040231		1	1		
85040233									4	4	5	74023311	23040231		1	2		
85040234									4	4	5	74023411	23040231		1	3		
85040235									4	4	5	74023511	23040231		1	4		
85040240									4	4	5	74024011	23040241		1	1		
85040241									4	4	5	74024111	23040241		1	2		
85040242									4	4	5	74024211	23040241		1	3		
85040243									4	4	5	74024311	23040241		1	4		
85040244									4	4	5	74024411	23040241		1	1		
85040245									4	4	5	74024511	23040241		1	2		
85040250									3	3	5	74025011	23040251		1	3		
85040251									3	3	5	74025111	23040251		1	4		
85040252									3	3	5	74025211	23040251		1	1		
85040253									3	3	5	74025311	23040251		1	2		
85040254									3	3	5	74025411	23040251		1	3		
85040255									3	3	5	74025511	23040251		1	4		
85040260									3	3	5	74026011	23040261		1	1		
85040270									3	3	5	74027011	23040271		1	2		
85040280									2	4	7	74028011	23040281		1	3		
85040300									3	4	6	74030011	23040301		1	4		
85040310									3	3	7	74031011	23040311		1	1		
85040320									3	5	5	74032011	23040321		1	2		
85040330									3	3	5	74033011	23040331		1	3		
85040340									3	4	4	74034011	23040341		1	4		
85040350									3	4	6	74035011	23040351		1	1		
85040360									3	5	5	74036011	23040361		1	2		
85040370									3	3	7	74037011	23040371		1	3		
85040380									2	5	4	74038011	23040381		1	4		
85040390									3	4	6	74039011	23040391		1	1		
85040400									4	4	7	74040011	23040401		1	2		
85040410									4	5	6	74041011	23040411		1	3		
85040420									4	4	5	74042011	23040421		1	4		
85040430									4	2	5	74043011	23040431		1	1		
85040440									3	4	6	74044011	23040441		1	2		
85040450									2	4	7	74045011	23040451		1	3		
85040451									2	4	7	74045111	23040451		1	4		
85040452									2	4	7	74045211	23040451		1	1		
85040453									2	4	7	74045311	23040451		1	2		
85040454									2	4	7	74045411	23040451		1	3		
85040455									2	4	7	74045511	23040451		1	4		
85040460									3	4	4	74046011	23040461		1	1		
85040461									3	4	4	74046111	23040461		1	2		
85040462									3	4	4	74046211	23040461		1	3		
85040463									3	4	4	74046311	23040461		1	4		
85040464									3	4	4	74046411	23040461		1	1		
85040465									3	4	4	74046511	23040461		1	2		
85040480									2	4	5	74048011	23040481		1	3		
85040490									3	4	4	74049011	23040491		1	4		
85040491									3	4	4	74049111	23040491		1	1		
85040492									3	4	4	74049211	23040491		1	2		
85040493									3	4	4	74049311	23040491		1	3		
85040494									3	4	4	74049411	23040491		1	4		
85040495									3	4	4	74049511	23040491		1	1		
85040510									4	4	5	74051011	23040511		1	2		
85040520									3	3	5	74052011	23040521		1	3		
85040521									3	3	5	74052111	23040521		1	4		
85040522									3	3	5	74052211	23040521		1	1		
85040523									3	3	5	74052311	23040521		1	2		
85040524									3	3	5	74052411	23040521		1	3		
85040525									3	3	5	74052511	23040521		1	4		
85040530									3	4	4	74053011	23040531		1	1		
85040531									3	4	4	74053111	23040531		1	2		
85040532									3	4	4	74053211	23040531		1	3		
85040533									3	4	4	74053311	23040531		1	4		
85040534									3	4	4	74053411	23040531		1	1		
85040535									3	4	4	74053511	23040531		1	2		
85040540									2	4	5	74054011	23040541		1	3		
85040541									2	4	5	74054111	23040541		1	4		
85040542									2	4	5	74054211	23040541		1	1		
85040543									2	4	5	74054311	23040541		1	2		
85040544									2	4	5	74054411	23040541		1	3		
85040545									2	4	5	74054511	23040541		1	4		
85040550									3	4	4	74055011	23040061		1	1		
85040560									2	5	4	74056011	23040561		1	2		
85050010									6	4	3	75001011	23050011		1	3		
85050020									5	3	3	75002011	23050021		1	4		
85050030									7	3	3	75003011	23050031		1	1		
85050040									6	4	3	75004011	23050041		1	2		
85050050									4	5	2	75005011	23050051		1	3		
85050060									4	5	2	75006011	23050061		1	4		
85050120									4	7	2	75012011	23050121		1	1		
85050130									7	4	4	75013011	23050131		1	2		
85050131									7	4	4	75013111	23050131		1	3		
85050132									7	4	4	75013211	23050131		1	4		
85050133									7	4	4	75013311	23050131		1	1		
85050134									7	4	4	75013411	23050131		1	2		
85050135									7	4	4	75013511	23050131		1	3		
85050140									7	4	4	75014011	23050141		1	4		
85050141									7	4	4	75014111	23050141		1	1		
85050142									7	4	4	75014211	23050141		1	2		
85050143									7	4	4	75014311	23050141		1	3		
85050144									7	4	4	75014411	23050141		1	4		
85050145									7	4	4	75014511	23050141		1	1		
85050150									5	3	3	75015011	23050151		1	2		
85050151									5	3	3	75015111	23050151		1	3		
85050152									5	3	3	75015211	23050151		1	4		
85050153									5	3	3	75015311	23050151		1	1		
85050154									5	3	3	75015411	23050151		1	2		
85050155									5	3	3	75015511	23050151		1	3		
85050160									6	4	3	75016011	23050161		1	4		
85050161									6	4	3	75016111	23050161		1	1		
85050162									6	4	3	75016211	23050161		1	2		
85050163									6	4	3	75016311	23050161		1	3		
85050164									6	4	3	75016411	23050161		1	4		
85050165									6	4	3	75016511	23050161		1	1		
85050170									5	3	3	75017011	23050171		1	2		
85050171									5	3	3	75017111	23050171		1	3		
85050172									5	3	3	75017211	23050171		1	4		
85050173									5	3	3	75017311	23050171		1	1		
85050174									5	3	3	75017411	23050171		1	2		
85050175									5	3	3	75017511	23050171		1	3		
85050180									5	5	3	75018011	23050181		1	4		
85050181									5	5	3	75018111	23050181		1	1		
85050182									5	5	3	75018211	23050181		1	2		
85050183									5	5	3	75018311	23050181		1	3		
85050184									5	5	3	75018411	23050181		1	4		
85050185									5	5	3	75018511	23050181		1	1		
85050190									5	5	3	75019011	23050191		1	2		
85050191									5	5	3	75019111	23050191		1	3		
85050192									5	5	3	75019211	23050191		1	4		
85050193									5	5	3	75019311	23050191		1	1		
85050194									5	5	3	75019411	23050191		1	2		
85050195									5	5	3	75019511	23050191		1	3		
85050200									4	5	3	75020011	23050201		1	3		
85050201									4	5	3	75020111	23050201		1	4		
85060010									4	3	6	76001011	23060011		1	4		
