feature_id	box_id	seq_id	reward_id	rankup	weight
702	1	13	204702113		200
702	1	14	204702114		200
702	1	15	204702115		200
702	1	16	204702116		200
702	1	17	204702117		200
702	1	18	204702118		200
702	1	19	204702119		200
702	1	20	204702120		200
702	1	21	204702121		200
702	1	22	204702122		200
702	1	23	204702123		200
702	1	24	204702124		200
702	1	25	204702125		200
702	1	26	204702126		200
702	1	27	204702127		200
702	1	28	204702128		200
702	1	29	204702129		200
702	1	30	204702130		200
702	2	1	204702101	1	50
702	2	2	204702102		200
702	2	3	204702103		200
702	2	4	204702104		200
702	2	5	204702105		200
702	2	6	204702106		200
702	2	7	204702107		200
702	2	8	204702108		200
702	2	9	204702109		200
702	2	10	204702110		200
702	2	11	204702111		200
702	2	12	204702112		200
702	2	13	204702113		200
702	2	14	204702114		200
702	2	15	204702115		200
702	2	16	204702116		200
702	2	17	204702117		200
702	2	18	204702118		200
702	2	19	204702119		200
702	2	20	204702120		200
702	2	21	204702121		200
702	2	22	204702122		200
702	2	23	204702123		200
702	2	24	204702124		200
702	2	25	204702125		200
702	2	26	204702126		200
702	2	27	204702127		200
702	2	28	204702128		200
702	2	29	204702129		200
702	2	30	204702130		200
702	3	1	204702101	1	50
702	3	2	204702102		200
702	3	3	204702103		200
702	3	4	204702104		200
702	3	5	204702105		200
702	3	6	204702106		200
702	3	7	204702107		200
702	3	8	204702108		200
702	3	9	204702109		200
702	3	10	204702110		200
702	3	11	204702111		200
702	3	12	204702112		200
702	3	13	204702113		200
702	3	14	204702114		200
702	3	15	204702115		200
702	3	16	204702116		200
702	3	17	204702117		200
702	3	18	204702118		200
702	3	19	204702119		200
702	3	20	204702120		200
702	3	21	204702121		200
702	3	22	204702122		200
702	3	23	204702123		200
702	3	24	204702124		200
702	3	25	204702125		200
702	3	26	204702126		200
702	3	27	204702127		200
702	3	28	204702128		200
702	3	29	204702129		200
702	3	30	204702130		200
702	4	1	204702401	1	50
702	4	2	204702402		200
702	4	3	204702403		200
702	4	4	204702404		200
702	4	5	204702405		200
702	4	6	204702406		200
702	4	7	204702407		200
702	4	8	204702408		200
702	4	9	204702409		200
702	4	10	204702410		200
702	4	11	204702411		200
702	4	12	204702412		200
702	4	13	204702413		200
702	4	14	204702414		200
702	4	15	204702415		200
702	4	16	204702416		200
702	4	17	204702417		200
702	4	18	204702418		200
702	4	19	204702419		200
702	4	20	204702420		200
702	4	21	204702421		200
702	4	22	204702422		200
702	4	23	204702423		200
702	4	24	204702424		200
702	4	25	204702425		200
702	4	26	204702426		200
702	4	27	204702427		200
702	4	28	204702428		200
702	4	29	204702429		200
702	4	30	204702430		200
