craft_recipe_id	seq	material1	material2	material3	material4	material5	value
85010211	4	3010211					2
85010212	1	3010212					1
85010212	2	3010212					1
85010212	3	3010212					1
85010212	4	3010212					2
85010213	1	3010213					1
85010213	2	3010213					1
85010213	3	3010213					1
85010213	4	3010213					2
85010214	1	3010214					1
85010214	2	3010214					1
85010214	3	3010214					1
85010214	4	3010214					2
85010215	1	3010215					1
85010215	2	3010215					1
85010215	3	3010215					1
85010215	4	3010215					2
85010216	1	3010216					1
85010216	2	3010216					1
85010216	3	3010216					1
85010216	4	3010216					2
85010217	1	3010217					1
85010217	2	3010217					1
85010217	3	3010217					1
85010217	4	3010217					2
85010218	1	3010218					1
85010218	2	3010218					1
85010218	3	3010218					1
85010218	4	3010218					2
85010219	1	3010219					1
85010219	2	3010219					1
85010219	3	3010219					1
85010219	4	3010219					2
85010220	1	3010220					1
85010220	2	3010220					1
85010220	3	3010220					1
85010220	4	3010220					2
85010221	1	3010221					1
85010221	2	3010221					1
85010221	3	3010221					1
85010221	4	3010221					2
85010222	1	3010222					1
85010222	2	3010222					1
85010222	3	3010222					1
85010222	4	3010222					2
85010223	1	3010223					1
85010223	2	3010223					1
85010223	3	3010223					1
85010223	4	3010223					2
85010224	1	3010224					1
85010224	2	3010224					1
85010224	3	3010224					1
85010224	4	3010224					2
85010225	1	3010225					1
85010225	2	3010225					1
85010225	3	3010225					1
85010225	4	3010225					2
85010226	1	3010226					1
85010226	2	3010226					1
85010226	3	3010226					1
85010226	4	3010226					2
85010227	1	3010227					1
85010227	2	3010227					1
85010227	3	3010227					1
85010227	4	3010227					2
85010228	1	3010228					1
85010228	2	3010228					1
85010228	3	3010228					1
85010228	4	3010228					2
85010229	1	3010229					1
85010229	2	3010229					1
85010229	3	3010229					1
85010229	4	3010229					2
85010230	1	3010230					1
85010230	2	3010230					1
85010230	3	3010230					2
85010230	4	3010230					3
85010231	1	3010231					1
85010231	2	3010231					1
85010231	3	3010231					2
85010231	4	3010231					3
85010232	1	3010232					1
85010232	2	3010232					1
85010232	3	3010232					2
85010232	4	3010232					3
85010233	1	3010233					1
85010233	2	3010233					1
85010233	3	3010233					2
85010233	4	3010233					3
85010234	1	3010234					1
85010234	2	3010234					1
85010234	3	3010234					2
85010234	4	3010234					3
85010235	1	3010235					1
85010235	2	3010235					1
85010235	3	3010235					2
85010235	4	3010235					3
85010236	1	3010236					1
85010236	2	3010236					1
85010236	3	3010236					2
85010236	4	3010236					3
85010237	1	3010237					1
85010237	2	3010237					1
85010237	3	3010237					2
85010237	4	3010237					3
85010238	1	3010238					1
85010238	2	3010238					1
85010238	3	3010238					2
85010238	4	3010238					3
85010239	1	3010239					1
85010239	2	3010239					1
85010239	3	3010239					2
85010239	4	3010239					3
85010240	1	3010240					1
85010240	2	3010240					1
85010240	3	3010240					1
85010240	4	3010240					2
85010241	1	3010241					1
85010241	2	3010241					1
85010241	3	3010241					1
85010241	4	3010241					2
85010242	1	3010242					1
85010242	2	3010242					1
85010242	3	3010242					1
85010242	4	3010242					2
85010243	1	3010243					1
85010243	2	3010243					1
85010243	3	3010243					1
85010243	4	3010243					2
85010244	1	3010244					1
85010244	2	3010244					1
85010244	3	3010244					1
85010244	4	3010244					2
85010245	1	3010245					1
85010245	2	3010245					1
85010245	3	3010245					1
85010245	4	3010245					2
85010246	1	3010246					1
85010246	2	3010246					1
85010246	3	3010246					1
85010246	4	3010246					2
85010247	1	3010247					1
85010247	2	3010247					1
85010247	3	3010247					1
85010247	4	3010247					2
85010248	1	3010248					1
85010248	2	3010248					1
85010248	3	3010248					1
85010248	4	3010248					2
85010249	1	3010249					1
85010249	2	3010249					1
85010249	3	3010249					1
85010249	4	3010249					2
85010250	1	3010250					1
85010250	2	3010250					1
85010250	3	3010250					2
85010250	4	3010250					3
85010251	1	3010251					1
85010251	2	3010251					1
85010251	3	3010251					2
85010251	4	3010251					3
85010252	1	3010252					1
85010252	2	3010252					1
85010252	3	3010252					2
85010252	4	3010252					3
85010253	1	3010253					1
85010253	2	3010253					1
85010253	3	3010253					2
85010253	4	3010253					3
85010254	1	3010254					1
85010254	2	3010254					1
85010254	3	3010254					2
85010254	4	3010254					3
85010255	1	3010255					1
85010255	2	3010255					1
85010255	3	3010255					2
85010255	4	3010255					3
85010256	1	3010256					1
85010256	2	3010256					1
85010256	3	3010256					2
85010256	4	3010256					3
85010257	1	3010257					1
85010257	2	3010257					1
85010257	3	3010257					2
85010257	4	3010257					3
85010258	1	3010258					1
85010258	2	3010258					1
85010258	3	3010258					2
85010258	4	3010258					3
85010259	1	3010259					1
85010259	2	3010259					1
85010259	3	3010259					2
85010259	4	3010259					3
85010260	1	3010260					1
85010260	2	3010260					1
85010260	3	3010260					2
85010260	4	3010260					3
85010261	1	3010261					1
85010261	2	3010261					1
85010261	3	3010261					2
85010261	4	3010261					3
85010262	1	3010262					1
85010262	2	3010262					1
85010262	3	3010262					2
85010262	4	3010262					3
85010263	1	3010263					1
85010263	2	3010263					1
85010263	3	3010263					2
85010263	4	3010263					3
85010264	1	3010264					1
85010264	2	3010264					1
85010264	3	3010264					2
85010264	4	3010264					3
85010265	1	3010265					1
85010265	2	3010265					1
85010265	3	3010265					2
85010265	4	3010265					3
85010266	1	3010266					1
85010266	2	3010266					1
85010266	3	3010266					2
85010266	4	3010266					3
85010267	1	3010267					1
85010267	2	3010267					1
85010267	3	3010267					2
85010267	4	3010267					3
85010268	1	3010268					1
85010268	2	3010268					1
85010268	3	3010268					2
85010268	4	3010268					3
85010269	1	3010269					1
85010269	2	3010269					1
85010269	3	3010269					2
85010269	4	3010269					3
85010270	1	3010270					1
85010270	2	3010270					1
85010270	3	3010270					1
85010270	4	3010270					1
85010271	1	3010271					1
85010271	2	3010271					1
85010271	3	3010271					1
85010271	4	3010271					1
85010272	1	3010272					1
85010272	2	3010272					1
85010272	3	3010272					1
85010272	4	3010272					1
85010273	1	3010273					1
85010273	2	3010273					1
85010273	3	3010273					1
85010273	4	3010273					1
85010274	1	3010274					1
85010274	2	3010274					1
85010274	3	3010274					1
85010274	4	3010274					1
85010275	1	3010275					1
85010275	2	3010275					1
85010275	3	3010275					1
85010275	4	3010275					1
85010276	1	3010276					1
85010276	2	3010276					1
85010276	3	3010276					1
85010276	4	3010276					1
85010277	1	3010277					1
85010277	2	3010277					1
85010277	3	3010277					1
85010277	4	3010277					1
85010278	1	3010278					1
85010278	2	3010278					1
85010278	3	3010278					1
85010278	4	3010278					1
85010279	1	3010279					1
85010279	2	3010279					1
85010279	3	3010279					1
85010279	4	3010279					1
85010280	1	3010280					1
85010280	2	3010280					1
85010280	3	3010280					1
85010280	4	3010280					2
85010281	1	3010281					1
85010281	2	3010281					1
85010281	3	3010281					1
85010281	4	3010281					2
85010282	1	3010282					1
85010282	2	3010282					1
85010282	3	3010282					1
85010282	4	3010282					2
85010283	1	3010283					1
85010283	2	3010283					1
85010283	3	3010283					1
85010283	4	3010283					2
85010284	1	3010284					1
85010284	2	3010284					1
85010284	3	3010284					1
85010284	4	3010284					2
85010285	1	3010285					1
85010285	2	3010285					1
85010285	3	3010285					1
85010285	4	3010285					2
85010286	1	3010286					1
85010286	2	3010286					1
85010286	3	3010286					1
85010286	4	3010286					2
85010287	1	3010287					1
85010287	2	3010287					1
85010287	3	3010287					1
85010287	4	3010287					2
85010288	1	3010288					1
85010288	2	3010288					1
85010288	3	3010288					1
85010288	4	3010288					2
85010289	1	3010289					1
85010289	2	3010289					1
85010289	3	3010289					1
85010289	4	3010289					2
85010290	1	3010290					1
85010290	2	3010290					1
85010290	3	3010290					1
85010290	4	3010290					2
85010291	1	3010291					1
85010291	2	3010291					1
85010291	3	3010291					1
85010291	4	3010291					2
85010292	1	3010292					1
85010292	2	3010292					1
85010292	3	3010292					1
85010292	4	3010292					2
85010293	1	3010293					1
85010293	2	3010293					1
85010293	3	3010293					1
85010293	4	3010293					2
85010294	1	3010294					1
85010294	2	3010294					1
85010294	3	3010294					1
85010294	4	3010294					2
85010295	1	3010295					1
85010295	2	3010295					1
85010295	3	3010295					1
85010295	4	3010295					2
85010296	1	3010296					1
85010296	2	3010296					1
85010296	3	3010296					1
85010296	4	3010296					2
85010297	1	3010297					1
85010297	2	3010297					1
85010297	3	3010297					1
85010297	4	3010297					2
85010298	1	3010298					1
85010298	2	3010298					1
85010298	3	3010298					1
85010298	4	3010298					2
85010299	1	3010299					1
85010299	2	3010299					1
85010299	3	3010299					1
85010299	4	3010299					2
85010300	1	3010300					1
85010300	2	3010300					1
85010300	3	3010300					1
85010300	4	3010300					2
85010301	1	3010301					1
85010301	2	3010301					1
85010301	3	3010301					1
85010301	4	3010301					2
85010302	1	3010302					1
85010302	2	3010302					1
85010302	3	3010302					1
85010302	4	3010302					2
85010303	1	3010303					1
85010303	2	3010303					1
85010303	3	3010303					1
85010303	4	3010303					2
85010304	1	3010304					1
85010304	2	3010304					1
85010304	3	3010304					1
85010304	4	3010304					2
85010305	1	3010305					1
85010305	2	3010305					1
85010305	3	3010305					1
85010305	4	3010305					2
85010306	1	3010306					1
85010306	2	3010306					1
85010306	3	3010306					1
85010306	4	3010306					2
85010307	1	3010307					1
85010307	2	3010307					1
85010307	3	3010307					1
85010307	4	3010307					2
85010308	1	3010308					1
85010308	2	3010308					1
85010308	3	3010308					1
85010308	4	3010308					2
85010309	1	3010309					1
85010309	2	3010309					1
85010309	3	3010309					1
85010309	4	3010309					2
85010310	1	3010310					1
85010310	2	3010310					1
85010310	3	3010310					2
85010310	4	3010310					3
85010311	1	3010311					1
85010311	2	3010311					1
85010311	3	3010311					2
85010311	4	3010311					3
85010312	1	3010312					1
85010312	2	3010312					1
85010312	3	3010312					2
85010312	4	3010312					3
85010313	1	3010313					1
85010313	2	3010313					1
85010313	3	3010313					2
85010313	4	3010313					3
85010314	1	3010314					1
85010314	2	3010314					1
85010314	3	3010314					2
85010314	4	3010314					3
85010315	1	3010315					1
85010315	2	3010315					1
85010315	3	3010315					2
85010315	4	3010315					3
85010316	1	3010316					1
85010316	2	3010316					1
85010316	3	3010316					2
85010316	4	3010316					3
85010317	1	3010317					1
85010317	2	3010317					1
85010317	3	3010317					2
85010317	4	3010317					3
85010318	1	3010318					1
85010318	2	3010318					1
85010318	3	3010318					2
85010318	4	3010318					3
85010319	1	3010319					1
85010319	2	3010319					1
85010319	3	3010319					2
85010319	4	3010319					3
85010320	1	3010320					1
85010320	2	3010320					1
85010320	3	3010320					1
85010320	4	3010320					2
85010321	1	3010321					1
85010321	2	3010321					1
85010321	3	3010321					1
85010321	4	3010321					2
85010322	1	3010322					1
85010322	2	3010322					1
85010322	3	3010322					1
85010322	4	3010322					2
85010323	1	3010323					1
85010323	2	3010323					1
85010323	3	3010323					1
85010323	4	3010323					2
85010324	1	3010324					1
85010324	2	3010324					1
85010324	3	3010324					1
85010324	4	3010324					2
85010325	1	3010325					1
85010325	2	3010325					1
85010325	3	3010325					1
85010325	4	3010325					2
85010326	1	3010326					1
85010326	2	3010326					1
85010326	3	3010326					1
85010326	4	3010326					2
85010327	1	3010327					1
85010327	2	3010327					1
85010327	3	3010327					1
85010327	4	3010327					2
85010328	1	3010328					1
85010328	2	3010328					1
85010328	3	3010328					1
85010328	4	3010328					2
85010329	1	3010329					1
85010329	2	3010329					1
85010329	3	3010329					1
85010329	4	3010329					2
85010330	1	3010330					1
85010330	2	3010330					1
85010330	3	3010330					1
85010330	4	3010330					2
85010331	1	3010331					1
85010331	2	3010331					1
85010331	3	3010331					1
85010331	4	3010331					2
85010332	1	3010332					1
85010332	2	3010332					1
85010332	3	3010332					1
85010332	4	3010332					2
85010333	1	3010333					1
85010333	2	3010333					1
85010333	3	3010333					1
85010333	4	3010333					2
85010334	1	3010334					1
85010334	2	3010334					1
85010334	3	3010334					1
85010334	4	3010334					2
85010335	1	3010335					1
85010335	2	3010335					1
85010335	3	3010335					1
85010335	4	3010335					2
85010336	1	3010336					1
85010336	2	3010336					1
85010336	3	3010336					1
85010336	4	3010336					2
85010337	1	3010337					1
85010337	2	3010337					1
85010337	3	3010337					1
85010337	4	3010337					2
85010338	1	3010338					1
85010338	2	3010338					1
85010338	3	3010338					1
85010338	4	3010338					2
85010339	1	3010339					1
85010339	2	3010339					1
85010339	3	3010339					1
85010339	4	3010339					2
85010340	1	3010340					1
85010340	2	3010340					1
85010340	3	3010340					1
85010340	4	3010340					2
85010341	1	3010341					1
85010341	2	3010341					1
85010341	3	3010341					1
85010341	4	3010341					2
85010342	1	3010342					1
85010342	2	3010342					1
85010342	3	3010342					1
85010342	4	3010342					2
85010343	1	3010343					1
85010343	2	3010343					1
85010343	3	3010343					1
85010343	4	3010343					2
85010344	1	3010344					1
85010344	2	3010344					1
85010344	3	3010344					1
85010344	4	3010344					2
85010345	1	3010345					1
85010345	2	3010345					1
85010345	3	3010345					1
85010345	4	3010345					2
85010346	1	3010346					1
85010346	2	3010346					1
85010346	3	3010346					1
85010346	4	3010346					2
85010347	1	3010347					1
85010347	2	3010347					1
85010347	3	3010347					1
85010347	4	3010347					2
85010348	1	3010348					1
85010348	2	3010348					1
85010348	3	3010348					1
85010348	4	3010348					2
85010349	1	3010349					1
85010349	2	3010349					1
85010349	3	3010349					1
85010349	4	3010349					2
85010350	1	3010350					1
85010350	2	3010350					1
85010350	3	3010350					1
85010350	4	3010350					2
85010351	1	3010351					1
85010351	2	3010351					1
85010351	3	3010351					1
85010351	4	3010351					2
85010352	1	3010352					1
85010352	2	3010352					1
85010352	3	3010352					1
85010352	4	3010352					2
85010353	1	3010353					1
85010353	2	3010353					1
85010353	3	3010353					1
85010353	4	3010353					2
85010354	1	3010354					1
85010354	2	3010354					1
85010354	3	3010354					1
85010354	4	3010354					2
85010355	1	3010355					1
85010355	2	3010355					1
85010355	3	3010355					1
85010355	4	3010355					2
85010356	1	3010356					1
85010356	2	3010356					1
85010356	3	3010356					1
85010356	4	3010356					2
85010357	1	3010357					1
85010357	2	3010357					1
85010357	3	3010357					1
85010357	4	3010357					2
85010358	1	3010358					1
85010358	2	3010358					1
85010358	3	3010358					1
85010358	4	3010358					2
85010359	1	3010359					1
85010359	2	3010359					1
85010359	3	3010359					1
85010359	4	3010359					2
85010360	1	3010360					1
85010360	2	3010360					1
85010360	3	3010360					1
85010360	4	3010360					2
85010361	1	3010361					1
85010361	2	3010361					1
85010361	3	3010361					1
85010361	4	3010361					2
85010362	1	3010362					1
85010362	2	3010362					1
85010362	3	3010362					1
85010362	4	3010362					2
85010363	1	3010363					1
85010363	2	3010363					1
85010363	3	3010363					1
85010363	4	3010363					2
85010364	1	3010364					1
85010364	2	3010364					1
85010364	3	3010364					1
85010364	4	3010364					2
85010365	1	3010365					1
85010365	2	3010365					1
85010365	3	3010365					1
85010365	4	3010365					2
85010366	1	3010366					1
85010366	2	3010366					1
85010366	3	3010366					1
85010366	4	3010366					2
85010367	1	3010367					1
85010367	2	3010367					1
85010367	3	3010367					1
85010367	4	3010367					2
85010368	1	3010368					1
85010368	2	3010368					1
85010368	3	3010368					1
85010368	4	3010368					2
85010369	1	3010369					1
85010369	2	3010369					1
85010369	3	3010369					1
85010369	4	3010369					2
85010370	1	3010370					1
85010370	2	3010370					1
85010370	3	3010370					1
85010370	4	3010370					2
85010371	1	3010371					1
85010371	2	3010371					1
85010371	3	3010371					1
85010371	4	3010371					2
85010372	1	3010372					1
85010372	2	3010372					1
85010372	3	3010372					1
85010372	4	3010372					2
85010373	1	3010373					1
85010373	2	3010373					1
85010373	3	3010373					1
85010373	4	3010373					2
85010374	1	3010374					1
85010374	2	3010374					1
85010374	3	3010374					1
85010374	4	3010374					2
85010375	1	3010375					1
85010375	2	3010375					1
85010375	3	3010375					1
85010375	4	3010375					2
85010376	1	3010376					1
85010376	2	3010376					1
85010376	3	3010376					1
85010376	4	3010376					2
85010377	1	3010377					1
85010377	2	3010377					1
85010377	3	3010377					1
85010377	4	3010377					2
85010378	1	3010378					1
85010378	2	3010378					1
85010378	3	3010378					1
85010378	4	3010378					2
85010379	1	3010379					1
85010379	2	3010379					1
85010379	3	3010379					1
85010379	4	3010379					2
85010380	1	3010380					1
85010380	2	3010380					1
85010380	3	3010380					1
85010380	4	3010380					1
85010381	1	3010381					1
85010381	2	3010381					1
85010381	3	3010381					1
85010381	4	3010381					1
85010382	1	3010382					1
85010382	2	3010382					1
85010382	3	3010382					1
85010382	4	3010382					1
85010383	1	3010383					1
85010383	2	3010383					1
85010383	3	3010383					1
85010383	4	3010383					1
85010384	1	3010384					1
85010384	2	3010384					1
85010384	3	3010384					1
85010384	4	3010384					1
85010385	1	3010385					1
85010385	2	3010385					1
85010385	3	3010385					1
85010385	4	3010385					1
85010386	1	3010386					1
85010386	2	3010386					1
85010386	3	3010386					1
85010386	4	3010386					1
85010387	1	3010387					1
85010387	2	3010387					1
85010387	3	3010387					1
85010387	4	3010387					1
85010388	1	3010388					1
85010388	2	3010388					1
85010388	3	3010388					1
85010388	4	3010388					1
85010389	1	3010389					1
85010389	2	3010389					1
85010389	3	3010389					1
85010389	4	3010389					1
85010390	1	3010390					1
85010390	2	3010390					1
85010390	3	3010390					1
85010390	4	3010390					1
85010391	1	3010391					1
85010391	2	3010391					1
85010391	3	3010391					1
85010391	4	3010391					1
85010392	1	3010392					1
85010392	2	3010392					1
85010392	3	3010392					1
85010392	4	3010392					1
85010393	1	3010393					1
85010393	2	3010393					1
85010393	3	3010393					1
85010393	4	3010393					1
85010394	1	3010394					1
85010394	2	3010394					1
85010394	3	3010394					1
85010394	4	3010394					1
85010395	1	3010395					1
85010395	2	3010395					1
85010395	3	3010395					1
85010395	4	3010395					1
85010396	1	3010396					1
85010396	2	3010396					1
85010396	3	3010396					1
85010396	4	3010396					1
85010397	1	3010397					1
85010397	2	3010397					1
85010397	3	3010397					1
85010397	4	3010397					1
85010398	1	3010398					1
85010398	2	3010398					1
85010398	3	3010398					1
85010398	4	3010398					1
85010399	1	3010399					1
85010399	2	3010399					1
85010399	3	3010399					1
85010399	4	3010399					1
85010400	1	3010400					1
85010400	2	3010400					1
85010400	3	3010400					1
85010400	4	3010400					2
85010401	1	3010401					1
85010401	2	3010401					1
85010401	3	3010401					1
85010401	4	3010401					2
85010402	1	3010402					1
85010402	2	3010402					1
85010402	3	3010402					1
85010402	4	3010402					2
85010403	1	3010403					1
85010403	2	3010403					1
85010403	3	3010403					1
85010403	4	3010403					2
85010404	1	3010404					1
85010404	2	3010404					1
85010404	3	3010404					1
85010404	4	3010404					2
85010405	1	3010405					1
85010405	2	3010405					1
85010405	3	3010405					1
85010405	4	3010405					2
85010406	1	3010406					1
85010406	2	3010406					1
85010406	3	3010406					1
85010406	4	3010406					2
85010407	1	3010407					1
85010407	2	3010407					1
85010407	3	3010407					1
85010407	4	3010407					2
85010408	1	3010408					1
85010408	2	3010408					1
85010408	3	3010408					1
85010408	4	3010408					2
85010409	1	3010409					1
85010409	2	3010409					1
85010409	3	3010409					1
85010409	4	3010409					2
85010410	1	3010410					1
85010410	2	3010410					1
85010410	3	3010410					2
85010410	4	3010410					3
85010411	1	3010411					1
85010411	2	3010411					1
85010411	3	3010411					2
85010411	4	3010411					3
85010412	1	3010412					1
85010412	2	3010412					1
85010412	3	3010412					2
85010412	4	3010412					3
85010413	1	3010413					1
85010413	2	3010413					1
85010413	3	3010413					2
85010413	4	3010413					3
85010414	1	3010414					1
85010414	2	3010414					1
85010414	3	3010414					2
85010414	4	3010414					3
85010415	1	3010415					1
85010415	2	3010415					1
85010415	3	3010415					2
85010415	4	3010415					3
85010416	1	3010416					1
85010416	2	3010416					1
85010416	3	3010416					2
85010416	4	3010416					3
85010417	1	3010417					1
85010417	2	3010417					1
85010417	3	3010417					2
85010417	4	3010417					3
85010418	1	3010418					1
85010418	2	3010418					1
85010418	3	3010418					2
85010418	4	3010418					3
85010419	1	3010419					1
85010419	2	3010419					1
85010419	3	3010419					2
85010419	4	3010419					3
85010420	1	3010420					1
85010420	2	3010420					1
85010420	3	3010420					2
85010420	4	3010420					3
85010421	1	3010421					1
85010421	2	3010421					1
85010421	3	3010421					2
85010421	4	3010421					3
85010422	1	3010422					1
85010422	2	3010422					1
85010422	3	3010422					2
85010422	4	3010422					3
85010423	1	3010423					1
85010423	2	3010423					1
85010423	3	3010423					2
85010423	4	3010423					3
85010424	1	3010424					1
85010424	2	3010424					1
85010424	3	3010424					2
85010424	4	3010424					3
85010425	1	3010425					1
85010425	2	3010425					1
85010425	3	3010425					2
85010425	4	3010425					3
85010426	1	3010426					1
85010426	2	3010426					1
85010426	3	3010426					2
85010426	4	3010426					3
85010427	1	3010427					1
85010427	2	3010427					1
85010427	3	3010427					2
85010427	4	3010427					3
85010428	1	3010428					1
85010428	2	3010428					1
85010428	3	3010428					2
85010428	4	3010428					3
85010429	1	3010429					1
85010429	2	3010429					1
85010429	3	3010429					2
85010429	4	3010429					3
85010430	1	3010430					1
85010430	2	3010430					1
85010430	3	3010430					2
85010430	4	3010430					3
85010431	1	3010431					1
85010431	2	3010431					1
85010431	3	3010431					2
85010431	4	3010431					3
85010432	1	3010432					1
85010432	2	3010432					1
85010432	3	3010432					2
85010432	4	3010432					3
85010433	1	3010433					1
85010433	2	3010433					1
85010433	3	3010433					2
85010433	4	3010433					3
85010434	1	3010434					1
85010434	2	3010434					1
85010434	3	3010434					2
85010434	4	3010434					3
85010435	1	3010435					1
85010435	2	3010435					1
85010435	3	3010435					2
85010435	4	3010435					3
85010436	1	3010436					1
85010436	2	3010436					1
85010436	3	3010436					2
85010436	4	3010436					3
85010437	1	3010437					1
85010437	2	3010437					1
85010437	3	3010437					2
85010437	4	3010437					3
85010438	1	3010438					1
85010438	2	3010438					1
85010438	3	3010438					2
85010438	4	3010438					3
85010439	1	3010439					1
85010439	2	3010439					1
85010439	3	3010439					2
85010439	4	3010439					3
85010440	1	3010440					1
85010440	2	3010440					1
85010440	3	3010440					1
85010440	4	3010440					2
85010441	1	3010441					1
85010441	2	3010441					1
85010441	3	3010441					1
85010441	4	3010441					2
85010442	1	3010442					1
85010442	2	3010442					1
85010442	3	3010442					1
85010442	4	3010442					2
85010443	1	3010443					1
85010443	2	3010443					1
85010443	3	3010443					1
85010443	4	3010443					2
85010444	1	3010444					1
85010444	2	3010444					1
85010444	3	3010444					1
85010444	4	3010444					2
85010445	1	3010445					1
85010445	2	3010445					1
85010445	3	3010445					1
85010445	4	3010445					2
85010446	1	3010446					1
85010446	2	3010446					1
85010446	3	3010446					1
85010446	4	3010446					2
85010447	1	3010447					1
85010447	2	3010447					1
85010447	3	3010447					1
85010447	4	3010447					2
85010448	1	3010448					1
85010448	2	3010448					1
85010448	3	3010448					1
85010448	4	3010448					2
85010449	1	3010449					1
85010449	2	3010449					1
85010449	3	3010449					1
85010449	4	3010449					2
85010450	1	3010450					1
85010450	2	3010450					1
85010450	3	3010450					2
85010450	4	3010450					3
85010460	1	3010460					1
85010460	2	3010460					1
85010460	3	3010460					1
85010460	4	3010460					2
85010461	1	3010461					1
85010461	2	3010461					1
85010461	3	3010461					1
85010461	4	3010461					2
85010470	1	3010470					1
85010470	2	3010470					1
85010470	3	3010470					1
85010470	4	3010470					2
85020010	1	3020010					1
85020010	2	3020010					1
85020010	3	3020010					1
85020010	4	3020010					2
85020020	1	3020020					1
85020020	2	3020020					1
85020020	3	3020020					1
85020020	4	3020020					2
85020030	1	3020030					1
85020030	2	3020030					1
85020030	3	3020030					2
85020030	4	3020030					3
85020040	1	3020040					1
85020040	2	3020040					1
85020040	3	3020040					2
85020040	4	3020040					3
85020050	1	3020050					1
85020050	2	3020050					1
85020050	3	3020050					2
85020050	4	3020050					3
85020060	1	3020060					1
85020060	2	3020060					1
85020060	3	3020060					1
85020060	4	3020060					2
85020070	1	3020070					1
85020070	2	3020070					1
85020070	3	3020070					1
85020070	4	3020070					2
85020080	1	3020080					1
85020080	2	3020080					1
85020080	3	3020080					2
85020080	4	3020080					3
85020090	1	3020090					1
85020090	2	3020090					1
85020090	3	3020090					2
85020090	4	3020090					3
85020100	1	3020100					1
85020100	2	3020100					1
85020100	3	3020100					1
85020100	4	3020100					2
85020110	1	3020110					1
85020110	2	3020110					1
85020110	3	3020110					1
85020110	4	3020110					2
85020120	1	3020120					1
85020120	2	3020120					1
85020120	3	3020120					1
85020120	4	3020120					1
85020130	1	3020130					1
85020130	2	3020130					1
85020130	3	3020130					2
85020130	4	3020130					3
85020131	1	3020131					1
85020131	2	3020131					1
85020131	3	3020131					2
85020131	4	3020131					3
85020132	1	3020132					1
85020132	2	3020132					1
85020132	3	3020132					2
85020132	4	3020132					3
85020133	1	3020133					1
85020133	2	3020133					1
85020133	3	3020133					2
85020133	4	3020133					3
85020134	1	3020134					1
85020134	2	3020134					1
85020134	3	3020134					2
85020134	4	3020134					3
85020135	1	3020135					1
85020135	2	3020135					1
85020135	3	3020135					2
85020135	4	3020135					3
85020136	1	3020136					1
85020136	2	3020136					1
85020136	3	3020136					2
85020136	4	3020136					3
85020137	1	3020137					1
85020137	2	3020137					1
85020137	3	3020137					2
85020137	4	3020137					3
85020138	1	3020138					1
