id	pay_item_id	pay_item_name_abbr	name_abbr_text_id	shop_type	banner_resource_id	link	sort_priority	open_date	close_date
32	10009	ガチャメダル	200010	6	25110002	gacha?gacha_id=10011	11	2023-06-30 11:00:00	2023-07-15 23:59:59
33	10010	ガチャメダル	200010	6	25110001	gacha?gacha_id=10012	10	2023-07-12 11:00:00	2023-07-28 23:59:59
34	10011	ガチャメダル	200010	6	25110001	gacha?gacha_id=10013	10	2023-07-19 11:00:00	2023-07-31 23:59:59
35	10012	ガチャメダル	200010	6	25110001	gacha?gacha_id=10014	10	2023-07-19 11:00:00	2023-07-31 23:59:59
36	10013	ガチャメダル	200010	6	25110001	gacha?gacha_id=10015	10	2023-07-12 11:00:00	2023-07-28 23:59:59
37	10014	ガチャメダル	200010	6	25110001	gacha?gacha_id=10016	10	2023-07-28 11:00:00	2023-08-13 23:59:59
38	10015	ガチャメダル	200010	6	25110001	gacha?gacha_id=10017	10	2023-07-28 11:00:00	2023-08-13 23:59:59
39	10016	ガチャメダル	200010	6	25110001	gacha?gacha_id=30005	10	2023-08-04 11:00:00	2023-09-13 23:59:59
40	10017	ガチャメダル	200010	6	25110001	gacha?gacha_id=10018	10	2023-08-10 11:00:00	2023-08-25 23:59:59
41	10018	ガチャメダル	200010	6	25110001	gacha?gacha_id=10019	10	2023-08-10 11:00:00	2023-08-25 23:59:59
42	10019	ガチャメダル	200010	6	25110001	gacha?gacha_id=10022	10	2023-08-10 11:00:00	2023-08-28 23:59:59
43	10020	ガチャメダル	200010	6	25110001	gacha?gacha_id=10020	10	2023-08-18 11:00:00	2023-09-04 23:59:59
44	10021	ガチャメダル	200010	6	25110001	gacha?gacha_id=10021	10	2023-08-18 11:00:00	2023-09-04 23:59:59
45	10022	ガチャメダル	200010	6	25110001	gacha?gacha_id=10023	10	2023-08-23 11:00:00	2023-09-09 23:59:59
46	10023	ガチャメダル	200010	6	25110001	gacha?gacha_id=10024	10	2023-09-01 11:00:00	2023-09-16 23:59:59
47	10024	ガチャメダル	200010	6	25110001	gacha?gacha_id=10025	10	2023-09-01 11:00:00	2023-09-16 23:59:59
1001				8	32100000		1	2019-11-22 17:00:00	2100-12-31 00:00:00
2001				7	32100002		3	2017-10-24 11:00:00	2100-12-31 00:00:00
3001				9	32100001		2	2017-10-24 11:00:00	2100-12-31 00:00:00
4001				1	32100003		4	2017-10-24 11:00:00	2100-12-31 00:00:00
5001				10	32100004		5	2017-10-24 11:00:00	2100-12-31 00:00:00
8001				14	32100001		6	2017-10-24 11:00:00	2100-12-31 00:00:00
9001				15	32100001		7	2017-10-24 11:00:00	2100-12-31 00:00:00
10001				16	32100001		8	2017-10-24 11:00:00	2100-12-31 00:00:00
