id	type	priority	title	title_text_id	feature_id	team_battle_event_id	resource_type	resource_id	ios	android	pc	link	link_type	link_id	link_argument	open_date	close_date
28	1	99	ショップへ	1			3	30070014	1	1	1	shop?tab_type=0&shop_type=19&shop_item_id=200175	5			2020-01-01 00:00:00	2023-05-30 23:59:59
29	3	1	イベントボタン	1	701		1	48100701	1	1	1	event01	1			2023-06-20 11:00:00	2023-06-28 23:59:59
30	1	500	イベントへ	1	701		1	30000701	1	1	1	event01	1			2023-06-20 11:00:00	2023-06-28 23:59:59
31	1	101	ガチャへ	1			3	30010006	1	1	1	gacha?gacha_id=10006	5			2023-06-20 11:00:00	2023-06-28 23:59:59
32	1	102	ガチャへ	1			3	30010007	1	1	1	gacha?gacha_id=10007	5			2023-06-20 11:00:00	2023-06-28 23:59:59
33	1	103	ガチャへ	1			3	30010008	1	1	1	gacha?gacha_id=10008	5			2023-06-26 11:00:00	2023-07-02 23:59:59
34	1	104	ガチャへ	1			3	30010009	1	1	1	gacha?gacha_id=10009	5			2023-06-26 11:00:00	2023-07-02 23:59:59
35	4	101	ガチャへ	1	701		3	30010006	1	1	1	gacha?gacha_id=10006	5			2023-06-20 11:00:00	2023-06-28 23:59:59
36	4	102	ガチャへ	1	701		3	30010007	1	1	1	gacha?gacha_id=10007	5			2023-06-20 11:00:00	2023-06-28 23:59:59
37	4	103	ガチャへ	1	701		3	30010008	1	1	1	gacha?gacha_id=10008	5			2023-06-26 11:00:00	2023-07-02 23:59:59
38	4	104	ガチャへ	1	701		3	30010009	1	1	1	gacha?gacha_id=10009	5			2023-06-26 11:00:00	2023-07-02 23:59:59
39	4	105	ショップへ	1	701		3	30050001	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500013	5			2023-06-20 11:00:00	2023-07-01 23:59:59
40	1	50	ガチャへ	1			3	30070021	1	1	1	gacha?gacha_id=10007	5			2023-06-20 11:00:00	2023-06-26 23:59:59
42	1	35	やる事リストへ	1			3	30070023	1	1	1	notify	5			2023-06-23 11:00:00	2023-07-03 23:59:59
43	1	1	ガチャへ	1			3	30030003	1	1	1	gacha?gacha_id=30003	5			2022-01-01 11:00:00	2022-12-31 23:59:59
44	7	1	ガチャへ	1			3	39210006	1	1	1	gacha	5			2023-06-20 11:00:00	2023-06-26 10:59:59
45	1	10	ショップへ	1			3	30070013	1	1	1	shop?tab_type=10&shop_type=3&shop_item_id=300043	5			2023-06-15 11:00:00	2100-12-31 23:59:59
46	1	9	ガチャへ	1			3	30070015	1	1	1	gacha?gacha_id=10001	5			2023-01-01 11:00:00	2023-06-21 23:59:59
47	1	8	ショップへ	1			3	30070014	1	1	1	shop?tab_type=0	5			2023-01-01 11:00:00	2023-06-21 23:59:59
48	7	1	ガチャへ	1			3	39210008	1	1	1	gacha	5			2023-06-26 11:00:00	2023-06-30 10:59:59
49	7	1	ガチャへ	1			3	39210010	1	1	1	gacha	5			2023-06-30 11:00:00	2023-07-12 10:59:59
50	3	1	イベントボタン	1	702		1	48100702	1	1	1	event01	1			2023-07-01 11:00:00	2023-07-12 10:59:59
51	1	501	イベントへ	1	702		1	30000702	1	1	1	event01	1			2023-07-01 11:00:00	2023-07-12 23:59:59
52	1	106	ガチャへ	1			3	30010010	1	1	1	gacha?gacha_id=10010	5			2023-06-30 11:00:00	2023-07-12 10:59:59
53	1	107	ガチャへ	1			3	30010011	1	1	1	gacha?gacha_id=10011	5			2023-06-30 11:00:00	2023-07-12 10:59:59
54	4	108	ガチャへ	1	702		3	30010010	1	1	1	gacha?gacha_id=10010	5			2023-07-01 11:00:00	2023-07-12 10:59:59
55	4	109	ガチャへ	1	702		3	30010011	1	1	1	gacha?gacha_id=10011	5			2023-07-01 11:00:00	2023-07-12 10:59:59
56	4	110	ショップへ	1	702		3	30050001	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500013	5			2023-07-01 11:00:00	2023-07-12 23:59:59
57	7	1	ガチャへ	1			3	39210012	1	1	1	gacha	5			2023-07-12 11:00:00	2023-07-19 10:59:59
58	3	1	イベントボタン	1	703		1	48100703	1	1	1	event02	1			2023-07-12 11:00:00	2023-07-28 10:59:59
59	1	501	イベントへ	1	703		1	30000703	1	1	1	event02	1			2023-07-12 11:00:00	2023-07-28 10:59:59
60	1	111	ガチャへ	1			3	30010012	1	1	1	gacha?gacha_id=10012	5			2023-07-12 11:00:00	2023-07-25 23:59:59
61	1	112	ガチャへ	1			3	30010015	1	1	1	gacha?gacha_id=10015	5			2023-07-12 11:00:00	2023-07-25 23:59:59
62	4	113	ガチャへ	1	703		3	30010012	1	1	1	gacha?gacha_id=10012	5			2023-07-12 11:00:00	2023-07-25 23:59:59
63	4	114	ガチャへ	1	703		3	30010015	1	1	1	gacha?gacha_id=10015	5			2023-07-12 11:00:00	2023-07-25 23:59:59
64	4	115	ショップへ	1	703		3	30050001	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500013	5			2023-07-12 11:00:00	2023-07-20 23:59:59
65	1	30	ショップへ	1			3	30050005	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500016	5			2023-07-09 11:00:00	2023-07-18 23:59:59
66	1	30	ショップへ	1			3	30050006	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500017	5			2023-07-19 11:00:00	2023-07-28 23:59:59
67	7	1	ガチャへ	1			3	39210014	1	1	1	gacha	5			2023-07-19 11:00:00	2023-07-28 10:59:59
68	1	120	ガチャへ	1			3	30010014	1	1	1	gacha?gacha_id=10014	5			2023-07-19 11:00:00	2023-07-28 10:59:59
69	1	121	ガチャへ	1			3	30010013	1	1	1	gacha?gacha_id=10013	5			2023-07-19 11:00:00	2023-07-28 10:59:59
70	1	35	やる事リストへ	1			3	30070046	1	1	1	notify	5			2023-07-18 11:00:00	2023-07-27 23:59:59
71	1	36	やる事リストへ	1			3	30070047	1	1	1	notify	5			2023-07-24 11:00:00	2023-07-27 23:59:59
72	1	30	ショップへ	1			3	30050005	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500021	5			2023-07-29 11:00:00	2023-08-07 23:59:59
73	1	30	ショップへ	1			3	30050006	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500022	5			2023-08-08 11:00:00	2023-08-17 23:59:59
74	1	122	ガチャへ	1			3	30010016	1	1	1	gacha?gacha_id=10016	5			2023-07-28 11:00:00	2023-08-10 10:59:59
75	1	123	ガチャへ	1			3	30010017	1	1	1	gacha?gacha_id=10017	5			2023-07-28 11:00:00	2023-08-10 10:59:59
76	7	1	ガチャへ	1			3	39210016	1	1	1	gacha	5			2023-07-28 11:00:00	2023-08-10 10:59:59
77	3	1	イベントボタン	1	704		1	48100704	1	1	1	event01	1			2023-07-28 11:00:00	2023-08-10 10:59:59
78	1	501	イベントへ	1	704		1	30000704	1	1	1	event01	1			2023-07-28 11:00:00	2023-08-11 23:59:59
79	4	124	ガチャへ	1	704		3	30010016	1	1	1	gacha?gacha_id=10016	5			2023-07-28 11:00:00	2023-08-10 10:59:59
80	4	125	ガチャへ	1	704		3	30010017	1	1	1	gacha?gacha_id=10017	5			2023-07-28 11:00:00	2023-08-10 10:59:59
81	4	126	ショップへ	1	704		3	30050001	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500013	5			2023-07-28 11:00:00	2023-08-11 23:59:59
82	1	122	ガチャへ	1			3	30010018	1	1	1	gacha?gacha_id=10018	5			2023-08-10 11:00:00	2023-08-22 23:59:59
83	7	1	ガチャへ	1			3	39210018	1	1	1	gacha	5			2023-08-10 11:00:00	2100-08-18 10:59:59
84	1	123	ガチャへ	1			3	30010019	1	1	1	gacha?gacha_id=10019	5			2023-08-10 11:00:00	2023-08-22 23:59:59
85	1	124	ガチャへ	1			3	30030005	1	1	1	gacha?gacha_id=30005	5			2023-08-04 11:00:00	2023-09-10 23:59:59
86	1	124	ガチャへ	1			3	30010022	1	1	1	gacha?gacha_id=10022	5			2023-08-10 11:00:00	2023-08-25 23:59:59
87	3	1	イベントボタン	1	705		1	48100705	1	1	1	event02	1			2023-08-10 11:00:00	2023-08-24 23:59:59
88	1	501	イベントへ	1	705		1	30000705	1	1	1	event02	1			2023-08-10 11:00:00	2023-08-24 23:59:59
91	4	113	ガチャへ	1	705		3	30010018	1	1	1	gacha?gacha_id=10018	5			2023-08-10 11:00:00	2023-08-22 23:59:59
92	4	114	ガチャへ	1	705		3	30010019	1	1	1	gacha?gacha_id=10019	5			2023-08-10 11:00:00	2023-08-22 23:59:59
93	1	115	ガチャへ	1			3	30010020	1	1	1	gacha?gacha_id=10020	5			2023-08-18 11:00:00	2023-08-24 23:59:59
94	1	116	ガチャへ	1			3	30010021	1	1	1	gacha?gacha_id=10021	5			2023-08-18 11:00:00	2023-08-24 23:59:59
95	4	117	ガチャへ	1	705		3	30010020	1	1	1	gacha?gacha_id=10020	5			2023-08-18 11:00:00	2023-08-24 23:59:59
96	4	118	ガチャへ	1	705		3	30010021	1	1	1	gacha?gacha_id=10021	5			2023-08-18 11:00:00	2023-08-24 23:59:59
97	4	115	ショップへ	1	705		3	30050001	1	1	1	shop?tab_type=22&shop_type=14&shop_item_id=500013	5			2023-08-10 11:00:00	2023-07-20 23:59:59
