stamp_id	seq	target_stamp_count	reward_id
6	5	5	40020001
6	6	7	40020001
6	7	10	40020001
6	8	15	40020001
6	9	20	40020001
6	10	25	40020001
6	11	30	40020001
6	12	35	40020001
6	13	40	40020001
6	14	45	40020001
6	15	50	40020001
6	16	55	40020001
6	17	60	40020001
6	18	65	40020001
6	19	70	40020001
6	20	75	40020001
6	21	80	40020001
6	22	85	40020001
6	23	90	40020001
6	24	95	40020001
6	25	100	40020001
7	1	1	40020001
7	2	2	40020001
7	3	3	40020001
7	4	4	40020001
7	5	5	40020001
7	6	7	40020001
7	7	10	40020001
7	8	15	40020001
7	9	20	40020001
7	10	25	40020001
7	11	30	40020001
7	12	35	40020001
7	13	40	40020001
7	14	45	40020001
7	15	50	40020001
7	16	55	40020001
7	17	60	40020001
7	18	65	40020001
7	19	70	40020001
7	20	75	40020001
7	21	80	40020001
7	22	85	40020001
7	23	90	40020001
7	24	95	40020001
7	25	100	40020001
8	1	1	40020001
8	2	2	40020001
8	3	3	40020001
8	4	4	40020001
8	5	5	40020001
8	6	7	40020001
8	7	10	40020001
8	8	15	40020001
8	9	20	40020001
8	10	25	40020001
8	11	30	40020001
8	12	35	40020001
8	13	40	40020001
8	14	45	40020001
8	15	50	40020001
8	16	55	40020001
8	17	60	40020001
8	18	65	40020001
8	19	70	40020001
8	20	75	40020001
8	21	80	40020001
8	22	85	40020001
8	23	90	40020001
8	24	95	40020001
8	25	100	40020001
9	1	1	40020001
9	2	2	40020001
9	3	3	40020001
9	4	4	40020001
9	5	5	40020001
9	6	7	40020001
9	7	10	40020001
9	8	15	40020001
9	9	20	40020001
9	10	25	40020001
9	11	30	40020001
9	12	35	40020001
9	13	40	40020001
9	14	45	40020001
9	15	50	40020001
9	16	55	40020001
9	17	60	40020001
9	18	65	40020001
9	19	70	40020001
9	20	75	40020001
9	21	80	40020001
9	22	85	40020001
9	23	90	40020001
9	24	95	40020001
9	25	100	40020001
10	1	1	40020001
10	2	2	40020001
10	3	3	40020001
10	4	4	40020001
10	5	5	40020001
10	6	7	40020001
10	7	10	40020001
10	8	15	40020001
10	9	20	40020001
10	10	25	40020001
10	11	30	40020001
10	12	35	40020001
10	13	40	40020001
10	14	45	40020001
10	15	50	40020001
10	16	55	40020001
10	17	60	40020001
10	18	65	40020001
10	19	70	40020001
10	20	75	40020001
10	21	80	40020001
10	22	85	40020001
10	23	90	40020001
10	24	95	40020001
10	25	100	40020001
11	1	1	40020001
11	2	2	40020001
11	3	3	40020001
11	4	4	40020001
11	5	5	40020001
11	6	7	40020001
11	7	10	40020001
11	8	15	40020001
11	9	20	40020001
11	10	25	40020001
11	11	30	40020001
11	12	35	40020001
11	13	40	40020001
11	14	45	40020001
11	15	50	40020001
11	16	55	40020001
11	17	60	40020001
11	18	65	40020001
11	19	70	40020001
11	20	75	40020001
11	21	80	40020001
11	22	85	40020001
11	23	90	40020001
11	24	95	40020001
11	25	100	40020001
12	1	1	40020001
12	2	2	40020001
12	3	3	40020001
12	4	4	40020001
12	5	5	40020001
12	6	7	40020001
12	7	10	40020001
12	8	15	40020001
12	9	20	40020001
12	10	25	40020001
12	11	30	40020001
12	12	35	40020001
12	13	40	40020001
12	14	45	40020001
12	15	50	40020001
12	16	55	40020001
12	17	60	40020001
12	18	65	40020001
12	19	70	40020001
12	20	75	40020001
12	21	80	40020001
12	22	85	40020001
12	23	90	40020001
12	24	95	40020001
12	25	100	40020001
13	1	1	40020001
13	2	2	40020001
13	3	3	40020001
13	4	4	40020001
13	5	5	40020001
13	6	7	40020001
13	7	10	40020001
13	8	15	40020001
13	9	20	40020001
13	10	25	40020001
13	11	30	40020001
13	12	35	40020001
13	13	40	40020001
13	14	45	40020001
13	15	50	40020001
13	16	55	40020001
13	17	60	40020001
13	18	65	40020001
13	19	70	40020001
13	20	75	40020001
13	21	80	40020001
13	22	85	40020001
13	23	90	40020001
13	24	95	40020001
13	25	100	40020001
14	1	1	40020001
14	2	2	40020001
14	3	3	40020001
14	4	4	40020001
14	5	5	40020001
14	6	7	40020001
14	7	10	40020001
14	8	15	40020001
14	9	20	40020001
14	10	25	40020001
14	11	30	40020001
14	12	35	40020001
14	13	40	40020001
14	14	45	40020001
14	15	50	40020001
14	16	55	40020001
14	17	60	40020001
14	18	65	40020001
14	19	70	40020001
14	20	75	40020001
14	21	80	40020001
14	22	85	40020001
14	23	90	40020001
14	24	95	40020001
14	25	100	40020001
15	1	1	40020001
15	2	2	40020001
15	3	3	40020001
15	4	4	40020001
15	5	5	40020001
15	6	7	40020001
15	7	10	40020001
15	8	15	40020001
15	9	20	40020001
15	10	25	40020001
15	11	30	40020001
15	12	35	40020001
15	13	40	40020001
15	14	45	40020001
15	15	50	40020001
15	16	55	40020001
15	17	60	40020001
15	18	65	40020001
15	19	70	40020001
15	20	75	40020001
15	21	80	40020001
15	22	85	40020001
15	23	90	40020001
15	24	95	40020001
15	25	100	40020001
16	1	1	40020001
16	2	2	40020001
16	3	3	40020001
16	4	4	40020001
16	5	5	40020001
16	6	7	40020001
16	7	10	40020001
16	8	15	40020001
16	9	20	40020001
16	10	25	40020001
16	11	30	40020001
16	12	35	40020001
16	13	40	40020001
16	14	45	40020001
16	15	50	40020001
16	16	55	40020001
16	17	60	40020001
16	18	65	40020001
16	19	70	40020001
16	20	75	40020001
16	21	80	40020001
16	22	85	40020001
16	23	90	40020001
16	24	95	40020001
16	25	100	40020001
17	1	1	40020001
17	2	2	40020001
17	3	3	40020001
17	4	4	40020001
17	5	5	40020001
17	6	7	40020001
17	7	10	40020001
17	8	15	40020001
17	9	20	40020001
17	10	25	40020001
17	11	30	40020001
17	12	35	40020001
17	13	40	40020001
17	14	45	40020001
17	15	50	40020001
17	16	55	40020001
17	17	60	40020001
17	18	65	40020001
17	19	70	40020001
17	20	75	40020001
17	21	80	40020001
17	22	85	40020001
17	23	90	40020001
17	24	95	40020001
17	25	100	40020001
18	1	1	40020001
18	2	2	40020001
18	3	3	40020001
18	4	4	40020001
18	5	5	40020001
18	6	7	40020001
18	7	10	40020001
18	8	15	40020001
18	9	20	40020001
18	10	25	40020001
18	11	30	40020001
18	12	35	40020001
18	13	40	40020001
18	14	45	40020001
18	15	50	40020001
18	16	55	40020001
18	17	60	40020001
18	18	65	40020001
18	19	70	40020001
18	20	75	40020001
18	21	80	40020001
18	22	85	40020001
18	23	90	40020001
18	24	95	40020001
18	25	100	40020001
19	1	1	40020001
19	2	2	40020001
19	3	3	40020001
19	4	4	40020001
19	5	5	40020001
19	6	7	40020001
19	7	10	40020001
19	8	15	40020001
19	9	20	40020001
19	10	25	40020001
19	11	30	40020001
19	12	35	40020001
19	13	40	40020001
19	14	45	40020001
19	15	50	40020001
19	16	55	40020001
19	17	60	40020001
19	18	65	40020001
19	19	70	40020001
19	20	75	40020001
19	21	80	40020001
19	22	85	40020001
19	23	90	40020001
19	24	95	40020001
19	25	100	40020001
20	1	1	40020001
20	2	2	40020001
20	3	3	40020001
20	4	4	40020001
20	5	5	40020001
20	6	7	40020001
20	7	10	40020001
20	8	15	40020001
20	9	20	40020001
20	10	25	40020001
20	11	30	40020001
20	12	35	40020001
20	13	40	40020001
20	14	45	40020001
20	15	50	40020001
20	16	55	40020001
20	17	60	40020001
20	18	65	40020001
20	19	70	40020001
20	20	75	40020001
20	21	80	40020001
20	22	85	40020001
20	23	90	40020001
20	24	95	40020001
20	25	100	40020001
21	1	1	40020001
21	2	2	40020001
21	3	3	40020001
21	4	4	40020001
21	5	5	40020001
21	6	7	40020001
21	7	10	40020001
21	8	15	40020001
21	9	20	40020001
21	10	25	40020001
21	11	30	40020001
21	12	35	40020001
21	13	40	40020001
21	14	45	40020001
21	15	50	40020001
21	16	55	40020001
21	17	60	40020001
21	18	65	40020001
21	19	70	40020001
21	20	75	40020001
21	21	80	40020001
21	22	85	40020001
21	23	90	40020001
21	24	95	40020001
21	25	100	40020001
22	1	1	40020001
22	2	2	40020001
22	3	3	40020001
22	4	4	40020001
22	5	5	40020001
22	6	7	40020001
22	7	10	40020001
22	8	15	40020001
22	9	20	40020001
22	10	25	40020001
22	11	30	40020001
22	12	35	40020001
22	13	40	40020001
22	14	45	40020001
22	15	50	40020001
22	16	55	40020001
22	17	60	40020001
22	18	65	40020001
22	19	70	40020001
22	20	75	40020001
22	21	80	40020001
22	22	85	40020001
22	23	90	40020001
22	24	95	40020001
22	25	100	40020001
23	1	1	40020001
23	2	2	40020001
23	3	3	40020001
23	4	4	40020001
23	5	5	40020001
23	6	7	40020001
23	7	10	40020001
23	8	15	40020001
23	9	20	40020001
23	10	25	40020001
23	11	30	40020001
23	12	35	40020001
23	13	40	40020001
23	14	45	40020001
23	15	50	40020001
23	16	55	40020001
23	17	60	40020001
23	18	65	40020001
23	19	70	40020001
23	20	75	40020001
23	21	80	40020001
23	22	85	40020001
23	23	90	40020001
23	24	95	40020001
23	25	100	40020001
24	1	1	40020001
24	2	2	40020001
24	3	3	40020001
24	4	4	40020001
24	5	5	40020001
24	6	7	40020001
24	7	10	40020001
24	8	15	40020001
24	9	20	40020001
24	10	25	40020001
24	11	30	40020001
24	12	35	40020001
24	13	40	40020001
24	14	45	40020001
24	15	50	40020001
24	16	55	40020001
24	17	60	40020001
24	18	65	40020001
24	19	70	40020001
24	20	75	40020001
24	21	80	40020001
24	22	85	40020001
24	23	90	40020001
24	24	95	40020001
24	25	100	40020001
25	1	1	40020001
25	2	2	40020001
25	3	3	40020001
25	4	4	40020001
25	5	5	40020001
25	6	7	40020001
25	7	10	40020001
25	8	15	40020001
25	9	20	40020001
25	10	25	40020001
25	11	30	40020001
25	12	35	40020001
25	13	40	40020001
25	14	45	40020001
25	15	50	40020001
25	16	55	40020001
25	17	60	40020001
25	18	65	40020001
25	19	70	40020001
25	20	75	40020001
25	21	80	40020001
25	22	85	40020001
25	23	90	40020001
25	24	95	40020001
25	25	100	40020001
26	1	1	40020001
26	2	2	40020001
26	3	3	40020001
26	4	4	40020001
26	5	5	40020001
26	6	7	40020001
26	7	10	40020001
26	8	15	40020001
26	9	20	40020001
26	10	25	40020001
26	11	30	40020001
26	12	35	40020001
26	13	40	40020001
26	14	45	40020001
26	15	50	40020001
26	16	55	40020001
26	17	60	40020001
26	18	65	40020001
26	19	70	40020001
26	20	75	40020001
26	21	80	40020001
26	22	85	40020001
26	23	90	40020001
26	24	95	40020001
26	25	100	40020001
27	1	1	40020001
27	2	2	40020001
27	3	3	40020001
27	4	4	40020001
27	5	5	40020001
27	6	7	40020001
27	7	10	40020001
27	8	15	40020001
27	9	20	40020001
27	10	25	40020001
27	11	30	40020001
27	12	35	40020001
27	13	40	40020001
27	14	45	40020001
27	15	50	40020001
27	16	55	40020001
27	17	60	40020001
27	18	65	40020001
27	19	70	40020001
27	20	75	40020001
27	21	80	40020001
27	22	85	40020001
27	23	90	40020001
27	24	95	40020001
27	25	100	40020001
28	1	1	40020001
28	2	2	40020001
28	3	3	40020001
28	4	4	40020001
28	5	5	40020001
28	6	7	40020001
28	7	10	40020001
28	8	15	40020001
28	9	20	40020001
28	10	25	40020001
28	11	30	40020001
28	12	35	40020001
28	13	40	40020001
28	14	45	40020001
28	15	50	40020001
28	16	55	40020001
28	17	60	40020001
28	18	65	40020001
28	19	70	40020001
28	20	75	40020001
28	21	80	40020001
28	22	85	40020001
28	23	90	40020001
28	24	95	40020001
28	25	100	40020001
29	1	1	40020001
29	2	2	40020001
29	3	3	40020001
29	4	4	40020001
29	5	5	40020001
29	6	7	40020001
29	7	10	40020001
29	8	15	40020001
29	9	20	40020001
29	10	25	40020001
29	11	30	40020001
29	12	35	40020001
29	13	40	40020001
29	14	45	40020001
29	15	50	40020001
29	16	55	40020001
29	17	60	40020001
29	18	65	40020001
29	19	70	40020001
29	20	75	40020001
29	21	80	40020001
29	22	85	40020001
29	23	90	40020001
29	24	95	40020001
29	25	100	40020001
30	1	1	40020001
30	2	2	40020001
30	3	3	40020001
30	4	4	40020001
30	5	5	40020001
30	6	7	40020001
30	7	10	40020001
30	8	15	40020001
30	9	20	40020001
30	10	25	40020001
30	11	30	40020001
30	12	35	40020001
30	13	40	40020001
30	14	45	40020001
30	15	50	40020001
30	16	55	40020001
30	17	60	40020001
30	18	65	40020001
30	19	70	40020001
30	20	75	40020001
30	21	80	40020001
30	22	85	40020001
30	23	90	40020001
30	24	95	40020001
30	25	100	40020001
31	1	1	40020001
31	2	2	40020001
31	3	3	40020001
31	4	4	40020001
31	5	5	40020001
31	6	7	40020001
31	7	10	40020001
31	8	15	40020001
31	9	20	40020001
31	10	25	40020001
31	11	30	40020001
31	12	35	40020001
31	13	40	40020001
31	14	45	40020001
31	15	50	40020001
31	16	55	40020001
31	17	60	40020001
31	18	65	40020001
31	19	70	40020001
31	20	75	40020001
31	21	80	40020001
31	22	85	40020001
31	23	90	40020001
31	24	95	40020001
31	25	100	40020001
32	1	1	40020001
32	2	2	40020001
32	3	3	40020001
32	4	4	40020001
32	5	5	40020001
32	6	7	40020001
32	7	10	40020001
32	8	15	40020001
32	9	20	40020001
32	10	25	40020001
32	11	30	40020001
32	12	35	40020001
32	13	40	40020001
32	14	45	40020001
32	15	50	40020001
32	16	55	40020001
32	17	60	40020001
32	18	65	40020001
32	19	70	40020001
32	20	75	40020001
32	21	80	40020001
32	22	85	40020001
32	23	90	40020001
32	24	95	40020001
32	25	100	40020001
33	1	1	40020001
33	2	2	40020001
33	3	3	40020001
33	4	4	40020001
33	5	5	40020001
33	6	7	40020001
33	7	10	40020001
33	8	15	40020001
33	9	20	40020001
33	10	25	40020001
33	11	30	40020001
33	12	35	40020001
33	13	40	40020001
33	14	45	40020001
33	15	50	40020001
33	16	55	40020001
33	17	60	40020001
33	18	65	40020001
33	19	70	40020001
33	20	75	40020001
33	21	80	40020001
33	22	85	40020001
33	23	90	40020001
33	24	95	40020001
33	25	100	40020001
34	1	1	40020001
34	2	2	40020001
34	3	3	40020001
34	4	4	40020001
34	5	5	40020001
34	6	7	40020001
34	7	10	40020001
34	8	15	40020001
34	9	20	40020001
34	10	25	40020001
34	11	30	40020001
34	12	35	40020001
34	13	40	40020001
34	14	45	40020001
34	15	50	40020001
34	16	55	40020001
34	17	60	40020001
34	18	65	40020001
34	19	70	40020001
34	20	75	40020001
34	21	80	40020001
34	22	85	40020001
34	23	90	40020001
34	24	95	40020001
34	25	100	40020001
35	1	1	40020001
35	2	2	40020001
35	3	3	40020001
35	4	4	40020001
35	5	5	40020001
35	6	7	40020001
35	7	10	40020001
35	8	15	40020001
35	9	20	40020001
35	10	25	40020001
35	11	30	40020001
35	12	35	40020001
35	13	40	40020001
35	14	45	40020001
35	15	50	40020001
35	16	55	40020001
35	17	60	40020001
35	18	65	40020001
35	19	70	40020001
35	20	75	40020001
35	21	80	40020001
35	22	85	40020001
35	23	90	40020001
35	24	95	40020001
35	25	100	40020001
36	1	1	40020001
36	2	2	40020001
36	3	3	40020001
36	4	4	40020001
36	5	5	40020001
36	6	7	40020001
36	7	10	40020001
36	8	15	40020001
36	9	20	40020001
36	10	25	40020001
36	11	30	40020001
36	12	35	40020001
36	13	40	40020001
36	14	45	40020001
36	15	50	40020001
36	16	55	40020001
36	17	60	40020001
36	18	65	40020001
36	19	70	40020001
36	20	75	40020001
36	21	80	40020001
36	22	85	40020001
36	23	90	40020001
36	24	95	40020001
36	25	100	40020001
37	1	1	40020001
37	2	2	40020001
37	3	3	40020001
37	4	4	40020001
37	5	5	40020001
37	6	7	40020001
37	7	10	40020001
37	8	15	40020001
37	9	20	40020001
37	10	25	40020001
37	11	30	40020001
37	12	35	40020001
37	13	40	40020001
37	14	45	40020001
37	15	50	40020001
37	16	55	40020001
37	17	60	40020001
37	18	65	40020001
37	19	70	40020001
37	20	75	40020001
37	21	80	40020001
37	22	85	40020001
37	23	90	40020001
37	24	95	40020001
37	25	100	40020001
38	1	1	40020001
38	2	2	40020001
38	3	3	40020001
38	4	4	40020001
38	5	5	40020001
38	6	7	40020001
38	7	10	40020001
38	8	15	40020001
38	9	20	40020001
38	10	25	40020001
38	11	30	40020001
38	12	35	40020001
38	13	40	40020001
38	14	45	40020001
38	15	50	40020001
38	16	55	40020001
38	17	60	40020001
38	18	65	40020001
38	19	70	40020001
38	20	75	40020001
38	21	80	40020001
38	22	85	40020001
38	23	90	40020001
38	24	95	40020001
38	25	100	40020001
39	1	1	40020001
39	2	2	40020001
39	3	3	40020001
39	4	4	40020001
39	5	5	40020001
39	6	7	40020001
39	7	10	40020001
39	8	15	40020001
39	9	20	40020001
39	10	25	40020001
39	11	30	40020001
39	12	35	40020001
39	13	40	40020001
39	14	45	40020001
39	15	50	40020001
39	16	55	40020001
39	17	60	40020001
39	18	65	40020001
39	19	70	40020001
39	20	75	40020001
39	21	80	40020001
39	22	85	40020001
39	23	90	40020001
39	24	95	40020001
39	25	100	40020001
40	1	1	40020001
40	2	2	40020001
40	3	3	40020001
40	4	4	40020001
40	5	5	40020001
40	6	7	40020001
40	7	10	40020001
40	8	15	40020001
40	9	20	40020001
40	10	25	40020001
40	11	30	40020001
40	12	35	40020001
40	13	40	40020001
40	14	45	40020001
40	15	50	40020001
40	16	55	40020001
40	17	60	40020001
40	18	65	40020001
40	19	70	40020001
40	20	75	40020001
40	21	80	40020001
40	22	85	40020001
40	23	90	40020001
40	24	95	40020001
40	25	100	40020001
41	1	1	40020001
41	2	2	40020001
41	3	3	40020001
41	4	4	40020001
41	5	5	40020001
41	6	7	40020001
41	7	10	40020001
41	8	15	40020001
41	9	20	40020001
41	10	25	40020001
41	11	30	40020001
41	12	35	40020001
41	13	40	40020001
41	14	45	40020001
41	15	50	40020001
41	16	55	40020001
41	17	60	40020001
41	18	65	40020001
41	19	70	40020001
41	20	75	40020001
41	21	80	40020001
41	22	85	40020001
41	23	90	40020001
41	24	95	40020001
41	25	100	40020001
42	1	1	40020001
42	2	2	40020001
42	3	3	40020001
42	4	4	40020001
42	5	5	40020001
42	6	7	40020001
42	7	10	40020001
42	8	15	40020001
42	9	20	40020001
42	10	25	40020001
42	11	30	40020001
42	12	35	40020001
42	13	40	40020001
42	14	45	40020001
42	15	50	40020001
42	16	55	40020001
42	17	60	40020001
42	18	65	40020001
42	19	70	40020001
42	20	75	40020001
42	21	80	40020001
42	22	85	40020001
42	23	90	40020001
42	24	95	40020001
42	25	100	40020001
43	1	1	40020001
43	2	2	40020001
43	3	3	40020001
43	4	4	40020001
43	5	5	40020001
43	6	7	40020001
43	7	10	40020001
43	8	15	40020001
43	9	20	40020001
43	10	25	40020001
43	11	30	40020001
43	12	35	40020001
43	13	40	40020001
43	14	45	40020001
43	15	50	40020001
43	16	55	40020001
43	17	60	40020001
43	18	65	40020001
43	19	70	40020001
43	20	75	40020001
43	21	80	40020001
43	22	85	40020001
43	23	90	40020001
43	24	95	40020001
43	25	100	40020001
44	1	1	40020001
44	2	2	40020001
44	3	3	40020001
44	4	4	40020001
44	5	5	40020001
44	6	7	40020001
44	7	10	40020001
44	8	15	40020001
44	9	20	40020001
44	10	25	40020001
44	11	30	40020001
44	12	35	40020001
44	13	40	40020001
44	14	45	40020001
44	15	50	40020001
44	16	55	40020001
44	17	60	40020001
44	18	65	40020001
44	19	70	40020001
44	20	75	40020001
44	21	80	40020001
44	22	85	40020001
44	23	90	40020001
44	24	95	40020001
44	25	100	40020001
45	1	1	40020001
45	2	2	40020001
45	3	3	40020001
45	4	4	40020001
45	5	5	40020001
45	6	7	40020001
45	7	10	40020001
45	8	15	40020001
45	9	20	40020001
45	10	25	40020001
45	11	30	40020001
45	12	35	40020001
45	13	40	40020001
45	14	45	40020001
45	15	50	40020001
45	16	55	40020001
45	17	60	40020001
45	18	65	40020001
45	19	70	40020001
45	20	75	40020001
45	21	80	40020001
45	22	85	40020001
45	23	90	40020001
45	24	95	40020001
45	25	100	40020001
46	1	1	40020001
46	2	2	40020001
46	3	3	40020001
46	4	4	40020001
46	5	5	40020001
46	6	7	40020001
46	7	10	40020001
46	8	15	40020001
46	9	20	40020001
46	10	25	40020001
46	11	30	40020001
46	12	35	40020001
46	13	40	40020001
46	14	45	40020001
46	15	50	40020001
46	16	55	40020001
46	17	60	40020001
46	18	65	40020001
46	19	70	40020001
46	20	75	40020001
46	21	80	40020001
46	22	85	40020001
46	23	90	40020001
46	24	95	40020001
46	25	100	40020001
47	1	1	40020001
47	2	2	40020001
47	3	3	40020001
47	4	4	40020001
47	5	5	40020001
47	6	7	40020001
47	7	10	40020001
47	8	15	40020001
47	9	20	40020001
47	10	25	40020001
47	11	30	40020001
47	12	35	40020001
47	13	40	40020001
47	14	45	40020001
47	15	50	40020001
47	16	55	40020001
47	17	60	40020001
47	18	65	40020001
47	19	70	40020001
47	20	75	40020001
47	21	80	40020001
47	22	85	40020001
47	23	90	40020001
47	24	95	40020001
47	25	100	40020001
101	1	1	40020001
101	2	3	40020001
101	3	7	40020001
101	4	30	40020001
101	5	55	40020001
101	6	100	40020001
102	1	1	40020001
102	2	3	40020001
102	3	7	40020001
102	4	30	40020001
102	5	55	40020001
102	6	100	40020001
103	1	1	40020001
103	2	3	40020001
103	3	7	40020001
103	4	30	40020001
103	5	55	40020001
103	6	100	40020001
104	1	1	40020001
104	2	3	40020001
104	3	7	40020001
104	4	30	40020001
104	5	55	40020001
104	6	100	40020001
105	1	1	40020001
105	2	3	40020001
105	3	7	40020001
105	4	30	40020001
105	5	55	40020001
105	6	100	40020001
106	1	1	40020001
106	2	3	40020001
106	3	7	40020001
106	4	30	40020001
106	5	55	40020001
106	6	100	40020001
107	1	1	40020001
107	2	3	40020001
107	3	7	40020001
107	4	30	40020001
107	5	55	40020001
107	6	100	40020001
108	1	1	40020001
108	2	3	40020001
108	3	7	40020001
108	4	30	40020001
108	5	55	40020001
108	6	100	40020001
