id	lastname	lastname_text_id	firstname	firstname_text_id	fullname	fullname_text_id	description	description_text_id	birthday	birthplace	birthplace_text_id	constellation	constellation_text_id	personality	character_voice	character_voice_text_id	home_member_picture_id	work_type_values	series_id	group_id	order	reward_id	dearlevel_growth_id	thumbnail_stand_pos	thumbnail_favorite_pos	thumbnail_sit_pos	open_date	close_date
31	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
32	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
33	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
34	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
35	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
41	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
42	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
43	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
51	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
52	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
53	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
61	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
101	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
111	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
112	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
121	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
122	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
131	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
161	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
999	◯◯	1	◯○	1	○○	1	○○	1	2021-01-01 00:00:00		1	ー	1		○○	1		100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100	1	1	11	2	50000				2021-01-01 00:00:00	2100-01-01 00:00:00
