gacha_id	card_id	priority	resource_idx	model_display_flag	voices
10001	10103	3	1	1	1
10001	10104	2	1	1	1
10001	10105	1	1	1	1
10001	10121	5	1	1	1
10001	10122	4	1	1	1
10002	20106	2	1	1	1
10002	20120	1	1	1	1
10003	10151	5	1	1	1
10003	10152	4	1	1	1
10003	10153	3	1	1	1
10003	10154	2	1	1	1
10003	10155	1	1	1	1
10004	10103	3	1	1	1
10004	10104	2	1	1	1
10004	10105	1	1	1	1
10004	10121	5	1	1	1
10004	10122	4	1	1	1
10004	10123	28	1	1	1
10004	10124	27	1	1	1
10004	10125	26	1	1	1
10004	10126	25	1	1	1
10004	10127	24	1	1	1
10004	10128	23	1	1	1
10004	10129	22	1	1	1
10004	10130	21	1	1	1
10004	10131	20	1	1	1
10004	10132	19	1	1	1
10004	10133	18	1	1	1
10004	10134	17	1	1	1
10004	10135	16	1	1	1
10004	10136	15	1	1	1
10004	10137	14	1	1	1
10004	10138	13	1	1	1
10004	10139	12	1	1	1
10004	10140	11	1	1	1
10004	10141	10	1	1	1
10004	10142	9	1	1	1
10004	10143	8	1	1	1
10004	10144	7	1	1	1
10004	10145	6	1	1	1
10005	20106	15	1	1	1
10005	20107	14	1	1	1
10005	20108	13	1	1	1
10005	20109	12	1	1	1
10005	20110	11	1	1	1
10005	20111	10	1	1	1
10005	20112	9	1	1	1
10005	20113	8	1	1	1
10005	20114	7	1	1	1
10005	20115	6	1	1	1
10005	20116	5	1	1	1
10005	20117	4	1	1	1
10005	20118	3	1	1	1
10005	20119	2	1	1	1
10005	20120	1	1	1	1
10006	10176	3	1	1	1
10006	10178	2	1	1	1
10006	10179	1	1	1	1
10007	20121	3	1	1	1
10007	20122	2	1	1	1
10007	20123	1	1	1	1
10008	10177	2	1	1	1
10008	10180	1	1	1	1
10009	20121	2	1	1	1
10009	20122	1	1	1	1
10009	20123	3	1	1	1
30001	10103	3	1	1	1
30001	10104	2	1	1	1
30001	10105	1	1	1	1
30001	10121	5	1	1	1
30001	10122	4	1	1	1
30001	10123	28	1	1	1
30001	10124	27	1	1	1
30001	10125	26	1	1	1
30001	10126	25	1	1	1
30001	10127	24	1	1	1
30001	10128	23	1	1	1
30001	10129	22	1	1	1
30001	10130	21	1	1	1
30001	10131	20	1	1	1
30001	10132	19	1	1	1
30001	10133	18	1	1	1
30001	10134	17	1	1	1
30001	10135	16	1	1	1
30001	10136	15	1	1	1
30001	10137	14	1	1	1
30001	10138	13	1	1	1
30001	10139	12	1	1	1
30001	10140	11	1	1	1
30001	10141	10	1	1	1
30001	10142	9	1	1	1
30001	10143	8	1	1	1
30001	10144	7	1	1	1
30001	10145	6	1	1	1
30002	20106	15	1	1	1
30002	20107	14	1	1	1
30002	20108	13	1	1	1
30002	20109	12	1	1	1
30002	20110	11	1	1	1
30002	20111	10	1	1	1
30002	20112	9	1	1	1
30002	20113	8	1	1	1
30002	20114	7	1	1	1
30002	20115	6	1	1	1
30002	20116	5	1	1	1
30002	20117	4	1	1	1
30002	20118	3	1	1	1
30002	20119	2	1	1	1
30002	20120	1	1	1	1
30003	10051	55	1	1	1
30003	10052	54	1	1	1
30003	10053	53	1	1	1
30003	10054	52	1	1	1
30003	10055	51	1	1	1
30003	10056	50	1	1	1
30003	10057	49	1	1	1
30003	10058	48	1	1	1
30003	10059	47	1	1	1
30003	10060	46	1	1	1
30003	10061	45	1	1	1
30003	10062	44	1	1	1
30003	10063	43	1	1	1
30003	10064	42	1	1	1
30003	10065	41	1	1	1
30003	10066	40	1	1	1
30003	10067	39	1	1	1
30003	10068	38	1	1	1
30003	10069	37	1	1	1
30003	10070	36	1	1	1
30003	10071	35	1	1	1
30003	10072	34	1	1	1
30003	10073	33	1	1	1
30003	10074	32	1	1	1
30003	10075	31	1	1	1
30003	10101	30	1	1	1
30003	10102	29	1	1	1
30003	10103	3	1	1	1
30003	10104	2	1	1	1
30003	10105	1	1	1	1
30003	10121	5	1	1	1
30003	10122	4	1	1	1
30003	10123	28	1	1	1
30003	10124	27	1	1	1
30003	10125	26	1	1	1
30003	10126	25	1	1	1
30003	10127	24	1	1	1
30003	10128	23	1	1	1
30003	10129	22	1	1	1
30003	10130	21	1	1	1
30003	10131	20	1	1	1
30003	10132	19	1	1	1
30003	10133	18	1	1	1
30003	10134	17	1	1	1
30003	10135	16	1	1	1
30003	10136	15	1	1	1
30003	10137	14	1	1	1
30003	10138	13	1	1	1
30003	10139	12	1	1	1
30003	10140	11	1	1	1
30003	10141	10	1	1	1
30003	10142	9	1	1	1
30003	10143	8	1	1	1
30003	10144	7	1	1	1
30003	10145	6	1	1	1
30004	20061	60	1	1	1
30004	20062	59	1	1	1
30004	20063	58	1	1	1
30004	20064	57	1	1	1
30004	20065	56	1	1	1
30004	20066	55	1	1	1
30004	20067	54	1	1	1
30004	20068	53	1	1	1
30004	20069	52	1	1	1
30004	20070	51	1	1	1
30004	20071	50	1	1	1
30004	20072	49	1	1	1
30004	20073	48	1	1	1
30004	20074	47	1	1	1
30004	20075	46	1	1	1
30004	20076	45	1	1	1
30004	20077	44	1	1	1
30004	20078	43	1	1	1
30004	20079	42	1	1	1
30004	20080	41	1	1	1
30004	20081	40	1	1	1
30004	20082	39	1	1	1
30004	20083	38	1	1	1
30004	20084	37	1	1	1
30004	20085	36	1	1	1
30004	20086	35	1	1	1
30004	20087	34	1	1	1
30004	20088	33	1	1	1
30004	20089	32	1	1	1
30004	20090	31	1	1	1
30004	20091	30	1	1	1
30004	20092	29	1	1	1
30004	20093	28	1	1	1
30004	20094	27	1	1	1
30004	20095	26	1	1	1
30004	20096	25	1	1	1
30004	20097	24	1	1	1
30004	20098	23	1	1	1
30004	20099	22	1	1	1
30004	20100	21	1	1	1
30004	20101	20	1	1	1
30004	20102	19	1	1	1
30004	20103	18	1	1	1
30004	20104	17	1	1	1
30004	20105	16	1	1	1
30004	20106	2	1	1	1
30004	20107	15	1	1	1
30004	20108	14	1	1	1
30004	20109	13	1	1	1
30004	20110	12	1	1	1
30004	20111	11	1	1	1
30004	20112	10	1	1	1
30004	20113	9	1	1	1
30004	20114	8	1	1	1
30004	20115	7	1	1	1
30004	20116	6	1	1	1
30004	20117	5	1	1	1
30004	20118	4	1	1	1
30004	20119	3	1	1	1
30004	20120	1	1	1	1
