id	skill_group_id	mission_phase_type	is_repetable	case_leader_member	case_sub_member	case_join_member	case_member_num_greater_equal	case_member_num_less_equal	case_camp_action_type_member	case_camp_action_type	case_friendship_point_member	case_friendship_point_greater_equal	case_health_greater_equal	case_health_less_equal	case_motivation_greater_equal	case_motivation_less_equal	case_condition	case_camping_area	case_month	case_season	case_weather	case_wind	case_chance_of_rain_greater_equal	case_chance_of_rain_less_equal	case_temperature_greater_equal	case_temperature_less_equal	case_location	case_keyword1	case_keyword2	case_keyword3	case_costume_id	case_support_card_id	case_gear_id	case_mission_type_ids
5101302	5101302	2																									3							1
5101303	5101303	1																																2
5101311	5101311	2																		3														3
5101312	5101312	3																									3							2
5101313	5101313	1																																3
5101321	5101321	3																		3														2
5101322	5101322	3																									3							3
5101323	5101323	1																																2
5101331	5101331	1																		3														3
5101332	5101332	2																									2							1
5101333	5101333	1																																2
5101341	5101341	2																		3														1
5101342	5101342	1																									4							2
5101343	5101343	1																																1
5101351	5101351	1																		3														1
5101352	5101352	1																									2							3
5101353	5101353	1																																3
5101361	5101361	1																		1														2
5101362	5101362	1																1																3
5101363	5101363	1																																2
5101371	5101371	2																		1														1
5101372	5101372	2																1																3
5101373	5101373	1																																3
5101381	5101381	3																		1														2
5101382	5101382	2																									2							2
5101383	5101383	1																																1
5101391	5101391	2																		1														1
5101392	5101392	1																									2							1
5101393	5101393	1																																1
5101401	5101401	3																		1														3
5101402	5101402	3																									4							2
5101403	5101403	1																																2
5101411	5101411	3																								4								1
5101412	5101412	2																									4							1
5101413	5101413	1																																1
5101421	5101421	1																								4								1
5101422	5101422	3																									4							3
5101423	5101423	1																																3
5101431	5101431	3																								4								2
5101432	5101432	2																									4							3
5101433	5101433	1																																2
5101441	5101441	1																								4								3
5101442	5101442	1																									4							1
5101443	5101443	1																																1
5101451	5101451	2																								4								2
5101452	5101452	2																									4							2
5101453	5101453	1																																3
5101461	5101461	2																		4														1
5101462	5101462	1																									1							2
5101463	5101463	1																																3
5101471	5101471	2																		4														1
5101472	5101472	1																									1							1
5101473	5101473	1																																2
5101481	5101481	1																		4														3
5101482	5101482	2																									1							1
5101483	5101483	1																																1
5101491	5101491	3																		4														3
5101492	5101492	3																									1							3
5101493	5101493	1																																3
5101501	5101501	3																		4														2
5101502	5101502	3																									1							2
5101503	5101503	1																																1
5101511	5101511	3																		2														2
5101512	5101512	2																									3							1
5101513	5101513	1																																2
5101521	5101521	2																		2														3
5101522	5101522	1																									3							1
5101523	5101523	1																																3
5101531	5101531	1																		2														3
5101532	5101532	3																									3							3
5101533	5101533	1																																2
5101541	5101541	1																		2														1
5101542	5101542	1																									3							2
5101543	5101543	1																																3
5101551	5101551	2																		2														1
5101552	5101552	1																									3							3
5101553	5101553	1																																1
5101561	5101561	2																								4								2
5101562	5101562	2																									4							3
5101563	5101563	1																																2
5101571	5101571	2																								4								1
5101572	5101572	3																									4							3
5101573	5101573	1																																1
5101581	5101581	3																								4								2
5101582	5101582	3																									4							2
5101583	5101583	1																																3
5101591	5101591	1																								4								1
5101592	5101592	2																									4							1
5101593	5101593	1																																2
5101601	5101601	1																								4								3
5101602	5101602	1																									4							1
5101603	5101603	1																																3
5101611	5101611	3																								4								2
5101612	5101612	1																									4							3
5101613	5101613	1																																3
5101621	5101621	2																								4								1
5101622	5101622	1																									4							1
5101623	5101623	1																																3
5101631	5101631	1																								4								2
5101632	5101632	3																									4							1
5101633	5101633	1																																2
5101641	5101641	2																								4								1
5101642	5101642	3																									4							2
5101643	5101643	1																																2
5101651	5101651	1																								4								3
5101652	5101652	2																									4							1
5101653	5101653	1																																1
5101761	5101761	1																								4								2
5101762	5101762	3																									3							3
5101763	5101763	1																																1
5101771	5101771	2																																3
5101772	5101772	3																									3							3
5101773	5101773	1																																3
5101781	5101781	3																																2
5101782	5101782	2																									2							2
5101783	5101783	1																																2
5101791	5101791	2																								4								3
5101792	5101792	1																									4							1
5101793	5101793	1																																2
5101801	5101801	1																								4								3
5101802	5101802	2																									1							2
5101803	5101803	1																																1
5101811	5101811	1																		3														2
5101812	5101812	1																									1							1
5101813	5101813	1																																3
5101821	5101821	2																		3														1
5101822	5101822	2																									1							2
5101823	5101823	1																																1
5101911	5101911	1																		2														2
5101912	5101912	3																									3							3
5101913	5101913	1																																2
5101921	5101921	3																		2														2
5101922	5101922	2																									3							2
5101923	5101923	1																																3
5101931	5101931	2																		2														2
5101932	5101932	1																									3							2
5101933	5101933	1																																2
5101941	5101941	1																		2														2
5101942	5101942	1																									3							3
5101943	5101943	1																																2
5101951	5101951	2																		2														2
5101952	5101952	3																									3							2
5101953	5101953	1																																3
5101961	5101961	3																							2									2
5101962	5101962	2																		2														2
5101963	5101963	1																																2
5101971	5101971	2																							2									2
5101972	5101972	3																		2														2
5101973	5101973	1																																2
5101981	5101981	2																							2									3
5101982	5101982	1																		2														2
5101983	5101983	1																																3
5101991	5101991	3																							2									3
5101992	5101992	2																		2														2
5101993	5101993	1																																3
5102001	5102001	1																							2									2
5102002	5102002	2																		2														2
5102003	5102003	1																																2
5102011	5102011	3																							2									3
5102012	5102012	2																									1							2
5102013	5102013	1																																3
5102021	5102021	2																							2									3
5102022	5102022	3																									1							2
5102023	5102023	1																																3
5102031	5102031	2																							2									3
5102032	5102032	1																									1							3
5102033	5102033	1																																3
5102041	5102041	3																									1							3
5102042	5102042	2																									1							1
5102043	5102043	1																																1
5102051	5102051	1																									1							1
5102052	5102052	2																									1							3
5102053	5102053	1																																3
5102311	5102311	3																							2									3
5102312	5102312	2																									3							1
5102313	5102313	1																																3
5102321	5102321	2																							2									2
5102322	5102322	3																									3							2
5102323	5102323	1																																1
5102331	5102331	3																							2									2
5102332	5102332	2																									3							2
5102333	5102333	1																																1
5102341	5102341	3																									3							2
5102342	5102342	2																									1							2
5102343	5102343	1																																1
5102351	5102351	2																									3							2
5102352	5102352	3																									1							2
5102353	5102353	1																																1
6200011	6200011	1																																1
6200021	6200021	1																																3
6200031	6200031	1																																2
6200041	6200041	1																																3
6200051	6200051	1																																1
6200061	6200061	1																																2
6200071	6200071	1																																3
6200081	6200081	1																																1
6200091	6200091	1																																2
6200101	6200101	1																																2
6200111	6200111	1																																3
6200121	6200121	1																																1
6200131	6200131	1																																2
6200141	6200141	1																																3
6200151	6200151	1																																1
6200161	6200161	1																																1
6200171	6200171	1																																3
6200181	6200181	1																																2
6200191	6200191	1																																1
6200201	6200201	1																																3
6200211	6200211	1																																3
6200221	6200221	1																																3
6200231	6200231	1																																3
6200241	6200241	1																																3
6200251	6200251	1																																1
6200261	6200261	1																																3
6200271	6200271	1																																2
6200281	6200281	1																																1
6200291	6200291	1																																1
6200301	6200301	1																																2
6200311	6200311	1																																2
6200321	6200321	1																																1
6200331	6200331	1																																2
6200341	6200341	1																																3
6200351	6200351	1																																3
6200361	6200361	1																																2
6200371	6200371	1																																2
6200381	6200381	1																																2
6200391	6200391	1																																1
6200401	6200401	1																																2
6200411	6200411	1																																1
6200421	6200421	1																																2
6200431	6200431	1																																3
6200441	6200441	1																																1
6200451	6200451	1																																2
6200461	6200461	1																																1
6200471	6200471	1																																1
6200481	6200481	1																																3
6200491	6200491	1																																1
6200501	6200501	1																																2
6200511	6200511	1																																1
6200521	6200521	1																																2
6200531	6200531	1																																2
6200541	6200541	1																																3
6200551	6200551	1																																2
6200561	6200561	1																																3
6200571	6200571	1																																1
6200581	6200581	1																																3
6200591	6200591	1																																3
6200601	6200601	1																																1
6200611	6200611	1																																2
6200621	6200621	1																																1
6200631	6200631	1																																1
6200641	6200641	1																																3
6200651	6200651	1																																3
6200661	6200661	1																																1
6200671	6200671	1																																2
6200681	6200681	1																																1
6200691	6200691	1																																1
6200701	6200701	1																																3
6200711	6200711	1																																1
6200721	6200721	1																																3
6200731	6200731	1																																1
6200741	6200741	1																																2
6200751	6200751	1																																1
6200761	6200761	1																																2
6200771	6200771	1																																3
6200781	6200781	1																																3
6200791	6200791	1																																1
6200801	6200801	1																																2
6200811	6200811	1																																3
6200821	6200821	1																																2
6200831	6200831	1																																2
6200841	6200841	1																																1
6200851	6200851	1																																3
6200861	6200861	1																																3
6200871	6200871	1																																3
6200881	6200881	1																																3
6200891	6200891	1																																2
6200901	6200901	1																																2
6200911	6200911	1																																2
6200921	6200921	1																																2
6200931	6200931	1																																1
6200941	6200941	1																																1
6200951	6200951	1																																2
6200961	6200961	1																																3
6200971	6200971	1																																3
6200981	6200981	1																																1
6200991	6200991	1																																3
6201001	6201001	1																																1
6201011	6201011	1																																1
6201021	6201021	1																																2
6201031	6201031	1																																3
6201041	6201041	1																																2
6201051	6201051	1																																2
6201061	6201061	1																																3
6201071	6201071	1																																1
6201081	6201081	1																																2
6201091	6201091	1																																1
6201101	6201101	1																																3
6201111	6201111	1																																1
6201121	6201121	1																																2
6201131	6201131	1																																1
6201141	6201141	1																																2
6201151	6201151	1																																3
6201161	6201161	1																																2
6201171	6201171	1																																2
6201181	6201181	1																																3
6201191	6201191	1																																3
6201201	6201201	1																																1
6201211	6201211	1																																3
6201221	6201221	1																																2
6201231	6201231	1																																1
6201241	6201241	1																																3
6201251	6201251	1																																1
6201261	6201261	1																																1
6201271	6201271	1																																2
6201281	6201281	1																																2
6201291	6201291	1																																1
6201301	6201301	1																																2
6201311	6201311	1																																1
6201321	6201321	1																																3
6201331	6201331	1																																2
6201341	6201341	1																																2
6201351	6201351	1																																1
6201361	6201361	1																																3
6201371	6201371	1																																3
6201381	6201381	1																																2
6201391	6201391	1																																3
6201401	6201401	1																																2
6201411	6201411	1																																2
6201421	6201421	1																																1
6201431	6201431	1																																3
6201441	6201441	1																																2
6201451	6201451	1																																3
7100101	7100101	1		2																														1
7100201	7100201	2		3																														2
7100301	7100301	1																									1							1
7100401	7100401	1																									3							1
7100501	7100501	2																									2							2
7100601	7100601	1																									3							1
7100701	7100701	1																									2							1
7100801	7100801	1																									1							1
7100901	7100901	2		3																														2
7101001	7101001	2		3																														2
7101101	7101101	2																		4														2
7101201	7101201	2																1																2
7101301	7101301	3																									3							3
7101401	7101401	1																									1							1
7101501	7101501	2																									3							2
7101901	7101901	2		2																														2
7102001	7102001	2																																2
7102011	7102011	2																		3														2
7102021	7102021	2																									3							2
7102031	7102031	2																		1														2
7102041	7102041	2																									1							2
7102051	7102051	2																									4							2
7102061	7102061	2																									2							2
7102071	7102071	2																									5							2
7102081	7102081	2																		2														2
7102091	7102091	2																		4														2
7102101	7102101	1																																1
7102111	7102111	1																		3														1
7102121	7102121	1																									3							1
7102131	7102131	1																		1														1
7102141	7102141	1																									1							1
7102151	7102151	1																									4							1
7102161	7102161	1																									2							1
7102171	7102171	1																									5							1
7102181	7102181	1																		2														1
7102191	7102191	1																		4														1
7102201	7102201	1																																1
7102211	7102211	1																		3														1
7102221	7102221	1																									3							1
7102231	7102231	1																		1														1
7102241	7102241	1																									1							1
7102251	7102251	1																									4							1
7102261	7102261	1																									2							1
7102271	7102271	1																									5							1
7102281	7102281	1																		2														1
7102291	7102291	1																		4														1
7102301	7102301	1																																1
7102311	7102311	1																		3														1
7102321	7102321	1																									3							1
7102331	7102331	1																		1														1
7102341	7102341	1																									1							1
7102351	7102351	1																									4							1
7102361	7102361	1																									2							1
7102371	7102371	1																									5							1
7102381	7102381	1																		2														1
7102391	7102391	1																		4														1
7102401	7102401	1																																1
7102411	7102411	1																		3														1
7102421	7102421	1																									3							1
7102431	7102431	1																		1														1
7102441	7102441	1																									1							1
7102451	7102451	1																									4							1
7102461	7102461	1																									2							1
7102471	7102471	1																									5							1
7102481	7102481	1																		2														1
7102491	7102491	1																		4														1
7102501	7102501	1																																1
7102511	7102511	1																		3														1
7102521	7102521	1																									3							1
7102531	7102531	1																		1														1
7102541	7102541	1																									1							1
7102551	7102551	1																									4							1
7102561	7102561	1																									2							1
7102571	7102571	1																									5							1
7102581	7102581	1																		2														1
7102591	7102591	1																		4														1
7102601	7102601	1																																1
7102611	7102611	1																		3														1
7102621	7102621	1																									3							1
7102631	7102631	1																		1														1
7102641	7102641	1																									1							1
7102651	7102651	1																									4							1
7102661	7102661	1																									2							1
7102671	7102671	1																									5							1
7102681	7102681	1																		2														1
7102691	7102691	1																		4														1
7102701	7102701	1																																1
7102711	7102711	1																		3														1
7102721	7102721	1																									3							1
7102731	7102731	1																		1														1
7102741	7102741	1																									1							1
7102751	7102751	1																									4							1
7102761	7102761	1																									2							1
7102771	7102771	1																									5							1
7102781	7102781	1																		2														1
7102791	7102791	1																		4														1
7102801	7102801	1																																1
7102811	7102811	1																		3														1
7102821	7102821	1																									3							1
7102831	7102831	1																		1														1
7102841	7102841	1																									1							1
7102851	7102851	1																									4							1
7102861	7102861	1																									2							1
7102871	7102871	1																									5							1
7102881	7102881	1																		2														1
7102891	7102891	1																		4														1
7102901	7102901	1																																1
7102911	7102911	1																		3														1
7102921	7102921	1																									3							1
7102931	7102931	1																		1														1
7102941	7102941	1																									1							1
7102951	7102951	1																									4							1
7102961	7102961	1																									2							1
7102971	7102971	1																									5							1
7102981	7102981	1																		2														1
7102991	7102991	1																		4														1
7103001	7103001	1																																1
7103011	7103011	1																		3														1
7103021	7103021	1																									3							1
7103031	7103031	1																		1														1
7103041	7103041	1																									1							1
7103051	7103051	1																									4							1
7103061	7103061	1																									2							1
7103071	7103071	1																									5							1
7103081	7103081	1																		2														1
7103091	7103091	1																		4														1
7103101	7103101	1																																1
7103111	7103111	1																		3														1
7103121	7103121	1																									3							1
7103131	7103131	1																		1														1
7103141	7103141	1																									1							1
7103151	7103151	1																									4							1
7103161	7103161	1																									2							1
7103171	7103171	1																									5							1
7103181	7103181	1																		2														1
7103191	7103191	1																		4														1
7103201	7103201	1																																1
7103211	7103211	1																		3														1
7103221	7103221	1																									3							1
7103231	7103231	1																		1														1
7103241	7103241	1																									1							1
7103251	7103251	1																									4							1
7103261	7103261	1																									2							1
7103271	7103271	1																									5							1
7103281	7103281	1																		2														1
7103291	7103291	1																		4														1
7103301	7103301	1																																1
7103311	7103311	1																		3														1
7103321	7103321	1																									3							1
7103331	7103331	1																		1														1
7103341	7103341	1																									1							1
7103351	7103351	1																									4							1
7103361	7103361	1																									2							1
7103371	7103371	1																									5							1
7103381	7103381	1																		2														1
7103391	7103391	1																		4														1
7103401	7103401	1																																1
7103411	7103411	1																		3														1
7103421	7103421	1																									3							1
7103431	7103431	1																		1														1
7103441	7103441	1																									1							1
7103451	7103451	1																									4							1
7103461	7103461	1																									2							1
7103471	7103471	1																									5							1
7103481	7103481	1																		2														1
7103491	7103491	1																		4														1
7103501	7103501	1																																1
7103511	7103511	1																		3														1
7103521	7103521	1																									3							1
7103531	7103531	1																		1														1
7103541	7103541	1																									1							1
7103551	7103551	1																									4							1
7103561	7103561	1																									2							1
7103571	7103571	1																									5							1
7103581	7103581	1																		2														1
7103591	7103591	1																		4														1
7103601	7103601	1																																1
7103611	7103611	1																		3														1
7103621	7103621	1																									3							1
7103631	7103631	1																		1														1
7103641	7103641	1																									1							1
7103651	7103651	1																									4							1
7103661	7103661	1																									2							1
7103671	7103671	1																									5							1
7103681	7103681	1																		2														1
7103691	7103691	1																		4														1
7103701	7103701	2																																2
7103711	7103711	2																		3														2
7103721	7103721	2																									3							2
7103731	7103731	2																		1														2
7103741	7103741	2																									1							2
7103751	7103751	2																									4							2
7103761	7103761	2																									2							2
7103771	7103771	2																									5							2
7103781	7103781	2																		2														2
7103791	7103791	2																		4														2
7103801	7103801	1																																1
7103811	7103811	1																		3														1
7103821	7103821	1																									3							1
7103831	7103831	1																		1														1
7103841	7103841	1																									1							1
7103851	7103851	1																									4							1
7103861	7103861	1																									2							1
7103871	7103871	1																									5							1
7103881	7103881	1																		2														1
7103891	7103891	1																		4														1
7103901	7103901	1																																1
7103911	7103911	1																		3														1
7103921	7103921	1																									3							1
7103931	7103931	1																		1														1
7103941	7103941	1																									1							1
7103951	7103951	1																									4							1
7103961	7103961	1																									2							1
7103971	7103971	1																									5							1
7103981	7103981	1																		2														1
7103991	7103991	1																		4														1
7104001	7104001	2																																2
7104011	7104011	2																		3														2
7104021	7104021	2																									3							2
7104031	7104031	2																		1														2
7104041	7104041	2																									1							2
7104051	7104051	2																									4							2
7104061	7104061	2																									2							2
7104071	7104071	2																									5							2
7104081	7104081	2																		2														2
7104091	7104091	2																		4														2
7104101	7104101	1																																1
7104111	7104111	1																		3														1
7104121	7104121	1																									3							1
7104131	7104131	1																		1														1
7104141	7104141	1																									1							1
7104151	7104151	1																									4							1
7104161	7104161	1																									2							1
7104171	7104171	1																									5							1
7104181	7104181	1																		2														1
7104191	7104191	1																		4														1
7104201	7104201	1																																1
7104211	7104211	1																		3														1
7104221	7104221	1																									3							1
7104231	7104231	1																		1														1
7104241	7104241	1																									1							1
7104251	7104251	1																									4							1
7104261	7104261	1																									2							1
7104271	7104271	1																									5							1
7104281	7104281	1																		2														1
7104291	7104291	1																		4														1
7104301	7104301	1																																1
7104311	7104311	1																		3														1
7104321	7104321	1																									3							1
7104331	7104331	1																		1														1
7104341	7104341	1																									1							1
7104351	7104351	1																									4							1
7104361	7104361	1																									2							1
7104371	7104371	1																									5							1
7104381	7104381	1																		2														1
7104391	7104391	1																		4														1
7104401	7104401	1																																1
7104411	7104411	1																		3														1
7104421	7104421	1																									3							1
7104431	7104431	1																		1														1
7104441	7104441	1																									1							1
7104451	7104451	1																									4							1
7104461	7104461	1																									2							1
7104471	7104471	1																									5							1
7104481	7104481	1																		2														1
7104491	7104491	1																		4														1
7104501	7104501	2		4																														2
7104601	7104601	1																									3							1
7104611	7104611	1																																1
7104701	7104701	1																																1
7105201	7105201	1																									1							1
7105211	7105211	1																									1							1
7200101	7200101	1		2																														1
7200201	7200201	1		1																														1
7200301	7200301	1																									1							1
7200401	7200401	3																									4							2
7200501	7200501	3																									2							2
7200601	7200601	3		3																														2
7200701	7200701	1		3																														1
7200801	7200801	2		1																														1
7200901	7200901	2																									5							1
7201001	7201001	2																									2							1
7201101	7201101	1																2																1
7201201	7201201	1		2																														1
7201301	7201301	1																																1
7201311	7201311	1																		3														1
7201321	7201321	1																									3							1
7201331	7201331	1																		1														1
7201341	7201341	1																									1							1
7201351	7201351	1																									4							1
7201361	7201361	1																									2							1
7201371	7201371	1																									5							1
7201381	7201381	1																		2														1
7201391	7201391	1																		4														1
7201401	7201401	1																																1
7201411	7201411	1																		3														1
7201421	7201421	1																									3							1
7201431	7201431	1																		1														1
7201441	7201441	1																									1							1
7201451	7201451	1																									4							1
7201461	7201461	1																									2							1
7201471	7201471	1																									5							1
7201481	7201481	1																		2														1
7201491	7201491	1																		4														1
7201501	7201501	1																																1
7201511	7201511	1																		3														1
7201521	7201521	1																									3							1
7201531	7201531	1																		1														1
7201541	7201541	1																									1							1
7201551	7201551	1																									4							1
7201561	7201561	1																									2							1
7201571	7201571	1																									5							1
7201581	7201581	1																		2														1
7201591	7201591	1																		4														1
7201601	7201601	2																																1
7201611	7201611	2																		3														1
7201621	7201621	2																									3							1
7201631	7201631	2																		1														1
7201641	7201641	2																									1							1
7201651	7201651	2																									4							1
7201661	7201661	2																									2							1
7201671	7201671	2																									5							1
7201681	7201681	2																		2														1
7201691	7201691	2																		4														1
7201701	7201701	1																																3
7201711	7201711	1																		3														3
7201721	7201721	1																									3							3
7201731	7201731	1																		1														3
7201741	7201741	1																									1							3
7201751	7201751	1																									4							3
7201761	7201761	1																									2							3
7201771	7201771	1																									5							3
7201781	7201781	1																		2														3
7201791	7201791	1																		4														3
7201801	7201801	1																																3
7201811	7201811	1																		3														3
7201821	7201821	1																									3							3
7201831	7201831	1																		1														3
7201841	7201841	1																									1							3
7201851	7201851	1																									4							3
7201861	7201861	1																									2							3
7201871	7201871	1																									5							3
7201881	7201881	1																		2														3
7201891	7201891	1																		4														3
7201901	7201901	3																																2
7201911	7201911	3																		3														2
7201921	7201921	3																									3							2
7201931	7201931	3																		1														2
7201941	7201941	3																									1							2
7201951	7201951	3																									4							2
7201961	7201961	3																									2							2
7201971	7201971	3																									5							2
7201981	7201981	3																		2														2
7201991	7201991	3																		4														2
7202001	7202001	3																																2
7202011	7202011	3																		3														2
7202021	7202021	3																									3							2
7202031	7202031	3																		1														2
7202041	7202041	3																									1							2
7202051	7202051	3																									4							2
7202061	7202061	3																									2							2
7202071	7202071	3																									5							2
7202081	7202081	3																		2														2
7202091	7202091	3																		4														2
7202101	7202101	2																																1
7202111	7202111	2																		3														1
