id	level	value
1003	22	99
1003	23	108
1003	24	119
1003	25	130
1003	26	142
1003	27	155
1003	28	168
1003	29	182
1003	30	197
1003	31	212
1003	32	228
1003	33	245
1003	34	263
1003	35	282
1003	36	301
1003	37	322
1003	38	343
1003	39	365
1003	40	388
1003	41	411
1003	42	436
1003	43	462
1003	44	488
1003	45	515
1003	46	544
1003	47	573
1003	48	603
1003	49	634
1003	50	666
1003	51	699
1003	52	733
1003	53	768
1003	54	804
1003	55	841
1003	56	880
1003	57	919
1003	58	959
1003	59	1000
2000	1	150
2000	2	157
2000	3	169
2000	4	185
2000	5	207
2000	6	233
2000	7	263
2000	8	299
2000	9	339
2000	10	384
2000	11	433
2000	12	488
2000	13	547
2000	14	610
2000	15	679
2000	16	752
2000	17	830
2000	18	913
2000	19	1000
2000	20	311
2000	21	336
2000	22	362
2000	23	390
2000	24	419
2000	25	449
2000	26	481
2000	27	514
2000	28	547
2000	29	583
2000	30	619
2000	31	657
2000	32	695
2000	33	736
2000	34	777
2000	35	819
2000	36	863
2000	37	908
2000	38	954
2000	39	1002
2000	40	1051
2000	41	1101
2000	42	1152
2000	43	1204
2000	44	1258
2000	45	1313
2000	46	1369
2000	47	1426
2000	48	1485
2000	49	1544
2000	50	1605
2000	51	1668
2000	52	1731
2000	53	1796
2000	54	1862
2000	55	1929
2000	56	1998
2000	57	2067
2000	58	2138
2000	59	2210
2000	60	2284
2000	61	2358
2000	62	2434
2000	63	2511
2000	64	2589
2000	65	2669
2000	66	2750
2000	67	2832
2000	68	2915
2000	69	3000
2000	70	5951
2000	71	7208
2000	72	9468
2000	73	9732
2000	74	10000
2001	1	50
2001	2	59
2001	3	75
2001	4	97
2001	5	125
2001	6	159
2001	7	200
2001	8	247
2001	9	300
2002	1	100
2002	2	108
2002	3	121
2002	4	138
2002	5	162
2002	6	190
2002	7	223
2002	8	262
2002	9	305
2002	10	354
2002	11	408
2002	12	467
2002	13	531
2002	14	600
2003	1	150
2003	2	157
2003	3	169
2003	4	185
2003	5	207
2003	6	233
2003	7	263
2003	8	299
2003	9	339
2003	10	384
2003	11	433
2003	12	488
2003	13	547
2003	14	610
2003	15	679
2003	16	752
2003	17	830
2003	18	913
2003	19	1000
10000	1	1600
10000	2	1641
10000	3	1682
10000	4	1723
10000	5	1764
10000	6	1805
10000	7	1846
10000	8	1887
10000	9	1928
10000	10	1969
10000	11	2010
10000	12	2051
10000	13	2092
10000	14	2133
10000	15	2174
10000	16	2215
10000	17	2256
10000	18	2297
10000	19	2338
10000	20	2379
10000	21	2420
10000	22	2461
10000	23	2502
10000	24	2543
10000	25	2584
10000	26	2625
10000	27	2666
10000	28	2707
10000	29	2748
10000	30	2789
10000	31	2830
10000	32	2871
10000	33	2912
10000	34	2953
10000	35	2994
10000	36	3035
10000	37	3076
10000	38	3117
10000	39	3158
10000	40	3200
10001	1	2400
10001	2	2488
10001	3	2568
10001	4	2643
10001	5	2714
10001	6	2782
10001	7	2848
10001	8	2912
10001	9	2975
10001	10	3036
10001	11	3096
10001	12	3155
10001	13	3213
10001	14	3270
10001	15	3326
10001	16	3381
10001	17	3436
10001	18	3490
10001	19	3544
10001	20	3597
10001	21	3649
10001	22	3701
10001	23	3753
10001	24	3804
10001	25	3854
10001	26	3904
10001	27	3954
10001	28	4004
10001	29	4053
10001	30	4101
10001	31	4150
10001	32	4198
10001	33	4246
10001	34	4293
10001	35	4341
10001	36	4388
10001	37	4434
10001	38	4481
10001	39	4527
10001	40	4573
10001	41	4619
10001	42	4664
10001	43	4709
10001	44	4755
10001	45	4800
10002	1	3600
10002	2	3774
10002	3	3914
10002	4	4037
10002	5	4149
10002	6	4251
10002	7	4347
10002	8	4437
10002	9	4523
10002	10	4606
10002	11	4685
10002	12	4761
10002	13	4835
10002	14	4906
10002	15	4976
10002	16	5044
10002	17	5110
10002	18	5174
10002	19	5237
10002	20	5299
10002	21	5359
10002	22	5419
10002	23	5477
10002	24	5534
10002	25	5591
10002	26	5646
10002	27	5701
10002	28	5754
10002	29	5807
10002	30	5860
10002	31	5911
10002	32	5962
10002	33	6013
10002	34	6062
10002	35	6111
10002	36	6160
10002	37	6208
10002	38	6256
10002	39	6303
10002	40	6349
10002	41	6395
10002	42	6441
10002	43	6486
10002	44	6531
10002	45	6575
10002	46	6619
10002	47	6663
10002	48	6706
10002	49	6749
10002	50	6791
10002	51	6834
10002	52	6876
10002	53	6917
10002	54	6958
10002	55	6999
10002	56	7040
10002	57	7080
10002	58	7120
10002	59	7160
10002	60	7200
10003	1	5200
10003	2	5504
10003	3	5739
10003	4	5936
10003	5	6110
10003	6	6267
10003	7	6411
10003	8	6546
10003	9	6672
10003	10	6792
10003	11	6905
10003	12	7014
10003	13	7118
10003	14	7218
10003	15	7315
10003	16	7408
10003	17	7499
10003	18	7587
10003	19	7673
10003	20	7756
10003	21	7837
10003	22	7917
10003	23	7994
10003	24	8070
10003	25	8145
10003	26	8218
10003	27	8289
10003	28	8359
10003	29	8428
10003	30	8496
10003	31	8563
10003	32	8628
10003	33	8693
10003	34	8757
10003	35	8819
10003	36	8881
10003	37	8942
10003	38	9002
10003	39	9061
10003	40	9120
10003	41	9178
10003	42	9235
10003	43	9291
10003	44	9347
10003	45	9402
10003	46	9457
10003	47	9511
10003	48	9564
10003	49	9617
10003	50	9670
10003	51	9721
10003	52	9773
10003	53	9824
10003	54	9874
10003	55	9924
10003	56	9973
10003	57	10022
10003	58	10071
10003	59	10119
10003	60	10167
10003	61	10214
10003	62	10261
10003	63	10307
10003	64	10354
10003	65	10400
10004	1	7200
10004	2	7845
10004	3	8290
10004	4	8640
10004	5	8934
10004	6	9188
10004	7	9414
10004	8	9619
10004	9	9807
10004	10	9980
10004	11	10142
10004	12	10294
10004	13	10437
10004	14	10572
10004	15	10701
10004	16	10824
10004	17	10942
10004	18	11055
10004	19	11164
10004	20	11269
10004	21	11370
10004	22	11468
10004	23	11562
10004	24	11654
10004	25	11744
10004	26	11831
10004	27	11915
10004	28	11998
10004	29	12078
10004	30	12156
10004	31	12233
10004	32	12308
10004	33	12381
10004	34	12453
10004	35	12523
10004	36	12592
10004	37	12660
10004	38	12726
10004	39	12791
10004	40	12855
10004	41	12918
10004	42	12980
10004	43	13040
10004	44	13100
10004	45	13159
10004	46	13217
10004	47	13274
10004	48	13330
10004	49	13385
10004	50	13440
10004	51	13494
10004	52	13547
10004	53	13599
10004	54	13651
10004	55	13702
10004	56	13752
10004	57	13802
10004	58	13851
10004	59	13900
10004	60	13948
10004	61	13995
10004	62	14042
10004	63	14089
10004	64	14134
10004	65	14180
10004	66	14225
10004	67	14269
10004	68	14313
10004	69	14356
10004	70	14400
10005	1	9000
10005	2	9975
10005	3	10612
10005	4	11096
10005	5	11491
10005	6	11828
10005	7	12122
10005	8	12384
10005	9	12621
10005	10	12838
10005	11	13038
10005	12	13224
10005	13	13398
10005	14	13562
10005	15	13716
10005	16	13863
10005	17	14002
10005	18	14135
10005	19	14262
10005	20	14384
10005	21	14502
10005	22	14614
10005	23	14723
10005	24	14828
10005	25	14930
10005	26	15028
10005	27	15123
10005	28	15216
10005	29	15306
10005	30	15394
10005	31	15479
10005	32	15562
10005	33	15643
10005	34	15722
10005	35	15799
10005	36	15875
10005	37	15949
10005	38	16021
10005	39	16092
10005	40	16161
10005	41	16229
10005	42	16296
10005	43	16361
10005	44	16425
10005	45	16488
10005	46	16550
10005	47	16611
10005	48	16671
10005	49	16729
10005	50	16787
10005	51	16844
10005	52	16900
10005	53	16956
10005	54	17010
10005	55	17063
10005	56	17116
10005	57	17168
10005	58	17220
10005	59	17270
10005	60	17320
10005	61	17370
10005	62	17418
10005	63	17466
10005	64	17514
10005	65	17560
10005	66	17607
10005	67	17652
10005	68	17698
10005	69	17742
10005	70	17786
10005	71	17830
10005	72	17873
10005	73	17916
10005	74	17958
10005	75	18000
20000	1	1
20000	2	10
20000	3	20
20000	4	30
20001	1	30
20001	2	39
20001	3	50
20001	4	60
20002	1	1
20002	2	10
20002	3	20
20002	4	30
20002	5	60
20003	1	35
20003	2	40
20003	3	50
20003	4	56
20003	5	65
20004	1	1
20004	2	10
20004	3	20
20004	4	30
20004	5	43
20004	6	60
20005	1	40
20005	2	47
20005	3	57
20005	4	65
20005	5	70
20006	1	1
20006	2	10
20006	3	20
20006	4	30
20006	5	43
20006	6	60
20007	1	40
20007	2	47
20007	3	57
20007	4	65
20007	5	75
20012	1	1
20012	2	15
20012	3	25
20012	4	35
20012	5	65
20014	1	1
20014	2	15
20014	3	30
20014	4	50
20014	5	70
20030	1	20
20030	2	100
20030	3	300
20030	4	500
20030	5	500
20040	1	100
20040	2	500
20040	3	1500
20040	4	2500
20040	5	2500
20050	1	200
20050	2	1000
20050	3	3000
20050	4	5000
20050	5	5000
20100	1	
50000	1	2
50000	2	7
50000	3	13
50000	4	22
50000	5	32
50000	6	45
50000	7	60
50000	8	77
50000	9	97
50000	10	117
50000	11	142
50000	12	166
50000	13	195
50000	14	224
50000	15	257
50000	16	290
50000	17	327
50000	18	365
50000	19	406
50000	20	448
50000	21	493
50000	22	540
50000	23	589
50000	24	641
50000	25	693
50000	26	750
50000	27	806
50000	28	867
50000	29	928
50000	30	993
50000	31	1058
50000	32	1127
50000	33	1197
50000	34	1270
50000	35	1344
50000	36	1421
50000	37	1500
50000	38	1581
50000	39	1665
50000	40	1749
50000	41	1838
50000	42	1926
50000	43	2019
50000	44	2112
50000	45	2209
50000	46	2306
50000	47	2407
50000	48	2509
50000	49	2614
50000	50	2720
50000	51	2829
50000	52	2940
50000	53	3053
50000	54	3169
50000	55	3286
50000	56	3405
50000	57	3526
50000	58	3651
50000	59	3776
50000	60	3905
50000	61	4034
50000	62	4167
50000	63	4301
50000	64	4438
50000	65	4576
50000	66	4717
50000	67	4860
50000	68	5006
50000	69	5152
50000	70	5302
50000	71	5453
50000	72	5607
50000	73	5762
50000	74	5921
