id	rarity	icon_resource_id	name_text_id	effect_target_type	effect_target_param	case_event_flag_id
10025	1	46300002	やる気効果アップ（まんぞく）	6	2	
10026	1	46300002	やる気効果アップ（いごこち）	6	3	
10027	1	46300002	やる気効果アップ（ぬくもり）	6	4	
10028	1	46300002	やる気効果アップ（いやし）	6	5	
10029	1	46300002	やる気効果アップ（すべて）	6	6	
10030	1	46300002	やる気効果アップ（スキルPt）	7		
10031	1	46300002	キャンプ行動効果アップ（つながり）	9	1	
10032	1	46300002	キャンプ行動効果アップ（まんぞく）	9	2	
10033	1	46300002	キャンプ行動効果アップ（いごこち）	9	3	
10034	1	46300002	キャンプ行動効果アップ（ぬくもり）	9	4	
10035	1	46300002	キャンプ行動効果アップ（いやし）	9	5	
10036	1	46300002	キャンプ行動効果アップ（すべて）	9	6	
10037	1	46300002	キャンプ行動効果アップ（スキルPt）	10		
10038	1	46300002	体力消費ダウン（おしゃべり）	11	1	
10039	1	46300002	体力消費ダウン（たべる）	11	2	
10040	1	46300002	体力消費ダウン（せつえい）	11	3	
10041	1	46300002	体力消費ダウン（たきび）	11	4	
10042	1	46300002	体力消費ダウン（ながめる）	11	5	
10043	1	46300002	体力消費ダウン（すべて）	11	6	
10044	1	46300003	コツ獲得イベント発生アップ	12		
10045	1	46300003	コツLvアップ	13		
10046	1	46300004	イベント効果アップ（つながり）	14	1	1
10047	1	46300004	イベント効果アップ（まんぞく）	14	2	2
10048	1	46300004	イベント効果アップ（いごこち）	14	3	3
10049	1	46300004	イベント効果アップ（ぬくもり）	14	4	4
10050	1	46300004	イベント効果アップ（いやし）	14	5	5
10051	1	46300004	イベント効果アップ（すべて）	14	6	6
10052	1	46300004	イベント効果アップ（スキルPt）	15		7
10053	1	46300004	イベント回復量アップ	16		8
