	VrText	WorkText	AppointmentText	ArText	CampText	ItemText	RewardText	SeasonText	TipsText	AdvertisementText	CampaignText	CraftText	GachaText	GuildCampText	ReactionText	SpecialContentText	BgmText	CollectionText	FuncText	ShopTabText	StickerText	BoostGroupText	CharaNaviText	ConfessionText	GuildText	InvitationText	LoginText	ProfileText	FeedText	ShopText	StageText	FeatureText	PhotoText	PlayerTitleText	RelationshipText	SituationText	StoryText	TeamBattleText	AttributeText	GuideMissionText	HomeBgmText	HomeText	SeriesText	CardText	HelpText	LocationText	MemberText	SkillText	ApText	BannerText	PuzzleText	QuestText	StampText	UnitText	ChallengeText	ChapterText	GrowthRewardText	LotteryText	AreaText	CommonText	GearText	StillPictureText
10				おー！			【テスト用】習得アイテム			広告動画を見たら、1日1回アイテムが購入できます。							BGM10			ゆるコイン	I		うーん				つなキャンスサービスタートログインボーナス			"まんじゅうと
おち葉シールセット"				トビラを開けて			テスト、カリブー、まんじゅううまい		キャンプ開始時のぬくもりが+1される	第1話⑩		"まだ　夜は冷えるから…
じゃーん！
カイロを持ってきました！"		『夏服（マルチカム）』			キャンプ開始時のぬくもりが+1される	赤玉消去				近日開催予定	スタンプラリー10		"{ta_mi_mn}のコスチュームを
{0}回ランクアップする"	9				次　どうしよっかな		メインストーリー第10章
11				腕組み			【テスト用】？？？			CM視聴で1日1回無料でガチャが引けるようになります											J		いやまてよ…				7月ログインボーナス			なでしこのガスランタン				動き出す世界			なでしこナビと湯けむりの夜		キャンプ開始時のいやしが+1される	第1話⑪		"焚き火見てたら
眠くなってきた…"		『夏服（ホワイト）』			キャンプ開始時のいやしが+1される	青玉消去				チュートリアル用のデータ	スタンプラリー11		"{ta_mi_mn}のコスチュームを
{0}回限界突破する"	10				どうするかな		メインストーリー第11章
12				ガッツポーズ			【テスト用】スペシャルカード														K		ちょっと待てよ…				リリース記念ログインボーナス第1弾			リンのスクーター				私は旅する			旅下手さんとキャンプ会議			第2話①		"ひゃあーっ
ランタンに　おっきい虫！"		『夏服（ブラック）』				紫玉消去				ー	スタンプラリー12		"{ta_mi_mn}のサポートカードを
{0}個獲得する"	11				どうしたもんかなぁ		メインストーリー第12章
13				ピース（座り）			【テスト用】抽選テスト1														L		どないしよか…				ゆるパス(7days)限定			リアルギア①				Go my way!			クリキャン！			第2話②		"朝から
あっつーい…"		『イーストウッド薄着』				緑玉消去				通常イベント（オールスター）	スタンプラリー13		"{ta_mi_mn}のサポートカードを
{0}個強化する"	12				うーん　次は何をするかだな		○○
14				コップを持つ（座り）			【テスト用】抽選テスト2														M		せやなぁ…				リリース記念ログインボーナス第2弾			スノーテント				はじまりの一歩			ふじさんとゆるキャンガール			第2話③		日陰に移動しようかな		『麓キャンプ薄着』				ランダム消去				チームイベント（テスト）	スタンプラリー14		"{ta_mi_mn}のサポートカードを
{0}回ランクアップする"	ふじさんとカレーめん				どうすっかなー		○○
15				サムズアップ（座り）			【テスト用】5個報奨														N		どうしよう				世界キャンプデー記念ログインボーナス			リアルギア②				近道はないけど			旅のおともとカレーめん			第2話④		スイカ冷えてるよー		『伊豆キャン薄着』				スコア獲得					スタンプラリー15		"{ta_mi_mn}のサポートカードを
{0}回限界突破する"	ようこそ 野クルへ！				面白いことねーかなー		
16				手を振る（座り）			【テスト用】スチル1														O		悩みますなぁ							コミコミ3万の焚火台				歩き続けて			大晦日のソロキャンガール			第2話⑤		"流しそうめん
やってみたいなー"		『冬服A（オレンジ）』				手数(秒数)獲得							{ta_mi_mn}がメインのキャンプに{0}回行く	ふじさんとまったりお鍋キャンプ				どないしよか…		
17				挙手（座り）			【テスト用】スチル2														P		何が入ってるかなー？							鳥羽先生の車				光の向こうまで			たなぼたキャンプと改めて思ったこと			第2話⑥		"クーラーボックスに
アイスが入ってるよー
みんなで食べよう！！"		『冬服A（ブルー）』				万能玉チェンジ							"『旅キャンはじまり！
RECAMPおだわら』の
イベントやる事リストを全てクリアする"	野クルとソロキャンガール				さて　どないしよ		
18				おー！（座り）			【テスト用】スチル3														Q		受け取っておくか							リアルギア③				はじめての△			バイトのお金で何を買う？			第2話⑦		"カヌー体験かー
おもしろそう！"		『冬服A（ベージュ）』				チェイン玉							『ブロンズ会員』の称号を獲得する	二つのキャンプ、二人の景色				やりたいことは　いろいろあるんよね		
19							【テスト用】スチル4														R		どれを受け取るんだ？							owlテスト課金1				なんどでも△			カリブーくんと山中湖			第2話⑧		"お待ちかねの晩ごはんは…
焼肉です！！"		『冬服A（カーキ）』				赤玉チェンジ							『シルバー会員★』の称号を獲得する	お肉と紅葉と謎の湖				んー　何しよかー		
20							【テスト用】スチル5													ゆるパス	S		何がもらえるんやろ							owlテスト課金2				いーっぱい△			大間々岬の冬			第2話⑨		日が傾くと涼しくなるね		『クリキャン長袖』				黄玉チェンジ							『シルバー会員★2』の称号を獲得する	湖畔の夜とキャンプの人々				迷ってまうなー		
21							【テスト用】スチル6													会員	T		受け取っておこうっと							owlテスト課金3				なでキャン△！			なでしこのソロキャン計画			第2話⑩		"温泉でさっぱりしたのに
また　汗かいてきちゃったよー"		『冬服B（ウッドランド）』				紫玉チェンジ							『シルバー会員★3』の称号を獲得する	テスト、カリブー、まんじゅううまい				どうしよう		
22							【テスト用】スチル7													ゆるパス	U		"そろそろ
受け取れなくなるものがあるよ"							CM視聴報酬				大型新人			ひとりのキャンプ			第2話⑪		"あきちゃんの
シュワシュワモクテル
暑い夜にぴったりだねぃ"		『冬服B（マルチカム）』				緑玉チェンジ							『シルバー会員★4』の称号を獲得する	なでしこナビと湯けむりの夜				どうしようかな		
23							【テスト用】スチル8														V		期限近いやつあるみたいだ							owlテストアイテム1				FUJIKO			冬の終わりと出発の日			第3話①		星が綺麗に見えるね		『冬服B（ホワイト）』				赤玉レベルアップ							『シルバー会員★5』の称号を獲得する	旅下手さんとキャンプ会議				うーん　迷うね		
24							【テスト用】スチル9														W		受け取り期限に気をつけろよー							owlテストアイテム2				野クルレッド			伊豆キャン！ はじまり			第3話②		あっ　ホタルだー		『冬服B（ブラック）』				黄玉レベルアップ							『ゴールド会員★』の称号を獲得する	クリキャン！				何をしようかなぁ		
25							【テスト用】スチル10														X		"逃さんように
早めに　受け取ってなー"							owlテストアイテム3				つよいこなでしこ			伊豆キャン！！みちゆき			第3話③		"炊き立てのご飯って
いいにおいだよねえ"		『本栖湖キャンプ服』				青玉レベルアップ							『ゴールド会員★2』の称号を獲得する	ふじさんとゆるキャンガール				どうしよっかな～		
26							【テスト用】スチル11														Y		"もうすぐ受け取れなくなる
ものがあるみたい"							owlテストアイテム4				新しいときめき			伊豆キャン！！！バースデー！			第3話④		"コーンスープ
作っちゃおうかな"		『ゆるキャン△④服』				緑玉レベルアップ							『ゴールド会員★3』の称号を獲得する	0						
27							【テスト用】スチル12														Z		"プロフィールに
追加したい項目を選んでね"							owlテストアイテム5				ココロも前へ			ただいま			第3話⑤		落ち葉　ふみふみ…		『ゆるキャン△③服』				シャッフル							『ゴールド会員★4』の称号を獲得する							
28							【テスト用】スチル13														0		"プロフィールに追加したい
項目を選択っと"							owlテストアイテム6				笑顔を探しに			第16話			第3話⑥		"このきのこ
食べられるのかな？"		『ゆるキャン△⑤服』				おじゃま玉ダウン							『ゴールド会員★5』の称号を獲得する							
29							【テスト用】スチル14														1		"プロフィールに入れる項目を
選んでくれ"							namazonプライムセール30コイン				飛び出そう未来へ			プロローグ			第3話⑦		"オリジナルのランタン
つくってみようかなぁ"		『本栖高校制服＆コート』				ロック玉ダウン							『ブラック会員』の称号を獲得する							
30							【テスト用】シルバー会員													交換所	2		"プロフィールに追加する項目を
選ぼうかー"							namazonプライムセール300コイン				少しの勇気			エピローグ			第3話⑧		薪準備　よーし！！		『本栖高校制服』				しゃぼん玉停止														
31							【テスト用】ゴールド会員													フレンドP	3		"プロフィールに追加したい項目を
選ぶんだよね"							namazonプライムセール3000コイン				素敵な予感			カードストーリー①			第3話⑨		"秋って
おいしいものが
いっぱいあるよねー"		『本栖高校ジャージ』				ブロックダウン														
32							【テスト用】プラチナ会員													ゆるすたP	4		どれがいいかな？							namazonプライムセール30000コイン				思いを重ねて			カードストーリー②			第3話⑩		"黄金色のススキが
ゆらゆら　揺れてるよー"		『麓キャンプ服』				バリア破壊														
33							【テスト用】AP5													ふじさん	5		どれにしよっかな							100ゆるコイン(金)				きらめく今を			カードストーリー③			第3話⑪		"アウトドア実験料理…
スタート！"		『伊豆キャン服』				コンボ数プラス														
34							【テスト用】AP10													松ぼっくり	6		どれにするか迷っちまうなー							500ゆるコイン(金)				あたらしい風			カードストーリー④			第4話①		"見て見て
大きいお月さまだー"		『イーストウッド服』				コンボ条件低下														
35							【テスト用】AP20													虹のツカぽん	7		どれがええんやろ							1000ゆるコイン(金)				未来を描いて						第4話②		"ああっ！
もしかしてガス缶　空かも…"		『バイト普段着』				チェイン数プラス														
36							【テスト用】お仕事報酬													金のツカぽん	8		"プロフィールとかフレンドの
サポート設定を変更できるよ"							2000ゆるコイン(金)				巡るしあわせ						第4話③		リーンリーン…		『麓キャンプ厚着』				ベル鳴らし														
37							【テスト用】○○パック(10days)													銀のツカぽん	9		"プロフィールやフレンドの
サポート設定が変更できるのか"							3000ゆるコイン(金)				Feel so good!						第4話④		"おはよー
朝ごはん　できてるよー"		『山中湖キャンプ服』				パズル操作スキル														
38							【テスト用】○○パック(30days)													おでかけコイン	!		"プロフィールやフレンドの
サポート設定を変更できるみたいだ"							5000ゆるコイン(金)				小さなキセキ						第4話⑤		あっ　しもばしら！		『四尾連湖キャンプ服』				パズルALLリフレッシュ														
39							【テスト用】○○													一旦なし	?		"プロフィールとかフレンドの
サポート設定を変更できるんやって"							10000ゆるコイン(金)				変わらない想い						第4話⑥		"ハンディカイロ
借りてよかったー"		『甲府キャンプ普段着』				パズル玉補充強制変更														
40							【テスト】コクハクステップ報酬です。													リサイクル	丸		"ここではプロフィールやフレンドの
サポート設定を変更できるんだって"							15000ゆるコイン(金)				どこまでも前へ						第4話⑦		"ビーフ100％のハンバーグを
じっくりあっためて…"		『買い物普段着』				パズル玉範囲内レベルアップ														
41							AP30													カリブー君	三角形		"まずはアイコンにする
カードを選ぼう！"							2500ゆるコイン(金)				重ねていく夢と						第4話⑧		"ブランケットは
ぬくいのう…ほれ
みんなも包まるのじゃ"		『はるキャン服』				カラーボックス破壊														
42							AP60													スキルアップ	正方形		"アイコンにするカード…
迷うな"							AP5				リンキャン△！						第4話⑨		"あぶったマシュマロで…
スモア！"		『カリブーキャンプ服』				おじゃま玉→赤														
43							AP90														台形		"まずアイコンにする
カードを選ぶぞ"							AP10				図書委員						第4話⑩		"お鍋を作るコツ？
切って　ぶちこんで
煮るだけだよ"		『クリキャン服』				おじゃま玉→黄														
44							BP1														五角形		アイコンにするカードを選んで…							AP20				旅下手さん						第4話⑪		"暗くなってきたから
ランタンつけようか"		『サンタクレンジャー』				おじゃま玉→青														
45							BP3														六角形		"まずはアイコンにする
カードを選んで！"							YP(テスト)				しまりん様！						第5話①		もう　真っ暗だー		『サバキャン水着』				おじゃま玉→紫														
46							BP5														八角形		アイコンにする範囲を決めて…							紅葉の葉っぱ×1				ソロキャンガール						第5話②		"ランプの灯り
ずっと見ていられるねぃ"		『四尾連湖ブランケット』				おじゃま玉→緑														
47							ブロンズ会員														二等辺三角形		どの範囲をアイコンにしよう？							紅葉の葉っぱ×5				ちあキャン△！						第5話③		"お鍋って
お野菜もたっぷり摂れて
栄養満点だね"		『山中湖ブランケット』				ロック玉→赤														
48							シルバー会員★														星		"アイコンにする範囲を
決めるのか"							紅葉の葉っぱ×10				野クル部長						第5話④		星がきれいだなー		『秘密結社ブランケット』				ロック玉→黄														
49							シルバー会員★2														スペード		アイコンにする範囲を決めるんやね							owlテスト課金4				野クルブルー						第5話⑤		"まったりキャンプ
たのしいねぃ"		『お料理キャンプ（仮）』				ロック玉→青														
50							シルバー会員★3													特別セール	クラブ		アイコンにする範囲を決めよう							owlテストアイテム7				梨っ子あきちゃん						第5話⑥		"ご当地食材って
なんでこんなに
おいしいのかなー"		『ハロウィン（仮）』				ロック玉→紫														
51							シルバー会員★4													特別セール	ハート		うん　ばっちりだよ！							owlテスト課金5				お洒落キャンパー						第5話⑦		"炭火でじっくり焼くと
なんでも　おいしくなるねー"		『小田原キャンプ服』				ロック玉→緑														
52							シルバー会員★5													プライムセール	ダイヤ		うし　できた							ゆるパス(30days)				あおキャン△！						第5話⑧		"あっちの方
散策してくるねー"		『ゆるキャン△②服』				ブロック→赤														
53							ゴールド会員★														月		いい感じじゃね！？							ゆるパスS(10days)				野クル部員						第5話⑨		"なんか　おもしろい
動画あるかなー？"		『ゆるキャン△①服』				ブロック→黄														
54							ゴールド会員★2														太陽		上出来やわぁ							ゆるパスM(10days)				野クルイエロー						第5話⑩		"お出かけすると
ついついお土産
買っちゃうよねえ"		『パジャマ（仮）』				ブロック→青														
55							ゴールド会員★3														雲		うん　上出来							ゆるパス(7days)				イヌイヌイヌ子						第5話⑪		"これから作るごはん
さらにアレンジしたいな"		『森パーティ（仮）』				ブロック→紫														
56							ゴールド会員★4														雪		自己紹介　どうしようかなー							野外活動計画プレミアム				ホラ吹きガール								いま　何時かな？		『海キャン（仮）』				ブロック→緑														
57							ゴールド会員★5														宝石		"自己紹介
何書けばいいんだ…"							もっと野外活動計画プレミアム				えなキャン△！								"もぐもぐ…　はっ！
最後のいっこになっちゃった！"		『バレンタイン（仮）』				ギミックをパズル玉にチェンジ														
58							ブラック会員														雫		"自己紹介かー
何を書こうかなぁ…"							AP30				体験入隊								-		松ぼっくり				赤色スキルチャージ														
59							ガチャメダル(コスチューム)														矢印		自己紹介　考えよかー							AP60				帰宅部斉藤さん								"リンちゃん
おたんじょうび　おめでとう！
プレゼントは　何がいいかな"		じゅうごかいばらい				黄色スキルチャージ														
60							ガチャメダル(サポートカード)													イベント	半円		自己紹介　何を書こうかな？							AP90				後ろの斉藤さん								"あきちゃん
おたんじょうび　おめでとう！
ケーキ　後で食べてね"		おぉおぉぉお…				青色スキルチャージ														
61							サークルログインボーナス														楕円		これでオッケーだね							YP1				ステルス斉藤さん								"あおいちゃん
おたんじょうび　おめでとう！
これからも　よろしくね"		なんだこれ				紫色スキルチャージ														
62							おしゃれ														扇形		…これでいいか							YP3				旅キャンはじまり！RECAMPおだわら								"恵那ちゃん
おたんじょうび　おめでとう！
これからも　なかよくしてね"		めがちかちかしてきた…				緑色スキルチャージ														
63							おもいで														バツ		よーし　これで決まりだー！							YP5				ブロンズ会員								"ハッピーバースデートゥーユー
おめでとー！"		クマヘアー				赤属性のスキルをチャージ														
64							じゅくれん														線		これでええかな？							R以上確定ガチャチケット				シルバー会員★								"あけましておめでとう
いい年になりますように
さあ　今年の抱負をどうぞ！"		"あ""っ！！"				黄属性のスキルをチャージ														
65							うでまえ														破線		これで決まりだね							コスチュームガチャチケット				シルバー会員★2								"ハッピーバレンタイン
今日のキャンプごはんは…
チョコレートスペシャルです！"		遠くから見ているだけで				青属性のスキルをチャージ														
66							ゆるコイン(銀)														点線		おしゃれして　行かなきゃだね							サポートカードガチャチケット				シルバー会員★3								"ふじさん
これからも　ずっと
だいすきだよ…！"		FUJIKO！？				紫属性のスキルをチャージ														
67							★3カードの限界突破により獲得したアイテムです														波線		"ゲストで登場する時の
コスチューム…何がいいかな"							まんじゅう				シルバー会員★4								"ホワイトデーといえば
マシュマロ！
スモア…また　食べたいな"		月面着陸ごっこ				緑属性のスキルをチャージ														
68							★4カードの限界突破により獲得したアイテムです														曲線		"ゲストで登場させるときの
コスチュームを決めるみたいだな"							おち葉シール				シルバー会員★5								"ハッピーハロウィン！
今日のごはんは
ホラーな盛り付けだよ"		実際にやってみた				しゃぼん玉破壊														
69							★5カードの限界突破により獲得したアイテムです														木		どれを着ていこか　迷うなぁ							食材ボックス				ゴールド会員★								"明日はクリスマス！
スペシャルメニューの仕込み
がんばるぞー！"		何やってんだあいつら				赤玉まとめ・Ⅰ														
70							称号用アイテムです													AP	葉っぱ		"ゲストで登場させる時の
コスチュームを設定っと"							素材ボックス				ゴールド会員★2								"みんなと一緒に
キャンプしながらの
クリスマス　たのしいね"		あたしが背負ってやんよ				黄玉まとめ・Ⅰ														
71							プレミアムステップボックスから獲得したアイテムです。													AP	テント		ぱずるをうんと盛り上げてね！							ユール				ゴールド会員★3								"今年も一年
お世話になりました
来年も　よろしくね"		食べ物の方が喜びそうだな				青玉まとめ・Ⅰ														
72							素材ボックスから獲得したアイテムです。													YP	山1		活躍できるといいな							★3『ゆるキャン△④服』大垣千明				ゴールド会員★4								"あっちのほうから
楽しそうな声がする！"		――寒っ！				紫玉まとめ・Ⅰ														
73							食材ボックスから獲得したアイテムです。														山2		"これならぱずるで
活躍間違いなしだな！"							★3『ゆるキャン△③服』犬山あおい				ゴールド会員★5								"一周年　おめでとう！
ぐんぐん　キャンプレベルが
上がってる気がするよー"		買っちった				緑玉まとめ・Ⅰ														
74							つなキャン初心者応援ボックスから獲得したアイテムです。														ランタン		"これにしよ！
さっ　よろしくなぁ"							★3『ゆるキャン△⑤服』斉藤恵那				ブラック会員								……		キャンプでYAKINIKU…				アメーバ停止														
75							サプライズ訪問の○○ガチャチケ														焚火		このコスチュームで決まり！							★3『麓キャンプ服』各務原なでしこ												むにゃむにゃ…うふふー…		管理棟のテラスには…				アメーバ消去														
76							AP上限倍増パスの購入特典です。																"フレンドのキャンプを
お手伝いするカードは…"							★3『麓キャンプ服』志摩リン												ふー 落ち着くなー		わかりました隊長っ！！				フィーバーモード														
77							シルバー会員の購入特典です。																"フレンドのキャンプを
手伝うサポートカードは…"							★3『伊豆キャン服』大垣千明												ちょっと ひと息…		絶対ヤバいぞこれは				？？？？														
78							ゴールド会員の購入特典です。																"フレンドのキャンプの手伝いか
どのサポートカードが
いいかなぁ…"							★3『イーストウッド服』犬山あおい												よいしょ		ノンアルコールビールならもしや				範囲塗り替え														
79							プラチナ会員の購入特典です。																"フレンドのキャンプを手伝う
サポートカードを選ぼかー"							★3『バイト普段着』斉藤恵那												うん いい感じだねぃ		ブヒィ				指定仕掛けレベルダウン														
80							○○パスの購入特典です。													ガチャメダル			"フレンドのキャンプを手伝う
サポートカード…何にしようかな"							★3『イーストウッド服』各務原なでしこ												おいしくなあれー		シーズニング				？？？？？？														
81							○○パス限定ログインボーナス1日目のプレゼントです。													コスチューム			"決まったね！
みんな喜んでくれるかな？"							★3『麓キャンプ厚着』志摩リン												よーし！		くっさ！！				パズル玉Lv3集合														
82							○○パス限定ログインボーナス2日目のプレゼントです。													サポート			これで大丈夫かな							★3『イーストウッド服』大垣千明												お茶の時間が楽しみだな		風邪引いだぁぁあ！！				パズル玉整列														
83							○○パス限定ログインボーナス3日目のプレゼントです。													野外活動			みんなの喜ぶ顔が目に浮かぶぜ！							★3『バイト普段着』犬山あおい												準備おっけー！		梨っ子あきちゃんの３０分クッキング				移動床停止														
84							○○パス限定ログインボーナス4日目のプレゼントです。													小田原キャンプ			"決まりやね
みんなの役に立つとええなぁ"							★3『山中湖キャンプ服』斉藤恵那												お湯を沸かすよ		負けたぜこの犬どもめ				赤玉まとめ・Ⅱ														
85							○○パス限定ログインボーナス5日目のプレゼントです。													旅キャン			これならみんな喜んでくれるはず							★3『四尾連湖キャンプ服』各務原なでしこ												はー　おいしい！		おいしいっ！！				黄玉まとめ・Ⅱ														
86							○○パス限定ログインボーナス6日目のプレゼントです。													小田原キャンプ②			さて　どれからやろうかな？							★3『四尾連湖キャンプ服』志摩リン												落ち着くねぃ		ふぉっふぉっふぉっ				青玉まとめ・Ⅱ														
87							○○パス限定ログインボーナス7日目のプレゼントです。													旅キャン②			よっしゃ　がんばろ							★3『甲府キャンプ普段着』大垣千明												ん～　かわいいなぁ		うしろの斉藤さん				紫玉まとめ・Ⅱ														
88							○○パス限定ログインボーナス8日目のプレゼントです。																えっと　次にやること…							★3『伊豆キャン服』犬山あおい												雰囲気出るねぃ		むぅっ！！				緑玉まとめ・Ⅱ														
89							○○パス限定ログインボーナス9日目のプレゼントです。																私も手伝うよ　リンちゃん							★3『買い物普段着』斉藤恵那												明るいねー		起きてますよ！！				クリアボーナス玉（列）														
90							○○パス限定ログインボーナス10日目のプレゼントです。													カケラ			さーて　いっちょやってみるか！							★3『はるキャン服』各務原なでしこ												ばっちり！使いやすいねぃ		ソーセージ奪われとる				クリアボーナス玉（範囲）														
91							○○パス限定ログインボーナス11日目のプレゼントです。																あきちゃん　一緒にがんばろうね！							★3『はるキャン服』志摩リン												気をつけて使おう		ありがとう牛…				（準備中）														
92							○○パス限定ログインボーナス12日目のプレゼントです。																さっ　はじめよかー							★3『カリブーキャンプ服』大垣千明												点火！		山梨銘菓しまりんだんご				0														
93							○○パス限定ログインボーナス13日目のプレゼントです。																がんばってね							★3『カリブーキャンプ服』犬山あおい												ずっと見ていたくなるね		いいかげんにしろ				スキル玉を起点に縦{ap2}列消去する														
94							○○パス限定ログインボーナス14日目のプレゼントです。																さて　始めますか							★3『伊豆キャン服』斉藤恵那												うんうん　いい調子		間違えちった！！				黄色のパズル玉を{ap2}個消去する														
