id	data
1011046	Y2ZgYGBigABGKD3rkCBr6+tKBxCbT7fIYXf7ykP/oQCqBK5nCVAtn24VWO2bQAcMtRsdVBwy1MXs5/qkOryettn5u+9eJwYGDyeQHAvUDFYgvqjUDzZjSYEoiG7ocTiwD0Tnu+TahwEdBsJbTrRB7ekAq6nxDd8PoufXccHVCDXPAatZ9dEIrMZQ6SvYnIoDCXA1QTuWgdUc/hoBVtNwwxhsTrm+GVyNU8JSqF0NYDUKHzzBav6Hy8LVMDAAAA==
1011051	Y2aAgLjr/Q5hq5rtD9S32/3dvcFZ1uyxEwODhxNIjpEBGQAA
1011061	Y2aAANOndnv6fsjZ/wy+tW+xSoR90tXlTgwMHk4gOUaoGlYgflTl4wBih/Gt3Q+kGhpOa9uD6KOnbe1ZgAolgBx1wxMgMYaolG6wmpNb+MG02J1ge2kgo5WJgaE4I9OBoUHDPEmgAiz3844k2ByTWT72RVD75hypAKt5svT2PpBcB/s7OxAtvzwJroatMRTsHkOONTYguWNfZMHmTCv1BLsHAgA=
1021011	Y2aAAEm7/wcMzxY6xHZes/c7vMnZ5/cWRwYGDyeQHCMDMgAA
1021021	Y2ZgYGBngABGKF1VIsg6pWiFXb5Ys1XDq3abJG2Fw/+hAKqEgQlKp6gJsl75e8oepHZxt7fD//9sGGqZoXSJryBrw3JRsLlL7oTZ9+pqYKhlgdL3zIVYH1a5HACp5bru7MDKu/0QulpWKH0EaO6tGyVgN9w4w2PPpy6AYS4blF4D9Jtp3K/9ILULpN7b7bZ5gGEuLDw2zRZk/aq+3q7SlsuuITp5N/szXSdYGIHoNZe592W3Gtnr3dc/cJHvmP2s/2udGRg8nBiQAMiNILc1bNcwB7kNyG2ImFy8H0TXTZxrlwNkSIM4SOEC4vYsrgOrCXl5yTYfyADhuypyBxgaNMzXyFSB1bgeswXTky5q29sAGUJA/K7mPVCfhnn/oaVgueZ/+WBa3XjTPlGomx4YKgHVaJrrJAqC7Vi/tQ6sRiv2rK0v0GORYE8CAA==
1021022	Y2ZgYGBngABGKF1VIsg6pWiFXb5Ys1XDq3abJG2Fw/+hAKqEgQlKp6gJsl75e8oepHZxt7fD//9sGGqZoXSJryBrw3JRsLlL7oTZ9+pqYKhlgdL3zIVYH1a5HACp5bru7MDKu/0QulpWKH0EaO6tGyVgN9w4w2PPpy6AYS4blF4D9FvsU88DDUC1vm4uDhtOX8QwFxYem2YLsn5VX29Xactl1xCdvJv9ma4TLIxA9JrL3PuyW43s9e7rH7jAd8x+1v+1zgwMHk4MSADkRg8XjgMMDRrmCn+X7QVyG9ZnmtuDaOYZRvaxQIYQiAMMlwZzTXNQuIC4PYvr9oPokJeXbPOhZoH8CFID8iNILmJyMVhN3cS5djlAhjQo3ER27wfZ1ZAnAbar+V8+WK2K8aZ9llA1DwyVgPo0zXUSBcH612+tA6vRij1r6wv0mC/YkwA=
1021023	Y2ZgYOBigABGKF1VIsg6pWiFXb5Ys1XDq3abJG2Fw/+hAKqEgQlKp6gJsl75e8oepHZxt7fD//9sGGqZoXSJryBrw3JRsLlL7oTZ9+pqYKhlgdL3zIVYH1a5HACp5bru7MDKu/0QulpWKH0EaO6tGyVgN9w4w2PPpy6AYS4blF4D9FvsU88DDUC1vm4uDhtOX8Qwlx1Kb5otyPpi20q7SlsuOwn75j3Cjh+cYGEEozmg9JJDgqzXFxvsB7nh+uIN+03+qzujm8sJpQMEhVgLj3OB/RZ2zccem1pYnMwCmruu0/3At0tn7aYss3fIeKzuDPMLyA0OMt/27ripZW+4yfRA4IF5dt+M1jkzMHg4MSABUDhdVDI+wNCgYc6xpsceyG3gnOMLpg83S9ifBjJsQBxg3DRs1zAHxQ2I27O4bj+IDnl5yTYfyJgLjHT9u0/2g8x5vHQ1WM13uyqwGv3H4XYgc1YA1YDiAmQOKC5AchGTi8Fq6ibOtcsBMg4D1TwwVAKbo5MoCJazUqoHq50bvsLWF+gxX3AAAwA=
1021024	Y2ZgYOBigABGKF1VIsg6pWiFXb5Ys1XDq3abJG2Fw/+hAKqEgQlKp6gJsl75e8oepHZxt7fD//9sGGqZoXSJryBrw3JRsLlL7oTZ9+pqYKhlgdL3zIVYH1a5HACp5bru7MDKu/0QulpWKH0EaO6tGyVgN9w4w2PPpy6AYS4blF4D9FvsU88DDUC1vm4uDhtOX8Qwlx1Kb5otyPpi20q7SlsuOwn75j3Cjh+cYGEEozmg9JJDgqxPLyjtB7kh4emG/Sb/1Z3RzeWE0gGCQqwBT1nAfvsw764dNrWwOJkFNHddp/uBb5fO2k1ZZu+Q8VjdGeYXkBv8ZJj3LRXTsq9da3Rg08oFdlLx65wZGDycGJAAKJweL9U+wNCgYV5o62UP5DYonw0G0+dP8dufBjJSgRGalvZsP0hNcUYjWM6sp2w/iOa60WkHUtMKVONX02IHUhPccROs5s/mIjAdd3eRHSjcREGcVan2IDUB7YfBcluqHcDmBB/XsDeDqjngoAi2a3OwIFhuw9Y6sNp3MWdtfYEe8wUHMAA=
1021031	Y2aAAKEDgfYhd3XsbSIKDsw7udX+5w4xRwYGDycGJMAKxNcXP7BnYNAwN407tR/Ibdi8pwxMe1d32HkxMjCkMjEwzJrJ6QBS/7CK5QBILtgtC6zGOPOcnTSQMRWoJsJyij1Dg4a5x8NVYLnY+HowHeXXbxsANGcpUI3iBiF7kDlM2suh+utB/IaEW122EkDGMaCad0d87EBqIqJZwXZVuleA1TBOr7QTAjIeMIFkAQ==
1021041	Y2aAAKEDgfYhd3XsbSIKDsw5udX+5w4xRwYGDycGJMAKxNcXP7BnYNAwN407tR/Ibdi8pwxMe1d32LkxMjCA8KyZnA4g9Q+rWA6A5ILdssBqjDPPwdV8ujTXnqFBw9zj4SqwXPH7ejBdKLXDBqZGcYOQPcgcJu3lUP31IH5Dwq0uW5iad0d87EBqIqJZwXZVuleA1TBOr4TbxcAAAA==
1021042	Y2aAAKEDgfYhd3XsbSIKDsw5udX+5w4xRwYGDycGJMAKxNcXP7BnYNAwN407tR/Ibdi8pwxMe1d32AUzMjCA8KyZnA4g9TvkWA+A5ILdssBqjDPPwdXIRk2xZ2jQMPd4uAostzyjBkxfeaUFV6O4QcgeZA6T9nKo/noQvyHhVpctTM27Iz52IDUR0RC7Kt0rwGoYp1fCzWFgAAA=
1021043	Y2aAAKEDgfYhd3XsbSIKDsw5udX+5w4xRwYGDycGJMAKxNcXP7BnYNAwN407tR/Ibdi8pwxMe1d32IUxMjCA8KyZnA4g9TvkWA+A5ILdssBqjDPPwdXIRk2xZ2jQMPd4uAostzyjBkxfeaUFV6O4QcgeZA6T9nKo/noQvyHhVpctTM27Iz52IDUR0RC7Kt0rwGoYp1fCzWFgAAA=
1021044	Y2ZgYGBigABGKD3rkCCr/l0V+3yxZqvLvlIHMqZoHf4PBVAlcD1LgGp3yB0Fq73vz4uh9nV7lP1pP3X7o5sKDnzdstf+zVxmRwYGDyeQHAvUDFYgvr74gT0Dg4a5adyp/UBuw+Y9ZWDau7rDzg3oMBCeNZPTAaR+hxzrAZBcsFsWWI1x5jm4GoGImfYMDRrmHg9XgeW+XK8D01cKD9nC1HTnsNuD/aC9HKq/HsRvSLjVBVfz7oiPHUhNRDTErkr3CrAaxumVcLsYGAA=
1021045	Y2ZgYGBigABGKD3rkCCr/l0V+3yxZqvLvlIHMqZoHf4PBVAlcD1LgGp3yB0Fq73vz4uh9nV7lP1pP3X7Y5sKDnzZstf+zVxmRwYGDyeQHAvUDFYgvr74gT0Dg4a5adyp/UBuw+Y9ZWDau7rDLhjoMBCeNZPTAaR+hxzrAZBcsFsWWI1x5jm4GtmoKfYMDRrmHg9XgeW+XK8D01cKD9nC1ChuELIH+0F7OVR/PYjfkHCrC67m3REfO5CaiGiIXZXuFWA1jNMr4XYxMAAA
1021046	Y2ZgYGBigABGKD3rkCCr/l0V+3yxZqvLvlIHMqZoHf4PBVAlcD1LgGp3yB0Fq73vz4uh9nV7lP1pP3X7Y5sKDnzestf+zVxmRwYGDyeQHAvUDFYgvr74gT0Dg4a5adyp/UBuw+Y9ZWDau7rDLgzoMBCeNZPTAaR+hxzrAZBcsFsWWI1x5jm4GtmoKfYMDRrmHg9XgeW+XK8D01cKD9nC1ChuELIH+0F7OVR/PYjfkHCrC67m3REfO5CaiGiIXZXuFWA1jNMr4XYxMAAA
1021051	Y2aAAEm7/wcMzxY6xHZes/c7vMnZ5/cWRwYGDyeQHCMDMgAA
1021061	Y2aAgK3PhA+cUuS1j12QcSD0u5T91JuhjgwMHk4gOUaoGlYgXqO1fz9Dg4b5F+dndkBuw2qZD7Ygms2mzr4Iqu7phUlgNT+CF+8DyeVc/gNWs5mrzt4SqmbffCmwmqcXHoHV1H5w2AuiHbfX2xtA1Zw9c8YWpOZh1RSwGkaHt2A1R90Qdh1VWAA2R5JF7gBITl24YD+IPnt4o503yC1MIFUA
1031011	Y2aAgF232R0n2FQ6xE/Rcrj4er3zub52ZwYGDyeQHCMDMgAA
1031021	Y2ZgYOBigABGKB2lJsh6s8f2AINYs9UB/f69JgGbnP5DAVQJAxOUzvIVZE35rwNW2/SVzyFTfi2GWmYova1EkPXc5An2ILXTzmyzv7BiyyF0tSxQugRobm22Jthcpmln7bv3bsAwlxVKVwHNZfjOAFa7TdjI4cyHJRhq2aD0rEOCrJs9/+z/8L/yyIK9Rg6NfcFOMHNg/meH0uuAaqvKJ9qD1F78st3+UYiPEzOaWg4ofcpciFWsvwHsty0FJvtv9P46gO4GTijdB3TviaXnwGrrBE7ZbzR9tR9dLSxOlgDdoOB2AeyGOy6n7WPu9+yHmQNyA9u6O/ZubyXst9zqdmC/tNlZ+W6QMwODhxMDEgD57+wZnv0MDBrmd1X4HIDcBu17j/aC6JU5dfvlgIxUYIQe/toBViOyTh2sps1Haz+I3qRsv18ayGgFqjHk0LEHmbniWDeIbvjk9s4ORJdNS7KHhZuUgDpYTVOPCtic0E09+0D0P5Wy/VxQvxly7AGr4bruDDbHr6UEbI7hjIr9QiDzwQkMAA==
