id	type	rarity	sort_id	gear_text_id	description_text_id	size	layout_size	color	category	sub_category	layout_category	layout_sub_category	stack_type	stack_capacity	relation_category	relation_sub_category	cost	max_quantity	prefab_name	icon_resource_id	is_small	is_ground	is_hand	is_special	default_angle	default_scale	sound_type	camera_type	book_growth_reward_group_id
85010224	1	2	1	10041	20041	2	4	4	1	1	1	1	1				15	99	85010224	23010224		1			15	1.0			112
85010225	1	2	1	10042	20042	2	4	5	1	1	1	1	1				15	99	85010225	23010225		1			15	1.0			112
85010226	1	2	1	10043	20043	2	4	6	1	1	1	1	1				15	99	85010226	23010226		1			15	1.0			112
85010227	1	2	1	10044	20044	2	4	7	1	1	1	1	1				15	99	85010227	23010227		1			15	1.0			112
85010228	1	2	1	10045	20045	2	4	9	1	1	1	1	1				15	99	85010228	23010228		1			15	1.0			112
85010229	1	2	1	10046	20046	2	4	8	1	1	1	1	1				15	99	85010229	23010229		1			15	1.0			112
85010230	1	1	1	10047	20047	1	4	10	1	1	1	1	1				15	99	85010230	23010230		1			15	1.0		13	111
85010231	1	1	1	10048	20048	1	4	1	1	1	1	1	1				15	99	85010231	23010231		1			15	1.0		13	111
85010232	1	1	1	10049	20049	1	4	2	1	1	1	1	1				15	99	85010232	23010232		1			15	1.0		13	111
85010233	1	1	1	10050	20050	1	4	3	1	1	1	1	1				15	99	85010233	23010233		1			15	1.0		13	111
85010234	1	1	1	10051	20051	1	4	4	1	1	1	1	1				15	99	85010234	23010234		1			15	1.0		13	111
85010235	1	1	1	10052	20052	1	4	5	1	1	1	1	1				15	99	85010235	23010235		1			15	1.0		13	111
85010236	1	1	1	10053	20053	1	4	6	1	1	1	1	1				15	99	85010236	23010236		1			15	1.0		13	111
85010237	1	1	1	10054	20054	1	4	7	1	1	1	1	1				15	99	85010237	23010237		1			15	1.0		13	111
85010238	1	1	1	10055	20055	1	4	9	1	1	1	1	1				15	99	85010238	23010238		1			15	1.0		13	111
85010239	1	1	1	10056	20056	1	4	8	1	1	1	1	1				15	99	85010239	23010239		1			15	1.0		13	111
85010240	1	2	1	10057	20057	1	4	2	1	1	1	1	1				15	99	85010240	23010240		1			15	1.0		34	112
85010241	1	2	1	10058	20058	1	4	1	1	1	1	1	1				15	99	85010241	23010241		1			15	1.0		34	112
85010242	1	2	1	10059	20059	1	4	2	1	1	1	1	1				15	99	85010242	23010242		1			15	1.0		34	112
85010243	1	2	1	10060	20060	1	4	3	1	1	1	1	1				15	99	85010243	23010243		1			15	1.0		34	112
85010244	1	2	1	10061	20061	1	4	4	1	1	1	1	1				15	99	85010244	23010244		1			15	1.0		34	112
85010245	1	2	1	10062	20062	1	4	5	1	1	1	1	1				15	99	85010245	23010245		1			15	1.0		34	112
85010246	1	2	1	10063	20063	1	4	6	1	1	1	1	1				15	99	85010246	23010246		1			15	1.0		34	112
85010247	1	2	1	10064	20064	1	4	7	1	1	1	1	1				15	99	85010247	23010247		1			15	1.0		34	112
85010248	1	2	1	10065	20065	1	4	9	1	1	1	1	1				15	99	85010248	23010248		1			15	1.0		34	112
85010249	1	2	1	10066	20066	1	4	8	1	1	1	1	1				15	99	85010249	23010249		1			15	1.0		34	112
85010250	1	1	1	10067	20067	3	5	10	1	1	1	2	2				20	99	85010250	23010250		1			15	1.0		15	111
85010251	1	1	1	10068	20068	3	5	1	1	1	1	2	2				20	99	85010251	23010251		1			15	1.0		15	111
85010252	1	1	1	10069	20069	3	5	2	1	1	1	2	2				20	99	85010252	23010252		1			15	1.0		15	111
85010253	1	1	1	10070	20070	3	5	3	1	1	1	2	2				20	99	85010253	23010253		1			15	1.0		15	111
85010254	1	1	1	10071	20071	3	5	4	1	1	1	2	2				20	99	85010254	23010254		1			15	1.0		15	111
85010255	1	1	1	10072	20072	3	5	5	1	1	1	2	2				20	99	85010255	23010255		1			15	1.0		15	111
85010256	1	1	1	10073	20073	3	5	6	1	1	1	2	2				20	99	85010256	23010256		1			15	1.0		15	111
85010257	1	1	1	10074	20074	3	5	7	1	1	1	2	2				20	99	85010257	23010257		1			15	1.0		15	111
85010258	1	1	1	10075	20075	3	5	9	1	1	1	2	2				20	99	85010258	23010258		1			15	1.0		15	111
85010259	1	1	1	10076	20076	3	5	8	1	1	1	2	2				20	99	85010259	23010259		1			15	1.0		15	111
85010260	1	1	1	10077	20077	1	4	4	1	1	1	1	1				15	99	85010260	23010260		1			15	1.0		35	111
85010261	1	1	1	10078	20078	1	4	1	1	1	1	1	1				15	99	85010261	23010261		1			15	1.0		35	111
85010262	1	1	1	10079	20079	1	4	2	1	1	1	1	1				15	99	85010262	23010262		1			15	1.0		35	111
85010263	1	1	1	10080	20080	1	4	3	1	1	1	1	1				15	99	85010263	23010263		1			15	1.0		35	111
85010264	1	1	1	10081	20081	1	4	4	1	1	1	1	1				15	99	85010264	23010264		1			15	1.0		35	111
85010265	1	1	1	10082	20082	1	4	5	1	1	1	1	1				15	99	85010265	23010265		1			15	1.0		35	111
85010266	1	1	1	10083	20083	1	4	6	1	1	1	1	1				15	99	85010266	23010266		1			15	1.0		35	111
85010267	1	1	1	10084	20084	1	4	7	1	1	1	1	1				15	99	85010267	23010267		1			15	1.0		35	111
85010268	1	1	1	10085	20085	1	4	9	1	1	1	1	1				15	99	85010268	23010268		1			15	1.0		35	111
85010269	1	1	1	10086	20086	1	4	8	1	1	1	1	1				15	99	85010269	23010269		1			15	1.0		35	111
85010270	1	3	1	10087	20087	2	4	9	1	1	1	1	1				15	99	85010270	23010270		1			15	1.0			113
85010271	1	3	1	10088	20088	2	4	1	1	1	1	1	1				15	99	85010271	23010271		1			15	1.0			113
85010272	1	3	1	10089	20089	2	4	2	1	1	1	1	1				15	99	85010272	23010272		1			15	1.0			113
85010273	1	3	1	10090	20090	2	4	3	1	1	1	1	1				15	99	85010273	23010273		1			15	1.0			113
85010274	1	3	1	10091	20091	2	4	4	1	1	1	1	1				15	99	85010274	23010274		1			15	1.0			113
85010275	1	3	1	10092	20092	2	4	5	1	1	1	1	1				15	99	85010275	23010275		1			15	1.0			113
85010276	1	3	1	10093	20093	2	4	6	1	1	1	1	1				15	99	85010276	23010276		1			15	1.0			113
85010277	1	3	1	10094	20094	2	4	7	1	1	1	1	1				15	99	85010277	23010277		1			15	1.0			113
85010278	1	3	1	10095	20095	2	4	9	1	1	1	1	1				15	99	85010278	23010278		1			15	1.0			113
85010279	1	3	1	10096	20096	2	4	8	1	1	1	1	1				15	99	85010279	23010279		1			15	1.0			113
85010280	1	2	1	10097	20097	2	4	9	1	1	1	1	1				15	99	85010280	23010280		1			15	1.0		16	112
85010281	1	2	1	10098	20098	2	4	1	1	1	1	1	1				15	99	85010281	23010281		1			15	1.0		16	112
85010282	1	2	1	10099	20099	2	4	2	1	1	1	1	1				15	99	85010282	23010282		1			15	1.0		16	112
85010283	1	2	1	10100	20100	2	4	3	1	1	1	1	1				15	99	85010283	23010283		1			15	1.0		16	112
85010284	1	2	1	10101	20101	2	4	4	1	1	1	1	1				15	99	85010284	23010284		1			15	1.0		16	112
85010285	1	2	1	10102	20102	2	4	5	1	1	1	1	1				15	99	85010285	23010285		1			15	1.0		16	112
85010286	1	2	1	10103	20103	2	4	6	1	1	1	1	1				15	99	85010286	23010286		1			15	1.0		16	112
85010287	1	2	1	10104	20104	2	4	7	1	1	1	1	1				15	99	85010287	23010287		1			15	1.0		16	112
85010288	1	2	1	10105	20105	2	4	9	1	1	1	1	1				15	99	85010288	23010288		1			15	1.0		16	112
85010289	1	2	1	10106	20106	2	4	8	1	1	1	1	1				15	99	85010289	23010289		1			15	1.0		16	112
85010290	1	2	1	10107	20107	2	4	10	1	1	1	1	1				15	99	85010290	23010290		1			15	1.0			112
85010291	1	2	1	10108	20108	2	4	1	1	1	1	1	1				15	99	85010291	23010291		1			15	1.0			112
85010292	1	2	1	10109	20109	2	4	2	1	1	1	1	1				15	99	85010292	23010292		1			15	1.0			112
85010293	1	2	1	10110	20110	2	4	3	1	1	1	1	1				15	99	85010293	23010293		1			15	1.0			112
85010294	1	2	1	10111	20111	2	4	4	1	1	1	1	1				15	99	85010294	23010294		1			15	1.0			112
85010295	1	2	1	10112	20112	2	4	5	1	1	1	1	1				15	99	85010295	23010295		1			15	1.0			112
85010296	1	2	1	10113	20113	2	4	6	1	1	1	1	1				15	99	85010296	23010296		1			15	1.0			112
85010297	1	2	1	10114	20114	2	4	7	1	1	1	1	1				15	99	85010297	23010297		1			15	1.0			112
85010298	1	2	1	10115	20115	2	4	9	1	1	1	1	1				15	99	85010298	23010298		1			15	1.0			112
85010299	1	2	1	10116	20116	2	4	8	1	1	1	1	1				15	99	85010299	23010299		1			15	1.0			112
85010300	1	2	1	10117	20117	1	4	10	1	1	1	1	1				15	99	85010300	23010300		1			15	1.0			112
85010301	1	2	1	10118	20118	1	4	1	1	1	1	1	1				15	99	85010301	23010301		1			15	1.0			112
85010302	1	2	1	10119	20119	1	4	2	1	1	1	1	1				15	99	85010302	23010302		1			15	1.0			112
85010303	1	2	1	10120	20120	1	4	3	1	1	1	1	1				15	99	85010303	23010303		1			15	1.0			112
85010304	1	2	1	10121	20121	1	4	4	1	1	1	1	1				15	99	85010304	23010304		1			15	1.0			112
85010305	1	2	1	10122	20122	1	4	5	1	1	1	1	1				15	99	85010305	23010305		1			15	1.0			112
85010306	1	2	1	10123	20123	1	4	6	1	1	1	1	1				15	99	85010306	23010306		1			15	1.0			112
85010307	1	2	1	10124	20124	1	4	7	1	1	1	1	1				15	99	85010307	23010307		1			15	1.0			112
85010308	1	2	1	10125	20125	1	4	9	1	1	1	1	1				15	99	85010308	23010308		1			15	1.0			112
85010309	1	2	1	10126	20126	1	4	8	1	1	1	1	1				15	99	85010309	23010309		1			15	1.0			112
85010310	1	1	1	10127	20127	2	5	10	1	1	1	2	2				20	99	85010310	23010310		1			15	1.0		17	111
85010311	1	1	1	10128	20128	2	5	1	1	1	1	2	2				20	99	85010311	23010311		1			15	1.0		17	111
85010312	1	1	1	10129	20129	2	5	2	1	1	1	2	2				20	99	85010312	23010312		1			15	1.0		17	111
85010313	1	1	1	10130	20130	2	5	3	1	1	1	2	2				20	99	85010313	23010313		1			15	1.0		17	111
85010314	1	1	1	10131	20131	2	5	4	1	1	1	2	2				20	99	85010314	23010314		1			15	1.0		17	111
85010315	1	1	1	10132	20132	2	5	5	1	1	1	2	2				20	99	85010315	23010315		1			15	1.0		17	111
85010316	1	1	1	10133	20133	2	5	6	1	1	1	2	2				20	99	85010316	23010316		1			15	1.0		17	111
85010317	1	1	1	10134	20134	2	5	7	1	1	1	2	2				20	99	85010317	23010317		1			15	1.0		17	111
85010318	1	1	1	10135	20135	2	5	9	1	1	1	2	2				20	99	85010318	23010318		1			15	1.0		17	111
85010319	1	1	1	10136	20136	2	5	8	1	1	1	2	2				20	99	85010319	23010319		1			15	1.0		17	111
85010320	1	2	1	10137	20137	2	5	10	1	1	1	2	2				20	99	85010320	23010320		1			15	1.0		18	112
85010321	1	2	1	10138	20138	2	5	1	1	1	1	2	2				20	99	85010321	23010321		1			15	1.0		18	112
85010322	1	2	1	10139	20139	2	5	2	1	1	1	2	2				20	99	85010322	23010322		1			15	1.0		18	112
85010323	1	2	1	10140	20140	2	5	3	1	1	1	2	2				20	99	85010323	23010323		1			15	1.0		18	112
85010324	1	2	1	10141	20141	2	5	4	1	1	1	2	2				20	99	85010324	23010324		1			15	1.0		18	112
85010325	1	2	1	10142	20142	2	5	5	1	1	1	2	2				20	99	85010325	23010325		1			15	1.0		18	112
85010326	1	2	1	10143	20143	2	5	6	1	1	1	2	2				20	99	85010326	23010326		1			15	1.0		18	112
85010327	1	2	1	10144	20144	2	5	7	1	1	1	2	2				20	99	85010327	23010327		1			15	1.0		18	112
85010328	1	2	1	10145	20145	2	5	9	1	1	1	2	2				20	99	85010328	23010328		1			15	1.0		18	112
85010329	1	2	1	10146	20146	2	5	8	1	1	1	2	2				20	99	85010329	23010329		1			15	1.0		18	112
85010330	1	2	1	10147	20147	2	5	10	1	1	1	2	2				20	99	85010330	23010330		1			15	1.0		19	112
85010331	1	2	1	10148	20148	2	5	1	1	1	1	2	2				20	99	85010331	23010331		1			15	1.0		19	112
85010332	1	2	1	10149	20149	2	5	2	1	1	1	2	2				20	99	85010332	23010332		1			15	1.0		19	112
85010333	1	2	1	10150	20150	2	5	3	1	1	1	2	2				20	99	85010333	23010333		1			15	1.0		19	112
85010334	1	2	1	10151	20151	2	5	4	1	1	1	2	2				20	99	85010334	23010334		1			15	1.0		19	112
85010335	1	2	1	10152	20152	2	5	5	1	1	1	2	2				20	99	85010335	23010335		1			15	1.0		19	112
85010336	1	2	1	10153	20153	2	5	6	1	1	1	2	2				20	99	85010336	23010336		1			15	1.0		19	112
85010337	1	2	1	10154	20154	2	5	7	1	1	1	2	2				20	99	85010337	23010337		1			15	1.0		19	112
85010338	1	2	1	10155	20155	2	5	9	1	1	1	2	2				20	99	85010338	23010338		1			15	1.0		19	112
85010339	1	2	1	10156	20156	2	5	8	1	1	1	2	2				20	99	85010339	23010339		1			15	1.0		19	112
85010340	1	2	1	10157	20157	3	5	10	1	1	1	2	2				20	99	85010340	23010340		1			15	1.0		20	112
85010341	1	2	1	10158	20158	3	5	1	1	1	1	2	2				20	99	85010341	23010341		1			15	1.0		20	112
85010342	1	2	1	10159	20159	3	5	2	1	1	1	2	2				20	99	85010342	23010342		1			15	1.0		20	112
85010343	1	2	1	10160	20160	3	5	3	1	1	1	2	2				20	99	85010343	23010343		1			15	1.0		20	112
85010344	1	2	1	10161	20161	3	5	4	1	1	1	2	2				20	99	85010344	23010344		1			15	1.0		20	112
85010345	1	2	1	10162	20162	3	5	5	1	1	1	2	2				20	99	85010345	23010345		1			15	1.0		20	112
85010346	1	2	1	10163	20163	3	5	6	1	1	1	2	2				20	99	85010346	23010346		1			15	1.0		20	112
85010347	1	2	1	10164	20164	3	5	7	1	1	1	2	2				20	99	85010347	23010347		1			15	1.0		20	112
85010348	1	2	1	10165	20165	3	5	9	1	1	1	2	2				20	99	85010348	23010348		1			15	1.0		20	112
85010349	1	2	1	10166	20166	3	5	8	1	1	1	2	2				20	99	85010349	23010349		1			15	1.0		20	112
85010350	1	2	1	10167	20167	3	5	10	1	1	1	2	2				20	99	85010350	23010350		1			15	1.0		21	112
85010351	1	2	1	10168	20168	3	5	1	1	1	1	2	2				20	99	85010351	23010351		1			15	1.0		21	112
85010352	1	2	1	10169	20169	3	5	2	1	1	1	2	2				20	99	85010352	23010352		1			15	1.0		21	112
85010353	1	2	1	10170	20170	3	5	3	1	1	1	2	2				20	99	85010353	23010353		1			15	1.0		21	112
85010354	1	2	1	10171	20171	3	5	4	1	1	1	2	2				20	99	85010354	23010354		1			15	1.0		21	112
85010355	1	2	1	10172	20172	3	5	5	1	1	1	2	2				20	99	85010355	23010355		1			15	1.0		21	112
85010356	1	2	1	10173	20173	3	5	6	1	1	1	2	2				20	99	85010356	23010356		1			15	1.0		21	112
85010357	1	2	1	10174	20174	3	5	7	1	1	1	2	2				20	99	85010357	23010357		1			15	1.0		21	112
85010358	1	2	1	10175	20175	3	5	9	1	1	1	2	2				20	99	85010358	23010358		1			15	1.0		21	112
85010359	1	2	1	10176	20176	3	5	8	1	1	1	2	2				20	99	85010359	23010359		1			15	1.0		21	112
85010360	1	2	1	10177	20177	1	4	10	1	1	1	1	1				15	99	85010360	23010360		1			15	1.0		22	112
85010361	1	2	1	10178	20178	1	4	1	1	1	1	1	1				15	99	85010361	23010361		1			15	1.0		22	112
85010362	1	2	1	10179	20179	1	4	2	1	1	1	1	1				15	99	85010362	23010362		1			15	1.0		22	112
85010363	1	2	1	10180	20180	1	4	3	1	1	1	1	1				15	99	85010363	23010363		1			15	1.0		22	112
85010364	1	2	1	10181	20181	1	4	4	1	1	1	1	1				15	99	85010364	23010364		1			15	1.0		22	112
85010365	1	2	1	10182	20182	1	4	5	1	1	1	1	1				15	99	85010365	23010365		1			15	1.0		22	112
85010366	1	2	1	10183	20183	1	4	6	1	1	1	1	1				15	99	85010366	23010366		1			15	1.0		22	112
85010367	1	2	1	10184	20184	1	4	7	1	1	1	1	1				15	99	85010367	23010367		1			15	1.0		22	112
85010368	1	2	1	10185	20185	1	4	9	1	1	1	1	1				15	99	85010368	23010368		1			15	1.0		22	112
85010369	1	2	1	10186	20186	1	4	8	1	1	1	1	1				15	99	85010369	23010369		1			15	1.0		22	112
85010370	1	2	1	10187	20187	3	5	3	1	1	1	2	2				20	99	85010370	23010370		1			15	1.0		23	112
85010371	1	2	1	10188	20188	3	5	1	1	1	1	2	2				20	99	85010371	23010371		1			15	1.0		23	112
85010372	1	2	1	10189	20189	3	5	2	1	1	1	2	2				20	99	85010372	23010372		1			15	1.0		23	112
85010373	1	2	1	10190	20190	3	5	3	1	1	1	2	2				20	99	85010373	23010373		1			15	1.0		23	112
85010374	1	2	1	10191	20191	3	5	4	1	1	1	2	2				20	99	85010374	23010374		1			15	1.0		23	112
85010375	1	2	1	10192	20192	3	5	5	1	1	1	2	2				20	99	85010375	23010375		1			15	1.0		23	112
85010376	1	2	1	10193	20193	3	5	6	1	1	1	2	2				20	99	85010376	23010376		1			15	1.0		23	112
85010377	1	2	1	10194	20194	3	5	7	1	1	1	2	2				20	99	85010377	23010377		1			15	1.0		23	112
85010378	1	2	1	10195	20195	3	5	9	1	1	1	2	2				20	99	85010378	23010378		1			15	1.0		23	112
85010379	1	2	1	10196	20196	3	5	8	1	1	1	2	2				20	99	85010379	23010379		1			15	1.0		23	112
85010380	1	3	1	10197	20197	2	4	3	1	1	1	1	1				15	99	85010380	23010380		1			15	1.0		24	113
85010381	1	3	1	10198	20198	2	4	1	1	1	1	1	1				15	99	85010381	23010381		1			15	1.0		24	113
85010382	1	3	1	10199	20199	2	4	2	1	1	1	1	1				15	99	85010382	23010382		1			15	1.0		24	113
85010383	1	3	1	10200	20200	2	4	3	1	1	1	1	1				15	99	85010383	23010383		1			15	1.0		24	113
85010384	1	3	1	10201	20201	2	4	4	1	1	1	1	1				15	99	85010384	23010384		1			15	1.0		24	113
85010385	1	3	1	10202	20202	2	4	5	1	1	1	1	1				15	99	85010385	23010385		1			15	1.0		24	113
85010386	1	3	1	10203	20203	2	4	6	1	1	1	1	1				15	99	85010386	23010386		1			15	1.0		24	113
85010387	1	3	1	10204	20204	2	4	7	1	1	1	1	1				15	99	85010387	23010387		1			15	1.0		24	113
85010388	1	3	1	10205	20205	2	4	9	1	1	1	1	1				15	99	85010388	23010388		1			15	1.0		24	113
85010389	1	3	1	10206	20206	2	4	8	1	1	1	1	1				15	99	85010389	23010389		1			15	1.0		24	113
85010390	1	3	1	10207	20207	2	4	3	1	1	1	1	2				15	99	85010390	23010390		1			15	1.0			113
85010391	1	3	1	10208	20208	2	4	1	1	1	1	1	2				15	99	85010391	23010391		1			15	1.0			113
85010392	1	3	1	10209	20209	2	4	2	1	1	1	1	2				15	99	85010392	23010392		1			15	1.0			113
85010393	1	3	1	10210	20210	2	4	3	1	1	1	1	2				15	99	85010393	23010393		1			15	1.0			113
85010394	1	3	1	10211	20211	2	4	4	1	1	1	1	2				15	99	85010394	23010394		1			15	1.0			113
85010395	1	3	1	10212	20212	2	4	5	1	1	1	1	2				15	99	85010395	23010395		1			15	1.0			113
85010396	1	3	1	10213	20213	2	4	6	1	1	1	1	2				15	99	85010396	23010396		1			15	1.0			113
85010397	1	3	1	10214	20214	2	4	7	1	1	1	1	2				15	99	85010397	23010397		1			15	1.0			113
85010398	1	3	1	10215	20215	2	4	9	1	1	1	1	2				15	99	85010398	23010398		1			15	1.0			113
85010399	1	3	1	10216	20216	2	4	8	1	1	1	1	2				15	99	85010399	23010399		1			15	1.0			113
85010400	1	2	1	10217	20217	2	4	10	1	1	1	1	1				15	99	85010400	23010400		1			15	1.0			112
85010401	1	2	1	10218	20218	2	4	1	1	1	1	1	1				15	99	85010401	23010401		1			15	1.0			112
85010402	1	2	1	10219	20219	2	4	2	1	1	1	1	1				15	99	85010402	23010402		1			15	1.0			112
85010403	1	2	1	10220	20220	2	4	3	1	1	1	1	1				15	99	85010403	23010403		1			15	1.0			112
85010404	1	2	1	10221	20221	2	4	4	1	1	1	1	1				15	99	85010404	23010404		1			15	1.0			112
85010405	1	2	1	10222	20222	2	4	5	1	1	1	1	1				15	99	85010405	23010405		1			15	1.0			112
85010406	1	2	1	10223	20223	2	4	6	1	1	1	1	1				15	99	85010406	23010406		1			15	1.0			112
85010407	1	2	1	10224	20224	2	4	7	1	1	1	1	1				15	99	85010407	23010407		1			15	1.0			112
85010408	1	2	1	10225	20225	2	4	9	1	1	1	1	1				15	99	85010408	23010408		1			15	1.0			112
85010409	1	2	1	10226	20226	2	4	8	1	1	1	1	1				15	99	85010409	23010409		1			15	1.0			112
85010410	1	1	1	10227	20227	2	4	10	1	1	1	1	1				15	99	85010410	23010410		1			15	1.0		25	111
85010411	1	1	1	10228	20228	2	4	1	1	1	1	1	1				15	99	85010411	23010411		1			15	1.0		25	111
85010412	1	1	1	10229	20229	2	4	2	1	1	1	1	1				15	99	85010412	23010412		1			15	1.0		25	111
85010413	1	1	1	10230	20230	2	4	3	1	1	1	1	1				15	99	85010413	23010413		1			15	1.0		25	111
85010414	1	1	1	10231	20231	2	4	4	1	1	1	1	1				15	99	85010414	23010414		1			15	1.0		25	111
85010415	1	1	1	10232	20232	2	4	5	1	1	1	1	1				15	99	85010415	23010415		1			15	1.0		25	111
85010416	1	1	1	10233	20233	2	4	6	1	1	1	1	1				15	99	85010416	23010416		1			15	1.0		25	111
85010417	1	1	1	10234	20234	2	4	7	1	1	1	1	1				15	99	85010417	23010417		1			15	1.0		25	111
85010418	1	1	1	10235	20235	2	4	9	1	1	1	1	1				15	99	85010418	23010418		1			15	1.0		25	111
85010419	1	1	1	10236	20236	2	4	8	1	1	1	1	1				15	99	85010419	23010419		1			15	1.0		25	111
85010420	1	1	1	10237	20237	2	4	10	1	1	1	1	1				15	99	85010420	23010420		1			15	1.0		26	111
85010421	1	1	1	10238	20238	2	4	1	1	1	1	1	1				15	99	85010421	23010421		1			15	1.0		26	111
85010422	1	1	1	10239	20239	2	4	2	1	1	1	1	1				15	99	85010422	23010422		1			15	1.0		26	111
85010423	1	1	1	10240	20240	2	4	3	1	1	1	1	1				15	99	85010423	23010423		1			15	1.0		26	111
85010424	1	1	1	10241	20241	2	4	4	1	1	1	1	1				15	99	85010424	23010424		1			15	1.0		26	111
85010425	1	1	1	10242	20242	2	4	5	1	1	1	1	1				15	99	85010425	23010425		1			15	1.0		26	111
85010426	1	1	1	10243	20243	2	4	6	1	1	1	1	1				15	99	85010426	23010426		1			15	1.0		26	111
85010427	1	1	1	10244	20244	2	4	7	1	1	1	1	1				15	99	85010427	23010427		1			15	1.0		26	111
85010428	1	1	1	10245	20245	2	4	9	1	1	1	1	1				15	99	85010428	23010428		1			15	1.0		26	111
85010429	1	1	1	10246	20246	2	4	8	1	1	1	1	1				15	99	85010429	23010429		1			15	1.0		26	111
