id	ios	android	pc	coin
3000200	b1492aa569	f18af0a817	9bd5ea897d	200
3000250	6a6a291acc	f15c2678fe	bff1676c9a	250
3000300	9215582074	d9fb93bc73	82f1a33b0c	300
3000350	d7dd8a544c	df86798bb8	04bd73aed5	350
3000400	f4ec79e8e2	0708f47a13	5762172f69	400
3000450	c9aac403a2	7537a4c720	6c2b1a6447	450
3000500	a1939f021e	23d460851d	b5e950cc36	500
3000550	f86e161f44	95d64e8585	52df6722f1	550
3000600	1e4087cc20	1f8050ebc1	5b5ee8adf3	600
3000650	285f37bd9f	c7da92869f	f17c8c4fc9	650
3000700	f474b7f16b	a0b6abc8a0	c458bf4021	700
3000750	3a0c14add8	48040b8671	a63abb7a5a	750
3000800	d938246df8	f4073b75c4	92fd460b72	800
3000850	8cd4920681	6cfd7457ea	5f8fc34cf3	850
3000900	33e792c949	6fc7eb88c1	c329f9d61e	900
3000950	968f9273ea	d7f309f6e1	f0793b6271	950
3001000	7345be1ae4	7598c66004	d8539a610d	1000
4100010	4e12c70f4b	a7a8fda896	60b84fb5f7	10
4100020	cde0cec065	9fdfafd0e4	77665d5ed8	20
4100030	438ef1350f	165dc5b47d	4091915fbc	30
4100040	c0416cc989	9a5f7db17e	1e106eec80	40
4100050	84d8bbd4c2	987aa80bca	9ca5de73ca	50
4100060	8e3b7df0d7	f997b58ab9	6cdc67cff9	60
4100070	08ad52571d	a43679a1af	6c03be28e0	70
4100080	a6a67317ae	cae42a5d42	3b582de8da	80
4100090	29f83a7179	d82fd03980	02c69aaa53	90
4100100	2dd73636df	c0e6384f23	b1318d93d9	100
4100150	f3e7d18939	d06ff0a38e	32cd46a3b7	150
4100200	e8acfa167c	2efc92d032	ff0a704141	200
4100250	39338c3016	060f455135	d8e817efc0	250
4100300	335554c6a9	c0758e0bed	5dfaa20293	300
4100350	0900304803	812c8dd4fe	e15a6a4837	350
4100400	0f7153b24f	f396831c0c	71d0e94793	400
4100450	815a07361b	22651caa95	43ae49219c	450
4100500	b26ba6bb71	d0bdf317f7	9487becb58	500
4100550	e39c26d2f2	3804d8d062	b7ba76ed05	550
4100600	9fb4ee34df	1c762db3b8	8675d20f01	600
4100650	6e4934596b	e32fb8276e	b69695528a	650
4100700	29ecf256e6	02b4c2a2e5	93ce6f294c	700
4100750	9a69fc7f24	7844ac7cc3	0b8fcd1225	750
4100800	25bef5b729	afa94916af	e777c6ed2b	800
4100850	a9ccf1169d	153138c70d	f7e01629d7	850
4100900	389bbc6800	14733ab971	31689f8908	900
4100950	7eee055974	615f7b92ec	5493b5a846	950
4101000	1c585bc70c	0883fe9715	5c29e9ae52	1000
4200010	1fd14f618d	3f1b6b99c7	e59df38ba0	10
4200020	9801c93c07	446f2ea92d	9954dca15d	20
4200030	234bf393fe	d92fe43940	2e45126b8b	30
4200040	ff3bda6029	1e363c6413	572b90d15c	40
4200050	ef22500503	a9735b786f	5fb7c38908	50
4200060	797ed65a05	22ca1a982c	fe7fdf8d97	60
4200070	bf6670b1c0	d520b8fde5	645551f027	70
4200080	b9e17b04d0	512fcea14e	dd38e0f7e9	80
4200090	2fe4b60e41	ab0ee05bb4	4cac8b83a7	90
4200100	646ab9658b	d8924f8747	13016a134e	100
4200150	fa7e58dbc1	564b8ccafb	8d83a49ed5	150
4200200	513d0e77f1	c235b1ea29	7b452a73d9	200
4200250	df7e1dc90a	6cd8182e6f	a5f4bf0895	250
4200300	c41a079f1f	01d34507bb	16072424d2	300
4200350	25ea12c42b	c3f3826dab	6463c69509	350
4200400	00958e1768	fc459fe861	d824e1a07b	400
4200450	c49fb93845	b85e93668c	6b83226732	450
4200500	f790b76704	7acc8e30ef	8d1430f962	500
4200550	3decd33b51	7b674be341	7b7f286665	550
4200600	9010a06ef0	f116187bba	201a8dd733	600
4200650	b327872d73	d0ed43cff2	610517f6c4	650
4200700	a13a0a4b31	15b87dc945	cb44f04457	700
4200750	517bde8deb	9cdb1a4b32	6fe2706e14	750
4200800	d958f02992	cdb9d7adb3	cfc5813d1c	800
4200850	3b889fe0b8	0d02a2aa2d	5fc15bab5e	850
4200900	88806fe678	3d17fddf90	28ef6713d6	900
4200950	e03c06e09b	d703dfd2c2	341d942351	950
4201000	9278a5e386	37ed60e8ec	057f75f73c	1000
4300010	bf7ad80fe0	14da52c3ac	8463b26bea	10
4300020	7a432e60cf	7dc38523be	8a2f7efe7e	20
4300030	92a6e45442	7e2ca1836d	d13bd9dd79	30
4300040	6d77a46f2c	92487f0097	68d72da813	40
4300050	d7807d290e	34db5338ed	70c0dfe6eb	50
4300060	0a2d904768	b04bfb91da	3c2c0662f2	60
4300070	35ab7ad04e	17a5faf7a1	6779ec0aea	70
4300080	85ac4fe704	bd3cbc0baf	7753ed69c9	80
4300090	f44819f2b0	1025ef3ef7	91a5f18a5c	90
4300100	84bdeba5a6	6e8584061d	020a283e12	100
4300150	48ea12a890	20a30fd721	6914d9fe5d	150
4300200	50e498ad71	3e372ba904	ecf2c46cf6	200
4300250	7be6af8447	045cc9156f	afe29132ca	250
4300300	8eebb95b67	05c30962a0	f63bd89224	300
4300350	359b9a3f55	86e2700809	a478c562d1	350
4300400	11c49b7dfc	e374b87fb7	afe62858c4	400
4300450	91f4810c4c	8e9bb30d82	7f224cc689	450
4300500	da69a7ad53	06d4dc47a9	83418d9793	500
4300550	9e1b81299f	73b35f6456	018c9d2a3b	550
4300600	13f67d0277	5a2de1b47d	a7f655bb2d	600
4300650	a651c489cf	5af18f7098	3d57bbce71	650
4300700	968d888e95	f4a7951894	5ac80ae331	700
4300750	79da9fb5c9	31f8533ca3	fcae0fbd6a	750
4300800	307d7f93de	b8b53d004e	228d5561cd	800
4300850	8445c43da7	86e4a4a60d	832bbfc851	850
4300900	27390619e9	2083ddbce9	43d7bb5172	900
4300950	d4daf8527d	59efe49bbd	47591745df	950
4301000	acf3ce2641	470012c8a9	c90754ad9b	1000
4400010	1a3c7764ca	5ce222d02d	0fb9d95355	10
4400020	9d46f663c9	265acbf607	a24deed4df	20
4400030	04bde40577	f7152c0fae	431f87446c	30
4400040	e1b3bd45f0	8a7d97ca11	bb0b006f1b	40
4400050	225f2d8520	85450b31a9	965bf1c0f6	50
4400060	4e8d1c2a8a	85e8c98c9c	2b98759c44	60
4400070	4d830f8900	f0bf419c37	bf49b7d770	70
4400080	ba8963b537	4f1c55337e	95c83e8631	80
4400090	2738a43320	d11057e0fe	b188574b94	90
4400100	7443993268	0f3cae345d	886c383d2d	100
4400150	659489d2bb	fb566ac14a	cd587c80ae	150
4400200	3d97d55b33	ef8c532ee2	18aafe95ed	200
4400250	e89bfb2542	017853d9e9	c4465f20c9	250
4400300	2e5d06fd46	a11138415f	0e4b3bc314	300
4400350	b3cb646471	a50e235f09	0f19beef72	350
4400400	180b48cf45	7170f89e63	d5356d3b58	400
4400450	bd0051db42	f54956ed24	87e461ec3c	450
4400500	a3c0047aef	720385ed64	a6b201a89f	500
4400550	8b724296c6	48881e2c1d	351eada5b7	550
4400600	3d0458ef19	9a963528cc	dad0886027	600
4400650	56a74460d2	dd103a174f	0ef7e99623	650
4400700	f774701edf	e47ef2e8e7	5bda39aa06	700
4400750	fcea12a27d	188818fec9	8d13129dc0	750
4400800	1676ba4f25	a486a430bf	472dc96965	800
4400850	03300d308d	bf3aa269d4	73d88562c2	850
4400900	d74e8eb9fd	432fa48110	3e9df6fe78	900
4400950	d1590ee130	95cf84cd99	e31ea29781	950
4401000	97e63d3813	1444bd3110	74f8ca5c53	1000
5000001	c7cfaf2f2f	cf1f7c7be8	189c23fb02	100
5000100	3f7ede84d9	9c45070086	d8b6179499	100
7000010	c0599cf173	8e87d6b373	96c6291a94	10
7000020	5c656ffd2d	88317c49e2	5e81d8259e	20
7000030	de570c3d22	42e7fb8fe9	31117730cc	30
7000040	3181856cbf	ade7026e04	4dc2a439d8	40
7000050	d438f32c65	1195910252	3c577b7a2e	50
7000060	9a24c74333	50b9b8419e	b3f54fec19	60
7000070	72e6cbc9e3	a24bfa6568	55a6e60e10	70
7000080	1c6c0e4836	681e119333	cf9365c59b	80
7000090	69bdfeff17	9075323ebf	3149e2d1fd	90
7000100	33664a300f	b015a4f6ae	52317bcb8f	100
7000150	f2b88aab98	b72c0bdaef	653e56dbef	150
7000200	10f8ac39ec	6e3371706f	80c935e7e6	200
7000220	693a1ea8e8	4779e90f7d	d0c41e46d2	220
7000250	b3abea6311	267253e2f3	30ea22b322	250
7000260	d53fbb40be	5d049e8d68	5357769f56	260
7000300	8a36f83fd3	542de1ea25	da393ef77b	300
7000350	850f2f8dcb	4256bf52a3	0d422b3c9d	350
7000400	0d61b7d498	4d341d9236	9ca876ee0c	400
7000440	aed63a37cc	5cd780c71f	34be0f30d4	440
7000450	2a39c079d7	21bf462ad0	c6e82a3f3b	450
7000460	237930f2c1	0ea47f95ce	34ebd0965d	460
7000500	dcb7f1f632	601b94ef86	d8a83fa09b	500
7000550	1d2be7ca4c	031690529d	bdac4f2f98	550
7000600	0502b2601e	502ee90c57	4d63108c60	600
7000650	0dc82ee9be	79073d153f	7d875e400d	650
7000700	bb3bc70b20	d8599854d6	8ccbc0f426	700
7000750	0a3898e9c6	c871fd1a7f	43d62be06d	750
7000800	4c526f5cdc	9953b0e2d5	f52155acb6	800
7000820	6231584c55	43b1be400e	481e85703c	820
7000850	cfcaa0b577	f902516aae	4d0ceedeab	850
7000900	b71753ef75	fcb1517abd	f9fb5ff6bf	900
7000950	ae79feb3a3	9019cbe343	401681340e	950
7001000	f6b5d7f458	d60538d4e2	9b8452f973	1000
7001100	d5d6863125	25fc568913	d8aaeb8a0a	1100
7001200	04e2fd4c68	00b27dffc7	846a431bff	1200
7001300	35cc3b7dbf	31b70a6660	b670ddd416	1300
7001380	d43d47ff25	16632a0703	7b44ef4629	1380
7001400	ab8ce2414d	37993a2c69	474f2b5978	1400
7001500	25c05d48f1	48b394fb66	3908f8d95a	1500
7001600	012c334fe3	0f03ee0e31	ff06827b68	1600
7001640	dc1eb71285	bdd3d65990	10af137227	1640
7001700	8ce642905f	8b7585fd19	70211ed9e3	1700
7001800	79a2b2a5e7	65d9da4d8b	e5402861ff	1800
7001900	49cf996270	12815e1ff5	b8c800ab7b	1900
7002000	38f359018b	f6ec71158e	655f78df2d	2000
7002100	676ca2e332	1359d36da4	849906055b	2100
7002200	9eca207f75	867d1b6a2b	9783ea9810	2200
7002300	8c5b7336ef	a805957116	1367b3b437	2300
7002400	af579f2195	d921e9268f	4bd60e67ea	2400
7002500	6697e6aaaf	7cb7adc08a	26198cb4fb	2500
7002600	599d76e42b	ec09aea573	97003dc8c9	2600
7002700	e9769eb7af	2d68401639	bd5126c070	2700
7002760	35c58a273f	e872c67628	fc0be30328	2760
7002800	7cd30af32e	423f5bb4f8	3e0778b4d8	2800
7002900	1e2b90d089	8db60529fc	fad3374f17	2900
7003000	093191a07c	e800775d43	e9fa516fad	3000
7003500	f070b14496	cac5785735	241d5490ff	3500
7004000	ca02786f89	66a8487ac5	be4ba54818	4000
7004200	82ebf7cd65	eb812c7df9	a00ea0c0db	4200
7004500	1118f8dff1	a3250f716f	d91b360f3d	4500
7004600	f7f83bf3d5	550fd301da	d7fc6dea68	4600
7004800	8611b371cb	0e70faf2cc	d67c4ee236	4800
7004900	a454761749	67a17524a5	a9f24c3c00	4900
7005000	3583f05cbd	ae1a133ccc	c1da19fc02	5000
7005800	73b564011f	deed0e4d8a	095eea2285	5800
7006000	9ef7ac48cf	ee8e7a7c85	3984955942	6000
7007000	8a33280aef	72e875d2e3	dd39a4195d	7000
7008000	a134c63975	2d645cc92b	7539ed2a32	8000
7008400	76e795343e	6f531fa702	f3919bb30d	8400
7009000	794dbf05ab	ca8e38e581	4b7f2d3157	9000
7009800	82e547583f	985ca49c86	7df041778d	9800
7010000	37f18fad87	b5f4e01735	a63da15118	10000
7011600	5ee5589598	e430ab835e	520387c5be	11600
7100005	cb09427a43	865c0cecdc	b909aacba7	5
7100025	423971c965	5def63ceeb	142a202dcb	25
7100050	4e0733c7a5	e29b47e1d6	8112b9ed11	50
7100100	29e5c5e21b	8da9412947	61df40ea86	100
7100170	c70252fcff	dc01f5307c	e4f47b41c8	170
7100320	27ccbf5b9c	842d08bc2c	e31d0ec947	320
7100700	5b7bbd52e3	fbac4f289e	aa8918b279	700
7200010	adf940a736	da0af379f8	d8806dcffe	10
7200050	72da5eb07b	dd360e3fb5	cfc5bd0cc8	50
7200100	203f20219a	9b1dfb0759	7e5aea8b45	100
7200200	d19d7e12bb	5a0a83a60d	68dc97c69d	200
7200340	eaec0f046f	81f020ad57	bd605fd3ba	340
7200640	ea6d8a00b9	4ad3a62948	a707d12165	640
7201400	b9ddc8d640	554eb9304d	1a4ac3ffd4	1400
8000010	c84199d805	07eea7a736	b70d929a5b	10
8000020	dc466ec927	1c6b44b070	4617c84499	20
8000030	5ddb08038d	031a4f6191	fe2a6b55f7	30
8000040	d86236276d	cd92d53ae3	0a93697889	40
8000050	f1369990e0	1cacbce24c	1f30532317	50
8000060	92ddbccf13	4201d92ef7	dd71c19e8d	60
8000070	3c19dafe4f	1dfa2dc8f6	c637524e6c	70
8000080	02d34d1274	7f1041a727	d05087d1af	80
8000090	6b75294c35	8400699e87	ad4db91168	90
8000100	013a27cf5d	df65d5edb5	a5c097fc18	100
8000150	1e2e15c4ae	f33e61271c	87510d971f	150
8000200	20ac7f3d57	dc551b9c7a	969aacffd7	200
8000250	61c3d11287	c9fdef0001	33c1f18a47	250
8000260	35207db850	9913bd32ac	780eff5c63	260
8000300	b0ede86181	5a6a3c5ab3	36f6244066	300
8000350	79ed1a8d78	a0dd0207a7	6284d2d6d2	350
8000400	de8abeefd5	061553b6d6	6b5a6bb1df	400
8000450	cc0db453b2	7b7e234195	54462cd968	450
8000460	71cfe5424b	effb0d4985	c6509aa8ab	460
8000500	fd9e5b8da5	270f8d4f5c	b41aa694fa	500
8000550	b29e964d66	3de2a65652	f07f972979	550
8000600	50813977c8	e9c3327d81	bc560edf32	600
8000650	891e9c4c83	de56fe581b	916c1509f3	650
8000700	373fa3cc2c	b30e7c58f0	72e9c6ba13	700
8000750	3799369261	4b37934e69	193375a2ae	750
8000800	1f5de2e627	a24303355a	1b972a6546	800
8000850	64ef1a321b	900d50ccd3	2312e87efa	850
8000900	286b3ee8af	f2561c80e9	4e52dace05	900
8000950	fc02d7040d	8821b6a4df	13e39b38de	950
8001000	4638b8cd0a	06ac118590	c5e3929521	1000
8001100	b6b046e455	3f22aa956a	b63c2e5a67	1100
8001200	a413553cd8	07892079c5	d92175e809	1200
8001300	c8f1b894d1	6f2ed81225	3ea833e90e	1300
8001380	62e3836741	82505a5034	c191a32b01	1380
8001400	d1de31cda9	919ae5aa35	0be908dc02	1400
8001500	3e8b267b26	fcf5cfff51	4e73be174c	1500
8001600	e7f0bc35b7	666b1b8259	66f4571af4	1600
8001700	633cc8ddab	fa3b1d214b	9f7b620631	1700
8001800	31e902b48a	3f69bc7b73	429ec2e5bc	1800
8001900	0c93ddb151	72f64621ce	d44f4aea3b	1900
8002000	a848831ccc	35b18be4e2	a8d198ebf4	2000
8002100	e727538b47	927e80c24d	3a54ae90cc	2100
8002200	828928f7f1	37b85b8c71	22b0ef7e78	2200
8002300	436e7148a0	9101df2221	7a68b9ad30	2300
8002400	f700a85556	a6bbcd3098	ff2f247a35	2400
8002500	6fa94a65af	434ff9bb2d	bb3956fa63	2500
8002600	68a819e57b	f632ff2234	085a2a28d6	2600
8002700	b111a0a1f6	4fbb3dddc8	606e232fde	2700
8002760	c20f0f3db6	a92f51c41a	11c711c3e9	2760
8002800	df6656c006	715281b3b1	eafad78614	2800
8002900	82f683c3e2	01a27558d3	942a7876e8	2900
8003000	77bdf0c823	6de0ab6d1b	b2a27d6db9	3000
8003500	637ab43f00	9385329188	92054d5aa7	3500
8004000	faaf03aad0	efb6550df2	5f7afcc782	4000
8004500	1926052d50	03e2f52abe	9255676acc	4500
8004800	df9f2e8e5c	ee52b7ec41	f902f64f62	4800
8004900	4270b7675d	50ca3792e9	817433db35	4900
8005000	3360a85bbc	3b74c86a7c	0df09e8f85	5000
8006000	e5465aecd1	8587f6946c	6823ae5cbe	6000
8007000	9a15ee060c	022a887675	18ea50182f	7000
8008000	0b59bdc35b	cf9db0d9b6	057d2f7d3f	8000
8009000	2bf685101d	6143c01b26	3f8923be75	9000
8009800	9835863a8b	94109e6dc0	150984994c	9800
8010000	516cb1d6ff	cff482311c	7d0484766c	10000
9000001	855fafbf21	937f79268f	5cc1c23f63	1
9000002	264277d635	dca92b4e01	bfd8cc0690	2
9000003	988d06c8fc	c51c830e60	8fe27462c7	3
9000004	ecba1346e7	d36ad97e5c	f617c03c74	4
9000005	2bcd2cfb05	5394a9e9fb	a965bd85a4	5
9000006	cf6e2eed8b	6d221f587a	c03c20f151	6
9000007	98d579306c	593de00531	9663e01828	7
9000008	aca650bd5e	811d5ccd7b	3d50849e40	8
9000009	bed3ea3d26	ea8c96c2a5	fe44b403e9	9
9000010	4ffc224851	d71d52b8dc	bb9d49e2fe	10
9000012	3284f65556	73a51ea3a8	964395b83e	12
9000015	01739ff9f9	34189c5713	b76de02160	15
9000019	96f2acb331	0bf3dd1af6	5fc572b1fc	19
9000020	2f606f38c2	739397e277	6dffd219af	20
9000025	2126a4c52f	3a9f360114	49fc1fdea8	25
9000026	3d54f519b0	39fec2ff48	2be8030433	26
9000030	e8b5dae970	87562dea55	cc9a4d3d8d	30
9000031	71d3812fe6	f370ca4522	fbc31570c9	31
9000035	c85510cffb	c3b664f6be	75b9671b2d	35
9000039	c85510cffb	c3b664f6be	75b9671b2d	39
9000040	f41ab8e2f9	5ad1ccfc41	b8fb1f249b	40
9000045	7af03e3fad	c22466f6ae	74c11c1924	45
9000046	4a68b7be83	3244a368fb	d963147b4c	46
9000050	894e83efb2	bb4f9b9ab4	bbf52d3a39	50
9000055	d6ebcbcf0a	cef5b239d3	b1d44e13fe	55
9000060	9cd74d89f4	27b19d7367	19f61fe3ff	60
9000065	2d3dce3bfb	580c954902	925e7379ac	65
9000070	742b99468f	b01771edf3	8590e7447f	70
9000075	97dcb75bf0	b03dd29e46	95627edb41	75
9000080	903b58a66c	ff4204289d	a5e7cddac7	80
9000085	5267ae6ade	794694aa3e	6ee523df2b	85
9000090	33e601a770	f6a4f318dd	6b5dcfbccb	90
9000095	04bb85de8f	984acac0e5	b6d0ddafb6	95
9000100	39c2d2ef67	b920813e6b	dd15e492d5	100
9000110	b94c85262e	b1f8abb3ee	8a239ed942	110
9000111	b94c85262e	b1f8abb3ee	8a239ed942	111
9000119	b94c85262e	b1f8abb3ee	8a239ed942	119
9000120	ce1695d49e	6459060354	5943e2a60d	120
9000130	7e4245ca60	c902495840	a8864b8ead	130
9000138	7575ffd861	6ba0d9ce9c	1f096260da	138
9000140	8ef1edb6f8	71918286ba	97749c3411	140
9000150	b7d710c789	65760d9ea1	df49fd34d4	150
9000160	34a3043a2b	f8c3e295d4	54b238bca3	160
9000170	c76203686b	4925cb4371	60cbe520b9	170
9000180	ce0589d2f7	369d7c74ee	866485b1be	180
9000190	f89afd2bcf	44046823c1	8f6d78a730	190
9000194	f89afd2bcf	44046823c1	8f6d78a730	194
9000200	1e854ad4c3	4596e539b9	7364df7ce1	200
9000210	10943d30e6	ab52b5506f	ac71202aad	210
9000220	dbf8d4fb7f	85e0e0128a	d4b2aa96a2	220
9000223	dbf8d4fb7f	85e0e0128a	d4b2aa96a2	223
9000230	9f4e0f0b35	214f84bac0	5b78c75e4e	230
9000240	67dd9df5f1	18ba99b3a0	88c91610d5	240
9000250	e6563b2876	67d1925136	13720a9087	250
9000260	ef39fc5092	7011ae8975	56e0fd9dfe	260
9000270	cc29e64db1	8161f7b42b	a51361df70	270
9000276	046b6690e7	31dc6e4ba8	50cd5efa70	276
9000280	97f83a740d	7dbf6a6029	61dc18d2b2	280
9000290	315db0827d	680c837c9d	bcad3f9c7e	290
9000300	e6ba9b4d45	8b89ac1d08	70957a528a	300
9000320	e6ba9b4d45	8b89ac1d08	70957a528a	320
9000350	99bdd3cd9c	f08c94db92	7213699ed6	350
9000390	99bdd3cd9c	f08c94db92	7213699ed6	390
9000400	3a375016ac	4a43bced6e	1ace4274d8	400
9000418	d6ebcbcf0a	cef5b239d3	b1d44e13fe	418
9000450	853ef9b36c	a395ba0b5d	62d31fa19c	450
9000480	351b064141	b8d8dac8a4	6a68e47ce0	480
9000490	8a858c85e7	361574eab1	2cee4d39ab	490
9000500	48f7d93486	64a72d759e	8c6ed8cb18	500
9000550	48f7d93486	64a72d759e	8c6ed8cb18	550
9000555	48f7d93486	64a72d759e	8c6ed8cb18	555
9000600	7fa2b8c950	c2eb1026d8	8b4cd89ad1	600
9000700	ce6dc28a04	fb42e238c2	e94d9c047a	700
9000777	ce6dc28a04	fb42e238c2	e94d9c047a	777
9000800	17fa7b524e	2cdd574149	774ca6f879	800
9000900	4fc46407c0	75c4e4f49e	eb84afc67e	900
9000980	9e36fa23ee	dd40d28d6f	ea23517a0b	980
9001000	c8f3a34512	fe64bf6e34	d9a817876f	1000
9001050	c8f3a34512	fe64bf6e34	d9a817876f	1050
9001111	c8f3a34512	fe64bf6e34	d9a817876f	1111
9001231	c8f3a34512	fe64bf6e34	d9a817876f	1231
9001500	c8f3a34512	fe64bf6e34	d9a817876f	1500
9001880	c8f3a34512	fe64bf6e34	d9a817876f	1880
9002000	c8f3a34512	fe64bf6e34	d9a817876f	2000
9002010	c8f3a34512	fe64bf6e34	d9a817876f	2010
9002100	c8f3a34512	fe64bf6e34	d9a817876f	2100
9002440	c8f3a34512	fe64bf6e34	d9a817876f	2440
9003000	c8f3a34512	fe64bf6e34	d9a817876f	3000
9003939	c8f3a34512	fe64bf6e34	d9a817876f	3939
9004000	c8f3a34512	fe64bf6e34	d9a817876f	4000
9005000	c8f3a34512	fe64bf6e34	d9a817876f	5000
9005555	c8f3a34512	fe64bf6e34	d9a817876f	5555
9006000	c8f3a34512	fe64bf6e34	d9a817876f	6000
9006120	c8f3a34512	fe64bf6e34	d9a817876f	6120
9007000	c8f3a34512	fe64bf6e34	d9a817876f	7000
9008000	c8f3a34512	fe64bf6e34	d9a817876f	8000
9009000	c8f3a34512	fe64bf6e34	d9a817876f	9000
9009800	c8f3a34512	fe64bf6e34	d9a817876f	9800
9010000	c8f3a34512	fe64bf6e34	d9a817876f	10000
9011000	c8f3a34512	fe64bf6e34	d9a817876f	11000
9012000	c8f3a34512	fe64bf6e34	d9a817876f	12000
9013000	c8f3a34512	fe64bf6e34	d9a817876f	13000
9014000	c8f3a34512	fe64bf6e34	d9a817876f	14000
9015000	c8f3a34512	fe64bf6e34	d9a817876f	15000
9016000	c8f3a34512	fe64bf6e34	d9a817876f	16000
9017000	c8f3a34512	fe64bf6e34	d9a817876f	17000
9018000	c8f3a34512	fe64bf6e34	d9a817876f	18000
9019000	c8f3a34512	fe64bf6e34	d9a817876f	19000
9020000	c8f3a34512	fe64bf6e34	d9a817876f	20000
