id	character_id	type	line_id
1	122	2	2001222
1	122	2	2101222
1	122	2	2201222
1	131	1	2001311
1	131	1	2101311
1	131	1	2201311
1	131	2	2001312
1	131	2	2101312
1	131	2	2201312
1	161	1	2001611
1	161	1	2101611
1	161	1	2201611
1	161	2	2001612
1	161	2	2101612
1	161	2	2201612
2	11	1	2000111
2	11	1	2100111
2	11	1	2200111
2	11	2	2000112
2	11	2	2100112
2	11	2	2200112
2	12	1	2000121
2	12	1	2100121
2	12	1	2200121
2	12	2	2000122
2	12	2	2100122
2	12	2	2200122
2	13	1	2000131
2	13	1	2100131
2	13	1	2200131
2	13	2	2000132
2	13	2	2100132
2	13	2	2200132
2	14	1	2000141
2	14	1	2100141
2	14	1	2200141
2	14	2	2000142
2	14	2	2100142
2	14	2	2200142
3	11	1	2000111
3	11	1	2100111
3	11	1	2200111
3	11	2	2000112
3	11	2	2100112
3	11	2	2200112
3	12	1	2000121
3	12	1	2100121
3	12	1	2200121
3	12	2	2000122
3	12	2	2100122
3	12	2	2200122
3	13	1	2000131
3	13	1	2100131
3	13	1	2200131
3	13	2	2000132
3	13	2	2100132
3	13	2	2200132
3	14	1	2000141
3	14	1	2100141
3	14	1	2200141
3	14	2	2000142
3	14	2	2100142
3	14	2	2200142
4	11	1	2000111
4	11	1	2100111
4	11	1	2200111
4	11	2	2000112
4	11	2	2100112
4	11	2	2200112
4	12	1	2000121
4	12	1	2100121
4	12	1	2200121
4	12	2	2000122
4	12	2	2100122
4	12	2	2200122
4	13	1	2000131
4	13	1	2100131
4	13	1	2200131
4	13	2	2000132
4	13	2	2100132
4	13	2	2200132
4	14	1	2000141
4	14	1	2100141
4	14	1	2200141
4	14	2	2000142
4	14	2	2100142
4	14	2	2200142
5	11	1	2000111
5	11	1	2100111
5	11	1	2200111
5	11	2	2000112
5	11	2	2100112
5	11	2	2200112
5	12	1	2000121
5	12	1	2100121
5	12	1	2200121
5	12	2	2000122
5	12	2	2100122
5	12	2	2200122
5	13	1	2000131
5	13	1	2100131
5	13	1	2200131
5	13	2	2000132
5	13	2	2100132
5	13	2	2200132
5	14	1	2000141
5	14	1	2100141
5	14	1	2200141
5	14	2	2000142
5	14	2	2100142
5	14	2	2200142
